Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_total_Ca
18.95,0.005870175996910614,0.000954923812294376,0.00012310620784572896,0.00024768515393014975,2.8753439601948553e-05,7.087857340197457e-06,0.015569219309974422
19.0,0.005825608026570045,0.0009463826498684773,0.00012198240881066217,0.00024379862829543362,2.8293777105874996e-05,7.023000790629967e-06,0.01543454660448748
19.05,0.005781377911043558,0.0009379160517448905,0.0001208685938182713,0.00023997893592667835,2.784217934394489e-05,6.9587217304554e-06,0.01530116924829809
19.1,0.0057374833807957845,0.0009295235258277733,0.00011976469728240723,0.00023622483397937722,2.7398493003099205e-05,6.895016364872703e-06,0.015169073202436534
19.150000000000002,0.005693922174674608,0.0009212045780915769,0.00011867065326697119,0.0002325351043193261,2.6962567894264163e-05,6.831880878236017e-06,0.015038244607104328
19.200000000000003,0.005650692040026697,0.0009129587127746783,0.00011758639551654154,0.00022890855300284748,2.653425688478479e-05,6.769311435863416e-06,0.014908669778833353
19.25,0.005607790732809299,0.0009047854325670166,0.00011651185748602276,0.0002253440097684592,2.6113415832394453e-05,6.707304185787487e-06,0.014780335207701374
19.3,0.005565216017698334,0.000896684238791872,0.00011544697236934075,0.00022184032753972527,2.5699903520683895e-05,6.645855260449243e-06,0.014653227554602445
19.35,0.005522965668192896,0.0008886546315819386,0.00011439167312720974,0.0002183963819390386,2.529358159603483e-05,6.584960778336869e-06,0.014527333648571204
19.400000000000002,0.005481037466716173,0.0008806961100498126,0.00011334589251399318,0.0002150110708120817,2.4894314505982952e-05,6.5246168455706285e-06,0.014402640484159486
19.450000000000003,0.005439429204712869,0.0008728081724530442,0.00011230956310368258,0.00021168331376272676,2.4501969438977077e-05,6.464819557435411e-06,0.014279135218864284
19.5,0.005398138682743201,0.000864990316353879,0.00011128261731501705,0.00020841205169813608,2.411641626550139e-05,6.405564999862255e-06,0.014156805170605743
19.55,0.005357163710573491,0.000857242038773817,0.0001102649874357651,0.00020519624638383054,2.3737527480528545e-05,6.3468492508601404e-06,0.01403563781525402
19.6,0.005316502107263478,0.0008495628363431256,0.00010925660564619155,0.00020203488000850297,2.3365178147272708e-05,6.288668381899451e-06,0.013915620784204044
19.650000000000002,0.005276151701250326,0.0008419522054454193,0.00010825740404172958,0.00019892695475835084,2.2999245842211417e-05,6.2310184592482724e-06,0.013796741861996819
19.700000000000003,0.005236110330429449,0.0008344096423574368,0.00010726731465487957,0.00019587149240071566,2.263961060134683e-05,6.173895545262845e-06,0.013678988983986432
19.75,0.005196375842232191,0.0008269346433841323,0.00010628626947635495,0.00019286753387681702,2.2286154867677144e-05,6.117295699633369e-06,0.013562350234051588
19.8,0.005156946093700391,0.0008195267049891969,0.00010531420047549436,0.0001899141389033742,2.1938763439849603e-05,6.061214980586344e-06,0.01344681384235068
19.85,0.005117818951557953,0.0008121853239211319,0.00010435103961996098,0.0001870103855829171,2.1597323421967796e-05,6.005649446044653e-06,0.013332368183119489
19.900000000000002,0.005078992292279391,0.0008049099973349766,0.00010339671889474625,0.00018415537002258565,2.126172417452566e-05,5.95059515474646e-06,0.013219001772510388
19.950000000000003,0.005040464002155479,0.0007977002229098089,0.00010245117032049803,0.00018134820596122901,2.0931857266442156e-05,5.896048167324094e-06,0.013106703266472248
20.0,0.005002231977356015,0.0007905554989621241,0.00010151432597119076,0.00017858802440461538,2.0607616428170777e-05,5.84200454734398e-06,0.012995461458670064
20.05,0.004964294123989761,0.0007834753245551948,0.00010058611799115512,0.00017587397326856855,2.028889750585856e-05,5.7884603623086645e-06,0.012885265278443402
20.1,0.004926648358161639,0.0007764591996045245,9.96664786114857e-05,0.0001732052170298551,1.9975598416530478e-05,5.735411684622035e-06,0.012776103788802855
20.150000000000002,0.004889292606027183,0.000769506624979484,9.8755340165842e-05,0.00017058093638464315,1.9667619104274773e-05,5.6828545925186585e-06,0.012667966184463565
20.200000000000003,0.004852224803844349,0.0007626171026012392,9.785263510566073e-05,0.0001680003279143648,1.936486149740621e-05,5.6307851709583125e-06,0.01256084178991504
20.25,0.0048154428980227044,0.0007557901355370645,9.695829601479482e-05,0.0001654626037588147,1.9067229466584344e-05,5.57919951248661e-06,0.012454720057526493
20.3,0.004778944845170043,0.0007490252280911336,9.607225562359506e-05,0.00016296699129632057,1.8774628783864433e-05,5.5280937180626744e-06,0.012349590565686778
20.35,0.004742728612136516,0.0007423218858918887,9.519444682245037e-05,0.00016051273283082884,1.8486967082659605e-05,5.477463897854846e-06,0.01224544301697835
20.400000000000002,0.00470679217605627,0.0007356796159760696,9.432480267480083e-05,0.0001580990852857469,1.820415381859263e-05,5.427306172005244e-06,0.012142267236384329
20.450000000000003,0.004671133524386682,0.0007290979268694974,9.346325642963884e-05,0.00015572531990439207,1.7926100231216983e-05,5.37761667136408e-06,0.012040053169528019
20.5,0.004635750654945225,0.0007225763286646997,9.260974153351276e-05,0.00015339072195689834,1.765271930658686e-05,5.328391538194594e-06,0.011938790880944175
20.55,0.004600641575944001,0.0007161143330954569,9.176419164204637e-05,0.00015109459045343474,1.7383925740656346e-05,5.279626926849443e-06,0.011838470552381254
20.6,0.004565804306022018,0.0007097114536083635,9.092654063098916e-05,0.00014883623786359626,1.7119635903488832e-05,5.231319004419341e-06,0.011739082481134092
20.650000000000002,0.0045312368742752235,0.000703367205431472,9.009672260680917e-05,0.00014661498984182574,1.685976780425749e-05,5.183463951354785e-06,0.011640617078406218
20.700000000000003,0.0044969373202843515,0.00069708110564011,8.927467191684273e-05,0.0001444301849587337,1.6604241057018797e-05,5.1360579620616145e-06,0.011543064867701246
20.75,0.004462903694140641,0.0006908526732199431,8.84603231590131e-05,0.0001422811744381837,1.635297684724114e-05,5.089097245471126e-06,0.011446416483242685
20.8,0.00442913405646944,0.0006846814291273568,8.765361119113042e-05,0.00014016732190001266,1.6105897899070934e-05,5.0425780255855285e-06,0.011350662668421524
20.85,0.004395626478451783,0.0006785668963472417,8.685447113978577e-05,0.00013808800310826334,1.5862928443319528e-05,4.996496541999477e-06,0.011255794274271117
20.900000000000002,0.004362379041843935,0.0006725085999482409,8.60628384088501e-05,0.00013604260572480195,1.5623994186153886e-05,4.950849050398319e-06,0.011161802257968584
20.950000000000003,0.004329389838994975,0.0006665060671355406,8.527864868759018e-05,0.0001340305290682033,1.5389022278475114e-05,4.905631823033777e-06,0.01106867768136235
21.0,0.004296656972862462,0.0006605588273012684,8.450183795841282e-05,0.0001320511838777852,1.5157941285968884e-05,4.8608411491777424e-06,0.010976411709525166
21.05,0.004264178557026191,0.0006546664120725662,8.373234250424772e-05,0.0001301039920826764,1.4930681159812233e-05,4.816473335554792e-06,0.010884995609332052
21.1,0.004231952715700143,0.0006488283553574092,8.297009891558059e-05,0.00012818838657580818,1.4707173208021864e-05,4.77252470675412e-06,0.010794420748062753
21.150000000000002,0.00419997758374259,0.0006430441933882266,8.221504409714581e-05,0.00012630381099271694,1.4487350067428945e-05,4.728991605621426e-06,0.010704678592028045
21.200000000000003,0.004168251306664462,0.0006373134647633936,8.146711527428964e-05,0.00012444971949505322,1.4271145676266219e-05,4.685870393631421e-06,0.010615760705219468
21.25,0.004136772040635971,0.0006316357104866544,8.07262499990134e-05,0.00012262557655869148,1.4058495247353349e-05,4.643157451241516e-06,0.010527658747982028
21.3,0.004105537952491549,0.0006260104740045322,7.999238615570629e-05,0.00012083085676633796,1.3849335241866696e-05,4.600849178227246e-06,0.010440364475709259
21.35,0.00407454721973315,0.0006204373012417933,7.926546196657758e-05,0.00011906504460453862,1.3643603343680409e-05,4.558941994000036e-06,0.010353869737560355
21.400000000000002,0.004043798030531908,0.0006149157406350111,7.854541599679676e-05,0.00011732763426498714,1.3441238434265437e-05,4.517432337907784e-06,0.010268166475198764
21.450000000000003,0.004013288583728247,0.0006094453431642951,7.783218715935102e-05,0.00011561812945003954,1.3242180568133982e-05,4.476316669518842e-06,0.010183246721551863
21.5,0.0039830170888304275,0.0006040256623832341,7.712571471962848e-05,0.00011393604318234155,1.3046370948816852e-05,4.435591468889878e-06,0.010099102599591313
21.55,0.003952981766011596,0.0005986562544471065,7.642593829973557e-05,0.00011228089761847724,1.2853751905361496e-05,4.395253236818127e-06,0.010015726321133544
21.6,0.003923180846105365,0.0005933366781394146,7.573279788255725e-05,0.00011065222386655188,1.2664266869339093e-05,4.355298495078545e-06,0.009933110185660175
21.650000000000002,0.0038936125705999495,0.0005880664948967852,7.504623381556749e-05,0.00010904956180761949,1.2477860352348818e-05,4.315723786646287e-06,0.009851246579157705
21.700000000000003,0.003864275191630903,0.0005828452688322918,7.436618681439815e-05,0.00010747245992087228,1.229447792400821e-05,4.2765256759050154e-06,0.00977012797297628
21.75,0.0038351669719724835,0.0005776725667572454,7.369259796617388e-05,0.0001059204751125083,1.2114066190418516e-05,4.237700748841475e-06,0.009689746922707052
21.8,0.003806286185027674,0.0005725479582014958,7.302540873262012e-05,0.00010439317254819569,1.1936572773094198e-05,4.1992456132267555e-06,0.009610096067077772
21.85,0.003777631114816917,0.0005674710154322982,7.236456095295221e-05,0.00010289012548905609,1.1761946288346259e-05,4.16115689878471e-06,0.009531168126866317
21.900000000000002,0.003749200055965554,0.0005624413134717798,7.17099968465515e-05,0.00010141091513108752,1.1590136327108865e-05,4.1234312573478955e-06,0.009452955903831642
21.950000000000003,0.0037209913136900365,0.0005574584301130558,7.106165901543622e-05,9.995513044795283e-05,1.1421093435199442e-05,4.086065363001465e-06,0.009375452279661974
22.0,0.0036930032037829214,0.0005525219459350354,7.041949044653338e-05,9.85223680370593e-05,1.1254769094002366e-05,4.049055912215407e-06,0.009298650214939783
22.05,0.0036652340525966764,0.0005476314443159571,6.978343451375799e-05,9.711223196885659e-05,1.1091115701566644e-05,4.012399623965501e-06,0.009222542748123255
22.1,0.003637682197026356,0.0005427865114456984,6.915343497990663e-05,9.572433363928408e-05,1.0930086554108433e-05,3.976093239843375e-06,0.009147122994543963
