Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(5),J_total_Br
5.25,0.0231053369500111,0.03782263887125043,0.04082554991915028,0.012781493522301368,0.013227225987661528,0.001282714068599773,0.03378430545393276,0.0015457817426736628,0.819872985517892
5.300000000000001,0.023074417119481598,0.03722545135782119,0.040679160502943415,0.01277739636918723,0.012665040619238361,0.001277670028221076,0.033021429878865916,0.0014742040743652566,0.8063603956429983
5.3500000000000005,0.023043261232616862,0.03663325009606015,0.040530758109563546,0.012771034730586424,0.012128481114963643,0.001273882919738432,0.03227330134381039,0.0014056966100958795,0.7931597897937502
5.4,0.02301187077826476,0.036046125261067145,0.04038036740050828,0.012762008348056518,0.01161671587108591,0.0012711360308562012,0.03153979732633292,0.0013401762465246347,0.7802636349620067
5.45,0.022980247253310732,0.03546416279023759,0.04022801388531717,0.012749965400182174,0.011128921643241722,0.001269232541511061,0.03082078533625876,0.0012775582246218203,0.7676644736275331
5.5,0.022948392162523864,0.03488744442329498,0.04007372389337728,0.012734599569310012,0.010664284849175427,0.001267994227029264,0.030116123764161524,0.0012177566152085056,0.7553549339372903
5.550000000000001,0.022916307018402617,0.034316047744819965,0.03991752454544513,0.012715647196673749,0.010222002744834743,0.0012672602150971767,0.02942566268846305,0.001160684755666772,0.7433277387546307
5.6000000000000005,0.02288399334102034,0.03375004622917185,0.03975944372492726,0.012692884529731148,0.009801284480265857,0.0012668857975753562,0.028749244642146152,0.0011062556413515428,0.7315757136543752
5.65,0.022851452657870513,0.03318950928769719,0.039599510048961034,0.01266612506469561,0.009401352041666087,0.0012667412976074643,0.028086705340153274,0.0010543822750791697,0.7200917939364329
5.7,0.02281868650371183,0.03263450231811987,0.03943775283933618,0.012635216986480584,0.009021441085858908,0.0012667109919847284,0.02743787436860033,0.001004977977904533,0.7088690307272905
5.75,0.022785696420413105,0.03208508675600599,0.03927420209329668,0.012600040707580489,0.008660801673338207,0.0012666920883143572,0.0268025758369781,0.0009579566642306309,0.6979005962353714
5.800000000000001,0.022752483956798075,0.03154132012819709,0.039108888454261324,0.012560506506784159,0.008318698905890624,0.0012665937561971569,0.026180628994545683,0.000913233084125306,0.687179788222948
5.8500000000000005,0.02271905066849012,0.03100325610810492,0.03894184318250071,0.012516552268052079,0.007994413474649395,0.0012663362113372516,0.02557184881214257,0.0008707230355510675,0.6767000337540504
5.9,0.022685398117756925,0.030470944572761182,0.03877309812580665,0.012468141319383235,0.0076872421242633136,0.0012658498512778244,0.024976046530659064,0.0008303435490476899,0.6664548922746072
5.95,0.022651527873355143,0.029944431661516165,0.03860268569018947,0.012415260371047643,0.007396498038683456,0.0012650744412744171,0.024393030177410527,0.0007920130472448359,0.6564380580779539
6.0,0.02261744151037507,0.02942375983628065,0.038430638810637234,0.012357917552162756,0.007121511153879776,0.0012639583486755083,0.023822605051659517,0.0007556514814243745,0.6466433622058071
6.050000000000001,0.02258314061008538,0.028908967943206233,0.03825699092196967,0.012296140544242594,0.0068616284026026325,0.0012624578240734295,0.02326457418052297,0.000721180447200213,0.63706477383188
6.1000000000000005,0.022548626759777923,0.028400091275700298,0.038081775929818776,0.012229974810044049,0.006616213896102206,0.001260536327412342,0.022718738746489553,0.0006885232812378816,0.62769640117248
6.15,0.022513901552612684,0.027897161638672768,0.03790502818176635,0.01215948191577197,0.006384649047513395,0.0012581638971896896,0.022184898487755633,0.0006576051407971833,0.6185324919657149
6.2,0.02247896658746284,0.02740020741391335,0.03772678243866812,0.012084737944480327,0.006166332641407108,0.0012553165608594503,0.02166285207256867,0.0006283530677492433,0.6095674335583163
6.25,0.022443823468760032,0.02690925362649919,0.03754707384619237,0.012005831998317546,0.005960680853801588,0.0012519757845362574,0.021152397448743164,0.000600696038594295,0.6007957526365929
6.300000000000001,0.022408473806339837,0.026424322012134512,0.037365937906600095,0.011922864787107442,0.00576712722672141,0.0012481279601060636,0.020653332169488847,0.000574565001888611,0.5922121146356363
6.3500000000000005,0.022372919215287456,0.025945431085325658,0.037183410450792445,0.011835947300629873,0.005585122601187668,0.0012437639278688683,0.020165453696662772,0.0005498929043780122,0.5838113228586221
6.4,0.022337161315783692,0.02547259620829654,0.03699952761064994,0.011745199561864888,0.005414135012321622,0.0012388785328698033,0.019688559682527314,0.0005266147070312384,0.5755883173358884
6.45,0.022301201732951213,0.025005829660551794,0.036814325791686746,0.011650749458388131,0.005253649550046726,0.0012334702131145767,0.019222448231065305,0.0005046673920689764,0.5675381734514102
6.5,0.02226504209670113,0.024545140708996712,0.03662784164604225,0.011552731649051216,0.005103168188680694,0.0012275406179121416,0.018766918139871372,0.0004839899619932577,0.55965610036234
6.550000000000001,0.022228684041579926,0.024090535678525322,0.03644011204583071,0.011451286543046477,0.004962209588521086,0.0012210942546399728,0.018321769123605922,0.000464523431537039,0.5519374392354386
6.6000000000000005,0.02219212920661676,0.023642018022990256,0.03625117405686894,0.011346559348439022,0.004830308872345003,0.0012141381622841677,0.01788680201996512,0.000446210813374783,0.5443776613224692
6.65,0.022155379235171156,0.023199588396470183,0.03606106491280041,0.011238699187248031,0.004707017379566247,0.001206681610166615,0.017461818979086458,0.00042899709836146825,0.5369723658949839
6.7,0.02211843577478113,0.022763244724753277,0.03586982198963344,0.01112785827417256,0.004591902400622167,0.0011987358203337112,0.0170466236372764,0.0004128292309994226,0.529717278057376
6.75,0.022081300477011755,0.0223329822769573,0.03567748278070961,0.011014191156082417,0.0044845468939973395,0.0011903137121447155,0.01664102127591275,0.0003976560807693565,0.5226082464556083
6.800000000000001,0.022043974997304185,0.021908793737209588,0.035484084872117676,0.010897854009430911,0.004384549188132654,0.0011814296676621277,0.01624481896634145,0.0003834284099037248,0.5156412408976487
6.8500000000000005,0.022006460994825193,0.021490669276312737,0.03528966591856714,0.01077900399279187,0.0042915226703161245,0.0011720993165108336,0.015857825701554563,0.0003700988381267566,0.5088123499003603
6.9,0.021968760132317213,0.021078596623324126,0.035094263619734355,0.010657798651776807,0.004205095464506067,0.0011623393389367058,0.01547985251540379,0.0003576218048358932,0.5021177781763696
6.95,0.021930874075948906,0.020672561136980433,0.034897915697093315,0.01053439537364865,0.004124910099898092,0.0011521672858584647,0.015110712590072172,0.00034595352915370363,0.4955538440733116
7.0,0.021892804495166302,0.02027254587690044,0.03470065987124187,0.010408950889014569,0.004050623171914592,0.0011416014147685337,0.014750221352495324,0.00033505196823732647,0.48911697697677825
7.050000000000001,0.021854553062544507,0.01987853167450237,0.03450253383973348,0.010281620818051456,0.003981904997169075,0.0011306605403991195,0.014398196560393093,0.0003248767741938916,0.4828037146873106
7.1000000000000005,0.02181612145364002,0.019490497203574472,0.034303575255423276,0.010152559258792439,0.003918439263837685,0.0011193638991285788,0.01405445837854283,0.00031538924991495165,0.47661070078083995
7.15,0.021777511346843647,0.01910841905044019,0.03410382170533652,0.010021918415080659,0.0038599226787563454,0.0011077310261601242,0.013718829445896351,0.00030655230411048097,0.47053468196112236
7.2,0.021738724423234074,0.01873227178366195,0.033903310690066406,0.00988984826187688,0.003806064612454237,0.0010957816445599658,0.013391134934114778,0.0002983304057932765,0.46457250541190376
7.25,0.021699762366432077,0.018362028023230104,0.03370207960370742,0.009756496245689283,0.0037565867432323755,0.0010835355652949689,0.013071202598067865,0.0002906895384373991,0.45872111615579725
7.300000000000001,0.021660626862455415,0.017997658509186228,0.033500165714329413,0.009622007017976822,0.003711222701299898,0.0010710125974607867,0.012758862818818172,0.00028359715400945673,0.4529775544261634
7.3500000000000005,0.021621319599574404,0.017639132169632463,0.0332976061449968,0.009486522199461054,0.0036697177138900754,0.001058232467940157,0.012453948639584822,0.0002770221270488648,0.44733895305762994
7.4,0.021581842268168207,0.017286416188081133,0.03309443785533644,0.009350180173364921,0.003631828252192786,0.0010452147497776237,0.012156295795156799,0.0002709347089525555,0.44180253490028987
7.45,0.021542196560581834,0.016939476070101465,0.032890697623656935,0.00921311590568033,0.0035973216808601522,0.001031978798601372,0.011865742735202123,0.00026530648260080186,0.4363656102620578
