Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_B
13.05,0.00029303726061808186,1.3407637773970767e-05,1.4029210306821485e-07,0.0006130300888871735
13.100000000000001,0.00028730402003493747,1.313556382293288e-05,1.364453636085159e-07,0.0006010156130793492
13.15,0.00028169883671710954,1.2869831433435619e-05,1.3271613775880425e-07,0.0005892700524388491
13.200000000000001,0.0002762185105829291,1.261027405753863e-05,1.2910047088002218e-07,0.0005777866697518155
13.25,0.00027085992961754053,1.2356730004352743e-05,1.2559455364075438e-07,0.0005665589137974273
13.3,0.0002656200672384617,1.210904228456504e-05,1.2219471622897918e-07,0.0005555804137622825
13.350000000000001,0.00026049597974583586,1.1867058460374837e-05,1.1889742281235035e-07,0.0005448449738352338
13.4,0.0002554848038544761,1.1630630500637228e-05,1.1569926623555794e-07,0.0005343465679764622
13.450000000000001,0.0002505837543049135,1.1399614641019432e-05,1.1259696294388744e-07,0.0005240793348548097
13.5,0.00024579012155076047,1.1173871248982876e-05,1.0958734812262606e-07,0.0005140375729476092
13.55,0.00024110126951979043,1.0953264693411224e-05,1.0666737104247046e-07,0.0005042157357974458
13.600000000000001,0.00023651463344623812,1.0737663218712112e-05,1.0383409060157499e-07,0.0004946084274205021
13.65,0.00023202771777190457,1.0526938823226801e-05,1.0108467105532665e-07,0.0004852103978613181
13.700000000000001,0.0002276380941137426,1.0320967141788799e-05,9.841637792537119e-08,0.0004760165388889882
13.75,0.00022334339929568176,1.0119627332278766e-05,9.582657407981992e-08,0.0004670218798300009
13.8,0.00021914133344252547,9.922801966028824e-06,9.331271597695409e-08,0.00045822158353308554
13.850000000000001,0.00021502965813383908,9.730376921935493e-06,9.087235006511724e-08,0.0004496109424616143
13.9,0.00021100619461581266,9.542241284145725e-06,8.85031093318266e-08,0.00044118537490924864
13.950000000000001,0.0002070688220691591,9.35828724318593e-06,8.620270999547568e-08,0.00043294042133468555
14.0,0.00020321547593117638,9.178410000409052e-06,8.396894833330934e-08,0.00042487174081150416
14.05,0.0001994441462701647,9.002507675639344e-06,8.17996976396494e-08,0.0004169751075892477
14.100000000000001,0.000195752876210459,8.830481217899532e-06,7.9692905308641e-08,0.0004092464077620257
14.15,0.00019213976040639318,8.662234319109174e-06,7.764659003605088e-08,0.0004016816360410407
14.200000000000001,0.00018860294356357407,8.497673330647532e-06,7.565883913491002e-08,0.0003942768926275781
14.25,0.00018514061900590153,8.336707182678364e-06,7.372780596003582e-08,0.00038702838018311983
14.3,0.0001817510272868205,8.17924730613782e-06,7.185170743669662e-08,0.0003799324008933533
14.350000000000001,0.0001784324548433509,8.025207557290684e-06,7.002882168890719e-08,0.0003729853536229721
14.4,0.0001751832326914851,7.874504144763541e-06,6.825748576304693e-08,0.0003661837311582603
14.450000000000001,0.00017200173516159623,7.72705555896712e-06,6.653609344269464e-08,0.0003595241175345694
14.5,0.00016888637867254743,7.582782503823389e-06,6.486309315076294e-08,0.0003530031854458924
14.55,0.0001658356205432336,7.441607830716024e-06,6.323698593519149e-08,0.00034661769373383445
14.600000000000001,0.0001628479578403376,7.303456474586194e-06,6.16563235346339e-08,0.0003403644849533822
14.65,0.00015992192626111855,7.168255392098296e-06,6.01197065207311e-08,0.0003342404830129544
14.700000000000001,0.0001570560990500948,7.0359335018032855e-06,5.862578251372209e-08,0.00032824269088630993
14.75,0.00015424908594852276,6.9064216262299525e-06,5.7173244468289785e-08,0.0003223681883939737
14.8,0.00015149953217560773,6.779652435836926e-06,5.576082902667719e-08,0.000316614130051916
14.850000000000001,0.0001488061174404241,6.655560394760981e-06,5.4387314936245915e-08,0.0003109777429853064
14.9,0.0001461675549835526,6.534081708299344e-06,5.305152152877348e-08,0.00030545632490523267
14.950000000000001,0.00014358259064747915,6.4151542720661805e-06,5.17523072589086e-08,0.0003000472421463496
15.0,0.00014105000197483256,6.29871762276564e-06,5.048856829931832e-08,0.00029474792776349574
15.05,0.0001385685973335667,6.184712890525854e-06,4.9259237190169376e-08,0.00028955587968537526
