Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_total_Ne
15.0,0.002195606098746934,0.0001710293992276267,9.02603112063882e-06,0.004787427182672954
15.05,0.002165311863849318,0.00016838650641998716,8.823172844263333e-06,0.00472033577760419
15.100000000000001,0.00213547784996843,0.00016578951599177682,8.625393730979442e-06,0.00465428709430629
15.15,0.0021060965926333283,0.00016323755541242316,8.432553768785408e-06,0.004589263618704215
15.200000000000001,0.0020771607522655218,0.00016072976982506922,8.244517153115447e-06,0.004525248147099875
15.25,0.002048663112128587,0.00015826532167744726,8.061152150176148e-06,0.004462223780513125
15.3,0.0020205965763074717,0.00015584339036028443,7.882330965045285e-06,0.0044001739191257844
15.350000000000001,0.0019929541677172727,0.00015346317185311134,7.707929614356316e-06,0.004339082256826906
15.4,0.001965729026141216,0.00015112387837734056,7.537827803398478e-06,0.004278932775857504
15.450000000000001,0.0019389144062976027,0.0001488247380564859,7.3719088074693104e-06,0.004219709741552993
15.5,0.001912503675935459,0.00014656499458339447,7.21005935732278e-06,0.004161397697181644
15.55,0.0018864903139586158,0.00014434390689436184,7.052169528562173e-06,0.004103981458877329
15.600000000000001,0.0018608679085779655,0.00014216074885000578,6.89813263483305e-06,0.0040474461106649404
15.65,0.001835630155491602,0.00014001480892277186,6.7478451246769434e-06,0.003991776999576809
15.700000000000001,0.0018107708560925757,0.0001379053898909472,6.601206481912037e-06,0.003936959730858518
15.75,0.0017862839157039862,0.00013583180853906078,6.458119129412259e-06,0.0038829801632625674
15.8,0.001762163341841106,0.00013379339536454714,6.318488336161032e-06,0.0038298244044282725
15.850000000000001,0.0017384032425002717,0.00013178949429055604,6.182222127460956e-06,0.003777478806346421
15.9,0.0017149978244742291,0.00012981946238478775,6.0492311981849915e-06,0.0037259299609071436
