Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_total_P
3.9000000000000004,0.04749133237985704,0.012356961320595241,0.00253841203591722,0.05017461767236528,0.0034431120563393402,0.43615045367594873
3.95,0.04723496108816192,0.011684479342314863,0.002357952963893823,0.04885551995709483,0.003367235581189084,0.4257896132748774
4.0,0.04697729295430905,0.011057128897879343,0.002190186441442497,0.04756345940732842,0.0032914290518371416,0.4157042601867437
4.05,0.04671838193544003,0.010472539110187532,0.0020343794029471264,0.04629846892989371,0.0032158640820928925,0.4058890067227904
4.1000000000000005,0.046458281655677974,0.00992842035782123,0.001889825568950528,0.04506053198028631,0.0031406959082158257,0.39633833477126484
4.15,0.046197045390302956,0.009422564876630646,0.0017558465011283451,0.043849586062245316,0.0030660642272813993,0.38704662259143996
4.2,0.045934726050375095,0.008952846959873148,0.0016317922686217062,0.042665526114560856,0.0029920940737269263,0.3780081694662858
4.25,0.04567137616780315,0.008517222797151126,0.0015170417835526208,0.04150820777838187,0.002918896713813979,0.36921721830874693
4.3,0.04540704788085641,0.008113729990159392,0.0014110028570178234,0.0403774505398561,0.0028465705419885453,0.3606679763211694
4.3500000000000005,0.045141792920118044,0.007740486781005475,0.0013131120208923555,0.03927304074434226,0.0027752019666358874,0.35235463380999293
4.4,0.04487566259487833,0.0073956910266278035,0.001222834155351,0.038194734479693196,0.002704866275628798,0.34427138125875983
4.45,0.044608707779966034,0.007077618950625329,0.001139661957106318,0.037142260327227325,0.002635628474453481,0.33641242476211974
4.5,0.04434097890301661,0.006784623701643356,0.0010631152789358836,0.036115321979994064,0.0025675440916497344,0.3287719999221053
4.55,0.044072525932175755,0.006515133745346053,0.0009927403670956486,0.03511360072880458,0.0025006599478916104,0.32134438430573725
4.6000000000000005,0.043803398364236926,0.006267651114957654,0.0009281090196582395,0.03413675781725258,0.002435014886320967,0.314123908560184
4.65,0.04353364521321147,0.006040749543379387,0.0008688176856412206,0.03318443666759927,0.0023706404627795836,0.3071049662783986
4.7,0.04326331499932986,0.005833072497994407,0.0008144865219687037,0.0322562649799503,0.0023075615954082575,0.3002820227045125
4.75,0.04299245573847263,0.005643331137463391,0.0007647584228091783,0.0313518567076202,0.0022457971737294934,0.2936496223644001
4.800000000000001,0.042721114932029375,0.005470302208091979,0.0007192980336233573,0.030470813911967286,0.0021853606278340997,0.28720239570279543
4.8500000000000005,0.042449339557184176,0.005312825895720401,0.0006777907603105077,0.029612728500299224,0.0021262604586767286,0.28093506480425573
4.9,0.042177176057625526,0.005169803647546033,0.0006399417821339787,0.02877718385070152,0.002068500730772362,0.2748424482711373
4.95,0.0419046703346789,0.00504019597684167,0.0006054750756123972,0.027963756327836584,0.002012081528792938,0.26891946532766425
5.0,0.0416318677388598,0.004923020262174719,0.0005741324552598477,0.027172016693904195,0.001956999379705535,0.2631611392151305
5.050000000000001,0.04135881306184493,0.00481734855146434,0.0005456726359258973,0.026401531419052732,0.0019032476421834144,0.257562599939337
5.1000000000000005,0.041085550528859045,0.004722305380032345,0.000519870320505784,0.0256518638955886,0.001850816865069091,0.2521190864275332
5.15,0.040812123791474704,0.004637065610707066,0.0004965153159454255,0.02492257556035409,0.0017996951166830717,0.24682594814842812
5.2,0.040538575920822134,0.004560852303024606,0.0004754116797397003,0.02421322692963689,0.0017498682867602522,0.241678646245275
5.25,0.04026494940120598,0.004492934617635496,0.00045637689850167837,0.02352337855094008,0.0017013203627639566,0.23667275422861864
5.300000000000001,0.03999128612412562,0.004432625761163598,0.000439241099652621,0.022852591875885217,0.0016540336822802415,0.23180395827203573
5.3500000000000005,0.03971762738269554,0.004379280975974524,0.00042384629683627905,0.022200430058445464,0.001607989163136301,0.22706805715109438
5.4,0.03944401386646187,0.004332295578589143,0.00041004566928619596,0.02156645868261373,0.0015631665128198384,0.2224609618628163
5.45,0.0391704856566112,0.004291103049820403,0.00039770287506233953,0.02095024642350615,0.001519544418703849,0.21797869496013633
5.5,0.038897082221567375,0.004255173179114784,0.0003866913978153536,0.02035136564578505,0.001477100720505382,0.21361738963322152
5.550000000000001,0.03862384241297179,0.004224010265039755,0.00037689392652592103,0.019769392943161355,0.0014358125663293641,0.20937328856703113
5.6000000000000005,0.03835080446204256,0.004197151373371884,0.0003682017674967837,0.019203909622605413,0.0013956565535707204,0.2052427426021671
5.65,0.038078005976307686,0.00417416465380318,0.00036051428774027023,0.018654502136759246,0.0013566088558709135,0.2012222092238705
5.7,0.03780548393670706,0.004154647715892557,0.00035373838879978244,0.018120762467904408,0.0013186453372494966,0.1973082509019737
5.75,0.03753327469505812,0.00413822606454144,0.00034778800996521233,0.017602288466698267,0.0012817416544578554,0.1934975333026927
