Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(5),J_total_Mn
6.4,0.02848571585854259,0.011159407148899365,0.03612033868814821,0.005393028451011298,0.004109678412974496,0.0003009762472846425,0.0033040264745568112,0.3485784903909961
6.45,0.02839755108586152,0.010813976386807799,0.0356848542611817,0.005209392614212154,0.004100797483211888,0.0002908083442944616,0.0031814741134452286,0.34404473789593953
6.5,0.028309079409365202,0.010479875243712519,0.035251673746148675,0.005030586687997293,0.0040908269593691185,0.00028089299600649547,0.0030637385677760587,0.33957456574615014
6.550000000000001,0.028220307499320935,0.01015684493868471,0.03482088459982692,0.004856588578987984,0.004079755441767712,0.00027123052042450873,0.0029506219812791886,0.33516689323080007
6.6000000000000005,0.028131242009735425,0.009844628269759839,0.034392570828723254,0.004687368487369705,0.004067577767048208,0.0002618206944506877,0.002841934889758319,0.3308206849460517
6.65,0.028041889577525857,0.009542969819559394,0.033966813018979115,0.004522889529827328,0.0040542943894355645,0.0002526627949313903,0.0027374958579512725,0.3265349471839324
6.7,0.027952256821702694,0.009251616148584014,0.03354368836959778,0.004363108334637103,0.004039910806669919,0.00024375563794106967,0.002637131132130285,0.32230872460398735
6.75,0.027862350342564256,0.008970315976509992,0.03312327072877881,0.004207975609049531,0.004024437027920808,0.00023509761630050797,0.002540674307787962,0.31814109716798605
6.800000000000001,0.027772176720903097,0.008698820351825922,0.03270563063315052,0.004057436679230064,0.004007887081134415,0.00022668673533631121,0.0024479660117771957,0.31403117731918634
6.8500000000000005,0.02768174251722422,0.00843688281014984,0.03229083534969645,0.003911432003138693,0.003990278557390962,0.00021852064689789223,0.002358853598295755,0.30997810738882453
6.9,0.027591054270975163,0.008184259521569622,0.031878948920177314,0.0037698976568268285,0.003971632189972757,0.00021059668165606876,0.0022731908581283882,0.30598105721359775
6.95,0.02750011849978796,0.007940709427351169,0.031470032207855485,0.0036327657947121546,0.003951971465962573,0.00020291187971408468,0.002190837740581195,0.30203922194894506
7.0,0.027408941698733078,0.007705994366359323,0.031064142946334937,0.00349996508446063,0.0039313222683068335,0.00019546301956743962,0.0021116600875644162,0.29815182006391366
7.050000000000001,0.027317530339585228,0.0074798791915364395,0.03066133579033534,0.003371421117161256,0.0039097125463885265,0.00018824664545352555,0.0020355293793008337,0.2943180915043203
7.1000000000000005,0.027225890870101223,0.007262131876782512,0.030261662368225195,0.0032470567935246456,0.0038871720132607696,0.00018125909313581432,0.0019623224911575143,0.2905372960117917
7.15,0.027134029713309762,0.007052523614578984,0.029865171336144636,0.0031267926868721,0.003863731867793641,0.00017449651417031944,0.0018919214611186007,0.28680871158708504
7.2,0.027041953266813263,0.006850828904696163,0.029471908433555054,0.003010547383708981,0.0038394245400841876,0.00016795489870436418,0.001824213267436375,0.28313163308686284
7.25,0.026949667902101706,0.00665682563432103,0.02908191654005843,0.0028982378026954332,0.0038142834585725783,0.00016163009685939405,0.0017590896160166584,0.27950537094382455
7.300000000000001,0.02685717996387852,0.006470295149938769,0.028695235733335652,0.002789779492840112,0.003788342837396197,0.00015551783875076059,0.001696446737112971,0.27592925000077223
7.3500000000000005,0.026764495769398516,0.00629102232129732,0.028311903348059116,0.0026850869117491217,0.0037616374825982343,0.00014961375319813252,0.001636185190921587,0.27240260844983827
7.4,0.026671621607817886,0.006118795597779621,0.02793195403564094,0.002584073684763705,0.003734202615888027,0.0001439133851805188,0.001578209681686745,0.26892479686869103
