Q,J_1s(2),J_2s(2),J_2p(2),J_total
12.15,5.171245645045421e-07,6.529670965994999e-08,1.1080552801596289e-10,5.825320796925081e-07
12.200000000000001,5.04621281476522e-07,6.371270287771654e-08,1.0723136469111206e-10,5.684412157189296e-07
12.25,4.924689481966652e-07,6.217332440712594e-08,1.037863513640787e-10,5.547460589551553e-07
12.3,4.806563621975827e-07,6.06771436895613e-08,1.004653246496372e-10,5.414339712117936e-07
12.350000000000001,4.6917272132634897e-07,5.9222781524864085e-08,9.726334728204514e-11,5.284927661984951e-07
12.4,4.5800760792755043e-07,5.7808908031743356e-08,9.417569735761135e-11,5.159106916566514e-07
12.450000000000001,4.4715097371044276e-07,5.6434240696889136e-08,9.11978581293771e-11,5.036764122654612e-07
12.5,4.365931252680908e-07,5.5097542508599664e-08,8.832550832352097e-11,4.91778993285014e-07
12.55,4.263247102179929e-07,5.379762017094566e-08,8.555451294888084e-11,4.802078849018874e-07
12.600000000000001,4.163367039352371e-07,5.2533322394697575e-08,8.28809145726637e-11,4.6895290724450737e-07
12.65,4.0662039685067946e-07,5.130353826143111e-08,8.030092503697969e-11,4.5800423603714754e-07
12.700000000000001,3.971673822880193e-07,5.010719565740799e-08,7.781091759231076e-11,4.473523888630196e-07
12.75,3.879695448149524e-07,4.8943259773999805e-08,7.540741942540781e-11,4.369882120083776e-07
12.8,3.79019049084801e-07,4.781073167158277e-08,7.308710456040147e-11,4.2690286786094415e-07
12.850000000000001,3.7030832914620595e-07,4.6708646903986216e-08,7.084678711313544e-11,4.170878228373053e-07
12.9,3.618300781995551e-07,4.563607420072044e-08,6.868341487986863e-11,4.075348358151554e-07
12.950000000000001,3.535772387798808e-07,4.459211420434811e-08,6.659406324257003e-11,3.982359470474715e-07
13.0,3.45542993346947e-07,4.3575898260492436e-08,6.457592937403733e-11,3.8918346753681345e-07
13.05,3.3772075526418134e-07,4.258658725809795e-08,6.262632672701687e-11,3.803699688490063e-07
13.100000000000001,3.301041601490102e-07,4.162337051767707e-08,6.07426797923966e-11,3.717882733464797e-07
13.15,3.2268705757798675e-07,4.068546472538541e-08,5.892251911237846e-11,3.634314448224845e-07
13.200000000000001,3.154635031309081e-07,3.977211291087305e-08,5.716347653532508e-11,3.552927795183165e-07
13.25,3.084277507588825e-07,3.8882583466959524e-08,5.546328069971869e-11,3.473657975065417e-07
13.3,3.0157424546201286e-07,3.801616920927222e-08,5.3819752735362906e-11,3.3964423442402045e-07
13.350000000000001,2.9489761626306345e-07,3.717218647407924e-08,5.223080217061915e-11,3.3212203353931334e-07
13.4,2.883926694641109e-07,3.634997425263061e-08,5.069442303508247e-11,3.247933381397766e-07
13.450000000000001,2.820543821738027e-07,3.5548893360402763e-08,4.920869014768562e-11,3.1765248422435314e-07
13.5,2.7587789609343117e-07,3.4768325639717833e-08,4.7771755580766996e-11,3.1069399348872977e-07
13.55,2.6985851155057873e-07,3.400767319428002e-08,4.6381845291152516e-11,3.039125665901499e-07
13.600000000000001,2.6399168176962645e-07,3.326635765424187e-08,4.503725590978957e-11,2.973030766797781e-07
13.65,2.582730073689079e-07,3.254381947047687e-08,4.373635168192642e-11,2.908605631910667e-07
13.700000000000001,2.5269823107477207e-07,3.183951723679721e-08,4.247756155026352e-11,2.8458022587311954e-07
13.75,2.4726323264326983e-07,3.115292703891479e-08,4.125937637390987e-11,2.7845741905855854e-07
13.8,2.419640239806022e-07,3.0483541828998325e-08,4.008034627635974e-11,2.724876461558769e-07
13.850000000000001,2.3679674445388475e-07,2.983087082473356e-08,3.8939078116068815e-11,2.6666655435673437e-07
13.9,2.3175765638416052e-07,2.919443893184314e-08,3.7834233073547996e-11,2.6098992954907716e-07
13.950000000000001,2.2684314071396994e-07,2.8573786189070892e-08,3.6764524349216305e-11,2.554536914273901e-07
14.0,2.2204969284213477e-07,2.796846723468142e-08,3.5728714966558474e-11,2.5005388879178275e-07
14.05,2.1737391861874128e-07,2.7378050793568064e-08,3.472561567541778e-11,2.4478669502798474e-07
14.100000000000001,2.128125304936344e-07,2.6802119184104526e-08,3.37540829505279e-11,2.396484037606894e-07
