Q,J_1s_one_electron,J_1s(2),J_total_helium
13.75,2.621128926949654e-06,5.242257853899308e-06,5.242257853899308e-06
13.8,2.5661633712626004e-06,5.132326742525201e-06,5.132326742525201e-06
13.850000000000001,2.5125323093829655e-06,5.025064618765931e-06,5.025064618765931e-06
13.9,2.4601989953011613e-06,4.920397990602323e-06,4.920397990602323e-06
13.950000000000001,2.4091278126481043e-06,4.818255625296209e-06,4.818255625296209e-06
14.0,2.359284236401189e-06,4.718568472802378e-06,4.718568472802378e-06
14.05,2.310634796007494e-06,4.621269592014988e-06,4.621269592014988e-06
14.100000000000001,2.2631470398674753e-06,4.5262940797349506e-06,4.5262940797349506e-06
14.15,2.216789501124753e-06,4.433579002249506e-06,4.433579002249506e-06
14.200000000000001,2.1715316647099915e-06,4.343063329419983e-06,4.343063329419983e-06
14.25,2.1273439355891057e-06,4.254687871178211e-06,4.254687871178211e-06
14.3,2.0841976081680955e-06,4.168395216336191e-06,4.168395216336191e-06
14.350000000000001,2.042064836808912e-06,4.084129673617824e-06,4.084129673617824e-06
14.4,2.000918607412633e-06,4.001837214825266e-06,4.001837214825266e-06
14.450000000000001,1.9607327100281105e-06,3.921465420056221e-06,3.921465420056221e-06
14.5,1.921481712446024e-06,3.842963424892048e-06,3.842963424892048e-06
14.55,1.8831409347399054e-06,3.7662818694798107e-06,3.7662818694798107e-06
14.600000000000001,1.845686424717387e-06,3.691372849434774e-06,3.691372849434774e-06
14.65,1.8090949342463987e-06,3.6181898684927974e-06,3.6181898684927974e-06
14.700000000000001,1.7733438964225335e-06,3.546687792845067e-06,3.546687792845067e-06
14.75,1.7384114035452257e-06,3.4768228070904514e-06,3.4768228070904514e-06
14.8,1.7042761858716679e-06,3.4085523717433358e-06,3.4085523717433358e-06
14.850000000000001,1.6709175911187495e-06,3.341835182237499e-06,3.341835182237499e-06
14.9,1.6383155646844526e-06,3.276631129368905e-06,3.276631129368905e-06
