Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(8),J_4s(2),J_total_Ni
5.4,0.02769080462180906,0.026873890391464046,0.04486461715451731,0.01221879304725454,0.004377056281822726,0.012136859841225188,0.000594911395629468,0.5273017182601559
5.45,0.027631564640194277,0.026211222912873866,0.0445313100843812,0.01201949072653448,0.004295694574982293,0.011733586890808473,0.000586690905712401,0.5197286614532788
5.5,0.027571955002155642,0.02556118405000502,0.04419626274184706,0.011817275170004405,0.004222954756013816,0.011344102262648764,0.0005782244251000836,0.5123254003828857
5.550000000000001,0.027511979887697432,0.024923715727148032,0.04385958119090751,0.011612524457307481,0.00415814343890346,0.010967932249507,0.0005695331767195789,0.505085312272667
5.6000000000000005,0.027451643486252775,0.024298752751468155,0.04352137108921681,0.011405607101925168,0.004100608338369463,0.010604618798830248,0.0005606382116991544,0.4980021100588502
5.65,0.027390949996102122,0.023686223122314453,0.043181737595502326,0.01119688109990293,0.0040497364128414814,0.010253719070638595,0.0005515603002424383,0.49106982565229557
5.7,0.027329903623795605,0.02308604833708363,0.042840785280346856,0.010986693134885695,0.004004952055679233,0.00991480500069397,0.000542319837970977,0.4842827938891802
5.75,0.02726850858357934,0.02249814369330045,0.04249861804037133,0.010775377925653981,0.003965715336818792,0.009587462869622303,0.0005329367662201928,0.4776356371576271
5.800000000000001,0.02720676909682575,0.02192241858660162,0.04215533901583891,0.010563257703218396,0.003931520296532145,0.009271292878572677,0.0005234305049011843,0.4711232506859016
5.8500000000000005,0.02714468939146791,0.02135877680433395,0.04181105051169357,0.010350641805367135,0.003901893292538025,0.008965908731916793,0.0005138198966584006,0.4647407884763788
5.9,0.027082273701438002,0.020807116814500846,0.04146585392203867,0.01013782637736609,0.0038763914013049236,0.008670937227418657,0.0005041231611616505,0.45848364986834406
5.95,0.027019526266109952,0.02026733204981423,0.04111984965805351,0.009925094168283364,0.0038546008740361435,0.00838601785423771,0.000494357858470871,0.45234746671179643
6.0,0.02695645132974624,0.019739311186630477,0.040773137079339224,0.00971271441314789,0.0038361356475176763,0.008110802399067418,0.00048454086050417464,0.44632809113373834
6.050000000000001,0.026893053140948964,0.019222938418570392,0.040425814428678555,0.009500942791855663,0.0038206359097388027,0.007844954560656035,0.0004746883297245296,0.4404215838779515
6.1000000000000005,0.026829335952115205,0.01871809372464362,0.040077978770187844,0.009290021456406164,0.0038077667199590544,0.00758814957290574,0.0004648157042385279,0.43462420319893436
6.15,0.026765304018896704,0.018224653131717356,0.039729725930833765,0.009080179118686296,0.0037972166826903036,0.007340073836700584,0.0004549376885725727,0.428932394290495
6.2,0.026700961599663946,0.01774248897118829,0.03938115044528182,0.00887163119162001,0.0037886966748862695,0.007100424560572373,0.00044506824945794753,0.42334277922944796
6.25,0.026636312954974622,0.017271470129734616,0.03903234550403836,0.008664579977069086,0.003781938625480819,0.006868909410276045,0.0004352206160170284,0.41785214741491417
