Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(5),J_total_Br
2.8000000000000003,0.024302836082193503,0.07013544117991494,0.03967585287968338,0.04531302978208983,0.08388426644904849,0.08571691096576277,0.015494787727048136,0.007176531874318239,0.04860567216438701,0.14027088235982987,0.27187817869253894,0.07935170575936676,0.5033055986942909,0.030989575454096273,0.8571691096576277,0.0358826593715912,1.9674533821537288
2.85,0.02428509969472279,0.06949408215527413,0.0376145308828936,0.045272189390470646,0.08167854511136216,0.08460931085949765,0.014641579851650906,0.007154524824771315,0.04857019938944558,0.13898816431054825,0.2716331363428239,0.0752290617657872,0.49007127066817296,0.029283159703301812,0.8460931085949764,0.035772624123856574,1.9356407248989127
2.9000000000000004,0.02426706715511976,0.06884818191849205,0.03566733543705778,0.04522954606325328,0.07948160728776968,0.08348625602075162,0.013810724732508148,0.007122669419413735,0.04853413431023952,0.1376963638369841,0.2713772763795197,0.07133467087411556,0.4768896437266181,0.027621449465016296,0.8348625602075161,0.035613347097068676,1.9039294458970781
2.95,0.02424873938615886,0.06819801359226972,0.03383124681898221,0.04518506645825002,0.07729650693377779,0.08234929147048883,0.013005095263906691,0.007080246377309004,0.04849747877231772,0.13639602718453944,0.2711103987495001,0.06766249363796442,0.46377904160266675,0.026010190527813382,0.8234929147048884,0.035401231886545016,1.8723497770662354
3.0,0.024230117325147064,0.06754384876322247,0.03210307514528251,0.045138718207398856,0.0751261580530803,0.08119994936411362,0.012227029794845514,0.007026911129541311,0.04846023465029413,0.13508769752644495,0.27083230924439317,0.06420615029056502,0.4507569483184818,0.02445405958969103,0.8119994936411362,0.03513455564770655,1.8409314489087127
3.0500000000000003,0.024211201923810197,0.06688595730509246,0.03047948551069698,0.045090469951523604,0.0729733292059787,0.08003974307233744,0.011478374805475762,0.006962621847833288,0.04842240384762039,0.13377191461018492,0.2705428197091416,0.06095897102139396,0.43783997523587215,0.022956749610951524,0.8003974307233743,0.034813109239166445,1.8097033739977053
3.1,0.02419199414817968,0.06622460720924754,0.028957022001438425,0.04504029137335984,0.07084063920166432,0.07887016181218622,0.010760528529948821,0.006887577985689596,0.04838398829635936,0.13244921441849508,0.270241748240159,0.05791404400287685,0.4250438352099859,0.021521057059897642,0.7887016181218621,0.03443788992844798,1.7786933952780837
3.1500000000000004,0.02417249497847961,0.06556006442221379,0.027532130527672057,0.044988153228832546,0.06873055391305864,0.07769266582123723,0.010074484446598394,0.006802168006391116,0.04834498995695922,0.13112012884442759,0.2699289193729953,0.055064261055344114,0.4123833234783518,0.020148968893196787,0.7769266582123723,0.03401084003195558,1.7479280898456029
3.2,0.024152705409013913,0.0648925926899903,0.02620118043231194,0.04493402737657324,0.06664538414863631,0.07650868206344558,0.009420873813596147,0.006706925121068732,0.048305410818027826,0.1297851853799806,0.26960416425943945,0.05240236086462388,0.3998723048918179,0.018841747627192294,0.7650868206344558,0.03353462560534366,1.7174326200808814
3.25,0.024132626448053553,0.06422245340890077,0.024960484845590356,0.0448778868056666,0.06458728451249661,0.07531960045089138,0.00880000663954687,0.006602489994878879,0.04826525289610711,0.12844490681780155,0.2692673208339996,0.04992096969118071,0.38752370707497963,0.01760001327909374,0.7531960045089138,0.0330124499743944,1.6872306250764706
3.3000000000000003,0.024112259117723477,0.06354990548274703,0.023806319766249664,0.044819705661618914,0.06255825318181965,0.07412677056241852,0.008211910650899462,0.0064895795006452515,0.048224518235446955,0.12709981096549405,0.2689182339697135,0.04761263953249933,0.3753495190909179,0.016423821301798924,0.7412677056241852,0.032447897503226256,1.657344146223282
3.35,0.02409160445388927,0.06287520518604187,0.022734941860714914,0.044759459270542895,0.060560132529651,0.07293149883740402,0.007656367957630344,0.006368960708096051,0.04818320890777854,0.12575041037208373,0.26855675562325737,0.04546988372142983,0.363360795177906,0.015312735915260688,0.7293149883740402,0.031844803540480256,1.6277935816322369
