Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(1),J_total_scandium
2.35,0.040158685039236974,0.05032471284925897,0.017104177190839686,0.0793528005421972,0.03930511402893033,0.050535260760571986,0.001572167942775273,0.08031737007847395,0.10064942569851794,0.47611680325318323,0.03420835438167937,0.235830684173582,0.003144335885550546,0.050535260760571986,0.980802234231559
2.4000000000000004,0.04008843364884463,0.04952013752877375,0.016168769916922437,0.07897819103754476,0.03596189473271858,0.047609023253434725,0.0014720431068373915,0.08017686729768926,0.0990402750575475,0.47386914622526854,0.032337539833844874,0.2157713683963115,0.002944086213674783,0.047609023253434725,0.9517483062777713
2.45,0.040016877072412346,0.04871060599048507,0.015407192524629217,0.07858911377333182,0.03288271285278517,0.044856166365821966,0.0013944038780964337,0.08003375414482469,0.09742121198097015,0.4715346826399909,0.030814385049258434,0.19729627711671102,0.0027888077561928674,0.044856166365821966,0.9247452850537701
2.5,0.03994402575022639,0.04789677647348416,0.014794861843458988,0.07818566604027588,0.03005294690387216,0.042266717091019604,0.001335237911569065,0.07988805150045278,0.09579355294696831,0.4691139962416553,0.029589723686917976,0.18031768142323296,0.00267047582313813,0.042266717091019604,0.8996401987133851
2.5500000000000003,0.039869890293750675,0.047079307764496724,0.014309620529589107,0.07776797212103367,0.027458032251647967,0.03983117882556767,0.001291084383696649,0.07973978058750135,0.09415861552899345,0.46660783272620204,0.028619241059178215,0.16474819350988779,0.002582168767393298,0.03983117882556767,0.8762870110047237
2.6,0.03979448148173533,0.046258857951136156,0.013931597073170326,0.07733618249042179,0.025083589589551036,0.03754052870503537,0.001258973996636319,0.07958896296347066,0.09251771590227231,0.46401709494253074,0.027863194146340652,0.15050153753730622,0.002517947993272638,0.03754052870503537,0.8545469821902285
2.6500000000000004,0.03971781025612888,0.04543608316335792,0.013643059275434886,0.07689047294403056,0.022915531232338415,0.03538621023263144,0.0012363730953748441,0.07943562051225776,0.09087216632671584,0.4613428376641834,0.02728611855086977,0.1374931873940305,0.0024727461907496882,0.03538621023263144,0.8342888868714384
2.7,0.03963988771782686,0.044611636311552336,0.013428264698826891,0.07643104366199882,0.020940147453045965,0.03336012234689777,0.0012211322060375082,0.07927977543565372,0.08922327262310467,0.4585862619719929,0.026856529397653782,0.12564088471827578,0.0024422644120750165,0.03336012234689777,0.8153891109056538
2.75,0.03956072512228763,0.04378616582937852,0.013273310963546264,0.07595811821471203,0.019144175039257614,0.031454605861237085,0.0012114390851521732,0.07912145024457526,0.08757233165875704,0.45574870928827216,0.026546621927092527,0.11486505023554569,0.0024228781703043464,0.031454605861237085,0.7977316473857842
2.8000000000000003,0.03948033387504367,0.042960314429048074,0.013165988202569995,0.07547194251715066,0.017514850153847787,0.02966242802890334,0.0012057762157331189,0.07896066775008734,0.08592062885809615,0.4528316551029039,0.02633197640513999,0.10508910092308672,0.0024115524314662377,0.02966242802890334,0.7812080094996837
2.85,0.03939872552713428,0.042134717876323474,0.013095635493671426,0.07497278373854806,0.01603994746673649,0.027976765837916383,0.0012028825814538906,0.07879745105426857,0.08426943575264695,0.44983670243128837,0.026191270987342852,0.09623968480041893,0.0024057651629077813,0.027976765837916383,0.7657170760267898
2.9000000000000004,0.0393159117704831,0.04131000379201489,0.013053002658597393,0.07446092917391921,0.014707807387509724,0.02639118851698347,0.00120171948270777,0.0786318235409662,0.08262000758402978,0.4467655750435152,0.026106005317194786,0.08824684432505835,0.00240343896541554,0.02639118851698347,0.7511648832931633
2.95,0.039231904433241316,0.04048679048624992,0.013030118452456996,0.07393668508389406,0.013507353081875083,0.024899639632090926,0.0012014401184693344,0.07846380886648263,0.08097358097249983,0.44362011050336436,0.02606023690491399,0.0810441184912505,0.002402880236938669,0.024899639632090926,0.737464375607541
3.0,0.039146715475115154,0.03966568583126098,0.013020165855745171,0.0734003755091326,0.012428098804006265,0.023496419070535443,0.001201362638157727,0.07829343095023031,0.07933137166252197,0.44040225305479563,0.026040331711490342,0.07456859282403759,0.002402725276315454,0.023496419070535443,0.7245351245499267
3.0500000000000003,0.03906035698269385,0.03884728617789365,0.013017364922017244,0.07285234106541585,0.01146015092659697,0.02217616514177528,0.0012009463624495925,0.0781207139653877,0.0776945723557873,0.4371140463924951,0.026034729844034488,0.06876090555958182,0.002401892724899185,0.02217616514177528,0.7123030259839609
3.1,0.038972841164792174,0.03803217532049134,0.013016863420616911,0.07229293772529864,0.010594202904389772,0.020933836969971007,0.0011997708768356245,0.07794568232958435,0.07606435064098269,0.4337576263517918,0.026033726841233822,0.06356521742633864,0.002399541753671249,0.020933836969971007,0.7006999823135736
3.1500000000000004,0.038884180347819625,0.03722092351426406,0.013014635340653544,0.07172253559197954,0.009821525267567955,0.019764697309207595,0.0011975177133622939,0.07776836069563925,0.07444184702852812,0.4303352135518772,0.026029270681307087,0.05892915160540773,0.0023950354267245877,0.019764697309207595,0.6896635762986916
