Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(1),J_total_Bi_relativistic
58.0,0.0032892814474499935,0.0007068176124281162,0.0012345882346917897,0.0007485620935271325,0.00016068439524933217,0.0003820456563644146,0.0002557710170296837,4.131254184575183e-05,3.056388834333574e-05,4.140328889666707e-05,0.00010263206481182781,6.915634368001464e-05,1.237426426664156e-05,9.145420816456488e-06,1.725175079477919e-07,1.366994686884695e-07,9.067665162862701e-06,2.061297633783673e-05,1.347743484891228e-05,1.671280056970639e-06,1.20231999824353e-06,1.1276517601220453e-06,1.5375054182018453e-06,7.61754153968161e-07,0.016717257128062133
58.050000000000004,0.003284834344746319,0.0007064076691380322,0.0012306033338573366,0.0007456361295610893,0.00016065489625283278,0.0003808237847265318,0.00025475512328874885,4.106518424418887e-05,3.0370869935597976e-05,4.13995224921799e-05,0.00010230621521361836,6.888096984991249e-05,1.2299536953324149e-05,9.087165154800552e-06,1.711103296040332e-07,1.3555190399408124e-07,9.06702290933557e-06,2.05476737148164e-05,1.3423761556010553e-05,1.6610946889106335e-06,1.1945786298553428e-06,1.1275676964971494e-06,1.5326318051777279e-06,7.587224695494259e-07,0.01667628200767474
58.1,0.0032803921453158033,0.0007059957513538327,0.0012266321758643466,0.0007427222731322011,0.00016062486041749948,0.0003796058072308005,0.00025374338367113123,4.0819445662011814e-05,3.0179171715523464e-05,4.1395638580944877e-05,0.00010198136603611565,6.860671341380487e-05,1.2225302385140059e-05,9.029311152963397e-06,1.6971555030027905e-07,1.3441468637917843e-07,9.066356846566186e-06,2.0482563893248168e-05,1.3370295604706143e-05,1.6509727521071429e-06,1.1868869769711866e-06,1.1274799228873045e-06,1.5277746400408566e-06,7.557010212205072e-07,0.01663543891757539
58.150000000000006,0.0032759548492212773,0.0007055818666564936,0.0012226747134625343,0.0007398204733065476,0.00016059428592514157,0.0003783917140410694,0.0002527357820784232,4.057531468686944e-05,2.998878401725143e-05,4.1391636018775126e-05,0.00010165751518857444,6.833357020447885e-05,1.2151557068834176e-05,8.971855850255711e-06,1.68333052857141e-07,1.3328771608719635e-07,9.065666632912246e-06,2.041764645388174e-05,1.331703605693002e-05,1.6409161310312816e-06,1.1792468603197245e-06,1.1273886884092993e-06,1.5229346488828762e-06,7.526905765275437e-07,0.01659472734299769
58.2,0.003271522456500447,0.0007051660226652965,0.0012187308995437129,0.0007369306793545843,0.00016056317102476118,0.0003771814953149698,0.0002517323024585435,4.033277999197224e-05,2.97996972499086e-05,4.138751368816746e-05,0.00010133466057296715,6.806153606437596e-05,1.2078297537474983e-05,8.91479630912312e-06,1.669627223738718e-07,1.3217089552777682e-07,9.064951931574687e-06,2.0352921140287857e-05,1.3263982273155858e-05,1.6309267337941734e-06,1.171660123230352e-06,1.127294271831665e-06,1.5181119837629483e-06,7.496913304517845e-07,0.016554146771853656
58.25,0.0032670949671659818,0.0007047482270369764,0.0012148006871415906,0.000734052840750473,0.0001605315140316995,0.0003759751412043208,0.000250732928805808,4.0091830335417475e-05,2.961190189699834e-05,4.138327049797817e-05,0.00010101280008414404,6.779060684564983e-05,1.2005520350255124e-05,8.858129614968204e-06,1.6560444616318816e-07,1.3106412921261878e-07,9.064212411864023e-06,2.0288387856358124e-05,1.3211133909183381e-05,1.621006421187043e-06,1.1641285645199957e-06,1.1271969648125434e-06,1.5133061787740443e-06,7.46702801091037e-07,0.016513696693791585
58.300000000000004,0.003262672381205613,0.0007043284874648783,0.001210884029431572,0.0007311869071714161,0.0001604993133267915,0.0003747726418555314,0.00024973764516099904,3.985245455952008e-05,2.942538851579524e-05,4.137890538310205e-05,0.00010069193160999203,6.752077841022304e-05,1.1933222092292227e-05,8.80185287597227e-06,1.6425811365622803e-07,1.299673236601115e-07,9.063447750536942e-06,2.0224046659066664e-05,1.3158490904366157e-05,1.6111569380129958e-06,1.156653873645774e-06,1.1270970546867871e-06,1.5085162671114082e-06,7.437239571719311e-07,0.01647337659978596
58.35,0.003258254698582229,0.0007039068116781233,0.0012069808797305543,0.0007283328284969922,0.00016046656735552877,0.0003735739874099976,0.0002487464356114313,3.96146415901491e-05,2.9240147736744846e-05,4.137441730415451e-05,0.00010037205303159204,6.72520466298429e-05,1.186139937442963e-05,8.745963222916457e-06,1.6292361627994573e-07,1.288803872711247e-07,9.062657633160224e-06,2.01598977466877e-05,1.3106053461623865e-05,1.6013798489274998e-06,1.149237570338949e-06,1.1269948090700508e-06,1.5037410314843146e-06,7.407535530978632e-07,0.0164331859822077
58.400000000000006,0.0032538419192339654,0.0007034832074407823,0.0012030911914967198,0.0007254905548084876,0.00016043327462723062,0.00037237916800449394,0.00024775928429101354,3.93783804360692e-05,2.9056170262868187e-05,4.136980524715682e-05,0.0001000531622233741,6.698440738613558e-05,1.1790048833036743e-05,8.690457809001834e-06,1.6160084731005063e-07,1.278032301791671e-07,9.061841755456647e-06,2.0095941442795784e-05,1.3053822019818078e-05,1.591676480768445e-06,1.1418809506578464e-06,1.1268904640542091e-06,1.4989793169641356e-06,7.377905533489855e-07,0.016393124335141118
58.45,0.003249434043074306,0.0007030576825510596,0.0011992149183293306,0.000722660036388235,0.0001603994337142233,0.00037118817377156246,0.0002467761753803091,3.914366018828804e-05,2.8873446869171732e-05,4.136506822322443e-05,9.973525705327157e-05,6.671785657065954e-05,1.171916712980916e-05,8.63533380966849e-06,1.6028970170331405e-07,1.2673576407887443e-07,9.060999824586594e-06,2.0032178176498665e-05,1.3001797219292439e-05,1.5820478730315399e-06,1.1345850410182173e-06,1.1267842168827876e-06,1.494230317428935e-06,7.348344921619545e-07,0.01635319115463742
