Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_5d3/2(1),J_6s1/2(2),J_total_Ce_relativistic
2.0500000000000003,0.01370272155155436,0.04710084718711545,0.02423676690161754,0.025707101328455436,0.08726486435688954,0.06509506697193787,0.06760762928310189,0.04521965166903581,0.04583054808992683,0.07387466044986113,0.11573371618571475,0.11608076535104511,0.11468225554905719,0.11554295918904016,0.11554295918904016,0.04265661433301381,0.023102624158195428,0.020867424695013428,0.011477709431826522,0.003950892340457074,3.644001642818024
2.1,0.013700332763319247,0.04700500815368412,0.024235952972090455,0.025706058570580326,0.08620934291721226,0.06500870817308237,0.06750398404594059,0.04521589219166261,0.04582648789184277,0.07010998383162433,0.11325590704020452,0.11330334540622382,0.11350477464560427,0.11429953757829484,0.11429953757829484,0.042267427080719205,0.02144719847615761,0.019711657218752232,0.010099278082890874,0.003948038961170448,3.5931579509689664
2.15,0.013697887015943521,0.0469070832966685,0.024235080438032342,0.0257049409156378,0.08514253084377864,0.06491692642469024,0.06739391958038406,0.0452117086005999,0.0458219707824323,0.06650896129910394,0.11072770563853279,0.11048052564303389,0.11226483224520536,0.11299195449655017,0.11299195449655017,0.04175050596830176,0.02012835376575514,0.018833367310130095,0.008937281542059675,0.003947027889121344,3.543392621522336
2.2,0.01369538435222713,0.04680708798672892,0.024234146672208717,0.025703745028216464,0.0840652396514227,0.06481956587543991,0.06727726161459477,0.04520706710267188,0.045816960535685514,0.06307302079098434,0.1081548687499751,0.10761927915438058,0.11096376279955103,0.11162179554897309,0.11162179554897309,0.041104275174501825,0.019096252055166307,0.018183621107841403,0.007963758286370026,0.003941730197643264,3.49442823453555
2.25,0.013692824815953445,0.04670503788776901,0.02423314900355003,0.025702467519366314,0.082978279601854,0.06471647509227672,0.06715384194000457,0.04520193246741039,0.04581141940888173,0.059802782978520555,0.10554326591991141,0.10472662989670663,0.10960319888735577,0.11019095289436165,0.11019095289436165,0.04033165355356505,0.018305362187833376,0.017718762880849268,0.007153642102638487,0.003927761249143529,3.44603412119834
2.3000000000000003,0.013690208451887623,0.04660094895245602,0.024232084718312057,0.02570110494819702,0.08188245872658005,0.06460750738773834,0.06702349879798777,0.0451962680500295,0.04580530816986127,0.05669810495893576,0.10289883949836108,0.1018096049654996,0.10818505252921097,0.10870160381600008,0.10870160381600008,0.03943912369644103,0.017714481347941402,0.017400230582771434,0.00648453676537792,0.003902189482323478,3.398022608578138
2.35,0.013687535305774946,0.046494837417670624,0.02423095106125263,0.025699653823497436,0.08077858186857391,0.06449252113387552,0.06688607724757659,0.045190035819492165,0.04579858612979596,0.05375812629259428,0.10022756594641806,0.09887518925494115,0.10671149462918547,0.10715618749628229,0.10715618749628229,0.0384358980022401,0.017286668843930188,0.01719430446672565,0.005936498819524927,0.0038632742405647815,3.350245082190144
2.4000000000000004,0.013684805424339105,0.04638671979988818,0.02422974523682407,0.025698110605375402,0.07966744974418255,0.06437138006217184,0.06674142951351918,0.04518319639160165,0.045791211181372915,0.050981316862675034,0.09753541871514855,0.0959302828062427,0.10518493292804455,0.10555738041464419,0.10555738041464419,0.037333182925479616,0.016989111037984516,0.017071808269324765,0.005491829736849911,0.003810233151259244,3.302587991352324
2.45,0.013682018855280462,0.04627661289049348,0.024228464410380696,0.025696471706916916,0.07854985802669753,0.06424395354891635,0.06658941531405436,0.045175709067028,0.045783139842281134,0.04836552605784672,0.0948283329518373,0.09298166109294356,0.10360798884090487,0.10390807077086747,0.10390807077086747,0.036143539613159095,0.01679293399897322,0.01700777936958743,0.005134878356722485,0.003743038472966021,3.2549688964095207
2.5,0.013679175647274269,0.046164533751030995,0.02422710570940075,0.025694733495863677,0.07742659645293232,0.06411011688553431,0.06642990216785019,0.04516753187415841,0.04577432730386768,0.045908032803815335,0.0921121722488941,0.09003593843691796,0.10198347353466461,0.10221133231293379,0.10221133231293379,0.03488033693093318,0.016672978203043906,0.016981121488709408,0.004851854228004669,0.0036622410732495368,3.207332634379953
