Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(1),J_total_Mc_relativistic
0.7000000000000001,0.004764485174018536,0.018303694465631556,0.008344367553042497,0.011744431989846893,0.0408831622596548,0.023391393360437177,0.02870496066595819,0.01823779320080416,0.019262007335839673,0.07705384913229468,0.0485418564073084,0.05782082615175079,0.0418028466631959,0.043606704411807244,0.03231714328945768,0.03297705326145099,0.1369257824848884,0.09423946440801344,0.11288696536273775,0.08934430853616834,0.09351997070758906,0.0857780572917005,0.08786582288904801,0.23585494599647128,0.19991731315401148,0.24727587427983552,0.24323997649038245,0.2615625962135286,0.17101834400045124,0.27800718226957855,0.08648224368999849,10.34822774308785
0.75,0.00476443579781673,0.018301741777929453,0.008344367201226903,0.011744431032019397,0.04085871955662097,0.0233913663740344,0.0287048868478343,0.0182377931627566,0.01926200728347512,0.07686377273396301,0.048540781731511086,0.05781823006286984,0.04180283671069392,0.043606691199828226,0.03231714324799115,0.03297705321275798,0.1356846940829802,0.09420877566609187,0.1128121249445452,0.08934234991661155,0.09351728633725348,0.0857777466763767,0.08786542929957533,0.2272297584287578,0.19877750641920996,0.24411140377642848,0.2415324117506687,0.2587936627127066,0.1401841862821842,0.23684348505794,0.06221720798691181,10.121017347869609
0.8,0.004764383017246043,0.01829965468390345,0.008344366787613092,0.01174442986274254,0.04083260821439477,0.023391333441377005,0.02870479678444339,0.01823779310976541,0.019262007210545707,0.07666113126435217,0.04853947224117589,0.05781506936320702,0.04180282287817308,0.043606672841246294,0.032317143182301965,0.03297705313563095,0.13437116910006766,0.09417159403202743,0.11272176264926805,0.0893396547496902,0.09351359724651846,0.0857772673889747,0.08786482317378629,0.21838575916128816,0.1974351975335844,0.24046612369299805,0.23942719429942483,0.2554639951329452,0.1153976139228682,0.2000830357265214,0.04494378190063287,9.913716118202855
0.8500000000000001,0.004764326832483732,0.01829743323586859,0.008344366304703072,0.011744428452991479,0.04080483163255795,0.023391293750205704,0.028704688263811052,0.0182377930374688,0.019262007111050593,0.07644603180429173,0.0485378965588841,0.057811269530883405,0.04180280404841097,0.04360664785630185,0.032317143081205826,0.03297705301694825,0.13298769337503874,0.09412712517687766,0.11261408671242935,0.08933602465721101,0.09350863523149346,0.08577655000457642,0.08786391781031519,0.2093808019330721,0.19587748334559585,0.2363331503310263,0.23689528817398872,0.2515571230816341,0.09597938987496527,0.16778052461421286,0.03281440212213747,9.723067336648217
0.9,0.004764267243718486,0.018295077489501016,0.00834436574451802,0.011744426771886082,0.04077539342573809,0.023391246437389494,0.028704558937321916,0.018237792940616258,0.0192620069777671,0.07621858781681573,0.04853602152562812,0.057806752057213605,0.04180277888295881,0.0436066144731279,0.03231714292954882,0.0329770528389352,0.13153686798836683,0.09407454836364164,0.1124872737753925,0.0893312274319081,0.09350208731568378,0.08577550492281186,0.0878626017186091,0.20027175811156045,0.19409354562759717,0.23171404735350346,0.23391634784314347,0.24707088304010266,0.08118543608597106,0.13979691183550697,0.02441994470856489,9.545891498490857
0.9500000000000001,0.004764204251150418,0.01829258750383532,0.008344365098598823,0.01174442478669415,0.04074429742281089,0.02339119058921067,0.028704406320844554,0.018237792812956802,0.019262006802097376,0.07597891905087319,0.04853381224495751,0.057801434594129814,0.041802745796407824,0.04360657059406836,0.032317142707174694,0.032977052577955634,0.1300214015362797,0.09401302056716519,0.11233948197790816,0.08932499474223148,0.0934935930189485,0.08577401893499711,0.08786073456968792,0.19111396771309466,0.19207487172005763,0.22661871365603686,0.2304792935281936,0.2420167249178035,0.07026190292547942,0.11586445740946949,0.01870646641792185,9.379240254377185
1.0,0.004764137854991068,0.018289963341261765,0.00834436435800666,0.01174442246283485,0.040711547666055704,0.023391125241666467,0.02870422779592073,0.018237792647121127,0.01926200657390672,0.07572715143991278,0.048531232129392365,0.057795231108613274,0.04180270292974766,0.043606513760883085,0.03231714238771267,0.03297705220309421,0.12844410214771487,0.09394168069189096,0.1121688641180571,0.08931702011120159,0.09348274205393076,0.0857719517269896,0.08785814312975258,0.18196073424455697,0.18981542306449137,0.2210650317694368,0.22658240817342698,0.23641843315894365,0.062485531279271624,0.09563876125790105,0.014896119921198612,9.220492734457839
1.05,0.004764068055463399,0.01828720506752332,0.008344363513323608,0.01174441976388232,0.040677148410264596,0.02339104938078717,0.028704020611018382,0.018237792434497694,0.019262006281353723,0.0754634169954626,0.0485282429490351,0.057788052043812946,0.04180264812292193,0.04360644111898829,0.03231714193716973,0.032977051674510975,0.12680786927645155,0.09385965386495218,0.11197358078166648,0.08930695721101409,0.09346907250457416,0.08576913240832132,0.08785461729246695,0.1728628688499256,0.18731175025073585,0.21507830750471796,0.22223302046669638,0.23031045432613323,0.0571908473750299,0.07873802732169943,0.012420225271429776,9.067407286848718
1.1,0.004763994852801796,0.018284312751712568,0.008344362554653281,0.011744416651569492,0.04064110412180513,0.023390961942970585,0.02870378188284758,0.018237792165102948,0.019262005910712435,0.0751878536958314,0.04852480488230833,0.057779804486518524,0.04180257888668936,0.043606349380885236,0.03231714131231156,0.03297705094155014,0.12511568530138362,0.09376605578193457,0.11175181334512271,0.0892944185105149,0.09345206953367424,0.08576535616279311,0.08784990632887915,0.16386828806515016,0.18456305461487735,0.20869053635706644,0.2174468545317251,0.22373600562569695,0.053786348923128224,0.0647711764314807,0.010866007733087258,8.918139228561666
1.1500000000000001,0.004763918247252064,0.018281286466268417,0.008344361471621514,0.011744413085792082,0.04060341947763731,0.023390861815332734,0.02870350859773879,0.018237791827445723,0.01926200544618666,0.07490060537006302,0.048520876568744015,0.057770392340642934,0.04180249237390187,0.04360623478893394,0.03231714045881665,0.0329770499405853,0.12337060696830174,0.09365999708260006,0.11150177675817312,0.08927897430759016,0.0934311646580761,0.08576038111682487,0.08784371547246797,0.15502166828883457,0.1815711977324298,0.20193953488440397,0.21224713225141995,0.21674511036322394,0.05176201510886654,0.05335692233460561,0.009935717801182683,8.77123360167153
1.2000000000000002,0.004763838239071427,0.018278126286972694,0.008344360253377064,0.011744409024612792,0.04056409936428489,0.02339074783607465,0.028703197613082602,0.018237791408386012,0.01926200486971666,0.07460182157728121,0.04851641516374581,0.057759716506358465,0.04180238535031343,0.04360609307763167,0.03231713930918883,0.032977048592584324,0.12157575670678279,0.09354058773397685,0.11122173201675863,0.08926015217302294,0.09340573562128276,0.08575392551949765,0.08783570295090293,0.14636415889416032,0.17834066132456733,0.1948679760295528,0.20666351133697441,0.2093926737838801,0.050690359510324495,0.04413590242016378,0.009415941305881515,8.62560054319878
1.25,0.004763754828528525,0.018274832292946554,0.008344358888592352,0.011744404424265682,0.04052314887676143,0.02339061879486512,0.028702845658830196,0.018237790892988208,0.019262004160778386,0.07429165748156688,0.04851137639524405,0.05774767506452045,0.04180225416503572,0.0436059194355586,0.03231713778041397,0.032977046800377934,0.11973431385584493,0.09340694139846943,0.11090999824009365,0.08923743682655727,0.09337510688405525,0.08574566532259469,0.08782547756620145,0.13793315476615725,0.1748784611084267,0.1875223664054726,0.2007309339547895,0.20173668094261166,0.05022297160575891,0.03677769098149083,0.009154868271219524,8.480479535439448
1.3,0.004763668015903411,0.01827140456664674,0.008344357365464234,0.011744399239160751,0.04048057331745144,0.023390473433239214,0.02870244933905369,0.018237790264368954,0.019262003296175507,0.07397027372251462,0.04850571462216026,0.05773416346600317,0.04180209472075822,0.0436057084671549,0.032317135771347746,0.03297704444561703,0.11784950583191803,0.09325817976502537,0.1105649642710499,0.08921027045988353,0.09333855074423607,0.08573523224038358,0.08781259691162298,0.1297621279714369,0.17119401895894346,0.17995200120608823,0.19448844934994725,0.193836569999963,0.05008415188261569,0.03098417986832133,0.00904558842358057,8.335397510305603
1.35,0.004763577801487551,0.018267843193861696,0.008344355671714805,0.0117443934218887,0.04043637819494699,0.023390310445012472,0.028702005133565474,0.018237789503539756,0.019262002249824373,0.07363783628161996,0.04849938289459568,0.057719074725564375,0.041801902443851596,0.04360545415449459,0.032317133159822035,0.03297704138540518,0.11592459927240625,0.09309343682190813,0.11018509972434047,0.08917805351511665,0.09329528908767891,0.08572221235782623,0.08779656629754444,0.12188051727477046,0.16729899840041357,0.17220792896162704,0.18797806134515962,0.1857518109785051,0.050062898555119674,0.026490474426238655,0.009013865131706978,8.190124592091015
