Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Cs_relativistic
1.3,0.014610846776912333,0.0513676922003984,0.025899455013135293,0.027298626780378896,0.10732813441692556,0.0709678656461837,0.07356260476202946,0.048855293477212305,0.04945510782968935,0.14638830291032,0.15498346646786812,0.1590307080328037,0.13962682314529778,0.14117729877937818,0.04927146301591871,0.08528146599472193,0.07345604693065376,0.005651019150518468,4.648963256203196
1.35,0.0146090142374029,0.05129171255473047,0.025899154610405525,0.027298251182043966,0.10636060663509526,0.07093101662417442,0.07351877954984405,0.048854484076806294,0.049454237342269135,0.13998651327535994,0.1531591542169407,0.15692029065149427,0.13900144514817708,0.14050834178065888,0.04699375682394594,0.07360122939397143,0.06281773845121587,0.0047268771382646185,4.543810624858211
1.4000000000000001,0.014607112883328433,0.05121299727164965,0.02589881939198605,0.027297832097466668,0.10536637440707772,0.07089016888442602,0.07347022615481477,0.04885351946236773,0.04945320011865972,0.1336726702114797,0.15120619321965767,0.1546682724455009,0.13829715300532294,0.1397561050545002,0.04550933063452994,0.06342123466641074,0.053719324004033515,0.004052755205609573,4.448103698063687
1.4500000000000002,0.014605142752145766,0.051131560698392496,0.02589844682068062,0.027297366366281405,0.10434642017836454,0.07084508051486453,0.07341666363224651,0.04885237780068775,0.04945197275586423,0.12746583522809427,0.1491266117427204,0.15227811244869432,0.13751040019041788,0.13891706887121874,0.04461489593897533,0.05462943885262675,0.04601450747300276,0.0035742444450536683,4.360593071306605
1.5,0.014603103882658511,0.05104741765618537,0.025898034279853117,0.02729685073046279,0.1033017439470872,0.07079550875112134,0.07335781081667428,0.04885103530780978,0.04945052977095465,0.12138358173634843,0.14692331331325256,0.14975427295741484,0.1366381825122519,0.1379883086904253,0.044135936865623004,0.047106672853736695,0.03955639848275661,0.0032457926513351472,4.2800876532208285
1.55,0.014600996315015442,0.05096058343528736,0.02589757907475002,0.027296281836100836,0.10223336162464823,0.07074121064993111,0.07329338715302651,0.048849466190297515,0.049448843540441656,0.11544194914791855,0.14460003674096794,0.14710215745438124,0.13567807869649154,0.13696753425660357,0.043925796393237834,0.040731028959712756,0.034201415643389646,0.003029828285265177,4.205476327645224
1.6,0.014598820090708793,0.05087107378988624,0.025897078433860455,0.02729565623522571,0.10114230338742472,0.07068194375875281,0.07322311352034751,0.04884764259348304,0.04944688424731222,0.10965541255209327,0.14216130772753316,0.14432803929754207,0.13462827998527166,0.1358531166753109,0.04386402412597588,0.0353813501450878,0.02981216732057727,0.0028957944891295708,4.135742023857303
1.6500000000000001,0.014596575252572524,0.05077890493285006,0.02589652951031301,0.02729497038768078,0.10002961202337243,0.07061746677960885,0.0731467130454803,0.04884553455713419,0.04944461983619819,0.10403686733678263,0.13961238321184646,0.1414389827864224,0.1334876088032001,0.13464410365678225,0.0438542280339552,0.0309399192846723,0.026259472636374088,0.002819187566739744,4.0699696301217365
1.7000000000000002,0.014594261844780524,0.050684093530337086,0.02589592938330838,0.027294220663042768,0.09889634127731442,0.07054754022518635,0.07306391190418887,0.04884310997893339,0.04944201597708716,0.09859762797999311,0.13695918963517997,0.1384427582263328,0.13225552681375938,0.13334022340314022,0.04382163055394146,0.027294454008455916,0.023423675606583108,0.0027806518179895588,4.0073490377477095
1.75,0.014591879912844751,0.05058665669626693,0.02589527505958703,0.027293403342587574,0.09774355419864227,0.07047192706530038,0.0729744401072844,0.048840334586111235,0.04943903603793268,0.09334744012055238,0.13420825632073385,0.13534775258633952,0.1309321329232423,0.13194187785532444,0.04371048946391827,0.02433951240384339,0.021195390556456813,0.002765156323461251,3.9471744385744696
1.8,0.014589429503613327,0.05048661198665568,0.025894563474930833,0.027292514621300615,0.09657232149509147,0.07039039336188162,0.07287803226941544,0.04883717191552801,0.04943564106646479,0.0882945049206677,0.13136664515022126,0.13216287729392856,0.12951815197815938,0.13045012620497862,0.04348150761701556,0.021977409121922045,0.01947580001695206,0.002761263429843467,3.8888408327036394
1.85,0.014586910665268571,0.05038397739381798,0.025893791495697857,0.027291550609930174,0.09538371989617511,0.07030270889071884,0.07277442835828432,0.04883358330244459,0.04943178978144527,0.08344551465802198,0.12844187768804974,0.12889747463191764,0.12801491504651258,0.12886665971586617,0.04310932379629349,0.020118732804361914,0.018176609009105334,0.002760489453005169,3.831838544846463
1.9000000000000001,0.014584323447324977,0.05027877134043897,0.025892955920389257,0.02729050733708248,0.09417883052977284,0.07020864774826112,0.07266337442216235,0.048829527878172026,0.04942743857355407,0.07880569843093978,0.1254418608541096,0.12556122410559412,0.12642433227516797,0.12719376899171153,0.04258014992614358,0.0186825456426355,0.017219743088921366,0.002756753012662024,3.775746402512688
1.9500000000000002,0.014581667900627145,0.05017101267351917,0.025892053481247346,0.027289380751357065,0.09295873731527536,0.07010798894186374,0.07254462329369303,0.04882496257673647,0.04942254151603545,0.07437887682575552,0.12237481218186495,0.12216405003452073,0.12474885937782747,0.12543430487679286,0.041889597562105634,0.017596335352662012,0.016536862371315214,0.0027459038451741057,3.7202241002937857
