Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(3),J_7s1/2(2),J_total_Mt_relativistic
57.95,0.0032851304536046875,0.0004911014962795987,0.0030617903930495183,0.0019271925673456686,0.0002500115827836566,0.0007553737658462411,0.0006975321224935823,0.0002896160997215479,0.000205429860481717,0.00010057670468782141,0.00020384530704102417,0.00021386100271814586,0.00010975214464046988,7.937154512446187e-05,4.744510505563874e-06,3.6336110011630854e-06,3.298256462197478e-05,5.680006511101852e-05,6.0580263820512385e-05,2.9242842021062462e-05,2.0942313550731278e-05,1.0200099860257943e-06,7.661671383934701e-07,7.708332100341779e-06,1.1345719413008102e-05,1.0574011881287101e-05,2.5724656487592615e-06,1.5353854272099019e-06,7.144761223359996e-07,0.03178730962177567
58.0,0.003282654775910227,0.0004903021425811276,0.0030559795899197354,0.0019216463614255732,0.00024874238605141933,0.0007545895119762468,0.0006957690971340356,0.0002881796676709463,0.00020432664812986242,0.00010001162718834044,0.00020371314772977978,0.00021335848464380724,0.00010920957704606148,7.894482145256439e-05,4.7095517827562035e-06,3.6058369285426207e-06,3.2793509124363615e-05,5.677016253054708e-05,6.0441603763087485e-05,2.909849163818113e-05,2.0829734093777577e-05,1.012500274079485e-06,7.603175554781233e-07,7.663932340773971e-06,1.1340136359363166e-05,1.0550133061568573e-05,2.5598112626345446e-06,1.5271457994361057e-06,7.102842326453211e-07,0.031712245530141445
58.050000000000004,0.0032801798138942183,0.0004895099816038205,0.003050178553612545,0.0019161157001731672,0.00024748157790273703,0.0007538035038289448,0.0006940090643190269,0.0002867508776282119,0.0002032297368356889,9.945009009739503e-05,0.00020358016256414243,0.00021285649351203916,0.00010866985121479506,7.852051695314444e-05,4.674871121433968e-06,3.57829071490502e-06,3.260561985473597e-05,5.674001029265297e-05,6.03030557505071e-05,2.8954893377213513e-05,2.0717791431802006e-05,1.005050747243984e-06,7.545165044366266e-07,7.619797575915972e-06,1.1334503472055908e-05,1.0526277338629642e-05,2.547206327158814e-06,1.5189415935033847e-06,7.06118891517001e-07,0.03163742023081549
58.1,0.0032777055704556963,0.0004887249645251958,0.003044387278375923,0.0019106005473918677,0.00024622911427419903,0.000753015756995121,0.0006922520318969659,0.00028532968697150455,0.0002021390889846397,9.889207618164419e-05,0.00020344635502845437,0.00021235503461224954,0.00010813295190235004,7.809861751707447e-05,4.640466153402194e-06,3.550970366903309e-06,3.241889129593956e-05,5.6709609102559245e-05,6.0164621548575346e-05,2.881204324559817e-05,2.0606481862781585e-05,9.976604133925505e-07,7.487630735427494e-07,7.575926558187992e-06,1.1328819967150665e-05,1.0502440592142518e-05,2.53465078153193e-06,1.5107732952468322e-06,7.019791948526289e-07,0.03156283279667802
58.150000000000006,0.0032752320484857947,0.00048794704276624483,0.003038605758392916,0.0019051008669086903,0.00024498495125547474,0.0007522262870364781,0.0006904980075850331,0.00028391605332183495,0.00020105466719218989,9.833756825140878e-05,0.00020331172863340217,0.00021185411317790878,0.00010759886394385275,7.767910911685773e-05,4.606334531921592e-06,3.5238739096818865e-06,3.2233317942503727e-05,5.6678959678432996e-05,6.002630290564212e-05,2.8669937264006288e-05,2.049580169479254e-05,9.903282915235141e-07,7.430563609837699e-07,7.532318266354564e-06,1.1323085049959191e-05,1.0478618661195685e-05,2.5221451586820247e-06,1.5026418894902873e-06,6.978640782955733e-07,0.03148848230817944
58.2,0.0032727592508677568,0.00048717616799059016,0.0030328339877820913,0.0018996166225747546,0.0002437490450894984,0.0007514351094850308,0.0006887469989700918,0.00028250993454170494,0.00019997643430244647,9.778654916101574e-05,0.00020317628691536937,0.000211353734386851,0.00010706757225352222,7.726197780619299e-05,4.572473931502994e-06,3.4969993866955778e-06,3.204889430079126e-05,5.664806275113155e-05,5.9888101552583617e-05,2.8528571466794806e-05,2.038574724664549e-05,9.830534254696297e-07,7.373954888342323e-07,7.488971899209705e-06,1.1317297941851394e-05,1.045480747384805e-05,2.5096903822079973e-06,1.4945485306726976e-06,6.937725659917489e-07,0.031414367852779894
58.25,0.003270287180476937,0.00048641229210364214,0.0030270719605979745,0.0018941477782657722,0.00024252135217264165,0.000750642239842511,0.0006869990135095954,0.0002811112887337517,0.00019890435338675434,9.723900180913387e-05,0.00020304003343579692,0.00021085390336157456,0.0001065390618243155,7.684720971954017e-05,4.538882047703807e-06,3.47034485953048e-06,3.186561488914708e-05,5.6616919063952135e-05,5.975001920279642e-05,2.8387941902651535e-05,2.027631484882359e-05,9.758348969473295e-07,7.317796163559705e-07,7.445886862904091e-06,1.1311457907040536e-05,1.0431003173680032e-05,2.497287568524166e-06,1.4864942515883106e-06,6.897039973182797e-07,0.031340488524449116
58.300000000000004,0.003267815840180807,0.0004856553672517575,0.003021319670831493,0.0018886942978825398,0.00024130182905487713,0.0007498476935797839,0.0006852540585324925,0.00027972007423940077,0.00019783838774231177,9.669490913910313e-05,0.00020290297178055176,0.00021035462516954325,0.00010601331772757434,7.64347910716882e-05,4.505556596926543e-06,3.443908407726684e-06,3.168347423804438e-05,5.658552937238497e-05,5.961205755220851e-05,2.8248044635414083e-05,2.016750084469693e-05,9.686718375763135e-07,7.262079522502152e-07,7.403062752283324e-06,1.1305564278568718e-05,1.0407202239827479e-05,2.4849378812016394e-06,1.4784797957373426e-06,6.856581740708921e-07,0.031266843423534495
58.35,0.003265345232838964,0.00048490534582139826,0.003015577112410418,0.0018832561453514258,0.00024009043243993273,0.0007490514861362745,0.0006835121412401293,0.0002783362496375261,0.000196778500890794,9.615425413925683e-05,0.00020276510555930364,0.0002098559048234878,0.00010549032511267267,7.602470815732453e-05,4.472495316219377e-06,3.417688128602808e-06,3.150246689022795e-05,5.6553894443869955e-05,5.947421827930946e-05,2.81088757450385e-05,2.0059301591977594e-05,9.615634395329848e-07,7.206797655217843e-07,7.36049932678079e-06,1.1299616482731305e-05,1.038340159719462e-05,2.4726424630933945e-06,1.4705055943665225e-06,6.816353945301664e-07,0.03119343165707808
58.400000000000006,0.0032628753613031317,0.0004841621804382899,0.003009844279199798,0.0018778332846248462,0.000238887119185434,0.0007482536329194031,0.000681773268707147,0.00027695977374311506,0.0001957246565769831,9.561701984323589e-05,0.0002026264384049093,0.00020935774728170672,0.00010497006920666391,7.561694735060587e-05,4.439695963078654e-06,3.3916821370822918e-06,3.1322587400854414e-05,5.6522015057556695e-05,5.933650304520169e-05,2.797043132868897e-05,1.9951713464372596e-05,9.54508964542811e-07,7.151943946579125e-07,7.318196481566917e-06,1.1293614061212543e-05,1.0359598713823705e-05,2.4604024470288735e-06,1.4625718528470915e-06,6.776363708411229e-07,0.03112025233945532
58.45,0.00326040622841717,0.0004834258239665821,0.0030041211650024013,0.001872425679681747,0.00023769184630303964,0.0007474541493040324,0.0006800374478823783,0.000275590605605943,0.00019467681876740814,9.508318933029744e-05,0.000202486973972805,0.0002088601574483682,0.00010445253531393018,7.521149510473139e-05,4.4071563152534585e-06,3.365888565521522e-06,3.1143830337629935e-05,5.648989200406817e-05,5.9198913493674514e-05,2.7832707501916753e-05,1.9844732853386468e-05,9.475077509656776e-07,7.097512548739185e-07,7.2761542147942095e-06,1.1287556690258663e-05,1.0335791682743757e-05,2.4482190266362534e-06,1.4546786946112012e-06,6.736620529648621e-07,0.031047304593138907
