Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(2),J_7s1/2(2),J_total_Hs_relativistic
1.5,0.005507136065087788,0.02052977497647893,0.009590864124912581,0.01265141268582303,0.04466401100185512,0.02625142594510918,0.031071723704121562,0.019791601308164052,0.02076047843650983,0.07985769767553937,0.054561124973970816,0.06314184057046944,0.04602006287506003,0.04779344193030355,0.03574650463465211,0.03640120401312121,0.11625069753850631,0.10522164543856796,0.12019068429755138,0.10147257577983168,0.1057669663926953,0.10533484032106569,0.10808066595583808,0.08014978498477665,0.15098375222772903,0.12366827721722795,0.11348418229936838,0.08921049622429819,0.031954499286969286,7.203703613921106
1.55,0.005506989510454015,0.02052403466565939,0.009590859770048253,0.012651399989554125,0.04459445991229845,0.026250992174836965,0.031070731772352856,0.01979159861243693,0.020760474870740897,0.07934169150616836,0.05454423553112639,0.06310710228724169,0.04601932398868817,0.04779249504374646,0.0357464864443259,0.03640118302160656,0.11346530728713133,0.10478119795715954,0.119322041907101,0.10133398912458245,0.10558685667740744,0.10515032355110711,0.10785426625840942,0.07377633502049379,0.14331217053288908,0.11368530587198382,0.10430432229085075,0.08105329213011342,0.029582345217033713,7.062054499574088
1.6,0.0055068381570404145,0.020518108048943415,0.009590854986411861,0.012651386009003915,0.044522748510721945,0.026250514957715756,0.03106964099302189,0.019791595450530764,0.02076047068881697,0.07881246391960776,0.05452572810496118,0.06306910365197492,0.046018461968509144,0.04779139091701765,0.035746463873809774,0.0364011569833948,0.11066576043971338,0.10430604915583294,0.11839224743766287,0.10117660492734785,0.10538294629351203,0.10493979426408456,0.10759740452696444,0.06803748059810083,0.1356875296319829,0.10420435257643601,0.09568253805650426,0.0735180929991464,0.02721675620873119,6.926256464028108
1.6500000000000001,0.005506682005455323,0.020511995309557843,0.009590849746489204,0.012651370660874166,0.044448888194681964,0.02624999154684834,0.031068445199877538,0.01979159176061404,0.020760465809130473,0.07827034591191999,0.05450551223581128,0.06302767325498468,0.04601746155558325,0.04779011019351824,0.03574643607264834,0.03640112492105531,0.10785741323948292,0.10379533998788036,0.11740085742723332,0.10099893137043298,0.10515347052854257,0.10470145397639029,0.10730821575652753,0.0629087552798032,0.1281510864794289,0.09525617332811459,0.08760787493878083,0.06657238684905234,0.024897506876380933,6.796401370213609
1.7000000000000002,0.005506521056326333,0.020505696636428733,0.009590844021918269,0.012651353859333275,0.0443728906890317,0.026249419120843005,0.031067138070133834,0.01979158747502367,0.020760460142400072,0.07771567494311352,0.05448349645999417,0.06298263918591909,0.046016306253689,0.04778863197173028,0.03574640206396836,0.03640108571249232,0.10504551653035576,0.10324831564714777,0.1163476955553873,0.10079947647649885,0.10489668592331418,0.10443359214567172,0.1069849626131691,0.058361422050248635,0.12074115224350614,0.08686210305498918,0.08006651419572655,0.06018402046342669,0.022657075326991013,6.672506366973265
1.75,0.005506355310300279,0.020499212224170428,0.009590837783491624,0.01265133551602655,0.04429476804278007,0.02624879478496198,0.03106571312796777,0.01979158251993282,0.020760453591237234,0.07714879460093425,0.054459588459564265,0.06293382940683813,0.0460149782886211,0.04778693375828898,0.03574636073155303,0.03640103807628887,0.10223520118475066,0.1026643300791987,0.11523285413986444,0.10057675940706462,0.10461088501497338,0.10413460390644902,0.10662605291359796,0.05436328685825078,0.11349275514951754,0.07903474362000938,0.073042316070711,0.05432135598305635,0.020520988646730087,6.554521136537661
1.8,0.005506184768043237,0.020492542273074284,0.009590831001158873,0.012651315540086803,0.04421453262586845,0.02624811557229877,0.03106416374809794,0.019791576815013093,0.02076044604970586,0.07657005426046125,0.0544336952130917,0.06288107212439376,0.04601345857008365,0.047784991424723706,0.03574631080628123,0.03640098055635535,0.09943146437143564,0.10204284982196811,0.1140566936202774,0.10032932184723917,0.10429441090262109,0.10380300582510268,0.106230054458786,0.05087947892218433,0.10643739436293374,0.07177874629409842,0.06651729064663052,0.048953397314212964,0.018508379742689884,6.442335667494263
1.85,0.005506009430240518,0.02048568698909708,0.009590823644029182,0.012651293838145245,0.04413219712586655,0.026247378444983763,0.03106248315944178,0.019791570273091322,0.020760437402875462,0.07597980873997529,0.05440572314720103,0.06282419616027628,0.04601172665638651,0.047782779168128474,0.035746250851962695,0.03640091150592118,0.09663915670468007,0.10138345716624778,0.11281984009430773,0.1000557393413398,0.10394567145486602,0.1034374495369998,0.10579570716875847,0.04787318752561941,0.09960287959921255,0.06509165301356093,0.060472007362028554,0.04404989390601285,0.01663265801484438,6.335788240356767
1.9000000000000001,0.005505829297596658,0.020478646583849115,0.009590815680373878,0.012651270314342654,0.044047774544588685,0.026246580295417602,0.03106066444884907,0.01979156279980146,0.020760427526368423,0.07537841795357005,0.054375578288607326,0.06276303131910488,0.04600976072214195,0.04778026947600644,0.0357461792506051,0.03640082907091412,0.09386297030995117,0.10068585263136004,0.11152318098735729,0.09975463244847195,0.10356315298983741,0.10303673318905932,0.10532193253023925,0.045306347249278914,0.09301324971072404,0.058964765696632344,0.05488595203395135,0.03958142694375075,0.0149022268719599,6.234673383205155
1.9500000000000002,0.005505644370835415,0.02047142127458195,0.009590807077629113,0.012651244870340861,0.04396127819463179,0.02624571794753168,0.03105870056490935,0.019791554293231903,0.020760416285901886,0.07476624656097698,0.054343166416387964,0.06269740875295444,0.046007537529147144,0.047777433095515826,0.03574609418715454,0.03640073117277765,0.09110742783533399,0.09994985675626065,0.11016785895065312,0.09942467759343442,0.10314543327164602,0.10259981066494335,0.10480784042318607,0.0431402656873122,0.08668876249222822,0.05338401786723936,0.0497378385334129,0.035519481323989195,0.013321203081106842,6.138749611657587
2.0,0.005505454650699764,0.020464011284175878,0.009590797802398602,0.012651217405334517,0.04387272169583651,0.026244788158075204,0.031056584321830828,0.019791544643568647,0.020760403536824814,0.07414366361507459,0.05430839321423009,0.06262716132172742,0.046005032400625964,0.04777423900732646,0.03574599363375562,0.03640061549078271,0.0883768724318137,0.09917541121102512,0.10875526409517533,0.09906461749624902,0.10269119368261534,0.10212579861680189,0.10425273343661441,0.041336189640819226,0.08064594732092421,0.04833082761702108,0.04500588091088475,0.031836505618872545,0.01189010864548232,6.0477468137116475
2.0500000000000003,0.005505260137951885,0.020456416841127027,0.00959078782045643,0.012651187816063149,0.043782118971672765,0.0262437876179282,0.03105430840338836,0.01979153373273467,0.020760389123650774,0.07351104220755232,0.054271164422395775,0.06255212394859792,0.046002219198990474,0.04777065440427753,0.03574587533358253,0.03640047944389518,0.08567545871958336,0.0983625792381825,0.10728702467943786,0.09867327107294646,0.1021992304473897,0.10161398136695916,0.10365610881904708,0.039855807541605164,0.07489771195584817,0.04378291538795352,0.04066803072408027,0.0285059614909088,0.01060651703387465,5.96137317801364
