Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Yb_relativistic
13.15,0.009950536449145115,0.014027337375332414,0.016620474909210103,0.01754076846671644,0.00641171257526392,0.006937416242110905,0.005669418975207037,0.01762518323495714,0.017346936198043148,0.0016946419022924465,0.003622603626399185,0.002987265909140878,0.0026371721042512094,0.002665300831886368,0.0016111357306812248,0.0015170146482093333,0.0003021400859834152,0.0005259692204754604,0.0004121820653019263,1.7940831575284304e-05,0.4480688485590048
13.200000000000001,0.009943647725949181,0.01392467625500954,0.016593501306447142,0.01750559581043289,0.006410279973409672,0.006826953762430785,0.005576812660627594,0.017497579473893934,0.017216253199127153,0.0016839069506399225,0.0035724816944480422,0.0029381105910394347,0.0026347052989585014,0.002661761001856449,0.0015800307807648949,0.0014874704637376835,0.00029855227823507343,0.0005193011834524432,0.00040570579557036216,1.7713372941307747e-05,0.44497663066467186
13.25,0.009936739655657745,0.013822465791027206,0.016566387655191785,0.017470265836760514,0.006408625275021803,0.00671827060045304,0.005486025181898865,0.01737040845764466,0.017086066302787885,0.0016738318866024275,0.0035226667925759847,0.0028894974695167553,0.0026320550229040856,0.002658017122190143,0.0015495434829972245,0.0014585180069960392,0.0002951471437525292,0.0005126479469528519,0.00039928393520042703,1.7497268486890366e-05,0.44191009114396945
13.3,0.009929812306781671,0.013720708105359226,0.016539134821438994,0.01743477995719205,0.006406735738995952,0.006611351040158228,0.005397034159093446,0.01724367828974272,0.016956383331396183,0.0016643896466085216,0.0034731710634178245,0.002841432609826534,0.0026292187814635636,0.002654068220549445,0.0015196614346463173,0.0014301452850173212,0.00029191835975963534,0.0005060120612598156,0.0003929180141926935,1.729213163510204e-05,0.4388689927115469
13.350000000000001,0.009922865747939848,0.013619405259949433,0.01651174368124799,0.0173991395937535,0.006404599241391636,0.006506179206501881,0.005309817179023863,0.017117396876445534,0.016827211896725237,0.0016555537443024612,0.0034240061453295963,0.0027939215742671998,0.0026261944299330506,0.0026499136281725086,0.0014903724797933392,0.0014023405462772098,0.00028885971329355945,0.0004993959966258292,0.0003866094787071039,1.709758252397177e-05,0.43585310101882035
13.4,0.009915900047857825,0.013518559257070477,0.016484215120578866,0.017363346178742706,0.006402204262617624,0.006402739075089362,0.005224351805232768,0.016991571927872984,0.016698559401488056,0.001647298271320652,0.0033751831790504376,0.002746969434956974,0.0026229801578884415,0.002645552965048004,0.0014616647046192604,0.0013750922757046103,0.0002859651028615034,0.0004928021435195016,0.0003803596927390823,1.6913248199790746e-05,0.432862184562928
13.450000000000001,0.009908915275366435,0.013418172039688113,0.016456550035128702,0.01732740115446821,0.006399539874658749,0.006301014481671949,0.005140615587716152,0.01686621095920693,0.016570433040932822,0.0016395978974036653,0.0033267128146584487,0.0027005807866075696,0.0026195744740357117,0.0026409861255843343,0.0014335264327905498,0.0013483891901789086,0.0002832285398754663,0.00048623281297658624,0.0003741699398266249,1.6738762720840043e-05,0.4298960146028414
13.5,0.009901911499400427,0.013318245491830857,0.016428749330167275,0.017291305972988436,0.0063965957283517744,0.006200989131463555,0.005058586072381613,0.01674132129194932,0.0164428398044936,0.0016324278698769863,0.003278605218795122,0.002654759759278965,0.002615976191541262,0.0026362132647616216,0.0014059462208993948,0.0013222202341830781,0.0002806441498751691,0.0004796902370481526,0.0003680414247835277,1.6573767120671885e-05,0.42695436507976164
13.55,0.009894888788997093,0.013218781438964794,0.016400813920372317,0.017255062095851308,0.006393362040717568,0.006102646608277551,0.00497824081024374,0.016616910055236512,0.01631578647749375,0.001625764012532741,0.003230870082133983,0.002609510031098702,0.00261218441383138,0.0026312347847544967,0.0013789128539748762,0.0012965745751041527,0.00027820617354896803,0.00047317656933895945,0.0003619752754539068,1.6417909363194228e-05,0.4240370125384243
13.600000000000001,0.009887847213294904,0.013119781648373498,0.016372744729664445,0.017218670993834274,0.006389829582356561,0.0060059703834834865,0.0048995573663589784,0.0164929841872075,0.016189279642899644,0.0016195827239437464,0.003183516627070266,0.0025648348409303134,0.00260819852084999,0.0026260513220138894,0.001352415341096904,0.0012714415988760966,0.000275908967562326,0.0004666938856295348,0.00035597254448372213,1.627084436695496e-05,0.4211437360543458
13.65,0.00988078684153214,0.013021247829542835,0.01634454269104174,0.017182134146684885,0.006385989664914143,0.005910943824783459,0.004822513328502297,0.016369550436423717,0.016063325683122152,0.001613860975240311,0.0031365536156093984,0.0025207370009763747,0.0026040181557639578,0.002620663734796157,0.0013264429110917426,0.0012468109061116344,0.00027374700520316924,0.00046024418457599534,0.00035003421110579543,1.6132233998366176e-05,0.4182743171675529
13.700000000000001,0.009873707743045515,0.012923181634550559,0.016316208746414068,0.017145453042861917,0.006381834128622334,0.005817550204808158,0.0047470863155882155,0.01624661536333813,0.015937930781863514,0.001608576307379314,0.003089989357433151,0.002477218909302709,0.0025996432121053225,0.0026150730911280538,0.001300985008299139,0.001222672307842842,0.0002717148768532343,0.00045382938848209837,0.0003441611829353677,1.6001747059972977e-05,0.41542853981646766
13.75,0.00986660998726882,0.012825584658460567,0.016287743846437136,0.01710862917927715,0.006377355329923811,0.005725772709532727,0.00467325398583884,0.016124185341811495,0.015813100926007274,0.0016037068279341946,0.003043831718123295,0.002434282562271191,0.0025950738213399408,0.0026092806571962036,0.0012760312884218879,0.0011990158210621932,0.0002698072902942825,0.00044745134413825156,0.0003383542977732545,1.5879059377635914e-05,0.41260619027341655
13.8,0.009859493643731551,0.012728458439721634,0.01625914895034636,0.0170716640610378,0.0063725461291840296,0.005635594446512614,0.004600994044701585,0.016002266560673446,0.015688841907548854,0.001599231207433587,0.0029980881275235107,0.00239192956686942,0.0025903103408521496,0.0026032878861499114,0.0012515716144567614,0.0011758316649522213,0.0002680190708578153,0.0004411118237222375,0.00033261432541330954,1.5763853856256433e-05,0.4098070570875688
13.850000000000001,0.009852358782057542,0.012631804460570556,0.016230425025790567,0.017034559201189722,0.006367399878496954,0.0055469984529398705,0.004530284252519492,0.015880865025326384,0.015565159325564636,0.0015951286752754622,0.0029527655882213015,0.002350161152926468,0.0025853533423351835,0.0025970964073063147,0.001227596052684518,0.001153110257131658,0.00026634516142666297,0.0004348125257564319,0.0003269419694507019,1.565582040235117e-05,0.4070309310301216
13.9,0.009845205471963601,0.012535624147439499,0.01620157304866556,0.01699731612046138,0.006361910409589577,0.0054599677035203275,0.004461102431957009,0.015759986559390003,0.015442058588217202,0.001591379015242759,0.0029078706841324897,0.002308978185204629,0.0025802036005772018,0.002590708015747062,0.0012040948686909837,0.0011308422092578456,0.00026478062229653835,0.00042855507611643727,0.0003213378690877611,1.555465588801699e-05,0.4042776050371579
13.950000000000001,0.009838033783258145,0.012439918871367452,0.016172594002947613,0.016959936347008667,0.0063560720218301765,0.0053744851181722775,0.00439342647518427,0.01563963680638438,0.015319544914794618,0.0015879625606456298,0.0028634095891717777,0.0022683811753579277,0.002574862082632932,0.002584124662295875,0.0011810585234486915,0.0011090183231206008,0.0002633206309053694,0.00042234102908643407,0.00031580260093482806,1.546006420464808e-05,0.4015468741582704
14.0,0.009830843785839838,0.012344689948415678,0.016143488880526892,0.01692242141616064,0.00634987947034499,0.005290533569547415,0.004327234350822995,0.015519821231449658,0.015197623337781675,0.0015848601891145736,0.0028193880759937095,0.002228370293748876,0.002569329937371065,0.002577348443866548,0.0011584776694900825,0.0010876295874520062,0.000261960481437953,0.0004161718684570426,0.00031033668080420883,1.5371756228683897e-05,0.3988385355122372
14.05,0.009823635549696227,0.012249938640086956,0.016114258681040897,0.016884772870166178,0.006343327954247697,0.005208095890374787,0.004262504110657112,0.015400545123100224,0.015076298704960892,0.0015820533170678934,0.0027758115247891184,0.0021889453811156276,0.002563608485387679,0.002570381594171096,0.001136343147113954,0.0010666671741349435,0.0002606955843132206,0.0004100490086619079,0.0003049405654955491,1.528944975067416e-05,0.3961523882401684
14.100000000000001,0.00981640914490238,0.01215566615374857,0.016084904411707894,0.016846992257941656,0.0063364131049858975,0.0051271548806287644,0.00419921389611142,0.015281813595011592,0.014955575681541393,0.0015795238938760877,0.0027326849321230168,0.0021501059600824305,0.002557699209276132,0.0025632264747779874,0.0011146459806269256,0.0010461224340301322,0.00025952146556117595,0.00040397379594944423,0.0002996146545707082,1.5212869562189338e-05,0.3934882334579554
14.15,0.009809164641619525,0.012061873643058841,0.016055427087160425,0.01680908113481965,0.006329130974808483,0.0050476933145219855,0.004137341944501508,0.015163631587837928,0.014835458752313544,0.0015772543957449777,0.0026900129198005533,0.0021118512465068337,0.002551603744243986,0.002555885566510541,0.0010933773747160654,0.0010259868937563586,0.00025843376609634524,0.000397947509586164,0.0002943592921158222,1.5141747563618545e-05,0.3908458742175601
14.200000000000001,0.009801902110093694,0.011968562208397104,0.016025827729278914,0.016771041062298743,0.006321478025357582,0.004969693947324417,0.004076866595058346,0.01504600387105843,0.014715952223827485,0.0015752278193385697,0.002647799743748447,0.002074180160657777,0.0025453238690677006,0.002548361461175789,0.0010725287109109804,0.0010062522527612763,0.00025742824089436064,0.0003919713630879412,0.00028917476848818455,1.5075822682009696e-05,0.3882251154717372
14.25,0.009794621620654356,0.011875732897297025,0.015996107367025402,0.01673287360779448,0.0063134511163885345,0.004893139522009756,0.004017766294730934,0.014928935044850787,0.014597060226593695,0.0015734276751618766,0.0026060493029000133,0.0020370913382192633,0.0025388614973759827,0.002540656853614278,0.00105209154404572,0.0009869103793336853,0.0002565007580780727,0.00038604650547558426,0.00028406132204596184,1.5014840769969173e-05,0.3856257640324487
