Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_total_Krypton_relativistic_ready
3.6,0.03722580018388845,0.11846022340146374,0.061938430367511295,0.12387686073502259,0.020763890668586464,0.10889156972573484,0.21778313945146968,0.2729849508460778,0.40947742626911676,0.005365554715086465,0.012497085274801872,0.024994170549603744,1.4142591021883637
3.6500000000000004,0.037198358709428815,0.11717438372545311,0.06184094390273334,0.12368188780546668,0.020384340120056757,0.10539667133176148,0.21079334266352295,0.2687160709697624,0.4030741064546436,0.005128174180617424,0.012241359559795686,0.02448271911959137,1.3901123585428334
3.7,0.037170566368660424,0.11588671467660913,0.061740514956453676,0.12348102991290735,0.020023569525297668,0.10196585428909212,0.20393170857818424,0.2644473238946521,0.39667098584197813,0.004920967671104531,0.01197565100372888,0.02395130200745776,1.366166188726126
3.75,0.03714242426368207,0.11459766437082482,0.06163712403441889,0.12327424806883779,0.019680509326438368,0.09860107316403756,0.19720214632807512,0.2601824083676464,0.3902736125514696,0.004740589749416554,0.011701358074004154,0.023402716148008307,1.3424358744468599
3.8000000000000003,0.03711393350908979,0.11330767270329482,0.06153075341039953,0.12306150682079905,0.019354130756677957,0.09530405575216183,0.19060811150432366,0.2559248767673904,0.3838873151510856,0.004584032736424048,0.01141984543740857,0.02283969087481714,1.3189359254238724
3.85,0.037085095231893725,0.1120171713172259,0.06142138713494032,0.12284277426988063,0.01904344650909351,0.09207630977244187,0.18415261954488374,0.25167813244287446,0.37751719866431166,0.00444859499794341,0.011132431780389354,0.022264863560778708,1.2956800252266574
3.9000000000000004,0.03705591057143216,0.11072658358021407,0.06130901104185429,0.12261802208370857,0.01874751105984739,0.08891913007350916,0.1778382601470183,0.2474454278959062,0.3711681418438593,0.004331851659040365,0.010840380396903155,0.02168076079380631,1.272680991147099
3.95,0.03702638067928298,0.10943632456716353,0.061193612752494374,0.12238722550498875,0.01846542068314116,0.08583360627170666,0.17166721254341333,0.2432298637424392,0.3648447956136588,0.004231627688535043,0.010544892140321168,0.021089784280642336,1.2499507464677873
4.0,0.036996506719172456,0.10814680104878255,0.0610751816778388,0.1221503633556776,0.018196313193943933,0.08282063074505379,0.16564126149010758,0.23903438838873728,0.35855158258310593,0.00414597326465712,0.01024710038436591,0.02049420076873182,1.2275003036201746
4.05,0.03696628986688159,0.1068584114848402,0.06095370901842918,0.12190741803685835,0.01793936745295131,0.07988090691174457,0.15976181382348914,0.23486179835983303,0.35229269753974957,0.004073141310620046,0.009948067681425483,0.019896135362850967,1.2053397568496733
