Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(1),J_total_Au_relativistic
48.0,0.004228567378738219,0.0007990862484931709,0.002016357926261285,0.001404399935333681,0.00017349095253364196,0.0006127713281457611,0.0004720646795441542,0.00010340477892214436,8.215231752511937e-05,4.3920235756265645e-05,0.0001596140759414314,0.0001238017048013729,2.972055164830196e-05,2.3557886062192397e-05,5.180542552687455e-07,4.3159051480603626e-07,8.842683624052448e-06,2.8488552186370537e-05,2.119348888170711e-05,2.7103053220079707e-06,1.997611669120857e-06,5.775992459808786e-07,0.025424846081608506
48.050000000000004,0.004222708993072906,0.000798952009526777,0.0020091494945085418,0.0013984304372276148,0.00017347455052220675,0.0006106910464274423,0.00047007610012148417,0.00010269121244206902,8.155986720765886e-05,4.390526843602747e-05,0.00015908574775526832,0.00012328393242702255,2.9513893683451315e-05,2.3386615768012798e-05,5.13089724911633e-07,4.27359338925742e-07,8.838869199514536e-06,2.8394876052548022e-05,2.110498599437543e-05,2.6913730012919612e-06,1.983057507181774e-06,5.7734180786148e-07,0.025350221448357562
48.1,0.004216856218016494,0.0007988150534208107,0.002001967425331557,0.0013924869708932639,0.00017345904051556477,0.0006086168924457,0.00046809552692715314,0.00010198297473451279,8.09720089520156e-05,4.389081690823166e-05,0.0001585588047187896,0.00012276816672053057,2.9308786990806454e-05,2.3216681373980583e-05,5.081765450815942e-07,4.231727501532335e-07,8.835176923959654e-06,2.8301436834219536e-05,2.101682104366523e-05,2.6726016208021614e-06,1.968633308216165e-06,5.770909330742956e-07,0.025275884599963657
48.150000000000006,0.004211009059560829,0.0007986753676242715,0.0019948116303218355,0.001386569427169162,0.00017344439315151395,0.0006065488615851972,0.00046612293578018616,0.00010128002337739445,8.038870497113327e-05,4.38768695199964e-05,0.00015803324802605992,0.00012225440276198595,2.910521920868782e-05,2.304807185401732e-05,5.033141593969972e-07,4.190302607187921e-07,8.831604187277402e-06,2.8208235735389496e-05,2.0928995186524792e-05,2.6539909056712985e-06,1.9543388596234125e-06,5.768464114591817e-07,0.025201834184545423
48.2,0.0042051675236434525,0.0007985329399619371,0.0019876820212602615,0.001380677697272482,0.0001734305794701274,0.0006044869490647465,0.00046415830246488706,0.00010058231630377218,7.980991780425205e-05,4.386341476925859e-05,0.00015750907880490145,0.00012174263560444818,2.8903178078264948e-05,2.2880776276993198e-05,4.98502017671617e-07,4.149313883023019e-07,8.828148402361774e-06,2.811527394020886e-05,2.084150957941936e-05,2.6355394717605104e-06,1.940172912191718e-06,5.766082079776281e-07,0.0251280688471157
48.25,0.004199331616147742,0.0007983877586300208,0.0019805785101178353,0.0013748116727986541,0.00017341757090964363,0.0006024311499395028,0.00046220160273254077,9.98898117987606e-05,7.923561031398758e-05,4.385044130324681e-05,0.0001569862981176445,0.0001212328602745959,2.870265144267928e-05,2.2714783805886318e-05,4.937395751818819e-07,4.1087565524141434e-07,8.824807005941805e-06,2.8022552567391427e-05,2.0754365278038226e-05,2.61724489139534e-06,1.9261332809104364e-06,5.76376409175901e-07,0.02505458722985151
48.300000000000004,0.004193501342903068,0.0007982398121918668,0.0019735010090564057,0.0013689712457209838,0.00017340533930239029,0.0006003814591031408,0.00046025281230309607,9.920246849647605e-05,7.866574568343749e-05,4.383793791696678e-05,0.00015646490696187345,0.00012072507177336813,2.8503627246174263e-05,2.2550083696949188e-05,4.890262919912682e-07,4.06862587801323e-07,8.821577459878359e-06,2.7930072626865986e-05,2.066756314144455e-05,2.599103828576796e-06,1.9122170234991875e-06,5.761511478371113e-07,0.024981387973110888
48.35,0.004187676709684943,0.0007980890895736814,0.0019664494304293843,0.0013631563083902557,0.00017339385687074145,0.0005983378712900127,0.00045831190686682625,9.852024537700891e-05,7.810028741331434e-05,4.382589355169914e-05,0.00015594490627116717,0.00012021926507659806,2.8306093533232584e-05,2.238666529888226e-05,4.843616323624947e-07,4.0289171553993973e-07,8.818457252834711e-06,2.7837834980917112e-05,2.058110374560818e-05,2.5811122116361693e-06,1.8984206411515707e-06,5.759325363756761e-07,0.02490846971679039
48.400000000000006,0.004181857722215171,0.0007979355800603,0.001959423686782439,0.0013573667535343203,0.0001733830962231079,0.0005963003810772858,0.0004563788620859651,9.78431017634217e-05,7.753919931910396e-05,4.381429729350954e-05,0.00015542629691583302,0.00011971543513563826,2.8110038447720346e-05,2.2224518052014474e-05,4.797450642837699e-07,3.9896257079740055e-07,8.815443902210594e-06,2.7745840311845528e-05,2.0494987310769477e-05,2.5632654133600177e-06,1.8847402525142621e-06,5.75720633605107e-07,0.02483583110165567
48.45,0.004176044386161999,0.0007977792732909913,0.001952423690854186,0.001351602474257679,0.00017337303034996055,0.0005942689828870654,0.0004544536535963253,9.717099731877514e-05,7.698244552825095e-05,4.380313837177104e-05,0.00015490907970363673,0.0001192135768779793,2.7915450232038974e-05,2.2063631487491508e-05,4.751760591296221e-07,3.950746883325268e-07,8.812534956217543e-06,2.7654089097853044e-05,2.040921364636448e-05,2.5455584210525005e-06,1.8711717173993152e-06,5.755154530585805e-07,0.02476347077046157
48.5,0.004170236707140267,0.0007976201592552958,0.0019454493555768502,0.0013458633640410494,0.00017336363261988662,0.0005922436709884942,0.00045253625700889124,9.650389204317917e-05,7.642999047736866e-05,4.3792406157698637e-05,0.00015439325538052539,0.00011871368520785992,2.772231722628409e-05,2.1903995226471242e-05,4.706540914700107e-07,3.912276051213868e-07,8.809727995968223e-06,2.7562581598442835e-05,2.0323782116336334e-05,2.5279859955106066e-06,1.8577107189869843e-06,5.753170018158537e-07,0.02469138736891187
48.550000000000004,0.004164434690711558,0.0007974582282889006,0.0019385005940769264,0.001340149316740924,0.00017335487677567858,0.000590224439499838,0.0004506266479113933,9.584174627087094e-05,7.588179890947562e-05,4.378209016289593e-05,0.00015387882463134588,0.00011821575500687015,2.7530627867412164e-05,2.1745598979327098e-05,4.66178639033984e-07,3.874208603249534e-07,8.80702063745414e-06,2.7471317850147232e-05,2.0238691626615966e-05,2.5105428308856992e-06,1.8443528383649989e-06,5.751253253083296e-07,0.024619579546694494
48.6,0.004158638342384353,0.0007972934710695499,0.0019315773196758221,0.0013344602265891214,0.00017334673693045538,0.0005882112823905519,0.00044872480186986083,9.51845206673186e-05,7.533783587125699e-05,4.3772180037913845e-05,0.0001533657880805578,0.00011771978113454721,2.734037068841469e-05,2.158843254485922e-05,4.617491828263336e-07,3.8365399542434377e-07,8.804410533294299e-06,2.738029767287462e-05,2.015394063542826e-05,2.4932237308930137e-06,1.8310936621468107e-06,5.749405315787102e-07,0.024548045958874595
48.650000000000006,0.004152847667614175,0.0007971258786129896,0.0019246794458904776,0.0013287959881923175,0.0001733391875638161,0.0005862041934833258,0.000446830694430152,9.453217622634994e-05,7.479806671035043e-05,4.376266557082132e-05,0.00015285414629294023,0.00011722575842896318,2.7151534317499657e-05,2.143248580951329e-05,4.5736520738802505e-07,3.799265545137605e-07,8.801895374151635e-06,2.7289520686632437e-05,2.0069527185928437e-05,2.4760238090256316e-06,1.8179289488413824e-06,5.747627787088426e-07,0.024476785267810983
48.7,0.004147062671803748,0.0007969554422689475,0.0019178068864339876,0.0013231564965315783,0.00017333220351802565,0.0005842031664561171,0.00044494430111946645,9.388467426730761e-05,7.426245707265785e-05,4.375353668578796e-05,0.00015234389977429412,0.00011673368170730646,2.6964107477281003e-05,2.1277748746607633e-05,4.5302620118401734e-07,3.7623808473344104e-07,8.799472889733351e-06,2.7198986337861822e-05,1.9985448959554838e-05,2.4589387049846276e-06,1.8048548492847067e-06,5.745922269253361e-07,0.024405796145530123
48.75,0.004141283360303141,0.0007967821537171477,0.0019109595552161934,0.001317541646961871,0.0001733257599942324,0.0005822081948441594,0.00044306559744783396,9.32419764322283e-05,7.373097289968062e-05,4.374478344167847e-05,0.00015183504897213823,0.00011624354576645497,2.677807898397518e-05,2.1124211415567913e-05,4.4873165709571763e-07,3.725881368179833e-07,8.797140849314561e-06,2.7108693934135345e-05,1.9901703347453248e-05,2.4419647938361928e-06,1.7918681453005899e-06,5.74428973856747e-07,0.02433507727625317
48.800000000000004,0.004135509738409922,0.00079660600496336,0.0019041373663442717,0.0013119513352115727,0.00017331983254871742,0.0005802192720419585,0.00044119455890958523,9.260404468304766e-05,7.32035804258798e-05,4.3736396030658926e-05,0.00015132759427640037,0.00011575534538354286,2.6593437746605468e-05,2.0971863961169936e-05,4.444810729901918e-07,3.689762657297891e-07,8.794897061750599e-06,2.7018642685549227e-05,1.981828753643669e-05,2.4250993558152575e-06,1.7789664531852283e-06,5.742729994530677e-07,0.02426462735863624
48.85,0.0041297418113693096,0.0007964269883354825,0.0018973402341233105,0.001306385457381969,0.00017331439708917557,0.0005782363913052689,0.0004393311609848026,9.19708412988301e-05,7.268024617606066e-05,4.3728364776814764e-05,0.0001508215360201033,0.00011526907531652004,2.6410172766213644e-05,2.08206966127902e-05,4.4027395233447346e-07,3.6540203134320895e-07,8.792739374970621e-06,2.692883175080305e-05,1.9735198605233652e-05,2.4083406773549195e-06,1.766148342086756e-06,5.741241428085325e-07,0.024194445107307356
48.900000000000006,0.004123979584374321,0.0007962450964796593,0.00189056807305686,0.0013008439099467361,0.0001733094298710275,0.0005762595457530508,0.00043747537914074836,9.134232887302196e-05,7.216093696278012e-05,4.372068013478038e-05,0.00015031687448004445,0.00011478473030470411,2.6228273135078604e-05,2.067069968366384e-05,4.3610980482115687e-07,3.6186499914254216e-07,8.790665674972134e-06,2.683926028572144e-05,1.965243362628099e-05,2.3916880673424973e-06,1.7534133403539547e-06,5.739821193637007e-07,0.024124529253458746
48.95,0.004118223062565931,0.0007960603223564314,0.001883820797847487,0.0012953265897514231,0.00017330490749376318,0.0005742887283694137,0.0004356271888332773,9.071847031073062e-05,7.16456198837792e-05,4.3713332688380344e-05,0.00014981360987747166,0.00011430230506932624,2.604772803594243e-05,2.052186357015024e-05,4.31988146970991e-07,3.5836474089644623e-07,8.788673884361576e-06,2.674992749184476e-05,1.956998976805729e-05,2.375141791866971e-06,1.7407618361323239e-06,5.738465704470501e-07,0.024054878544512482
