Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_5s1/2(1),J_total_Nb_relativistic
1.1500000000000001,0.040614394835235226,0.1439029317273263,0.07393923797073533,0.15216369856896916,0.299336072241315,0.21667818975658173,0.4427599819010153,0.31071902103219984,0.4696119910925882,0.2599207797950922,0.41923502741769225,0.8340941706947578,0.7232394027307774,0.034250224734732784,4.420465124499019
1.2000000000000002,0.04060584219521843,0.14352789471037522,0.07393677638332574,0.15215813262466127,0.29399501693877667,0.21626490394344053,0.4418444943695018,0.310664294885204,0.46952606295987753,0.23458793652313004,0.39813205389595685,0.7895119440599463,0.6745491173038922,0.031501444927398606,4.270805915720705
1.25,0.04059692824848374,0.14313805528037715,0.0739339943247001,0.15215184275049903,0.2885360589634422,0.21580477972721082,0.44082602019646583,0.31059859000694173,0.4694229302599079,0.211374944539794,0.3768812216719811,0.7448410502143165,0.6283359872857912,0.028714002737904074,4.125156406207815
1.3,0.04058765332335834,0.14273355379658725,0.07393086604687173,0.1521447709318573,0.2829703921721951,0.21529540392975197,0.4396994077542555,0.31052042554724946,0.4693002817654314,0.19026062164392774,0.3556462139960995,0.7004271042957834,0.5845810001361569,0.025963678585760968,3.984061373925287
1.35,0.04057801776134682,0.14231453550494003,0.07392736499277179,0.15213685735579574,0.27730922555064763,0.21473447331546594,0.4384597688071087,0.3104282293100789,0.4691556658038323,0.17119738669611584,0.3345797045529301,0.656587477808788,0.5432436519482651,0.02330868710613209,3.847961046514219
1.4000000000000001,0.040568021917104465,0.1418811504420107,0.07392346382346758,0.15212804047498185,0.2715637462090928,0.21411980867626332,0.4371025093746744,0.31032034407581577,0.4689865004650776,0.15411537608496237,0.31382136084606393,0.6136076947856167,0.5042674275567766,0.020791399808390076,3.717196844540298
1.4500000000000002,0.040557666158409576,0.1414335533361643,0.07391913444610797,0.15211825707328663,0.2657450834582827,0.21344936786937715,0.43562335805924174,0.31019503500922785,0.4687900854956982,0.13892647523048085,0.2934964588280125,0.5717391918772342,0.46758404500110934,0.01844061309127431,3.5920183249339077
1.5,0.04054695086613476,0.14097190350599464,0.07391434804256046,0.15210744233296597,0.2598642741187038,0.21272125774128664,0.43401839169352696,0.31005049805854795,0.4685636157247792,0.12552817444300718,0.2737150522390035,0.5311982816213389,0.43311674690358015,0.016273915736190282,3.472590853027621
1.55,0.04053587643421722,0.14049636475615612,0.07390907509870345,0.15209552990333872,0.2539322292041267,0.21193374488269398,0.4322840581944544,0.3098848692383398,0.468304195848128,0.11380717896326188,0.25457162963468594,0.4921661428686316,0.40078285981011114,0.014299920677557016,3.359003675514406
1.6,0.040524443269628056,0.14000710527069524,0.07390328543433655,0.15208245197087128,0.24795970210674043,0.21108526517123496,0.43041719653689364,0.3096962346784103,0.46800885638097217,0.10364272222160384,0.2361451870232835,0.45478965887911416,0.3704957918016418,0.012520251371475744,3.2512781521169014
