Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(2),J_6s1/2(2),J_total_Hf_relativistic
1.5,0.010514316483323217,0.036956120790288566,0.018313064540219262,0.020143681148039022,0.07700003105113387,0.04859467517766379,0.05170961575557732,0.033558066598986046,0.03425945864685199,0.12210570059643344,0.10670900326622193,0.11315355651030098,0.0901883774464776,0.09210893450690887,0.0900534079504775,0.09156427429883837,0.06564119899963002,0.1382100462301682,0.12379283695935105,0.08340582223120123,0.020101297551228508,5.2163320925260885
1.55,0.010513497274619244,0.036923559851110434,0.018312980599362517,0.02014355614875371,0.07661158404962704,0.04858589856617213,0.05169771816274545,0.03355795586493482,0.034259333351203194,0.11922118214546508,0.10627525321146304,0.11257338938193788,0.09011194922194182,0.09202162255627533,0.08983191610719929,0.09131090566271263,0.059655588615526604,0.12870199738387542,0.11369952020379773,0.0759095842487295,0.017797093560205337,5.111317272338527
1.6,0.01051265130185424,0.03688996468323715,0.01831288821115238,0.02014341858134004,0.07621258008571369,0.048576271910758084,0.05168467528623025,0.03355782640396488,0.034259186889594305,0.11631999109694037,0.10580772296646379,0.11194995630541439,0.09002497589894187,0.0919224009454905,0.08958830948640742,0.09103359641808637,0.05443332160804821,0.11952253733446627,0.1041354062928158,0.0690142659151268,0.015685158444903938,5.0114478974658025
1.6500000000000001,0.010511778574230026,0.03685533847382009,0.01831278683447799,0.02014326764320402,0.07580321703618394,0.04856574615535979,0.051670422175533894,0.033557675830930035,0.03425901657174087,0.11340749493886765,0.10530562530703723,0.111282535863933,0.08992657935617061,0.09181030514277302,0.08932209153334623,0.09073195827847726,0.049918512126066586,0.11070758269478076,0.09512260911337822,0.06267963856521727,0.013770956550463977,4.916693860160589
1.7000000000000002,0.010510879101238154,0.036819684504959545,0.018312675912626825,0.020143102508948664,0.07538369708223355,0.048554271492841715,0.05165489303362568,0.0335575015546099,0.03425881947598381,0.11048895211922806,0.104768276275164,0.11057056180654597,0.08981587258842683,0.09168436546649829,0.08903288158004993,0.09040572766144057,0.046053370005307966,0.10228595060768189,0.08667440618983521,0.05686744712091658,0.01205386488660719,4.826965709372296
1.75,0.010509952892659699,0.03678300615313257,0.018312554873428852,0.020142922330617853,0.07495422654210267,0.048541797431266985,0.05163802131507773,0.03355730076883574,0.034258592439493085,0.10756949794181615,0.10419509890815934,0.10981362621702438,0.08969196538714536,0.09154361365493349,0.08872041245474455,0.09005476123837826,0.04277934598023709,0.09427968167946474,0.07879613035056322,0.051541394963322856,0.010528612622024638,4.7421240066543415
1.8,0.010508999958565022,0.03674530688860501,0.01831242312940459,0.020142726237946693,0.0745150157011687,0.048528272860878074,0.05161973982498321,0.03355707044379787,0.034258332048695904,0.10465413136770459,0.10358562627526904,0.10901148158003364,0.08955397012198922,0.091387089493153,0.08838452694357796,0.0896790304988384,0.040038130025536814,0.08670445752158451,0.07148609711799783,0.04666711129846133,0.009186507568442992,4.661988241401504
1.85,0.010508020309313531,0.03670659027482789,0.018312280077916996,0.02014251333861821,0.07406627863969593,0.04851364612168551,0.05159998081849258,0.03355680731756432,0.03425803462996308,0.10174770275739223,0.10293950382096731,0.10816404176466941,0.08940100755785908,0.09121384742034579,0.08802517331780271,0.08927861555367667,0.03777250372268966,0.07957008691131369,0.06473653656531557,0.0422121069313339,0.008016459748809261,4.5863451647200515
1.9000000000000001,0.010507013955553446,0.03666685996781836,0.018312125101327147,0.0201422827185263,0.07360823305844592,0.04849786507156388,0.05157867610080348,0.03355650788783974,0.034257696240586666,0.09885490258200347,0.10225649101948557,0.10727138195380544,0.0892322126434167,0.0910229630437743,0.08764240012095023,0.08885369837541125,0.035927051083380956,0.07288103746147138,0.05853450478602308,0.038145722346116684,0.00700582002594701,4.5149564511430444
1.9500000000000002,0.010505980908221543,0.036626119715525346,0.018311957567153658,0.02014203344204483,0.0731411001023537,0.048480877154754395,0.0515557571274406,0.0335561684039927,0.03425731266008085,0.09598025112528752,0.10153646235009584,0.10633373755541951,0.08904674020985742,0.090813539489699,0.08723635039087776,0.08840455564898837,0.03444873501721577,0.06663699275972981,0.05286275593975247,0.03443907064970046,0.006141055119907288,4.447565636089774
