Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(3),J_6s1/2(2),J_total_Ta_relativistic
52.050000000000004,0.003579470395979298,0.0008019567866815753,0.0010891911034536122,0.0007236081597847769,0.00018472090807755391,0.00032929935468843945,0.00023363508253131741,3.227273400103186e-05,2.5268711440473654e-05,4.56983916389317e-05,8.308249179050754e-05,5.863625998522341e-05,8.504019363143376e-06,6.623682493888811e-06,7.537377640212016e-08,6.191632846861831e-08,7.915715347518281e-06,1.2162482832816145e-05,8.187200938106006e-06,4.5088513890935274e-07,6.113688888457669e-07,0.016721246417481656
52.1,0.0035736072767027934,0.0008011534761400184,0.001084936346253777,0.0007203463918995344,0.00018460789221390604,0.0003279983837253487,0.0002325571713226329,3.205130709749919e-05,2.508784906868364e-05,4.567569605467881e-05,8.275410444137249e-05,5.8364437748216784e-05,8.445181528097017e-06,6.575878740509515e-06,7.468140781735425e-08,6.133503820641962e-08,7.912001352232985e-06,1.2114511213942163e-05,8.149323655641048e-06,4.477534600744495e-07,6.110809432939899e-07,0.016674661187077153
52.150000000000006,0.003567752251846632,0.0008003478914404338,0.0010806994164635295,0.0007171002345042988,0.00018449396343046413,0.00032670271105212,0.00023148443822528647,3.183153916637826e-05,2.490838944072917e-05,4.5652756699720186e-05,8.242703597015538e-05,5.8093919329683466e-05,8.386787947316329e-06,6.528448670478261e-06,7.399576235055343e-08,6.075946259677756e-08,7.908246856102855e-06,1.2066725329910569e-05,8.111620693075136e-06,4.44639834340298e-07,6.107909224668015e-07,0.016628242737932366
52.2,0.0035619053192090964,0.0007995400508184744,0.0010764802381887754,0.000713869611057489,0.0001843791250706229,0.00032541231699581644,0.0002304168589363885,3.1613416819664827e-05,2.473032089783085e-05,4.562957410219421e-05,8.210128177719357e-05,5.782469872405246e-05,8.328835009546205e-06,6.4813891520822375e-06,7.331665265268835e-08,6.018942297682836e-08,7.90445172963441e-06,1.2019121051507742e-05,8.074086746365133e-06,4.415447820192437e-07,6.104988878969183e-07,0.016581990294781714
52.25,0.0035560664765421296,0.0007987299724914009,0.0010722787358364411,0.0007106544453823327,0.00018426338052363514,0.00032412718192394684,0.0002293544092489491,3.139692678439385e-05,2.4553631884044004e-05,4.560614880905658e-05,8.177683726795038e-05,5.755676994730834e-05,8.271319134316632e-06,6.434697080979975e-06,7.264390664423735e-08,5.962475586827034e-08,7.900615758957975e-06,1.197169464361366e-05,8.036717007157884e-06,4.3846868558550345e-07,6.102046601345653e-07,0.016535903088266076
52.300000000000004,0.003550235721551565,0.0007979176746570889,0.0010680948341136175,0.0007074546616653623,0.00018414673322356083,0.0003228472862448356,0.00022829706505177446,3.11820559015975e-05,2.4378310945304406e-05,4.558248138570571e-05,8.145369785317178e-05,5.729012703700439e-05,8.214236771793479e-06,6.3883693801066796e-06,7.197737134005933e-08,5.906531681458702e-08,7.896738655834129e-06,1.1924442889630507e-05,7.999507321426096e-06,4.3541183310180207e-07,6.099078581954338e-07,0.01648998035607658
52.35,0.0035444130518973577,0.0007971031754930517,0.0010639284580267032,0.0007042701844549135,0.00018402918664822996,0.0003215726104079849,0.00022724480232935894,3.0968791125272964e-05,2.4204346728483274e-05,4.555857241561315e-05,8.11318589490411e-05,5.7024764052277056e-05,8.157584402643077e-06,6.3424029995965086e-06,7.131691592345566e-08,5.851098346910783e-08,7.89282007100836e-06,1.18773631950667e-05,7.962454321598841e-06,4.323745547432733e-07,6.096080006609285e-07,0.016444221344349693
52.400000000000006,0.0035385984651938023,0.0007962864931554782,0.0010597795328805384,0.0007011009386596222,0.0001839107443182194,0.00032030313490442793,0.00022619759716177134,3.0757119521359813e-05,2.4031727980451153e-05,4.553442249995899e-05,8.081131597733116e-05,5.676067507386125e-05,8.10135853790483e-06,6.296794916714677e-06,7.066243395585759e-08,5.796165782131268e-08,7.888859610418582e-06,1.1830453666209737e-05,7.925555527099109e-06,4.293573835479799e-07,6.093046332694358e-07,0.016398625309005724
52.45,0.00353279195900977,0.0007954676457782872,0.0010556479842775484,0.0006979468495469323,0.00018379140979584387,0.0003190388402670772,0.00022515542572453936,3.054702826672743e-05,2.3860443547151243e-05,4.55100322572722e-05,8.049206436555496e-05,5.649785420410748e-05,8.045555718866078e-06,6.251542135792137e-06,7.001384464089795e-08,5.741726747972907e-08,7.884856853642709e-06,1.1783713160818105e-05,7.888809409444037e-06,4.2636117200924974e-07,6.089974414190514e-07,0.016353191516718303
52.5,0.003526993530868926,0.0007946466514721964,0.0010515337381168746,0.0006948078427415987,0.00018367118668416002,0.00031777970707106323,0.00022411826428852754,3.0338504648171575e-05,2.369048237268131e-05,4.54854023230759e-05,8.017409954711375e-05,5.623629556699933e-05,7.990172516932934e-06,6.206641688155071e-06,6.937109309727464e-08,5.68777659641439e-08,7.880811373878777e-06,1.1737141308876777e-05,7.852215419454348e-06,4.2338711866282113e-07,6.086863125815763e-07,0.016307919245291538
52.550000000000004,0.0035212031782499587,0.0007938235283238066,0.0010474367205935116,0.0006916838442241988,0.0001835500786259846,0.0003165257159340675,0.00022308608921981301,3.0131536061420727e-05,2.3521833498384743e-05,4.5460533349537415e-05,7.985741696144317e-05,5.5975993308172075e-05,7.935205533491384e-06,6.162090632041979e-06,6.87341496331246e-08,5.634313199743024e-08,7.876722758681494e-06,1.1690738502652225e-05,7.81577397561355e-06,4.2043668582636345e-07,6.08371329349133e-07,0.01626280778334263
52.6,0.003515420898586806,0.0007929982943947024,0.0010433568581974418,0.0006885747803296471,0.00018342808930292564,0.0003152768475166488,0.00022205887697955695,2.992611001015182e-05,2.335448606195037e-05,4.5435426005123214e-05,7.95420120541572e-05,5.5716941594931535e-05,7.880651399753125e-06,6.117886052501405e-06,6.810300805435179e-08,5.581336782706078e-08,7.872590630639115e-06,1.1644505856504148e-05,7.779486414160031e-06,4.1751141698223485e-07,6.080526952241861e-07,0.01621785642932174
