Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(3),J_total_Ts_relativistic
87.05000000000001,0.0020298964372547244,0.000327953841367549,0.0013838757884995611,0.0005093538034200973,7.169850564965593e-05,0.0003895595141529001,0.000199123299255432,3.889441027680914e-05,2.132150132666964e-05,2.1617730092935347e-05,0.00011467541084056291,6.48913211991401e-05,1.5318238335847434e-05,8.561917739373962e-06,2.822055067035572e-07,1.7972696542350746e-07,6.792590224043261e-06,3.4408637399924704e-05,1.9711094653206942e-05,4.4693567852582605e-06,2.480499720720576e-06,7.79885358406524e-08,4.9315213298049063e-08,1.7855499753341401e-06,8.324656717626499e-06,4.321735046381677e-06,7.140736550664449e-07,3.749664549299304e-07,2.896166644978493e-07,1.0068950788559092e-06,2.7307634093184246e-07,0.012412205720503304
87.10000000000001,0.002028368366080646,0.00032795338143026516,0.0013816797104512302,0.0005080738137453945,7.165342199606891e-05,0.00038902951434454703,0.00019862218574082633,3.874938522465513e-05,2.1233157705914935e-05,2.1591606750464715e-05,0.00011453125150623781,6.472848596350592e-05,1.5260705391167972e-05,8.526154374153071e-06,2.807241860441511e-07,1.7872871939672506e-07,6.7828857431527424e-06,3.436659900301069e-05,1.966167966385381e-05,4.452536712633232e-06,2.4701146263235172e-06,7.759221952742276e-08,4.905364058317267e-08,1.782897347391255e-06,8.314722051142374e-06,4.311075218427639e-06,7.114099222328093e-07,3.7341328696409016e-07,2.891758714771743e-07,1.0057302395027728e-06,2.7241397828582673e-07,0.01239339007516932
87.15,0.0020268411619780193,0.0003279528741438028,0.0013794873545453531,0.0005067972838509557,7.160881504270447e-05,0.00038850003438388686,0.00019812238232722726,3.860495983082651e-05,2.1145213082795947e-05,2.1565718530439504e-05,0.00011438717710871589,6.456606864597265e-05,1.5203411545134427e-05,8.4905536708153e-06,2.7925135600645557e-07,1.7773647244953906e-07,6.773265387620856e-06,3.43245792659241e-05,1.9612390679781306e-05,4.435788687357278e-06,2.4597790322899e-06,7.719854511302722e-08,4.8793980718424176e-08,1.7802615048242071e-06,8.304796460988924e-06,4.300450245629886e-06,7.087536964782292e-07,3.718655693530708e-07,2.887358564178484e-07,1.0045692237566509e-06,2.717544796676395e-07,0.012374615319504954
87.2,0.002025314825186422,0.0003279523168940906,0.0013772987148746284,0.0005055242040839671,7.156468109868244e-05,0.0003879710751169019,0.00019762388576556746,3.846113139796267e-05,2.105766551873392e-05,2.154006379838372e-05,0.00011424318819575536,6.440406827568106e-05,1.514635572030975e-05,8.455114834968675e-06,2.77786964076429e-07,1.767501860027622e-07,6.763728584780283e-06,3.428257839903057e-05,1.9563227559169593e-05,4.419112409830226e-06,2.449492731266053e-06,7.680738907940189e-08,4.853612809965178e-08,1.7776421507922711e-06,8.294878695963261e-06,4.289858475117618e-06,7.061048840134612e-07,3.7032329932558226e-07,2.882963581185175e-07,1.003411516463214e-06,2.7109764801254644e-07,0.012355881323908057
87.25,0.0020237893559432356,0.0003279517070875304,0.0013751137855370682,0.000504254564817769,7.152101649402351e-05,0.0003874426373804135,0.00019712669281256063,3.831789724169769e-05,2.0970513085169133e-05,2.1514640928768362e-05,0.00011409928531138836,6.424248388296061e-05,1.5089536844432978e-05,8.41983707633941e-06,2.763309580855991e-07,1.7576982173881422e-07,6.754274764626693e-06,3.424059661114326e-05,1.9514190160291068e-05,4.40250756357895e-06,2.4392554972656167e-06,7.64186267541712e-08,4.827997610410832e-08,1.7750390459647411e-06,8.28496746997063e-06,4.279298216168299e-06,7.034634227332659e-07,3.687864864670649e-07,2.878571488585416e-07,1.002256525683669e-06,2.704433444224984e-07,0.012337187959142614
87.30000000000001,0.00202226475448365,0.00032795104215088916,0.001372932560636018,0.0005029883564517955,7.147781757955052e-05,0.0003869147220021266,0.00019663080023071055,3.8175254690594155e-05,2.0883753863506352e-05,2.1489448304969977e-05,0.0001139554689959352,6.408131449933736e-05,1.5032953850392945e-05,8.384719608749159e-06,2.748832862081819e-07,1.7479534159934375e-07,6.744903359823581e-06,3.419863410937095e-05,1.9465278340228257e-05,4.385973815222016e-06,2.4290670856043335e-06,7.603213325678175e-08,4.802541790217723e-08,1.772452009064423e-06,8.275061473759603e-06,4.268767754500216e-06,7.008292769932709e-07,3.6725514645310126e-07,2.8741804409635785e-07,1.001103585927345e-06,2.6979143908947936e-07,0.012318535096245413
87.35000000000001,0.0020207410210406718,0.00032795031953119163,0.0013707550342801778,0.0005017255694115157,7.14350807267903e-05,0.00038638732980067394,0.0001961362047883207,3.803320108607757e-05,2.0797385945060732e-05,2.146448431922942e-05,0.0001138117397860189,6.392055915754226e-05,1.49766056762022e-05,8.349761650092457e-06,2.734438969582495e-07,1.7382670778289583e-07,6.735613805710995e-06,3.4156691098968725e-05,1.9416491953597076e-05,4.369510814598931e-06,2.4189272330128413e-06,7.564778443843587e-08,4.777234726222028e-08,1.7698809169073474e-06,8.265159386807885e-06,4.258265366453581e-06,6.982024326938e-07,3.657292953129616e-07,2.8697891125441636e-07,9.999519634199681e-07,2.691417685383163e-07,0.01229992260645889
87.4,0.0020192181558451234,0.0003279495366956134,0.0013685812005836185,0.0005004661941483724,7.139280232787568e-05,0.0003858604615856594,0.00019564290325950237,3.789173378237065e-05,2.071140743100376e-05,2.1439747372610677e-05,0.0001136680982145792,6.376021689151862e-05,1.4920491264970874e-05,8.31496242231414e-06,2.720127391869443e-07,1.7286388274262507e-07,6.726405540317918e-06,3.4114767783192444e-05,1.9367830851286726e-05,4.353118195062501e-06,2.408835657925815e-06,7.526545780928709e-08,4.752065934353824e-08,1.7673257039360616e-06,8.255259889262435e-06,4.2477893329737136e-06,6.955828930082424e-07,3.6420894460047916e-07,2.8653967705848674e-07,9.98800865256468e-07,2.6849411329331643e-07,0.012281350361238084
87.45,0.0020176961591256517,0.00032794869113137435,0.0013664110536658032,0.0004992102211397231,7.135097879544803e-05,0.00038533411815770257,0.0001951508924241838,3.775085014642838e-05,2.062581643230977e-05,2.1415235874959925e-05,0.00011352454481088702,6.360028673643008e-05,1.4864609564880854e-05,8.280321151386983e-06,2.7058976207975114e-07,1.7190682918406303e-07,6.717278004378141e-06,3.4072864363158646e-05,1.931929487922786e-05,4.336795573931559e-06,2.3987920609443323e-06,7.488503344660165e-08,4.7270251472673193e-08,1.764786361248117e-06,8.245361673838519e-06,4.237337953322573e-06,6.929706750381173e-07,3.6269409779791103e-07,2.86100332901557e-07,9.976494539516245e-07,2.678481943857859e-07,0.012262818232331479
87.5,0.0020161750311087313,0.0003279477803456325,0.0013642445876516065,0.0004979576408887805,7.13096065625601e-05,0.00038480830030848207,0.00019466016906811843,3.76105475578733e-05,2.0540611069702627e-05,2.1390948244864682e-05,0.0001133810801005587,6.344076772866816e-05,1.4808959529159983e-05,8.245837067289403e-06,2.6917491515382384e-07,1.7095551006293927e-07,6.708230641349344e-06,3.403098103771104e-05,1.9270883877199923e-05,4.320542553099699e-06,2.38879612546672e-06,7.450639487780686e-08,4.7021023898472363e-08,1.762262935125771e-06,8.23546345758326e-06,4.226909558455077e-06,6.903658076019514e-07,3.6118474820372315e-07,2.856609377467637e-07,9.964968681156505e-07,2.672036769269922e-07,0.0122443260919026
87.55000000000001,0.002014654772018669,0.0003279468018653786,0.001362081796671332,0.0004967084439245519,7.126868208257927e-05,0.00038428300882077925,0.00019417072998289324,3.7470823408930976e-05,2.0455789473602716e-05,2.1366882909613135e-05,0.00011323770460557025,6.328165890585978e-05,1.4753540116056397e-05,8.211509403983254e-06,2.6776814825537125e-07,1.7000988858306023e-07,6.6992628974351055e-06,3.39891180032949e-05,1.9222597677688564e-05,4.304358719794419e-06,2.3788475184817167e-06,7.412942993255041e-08,4.677288052148253e-08,1.759755525077542e-06,8.225563993410922e-06,4.2165025240041145e-06,6.877683302737422e-07,3.5968087845759405e-07,2.8522161818458886e-07,9.953422489498786e-07,2.6656017187269313e-07,0.012225873812665496
87.60000000000001,0.00201313538207761,0.0003279457532373308,0.0013599226748607337,0.0004954626208017814,7.122820182909118e-05,0.0003837582444685221,0.00019368257196593724,3.7331675104366174e-05,2.0371349784074344e-05,2.134303830515363e-05,0.00011309441884427167,6.312295930687482e-05,1.469835028881307e-05,8.17733739939181e-06,2.663694115571069e-07,1.6906992819425003e-07,6.690374221609555e-06,3.3947275453840786e-05,1.9174436104803565e-05,4.2882436474797225e-06,2.368945891516401e-06,7.375403155807897e-08,4.6525729593349404e-08,1.7572642814069835e-06,8.215662081318916e-06,4.206115282822445e-06,6.851782936840718e-07,3.58182461738604e-07,2.847825654227611e-07,9.941847711442384e-07,2.659172392452339e-07,0.01220746126804022
87.65,0.002011616861505541,0.0003279446320278301,0.0013577672163610313,0.0004942201621008883,7.118816229580364e-05,0.0003832340080168277,0.00019319569182052847,3.719310006141887e-05,2.0287290150773217e-05,2.1319412876054245e-05,0.00011295122333140102,6.296466797183314e-05,1.464338901564233e-05,8.14332029537775e-06,2.649786555557585e-07,1.681355925903513e-07,6.681564065644312e-06,3.3905453580658365e-05,1.9126398973266967e-05,4.2721968968939265e-06,2.3590908817299534e-06,7.338009859241031e-08,4.6279484381963455e-08,1.7547894023288142e-06,8.205756579195742e-06,4.195746337030698e-06,6.82595760989811e-07,3.5668946454280366e-07,2.8434402920690137e-07,9.930236756906595e-07,2.6527440545501544e-07,0.012189088332359965
87.7,0.0020100992105202943,0.00032794343582273595,0.001355615415318931,0.0004929810584279086,7.114855999645104e-05,0.00038271030022204614,0.00019271008635580235,3.705509570974103e-05,2.0203608732894437e-05,2.129600507546259e-05,0.00011280811857809872,6.280678394211196e-05,1.4588655269700672e-05,8.109457337721375e-06,2.635958310696463e-07,1.6720684570729317e-07,6.6728318841373844e-06,3.3863652572341905e-05,1.9078486087480925e-05,4.256218017213409e-06,2.3492821131432023e-06,7.300753648993835e-08,4.603406379813316e-08,1.7523311306573543e-06,8.195846413134736e-06,4.185394269518918e-06,6.800208103153233e-07,3.55201850815095e-07,2.839063089270967e-07,9.918583012624712e-07,2.6463120425085313e-07,0.012170754881149734
87.75,0.0020085824293375547,0.00032794216222732246,0.0013534672658866431,0.0004917453004144354,7.110939146469906e-05,0.00038218712183180325,0.00019222575238675898,3.6917659491333545e-05,2.012030369912069e-05,2.1272813365065714e-05,0.00011266510509192176,6.264930626035292e-05,1.453414802906362e-05,8.075747776098896e-06,2.6222088923632635e-07,1.662836517212238e-07,6.6641771345436545e-06,3.3821872614688075e-05,1.90306972406837e-05,4.240306547331799e-06,2.3395191979926734e-06,7.263625799426702e-08,4.578939297958694e-08,1.749889750096892e-06,8.185930587170411e-06,4.175057754844593e-06,6.774535378780604e-07,3.5371958709079426e-07,2.8346974242965476e-07,9.906881103663282e-07,2.639872365261669e-07,0.01215246079145173
87.80000000000001,0.0020070665181708617,0.00032794080886617525,0.0013513227622218996,0.0004905128787175592,7.107065325404971e-05,0.0003816644735850435,0.00019174268673427037,3.678078886048344e-05,2.00373732275707e-05,2.1249836215050166e-05,0.00011252218337685778,6.2492233970469e-05,1.4479866276700723e-05,8.042190864060846e-06,2.608537815103006e-07,1.6536597504670983e-07,6.6555992772065525e-06,3.378011389062708e-05,1.8983032214201665e-05,4.224462017243228e-06,2.329801738196912e-06,7.226618375324235e-08,4.554540382812322e-08,1.747465581168162e-06,8.17600819235767e-06,4.164735569463933e-06,6.748940614430208e-07,3.522426482078215e-07,2.830346932861178e-07,9.895127066724778e-07,2.633422295656554e-07,0.01213420594212934
87.85000000000001,0.002005551477231616,0.0003279393733830882,0.0013491818984879742,0.0004892837840198098,7.103234193774687e-05,0.00038114235621207335,0.000191260886225088,3.664448128370171e-05,1.9954815505748135e-05,2.1227072104062218e-05,0.00011237935393333944,6.233556611765157e-05,1.4425809000450774e-05,8.008785859010675e-06,2.5949445966079696e-07,1.6445378033500462e-07,6.647097775390555e-06,3.373837658016798e-05,1.893549077680441e-05,4.208683949517396e-06,2.3201293269219355e-06,7.189724287134426e-08,4.530203549575606e-08,1.745058976809415e-06,8.166078415118148e-06,4.154426601225796e-06,6.723425237104834e-07,3.5077102309242433e-07,2.8260153743476186e-07,9.883318408968465e-07,2.626960719938429e-07,0.012115990214069738
87.9,0.0020040373067290833,0.0003279378534409613,0.001347044668853697,0.000488058007029095,7.099445410868202e-05,0.00038062077043460297,0.00019078034769184904,3.650873423966098e-05,1.9872628730490524e-05,2.12045195191682e-05,0.00011223661725825826,6.21793017483769e-05,1.4371975192997015e-05,7.975532022183392e-06,2.5814287576961234e-07,1.6354703247238113e-07,6.638672095314068e-06,3.3696660860358696e-05,1.8888072684168823e-05,4.192971860853357e-06,2.3105015502318423e-06,7.152937339482302e-08,4.505923481575827e-08,1.7426703176945e-06,8.156140544782392e-06,4.144129858050156e-06,6.697990952338942e-07,3.493047201071384e-07,2.821706501734335e-07,9.871454042782787e-07,2.620488086372982e-07,0.012097813490232532
