Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Er_relativistic
26.0,0.00785353046865866,0.0014470766325650865,0.007708972577223702,0.007036335960415162,0.0009302304691321651,0.001759354484208253,0.0018404359435824375,0.001499954349996369,0.001368396979870728,0.0003183873050742665,0.0003876749597485777,0.000415794357725004,0.00038071130330898247,0.0003469509168949378,1.3281133573534127e-05,1.2024814105274253e-05,5.532265816047763e-05,4.92294554501401e-05,5.027841210634979e-05,3.3545792369137907e-06,0.09636423155412055
26.05,0.00784326476159424,0.0014383817942153529,0.007678076718204608,0.0070038587375850295,0.0009197428116212833,0.0017564263057614098,0.0018355068537027556,0.001485367118204625,0.0013547159728113827,0.00031466150623678094,0.00038737218098128717,0.00041502210768889564,0.00037708275322981266,0.0003435399204922196,1.307856175668591e-05,1.1839339551030747e-05,5.4672246474913525e-05,4.9199486224262866e-05,5.019386495300672e-05,3.315033964092431e-06,0.09589739419968085
26.1,0.007832998348872532,0.0014298161013275724,0.007647269612210496,0.00697149849630712,0.0009093766217582877,0.0017534661407728092,0.001830552745428041,0.0014709261439805202,0.001341175848294438,0.0003109762476645502,0.0003870606555459234,0.00041424022576450607,0.00037348872004633213,0.00034016249655591295,1.2879300394655505e-05,1.1656924390221308e-05,5.402880093828702e-05,4.916842281790901e-05,5.010807224783551e-05,3.2758056473409154e-06,0.09543337854802021
26.150000000000002,0.007822731294404747,0.0014213781154439188,0.007616551399882923,0.006939255217406646,0.0008991309422124881,0.0017504743103509857,0.0018255741319149477,0.0014566299658861303,0.0013277751573438172,0.00030733126851982426,0.00038674037710208263,0.0004134488200329114,0.0003699289013912396,0.0003368183364770013,1.2683295035295855e-05,1.1477519838248924e-05,5.3392279764203516e-05,4.913626021508968e-05,5.00210459377287e-05,3.2369170529814837e-06,0.09497216451234307
26.200000000000003,0.007812463661921783,0.0014130664088630848,0.007585922216871299,0.006907128876412212,0.0008890048156380493,0.0017474511389385023,0.0018205715245049807,0.0014424771361826593,0.0013145124650855702,0.00030372630601810337,0.00038641134308959896,0.00041264799983667985,0.00036640299675421133,0.00033350713378702907,1.2490490796185742e-05,1.1301075889950105e-05,5.276264072759891e-05,4.910299401352652e-05,4.9932798162932485e-05,3.198418765299605e-06,0.09451373221046083
26.25,0.0078021955149738306,0.001404879564617199,0.0075553821938741696,0.006875119443615881,0.0008789972848606657,0.0017443969541276574,0.0018155454326169666,0.0014284662207282894,0.0013013863506348136,0.0003001610955370415,0.00038607355461257474,0.00041183787570036185,0.0003629107074923861,0.0003302285841626855,1.2300831770427283e-05,1.1127540421305204e-05,5.213984118614207e-05,4.906862040572477e-05,4.984334123893701e-05,3.1603704891266173e-06,0.09405806191687495
26.3,0.0077919269169299515,0.0013968161764478307,0.00752493145668047,0.006843226884132982,0.0008691073930597447,0.0017413120864805869,0.001810496363643294,0.0014145957988761174,0.0012883954069829496,0.00029663537072298417,0.00038572701632587613,0.0004110185592531773,0.0003594517368400783,0.0003269823854297092,1.2114261151891527e-05,1.0956859374357783e-05,5.1523838101063235e-05,4.903313616245489e-05,4.9752687651808394e-05,3.1228194677136756e-06,0.09360513401998066
26.35,0.007781657930977693,0.0013888748487811118,0.007494570126210778,0.006811451157961701,0.0008593341839461733,0.0017381968693536858,0.0018054248228498468,0.001400864463372216,0.0012755382408851923,0.0002931488635951745,0.00038537173632405465,0.0004101901631538562,0.0003560257899177443,0.0003237682375661379,1.1930722017276603e-05,1.0788977926876336e-05,5.091458805737455e-05,4.8996538618413525e-05,4.966085006547288e-05,3.085783602235051e-06,0.09315492899858964
26.400000000000002,0.0077713886201226925,0.0013810541967019829,0.0074642983185585175,0.006779792220042389,0.0008496767019357179,0.0017350516387262698,0.0018003313132795384,0.0013872708202538168,0.0012628134727484031,0.00028970130464765434,0.0003850077260326539,0.00040935280101758547,0.00035263257374021774,0.0003205858427049187,1.1750158479599265e-05,1.0623842218967054e-05,5.031204728348776e-05,4.8958825659146875e-05,4.956784133523175e-05,3.049244948534442e-06,0.09270742742481976
26.450000000000003,0.007761119047188288,0.001373352845927589,0.007434116145031139,0.0067482500203166285,0.000840133992318132,0.001731876733033405,0.0017952163356593765,0.001373813488747652,0.0012502197365192617,0.000286292422948894,0.0003846350001018625,0.00040850658734501864,0.00034927179722423916,0.00031743490513590265,1.1572516808984524e-05,1.0461401032203726e-05,4.9716171670277355e-05,4.891999570790165e-05,4.947367451930954e-05,3.0131554441110506e-06,0.0922626099909702
26.5,0.007750849274815142,0.0013657694327798447,0.007404023712191264,0.006716824503786043,0.0008307051014220296,0.0017286724930028314,0.0017900803883109725,0.001360491101168463,0.0012377556795727881,0.00028292194623918135,0.0003842535763024742,0.0004076516374533048,0.0003459431711952977,0.0003143151313072422,1.1397746139064885e-05,1.0301606852190424e-05,4.912691678966682e-05,4.888004771109875e-05,4.937836288049387e-05,2.9774525223527094e-06,0.0918204575499578
26.55,0.0077405793654608595,0.0013583026041571794,0.007374021121897771,0.0066855156105708234,0.0008213890767755862,0.0017254392614959057,0.0017849239670644195,0.0013473023028176953,0.0012254199626012224,0.00027958960102579864,0.0003838634754241159,0.0004067880674090926,0.00034264640839380537,0.00031122622982621075,1.1225798524868446e-05,1.0144415970417492e-05,4.854423791282492e-05,4.8838981121628496e-05,4.9281919872977816e-05,2.9420791688569013e-06,0.09138095115493262
26.6,0.007730309381399628,0.0013509510175054942,0.007344108471346859,0.006654323275968012,0.0008121849672631392,0.0017221773833524952,0.0017797475651754665,0.001334245751882404,0.0012132112595032935,0.00027629511267602305,0.00038346472117570615,0.0004059159939634691,0.00033938122348062613,0.0003081679114594656,1.1056628339062322e-05,9.989787610745265e-06,4.796809002804529e-05,4.879679587999935e-05,4.918435911444999e-05,2.9070017921209466e-06,0.09094407208465213
26.650000000000002,0.007720039384721847,0.0013437133407883325,0.007314285853113039,0.006623247430509491,0.000803091823277736,0.0017188872052397465,0.001774551673245905,0.001321320119334373,0.0012011282572738711,0.0002730382055079758,0.0003830573400881054,0.00040503553448878964,0.0003361473330419746,0.00030513988913276953,1.0890191213280206e-05,9.837682385032046e-06,4.739842785834651e-05,4.8753492394260374e-05,4.908569434866996e-05,2.8722201607686533e-06,0.09050980184620683
26.700000000000003,0.007709769437333771,0.0013365882524562945,0.007284553355190072,0.00659228800001971,0.0007941086968697021,0.0017155690755046636,0.0017693367791471043,0.0013085240888294758,0.0011891696558940293,0.00026981860287935463,0.0003826413614189209,0.00040414680691735984,0.00033294445559370626,0.0003021418779301904,1.0726442874953065e-05,9.688060595257215e-06,4.6835205878787456e-05,4.87090715202515e-05,4.898593940743255e-05,2.8377662855299154e-06,0.09007812215410041
26.75,0.0076994996009571584,0.0013295744414157072,0.007254911061031856,0.006561444905673121,0.0007852346418912882,0.0017122233440304232,0.0017641033679466134,0.0012958563566072866,0.0011773341682215287,0.00026663602727407953,0.0003822168170594289,0.0004032499296819285,0.0003297723115850161,0.0002991735950927962,1.0565338255113912e-05,9.540880936791884e-06,4.627837833345137e-05,4.866353454387551e-05,4.888510818163496e-05,2.803692753290027e-06,0.08964901489232092
26.8,0.007689229937128924,0.0013226706069965673,0.007225359049593225,0.006530718064051338,0.0007764687141374533,0.0017088503620963588,0.0017588519218377648,0.0012833156313909564,0.0011656205198817284,0.00026349020038688077,0.000381783741443578,0.0004023450216579522,0.0003266306234015615,0.0002962347600168588,1.040683114600149e-05,9.396100004607505e-06,4.572789925202877e-05,4.861688316665258e-05,4.878321460871948e-05,2.770054505800529e-06,0.08922246207150329
26.85,0.007678960507200796,0.0013158754589197798,0.007195897395370708,0.006500107387200009,0.0007678099714828546,0.0017054504822415504,0.0017535829200722099,0.0012709006342873786,0.0011540274491589494,0.0002603808432058634,0.000381342171459037,0.0004014322021075935,0.00032351911536803075,0.00029332509425158667,1.0250874502152777e-05,9.25367273451504e-06,4.518372246593161e-05,4.856911949492412e-05,4.868027267876409e-05,2.736890179505455e-06,0.08879844579478106
26.900000000000002,0.007668691372338988,0.0013091877172637003,0.007166526168443186,0.006469612782685396,0.0007592574740150917,0.0017020240581319473,0.0017482968388953114,0.0012586100986876412,0.0011425537068882861,0.00025730767609307456,0.00038089214636025136,0.0004005115906254134,0.0003204375137501672,0.0002904443214963961,1.009742126986385e-05,9.11355361248527e-06,4.464580162389837e-05,4.852024603199128e-05,4.8576296455498906e-05,2.7042091112709387e-06,0.08837694824282669
