Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(1),J_7s1/2(2),J_total_Bh_relativistic
18.650000000000002,0.005283750878926597,0.011132924469150483,0.00924071521335737,0.011426059497013204,0.003808931113841946,0.009705737827311905,0.006720215067984659,0.013924604834859194,0.013838324675619185,0.0032464326478528816,0.003982342766276563,0.003983318180280875,0.0021307867109338343,0.0021799784818919655,0.006000359088536191,0.005688799011508932,0.001549834758038046,0.0010681944935525681,0.0012145679786824564,0.0005956732333423626,0.0005398173649696478,0.0010092962939566123,0.0009462731501412092,0.0003844357428525473,0.00020045554349290188,0.00019999608804847652,4.472416808892369e-05,3.185785850582149e-05,3.5172891571440754e-05,0.454756730310935
18.7,0.0052820363601514975,0.011096617393760428,0.009235982026055141,0.011414870901489719,0.003796058524726429,0.009637900203569307,0.0066553285921467815,0.013879763468705059,0.013788465970194317,0.0032062722619090175,0.003977069205677915,0.003960345763095781,0.002123859721924869,0.0021765238860880576,0.005939052356765313,0.005629037533556079,0.0015319245913898976,0.0010681421275317686,0.0012104968087919704,0.0005893811610435339,0.0005356489714758934,0.0010006508264293664,0.000937803241301519,0.0003802300841095822,0.0002003412995036632,0.00019946185827927765,4.418784075367773e-05,3.156544720538144e-05,3.479269819116271e-05,0.45241386172985815
18.75,0.00528031810621618,0.011060346562383814,0.009231224391027783,0.011403636418142018,0.0037835302211872658,0.009570341525351743,0.006590979817073904,0.013834878254199944,0.013738588833717626,0.0031665516912446003,0.003971601852140194,0.003937242210799028,0.002117227902924443,0.0021732698357953668,0.005878325296641224,0.005569860832889382,0.0015141084036294139,0.001068107735986028,0.0012063341782904444,0.0005832698592552049,0.0005316256888720073,0.0009920523637357026,0.0009293848559749338,0.00037603610680831995,0.000200241610465792,0.0001989111504231716,4.366609403311726e-05,3.1282616410138715e-05,3.4413367916492876e-05,0.45008664692917644
18.8,0.0052785961234010905,0.011024112500589834,0.009226442312161806,0.01139235618392283,0.00377134030831492,0.009503063453964034,0.006527167741373259,0.013789951130315094,0.013688695445237507,0.003127271645340749,0.003965940174031566,0.003914012948358991,0.002110882582569432,0.00217020863873835,0.005818173669652212,0.005511264359831435,0.0014963895947123751,0.0010680873691130484,0.0012020813362050423,0.0005773356656678878,0.0005277439420997228,0.0009835013402464535,0.0009210183088274135,0.0003718549091532058,0.00020015533659273273,0.0001983440941539063,4.315865698522835e-05,3.100916389290694e-05,3.40350034695678e-05,0.44777494754890573
18.85,0.0052768704179962005,0.010987915730572702,0.009221635794092445,0.011381030337475305,0.0037594829348703033,0.009436067610440446,0.006463891310150643,0.013744984028912938,0.013638787971772329,0.0030884326838931924,0.003960083773490363,0.003890663375779609,0.00210481524499188,0.0021673327665580108,0.005758593237859216,0.005453243570908856,0.001478771453581485,0.0010680772120934894,0.001197739578133723,0.0005715749562127984,0.0005240002079757987,0.0009749981686375085,0.0009127038943082283,0.00036768756067983297,0.00020008137170199247,0.00019776083146026384,4.266525786697723e-05,3.074487899527301e-05,3.3657706448455385e-05,0.44547862690120754
18.900000000000002,0.005275140996300959,0.0109517567711472,0.009216804842202192,0.011369659019119929,0.0037479522936447736,0.009369355575728497,0.006401149415897978,0.013699978874540502,0.013588868568111239,0.0030500352198745786,0.003954032382671074,0.0038671988656363903,0.0020990175283712846,0.002164634852749424,0.0056995797647830864,0.005395793929685534,0.001461257158987822,0.001068073582764471,0.0011933102434779782,0.0005659841456216808,0.0005203910152545649,0.0009665432403448829,0.000904441887115755,0.0003635351022651224,0.00020001864273958594,0.00019716151604034043,4.218562211275383e-05,3.0489533482659503e-05,3.328157801071968e-05,0.4431975499313014
18.95,0.005273407864624239,0.010915636137744437,0.009211949462619303,0.011358242370841353,0.003736742621804867,0.009302928890878004,0.006338940899379132,0.013654937584226663,0.01353893937661994,0.0030120795225927065,0.003947785860040943,0.0038436247607112647,0.0020934812234674974,0.002162107690594411,0.005641129016267745,0.0053389109075712374,0.0014438497803748427,0.0010680729292870004,0.0011887947127521348,0.0005605596879423251,0.0005169129446558576,0.0009581369260157556,0.0008962325426576363,0.00035939854616461075,0.00019996610929762397,0.00019654631271129045,4.1719475459202986e-05,3.0242892526391555e-05,3.290671750071515e-05,0.4409315832151018
19.0,0.005271671029284296,0.010879554342407791,0.009207069662216249,0.011346780536275166,0.0037258482012219474,0.009236789057235212,0.00627726455051376,0.013609862067283254,0.013489002527051376,0.0029745657207428536,0.003941344186727546,0.0038199463717242675,0.002088198272135585,0.00215974423109058,0.0055832367613196,0.0052825899846060155,0.0014265522788214622,0.0010680718278094558,0.001184194404968237,0.0005552980770112127,0.0005135626288597599,0.0009497795759552728,0.0008880760975051238,0.0003552788760755531,0.00019992276312576243,0.00019591539683442563,4.126654929891146e-05,3.0004734970602085e-05,3.2533220215962675e-05,0.43868059497346684
19.05,0.00526993049660871,0.010843511893789091,0.009202165448608133,0.011335273660694579,0.0037152633587869683,0.009170937536641985,0.006216119109258994,0.013564754225110054,0.01343906013636136,0.0029374938054525113,0.00393470746291768,0.0037961689751600377,0.0020831607658239747,0.0021575375808778993,0.005525898772923689,0.005226826650220875,0.0014093675080408638,0.0010680669801291654,0.0011795107750955083,0.0005501958468846973,0.0005103367524695323,0.0009414715205688425,0.0008799727698416009,0.00035117704722459103,0.0001998876276372033,0.00019526895375549872,4.082658311972017e-05,2.977486322541271e-05,3.216117644181082e-05,0.4364444550671029
19.1,0.005268186272934342,0.010807509297144963,0.00919723683015106,0.011323721890997056,0.003704982466710519,0.0091053757516398,0.006155503266488711,0.013519615951003578,0.013389114308529045,0.002900863633316803,0.003927875904307826,0.0037722978111870923,0.00207836094405715,0.002155481000163931,0.005469110828836849,0.0051716164039751,0.001392298215431749,0.001068055211354034,0.0011747453115933527,0.0005452495722300964,0.0005072320519440722,0.000933213070799623,0.0008719227599053746,0.00034709398647876795,0.00019985975740991477,0.00019460717825995212,4.039932165796557e-05,2.955309342042062e-05,3.179067275869781e-05,0.43422303495528203
