Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(4),J_7s1/2(2),J_total_Ds_relativistic
1.0,0.005291915463928127,0.0199055768951884,0.009228298343226377,0.01238061111536314,0.043900134278986556,0.02541046534950298,0.030365625148531444,0.01932520138321587,0.02030978339554944,0.08169827505262046,0.052829068691024626,0.061665823759958535,0.044740525134865865,0.04652222422130242,0.034692916898734535,0.03534850166964987,0.1381225715215787,0.10371231170394592,0.12163922036259074,0.09814281091944556,0.10253715367391579,0.09911716797621842,0.10172462545214934,0.18169510315961404,0.21185951630065902,0.23416305654382855,0.22659685059727894,0.22659685059727894,0.042820945523635356,9.105023370317411
1.05,0.005291826035346385,0.019902060994558136,0.009228297140811756,0.01238060763083577,0.043856873468699986,0.02541035176587076,0.030365352174307504,0.019325201064919664,0.02030978296959499,0.08136430480957546,0.05282453328243227,0.0616559998943411,0.04474043682010941,0.046522109636109685,0.034692915986754266,0.035348500610458654,0.13601229198630274,0.10358084595697202,0.12135316917954506,0.09812351728426207,0.10251127404728111,0.09910391329716269,0.101707588920219,0.17016314450156023,0.20736726013506065,0.2247016542019854,0.21231886095463934,0.21231886095463934,0.042673064599660894,8.924599796419786
1.1,0.005291732246903056,0.019898374340822558,0.00922829576752881,0.012380603612725109,0.0438115507214369,0.025410220863931972,0.030365037677886928,0.019325200661682407,0.020309782430008593,0.0810155845706092,0.05281931950194044,0.061644720132853235,0.04474032532189128,0.046521965019903196,0.03469291472319611,0.035348499143237,0.13383609263763574,0.10343119805619595,0.1210292588103778,0.09809957994925658,0.10247923386561804,0.09908658373394943,0.10168542192653823,0.1589652916585565,0.2025219714636441,0.21485884282120296,0.19851257514763346,0.19851257514763346,0.0426449373469375,8.744119646228823
1.1500000000000001,0.005291634098956358,0.019894517041535352,0.009228294207389067,0.0123805990092858,0.0437641728850904,0.025410070982726744,0.03036467770145545,0.01932520015632788,0.02030978175382728,0.08065232715861304,0.05281336551208206,0.06163185506704341,0.0447401860900847,0.04652178449606926,0.0346929129991075,0.03534849714168134,0.13159860150108804,0.10326205701764865,0.12066515622503608,0.09807022736586296,0.10244003220079884,0.09906430681157272,0.10165706446912061,0.14815814330271043,0.1973435670396996,0.2047212579808218,0.18522313176561256,0.18522313176561256,0.042514795373626464,8.564145502512593
1.2000000000000002,0.005291531591881149,0.01989048920920736,0.00922829244367018,0.012380593766411766,0.04371474711247903,0.0254099003890198,0.03036426811962006,0.0193251995292203,0.020309780914804423,0.08027475362276712,0.052806607383152376,0.06161727153401523,0.04474001396302687,0.046521561403270344,0.034692910679357,0.03534849444919812,0.12930452073223878,0.10307212753855578,0.12025863250619037,0.09803462046222097,0.10239258658099892,0.09903611120515735,0.10162134720967436,0.13779042462666058,0.19185626542444717,0.19437723017540795,0.17248201880460526,0.17248201880460526,0.04215504765126582,8.38532540118143
1.25,0.00529142472606892,0.019886290961300408,0.009228290458917248,0.01238058782764245,0.04366328085952012,0.025409707277968128,0.03036380464160877,0.01932519875804662,0.020309779883120143,0.07988309302225761,0.052798979193130466,0.06160083289789374,0.044739803122496154,0.04652128823885936,0.03469290759806014,0.03534849087363046,0.1269586110923096,0.10286013768415748,0.11980758085558998,0.09799185453112443,0.10233573673830915,0.09900093046359884,0.101576998252648,0.12790291823900182,0.18608803596042253,0.18391465837909524,0.16030977392378992,0.16030977392378992,0.04150488102495259,8.208341772215189
1.3,0.0052913135019277925,0.019881922420220875,0.009228288234944213,0.01238058113416933,0.043609781883327495,0.025409489773815824,0.030363282813556967,0.019325197817591,0.020309778625081557,0.07947758220291465,0.05279041313054962,0.06158239933803476,0.04473954704864254,0.046520956602464796,0.03469290355350219,0.03534848618141046,0.12456567646240602,0.10262484639267312,0.1193100334722487,0.09794096201767849,0.10226824955347119,0.09895760886539093,0.10152265235923778,0.11852852464524717,0.18006999803317142,0.17341911845769867,0.14871816955077022,0.14871816955077022,0.04054923129255426,8.033872883908947
1.35,0.0052911979198825175,0.019877383713313,0.009228285752835295,0.01238057362484271,0.04355425824023429,0.02540924593061587,0.030362698020878934,0.019325196679501784,0.02030977710281323,0.07905846556707666,0.052780839600139205,0.06156182814331526,0.04473923847508053,0.046520557140029256,0.034692898302540215,0.035348480091117594,0.12213054846436433,0.10236505075482548,0.11876417718265386,0.09788091618721069,0.10218882514648348,0.09890490926521728,0.10145686233979824,0.10969244018881581,0.17383579032546387,0.1629722395413767,0.13771196388682874,0.13771196388682874,0.039303008585198265,7.862564638337038
1.4000000000000001,0.005291077980374467,0.019872674972851896,0.009228282992946497,0.012380565236178762,0.043496718283741624,0.025408973732978422,0.030362045490723088,0.01932519531205117,0.02030977527393818,0.07862599483699448,0.052770187331056505,0.06153897401183258,0.04473886934435361,0.046520079488582666,0.03469289155446906,0.03534847226642753,0.11965807125423386,0.1020795930266695,0.1181683677179921,0.09781063564001298,0.102096104042617,0.09884152273276045,0.1013781123108364,0.10141243891658595,0.1674209285424021,0.1526503651266657,0.1272902970511273,0.1272902970511273,0.03779951281188753,7.695010727686608
1.4500000000000002,0.005290953683861634,0.01986779633603632,0.009228279934907161,0.012380555902366858,0.043437170662393866,0.025408671096845366,0.030361320294509407,0.01932519367988784,0.02030977309124978,0.07818042881209598,0.05275838348752353,0.06151368935533178,0.0447384307639785,0.04651951222202947,0.03469288296433952,0.035348462308439146,0.11715308655216056,0.10176736733705954,0.11752114254880534,0.09772898962648442,0.10198867532608762,0.09876607974044371,0.10128483246336016,0.09369924391327963,0.16086216839357712,0.1425235017300956,0.11744780314444299,0.11744780314444299,0.03608210737999504,7.531739427953123
