Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_7s1/2(2),J_total_Sg_relativistic
1.6500000000000001,0.005726371953989517,0.021192952164259832,0.00995994566395794,0.012932507618626129,0.045752244933377643,0.027116509405290236,0.03180875720147321,0.02027779031922223,0.021231040835344977,0.08030034671981161,0.05638160907085933,0.0647475313140142,0.04736775296792973,0.049133624084952185,0.03686793335852859,0.037522395729624916,0.10858372267042016,0.1074369419827278,0.12041746967035889,0.10493534606841325,0.1091141316736182,0.11200002321282689,0.11478859674532596,0.057314660185298516,0.11995803451945763,0.08355138341296928,0.06435683828116659,0.020319809694192215,6.710236264135212
1.7000000000000002,0.005726194788923579,0.021186027963761064,0.00995993894956786,0.012932488924656352,0.045669088138888585,0.027115838972863685,0.03180729110973211,0.02027778524504395,0.021231034195982632,0.07969338214522818,0.05635568163600156,0.06469633415307478,0.047366343743772577,0.049131835660139796,0.03686788739055144,0.037522342941031205,0.10554353095800792,0.10678728173804657,0.11921020689962036,0.10468057105865824,0.10878860759986349,0.1115252112159279,0.11421575910827196,0.05328436220722576,0.11197164142102649,0.07539497713110946,0.05797724308144599,0.01815696452722737,6.59944510505121
1.75,0.005726012344103553,0.02117889973392549,0.009959931629760048,0.012932468515621536,0.04558361588973147,0.02711510780865999,0.03180569302375005,0.020277779378698194,0.0212310265210882,0.07907337808938399,0.05632753723439314,0.0646408686563056,0.04736472469335147,0.04912978211055392,0.03686783157026284,0.03752227886084177,0.1025124148570628,0.10609507731012714,0.11793513185995777,0.10439704639947019,0.10842761755723564,0.11100509239685231,0.11359230673862909,0.04982459873212541,0.1042628583361651,0.06791474699838222,0.05214584173917217,0.016161561544153182,6.494183977809745
1.8,0.005725824620301359,0.021171567708541564,0.009959923669065975,0.012932446290494526,0.04549584255264951,0.02711431245142388,0.031803955542515056,0.0202777726252525,0.021231017686778646,0.07844073993988998,0.05629706856720202,0.06458094413580796,0.04736287278135707,0.04912743457193424,0.03686776420307297,0.037522201553029044,0.09949596855232999,0.10535990244634405,0.11659304049047302,0.10408313577519655,0.10802935830525515,0.11043871066339027,0.11291763550941931,0.0468879705778676,0.09686018239013959,0.061097445525825335,0.046828117660657836,0.014340656187340338,6.394223251718686
1.85,0.005725631618311203,0.021164032128000762,0.009959915031027384,0.01293242214547317,0.04540578286029755,0.02711344935827292,0.031802071104708174,0.020277764881705636,0.02123100755867988,0.07779587901653595,0.0562641679021296,0.06451637102055476,0.04736076337006537,0.049124762213762024,0.03686768337423629,0.03752210883144982,0.0964995888975014,0.10458147680682117,0.11518503675690926,0.1037372673854968,0.10759213348084955,0.10982536008354628,0.11219142555197986,0.04442632835735399,0.0897869741741231,0.05492317617427109,0.04199048859709715,0.012696153975971175,6.299294161331698
1.9000000000000001,0.00572543333894957,0.021156293239282864,0.00995990567819954,0.012932395973993276,0.04531345190707442,0.027112514906227105,0.03180003199306814,0.020277756036580188,0.021230995991402633,0.07713921214441066,0.056228727260248135,0.06444696128525695,0.04735837018511455,0.04912173220330948,0.03686758692999994,0.03752199823869951,0.09352846210388045,0.10375966776514342,0.1137125244029523,0.10335794739836789,0.10711436933286468,0.10916458429267067,0.11141363439216088,0.04239154529571808,0.08306159477681398,0.04936658674059514,0.037600426925349956,0.011225794432413483,6.209097883010206
1.9500000000000002,0.005725229783055216,0.021148351295940802,0.009959895572154574,0.012932367666741908,0.04521886514486027,0.0271115053937715,0.03179783033884067,0.020277745969510163,0.02123098282801255,0.07647116122423861,0.05619063860271675,0.06437252887417134,0.047355665285437464,0.04911830967533306,0.03686747245817039,0.03752186702435902,0.0905875517104409,0.10289449131081471,0.11217719663713477,0.10294377271448239,0.10659462921324477,0.10845617296817331,0.1105844873308697,0.04073619452353692,0.0766976164400867,0.04439799345600063,0.03362655494341375,0.009924038843739318,6.123313940933079
2.0,0.005725020951489159,0.021140206558085135,0.009959884673484909,0.01293233711167103,0.0451220383786605,0.027110417042451148,0.03179545812630935,0.02027773455082409,0.021230967899495204,0.07579215280054455,0.0561497940170378,0.06429289011888897,0.04735261903755017,0.049114457707646594,0.03686733726816852,0.03752171212271769,0.08768158785443436,0.10198611207060772,0.11058102391769789,0.10249344290555452,0.1060316266746946,0.10770015572308453,0.10970446551115222,0.039414130731721606,0.07070409236448938,0.039984420258544796,0.03003871904831034,0.008782854472503378,6.041607856841921
2.0500000000000003,0.005724806845134672,0.021131859292368122,0.009959872941806773,0.01293230419401147,0.0450229877621583,0.02710924599849745,0.031792907197405226,0.020277721641124097,0.021230951024216668,0.07510261762825457,0.05610608590251919,0.06420786414917015,0.047349200094379464,0.049110137302784795,0.036867178370649095,0.03752153013006287,0.08481505785346376,0.10103484247190017,0.10892624000882589,0.1020057712062904,0.10542423705187612,0.10689679377054946,0.10877429209291412,0.03838097816852676,0.0650858719790964,0.03609054329796466,0.026808045707440893,0.007792394921287011,5.963637996420747
2.1,0.005724587464897274,0.0211233097719674,0.009959860335763798,0.012932268796287229,0.04492172979317735,0.02710798833448519,0.03179016925639196,0.02027770709086146,0.021230932007380347,0.07440299023833898,0.05605940715461284,0.06411727329592057,0.04734537537879373,0.04910530737594128,0.03686699245676641,0.037521317281632494,0.08199219810194748,0.10004114107661478,0.10721532649023238,0.10147969445728507,0.10477150743077955,0.10604656970398593,0.10779491692973497,0.03759452867223647,0.059843949035555774,0.03267953538419115,0.02390698150791956,0.006941580792604623,5.889061595715998
2.15,0.005724362811704722,0.021114558276569266,0.009959846813030705,0.012932230798330117,0.04481828130905679,0.027106640051019402,0.03178723587462361,0.02027769073990912,0.02123091064048072,0.07369370850309735,0.056009651347804425,0.06402094348543379,0.04734111007198261,0.04909992474933867,0.03686677587717292,0.037521069428332665,0.07921698727719831,0.09900561011944203,0.10545099590819414,0.10091428191460018,0.10407266493827948,0.1051501757239892,0.10676750011197324,0.03701505478234003,0.05497583110184594,0.029713808862625955,0.021309319141499444,0.006218587405029516,5.817539974683086
2.2,0.005724132886507001,0.021105605092351595,0.009959832330317074,0.012932190077294715,0.04471265948194022,0.027105197078451215,0.03178409849537178,0.020277672417131673,0.021230886700754684,0.07297521320168096,0.05595671291673577,0.0639187046240587,0.047336367606811695,0.04909394415316086,0.03686652462084227,0.03752078201332716,0.0764931408429843,0.0979289922886024,0.10363617375987486,0.10030874286032074,0.10332712331053284,0.1042085006247562,0.10569339470808918,0.036605543983435476,0.05047592034375466,0.02715565837167734,0.018990210888008747,0.005611247729295411,5.748742962985925
2.25,0.005723897690276317,0.021096450511966326,0.009959816843371199,0.01293214650767367,0.04460488181398067,0.027103655278621828,0.03178074843871922,0.020277651939953307,0.02123085995063122,0.0722479475864404,0.0559004873352475,0.06381039097248524,0.04733110966625842,0.04908731823314994,0.03686623429381206,0.03752045004860998,0.07382410683146087,0.09681216679147651,0.1017739795042646,0.099662432966801,0.1025344877243575,0.10322261583122225,0.10457412900305957,0.0363318608413524,0.04633589683064576,0.024967807204388907,0.016926170982000478,0.0051073793050270605,5.682352576662307
2.3000000000000003,0.0057236572240070855,0.021087094834521602,0.009959800306984025,0.012932099961313307,0.0444949661324635,0.027102010446633767,0.031777176906516394,0.02027762911392425,0.02123083013718001,0.07151235695067892,0.05584087129303676,0.06369584150887854,0.04732529618701553,0.04907999756494247,0.03686590009794537,0.03752006809167551,0.07121306287780474,0.09565614475098605,0.09986770679240939,0.09897485938526104,0.1016945578996758,0.1021937607544409,0.1034113884998181,0.03616284422509971,0.042545096938113515,0.023113862652530754,0.015095068105091444,0.004695043958341387,5.6180659937861614
2.35,0.005723411488715923,0.02107753836556351,0.009959782674993168,0.012932050307429561,0.044382930584849246,0.02710025831264854,0.031773374987398115,0.020277603732286154,0.021230796991559744,0.07076888819838313,0.05577776286963264,0.0635749002801303,0.04731888536832806,0.049071930675191715,0.03686551680981253,0.03751963022240363,0.06866291447576955,0.09446206398163726,0.09792080310696924,0.09824568454661481,0.10080732950321732,0.10112332770796799,0.1022069979174613,0.03607034700772259,0.03909088070622825,0.02155868685229976,0.013476109153780714,0.004362748861045611,5.55559788364074
