Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(4),J_total_Og_relativistic
28.950000000000003,0.004004693075663125,0.00613083993825698,0.00688624346983541,0.008394541669904372,0.0028031381091025583,0.0034062900980866744,0.0017206532969682323,0.007072209623842114,0.006529330914869834,0.0008901264041766378,0.002156260268678861,0.00105714928668995,0.001761856707741378,0.0018089936124993699,0.0013512914854102638,0.0012107764153701543,0.00034528864824409975,0.0007610046405351283,0.0004133513060354844,0.0004340448349119895,0.0004555641835642741,0.0003648858769264146,0.00032628566827650493,0.00010161147879314353,0.00019449909010757353,9.938203613773604e-05,6.978770313980154e-05,7.012132689551415e-05,1.8214846462970523e-05,2.5964765181316578e-05,7.150688716796312e-06,0.21534647935276768
29.0,0.004003262727604677,0.00611026820743224,0.006881525651852001,0.008381998265065358,0.002802901669473599,0.003382299341415318,0.0017115807348138303,0.007043255361864304,0.0064994598527096945,0.0008868837347204067,0.002144862899543716,0.001047306838090075,0.001759572539810244,0.001805278897669603,0.0013388207296278233,0.001199247734093075,0.0003426494571294277,0.0007578865078879582,0.00040944840215252176,0.000433869060071434,0.00045505926971317465,0.0003616730198490965,0.0003233048587266944,0.00010070513446453299,0.00019378567472836577,9.844819689666242e-05,6.97710127896501e-05,7.005866570378398e-05,1.8047200418692844e-05,2.5871949006237286e-05,7.0834026241669375e-06,0.2145137589222645
29.05,0.0040018307174571905,0.006089739522880291,0.006876797107871402,0.008369443955395562,0.0028026472954849183,0.003358466537118824,0.0017026435813082238,0.007014380101816206,0.006469688153664524,0.0008837230183047943,0.002133473947473494,0.0010375608310239988,0.0017572567196722428,0.0018015346764275783,0.0013264665034940957,0.0011878302333381732,0.00034006221153863006,0.0007547557394256761,0.000405577557158792,0.00043368573646716775,0.0004545442765465567,0.00035848756775765106,0.00032035060017081973,9.98155250220517e-05,0.0001930677531790208,9.75215640364562e-05,6.975327318272561e-05,6.99944329002786e-05,1.7882607280510583e-05,2.5778506811230064e-05,7.016716804944026e-06,0.21368518145997747
29.1,0.004000397048758521,0.006069253958002461,0.006872057870082419,0.008356878890355945,0.00280237444721234,0.0033347911500569987,0.0016938404176015942,0.006985584046975202,0.0064400159061059,0.0008806428766371572,0.0021220942076214705,0.0010279108477429463,0.0017549094365963826,0.0017977613179805732,0.0013142277402364807,0.0011765228583737485,0.000337526238668607,0.0007516127296526346,0.00040173875519631126,0.00043349478934759156,0.00045401923733339334,0.0003553293164563579,0.00031742268086090074,9.894245150273088e-05,0.0001923454298623744,9.660214534424367e-05,6.973446380329756e-05,6.992862900030135e-05,1.7721030520088513e-05,2.5684454925162062e-05,6.950651952225258e-06,0.21286072276322412
29.150000000000002,0.003998961725047806,0.0060488115850423525,0.006867307970821713,0.008344303219265948,0.0028020825964408754,0.003311272641494269,0.0016851698328074149,0.006956867395460579,0.0064104431929422065,0.000877641943046826,0.002110724465198986,0.0010183564632840199,0.0017525308849391965,0.001793959192970328,0.0013021033820498806,0.0011653245637769508,0.00033504086853121395,0.0007484578711625759,0.00039793197513163074,0.00043329614843626323,0.00045348418808186197,0.0003521980625713702,0.00031452089013413544,9.808571537097187e-05,0.00019161880905107953,9.568994715575892e-05,6.971456505064996e-05,6.986125508417741e-05,1.7562433728242208e-05,2.558980580698734e-05,6.88520202353295e-06,0.2120403586691954
29.200000000000003,0.003997524749865455,0.006028412475089844,0.006862547442572536,0.008331717091298535,0.0028017712265516197,0.0032879104691786705,0.0016766304240388137,0.006928230340270202,0.006380970091669911,0.0008747188625373009,0.0020993654954700727,0.0010088972456832872,0.0017501212639732429,0.0017901286733423428,0.0012900923800401632,0.0011542343133686683,0.0003326054340614958,0.0007452915545515509,0.0003941571906657175,0.00043308974783165776,0.00045293916745406523,0.00034909360356476465,0.00031164501842226007,9.724511856308071e-05,0.00019088799485224064,9.478497438349422e-05,6.96935582233524e-05,6.979231280287484e-05,1.740678084621747e-05,2.549456830861923e-05,6.820336248244755e-06,0.2112240650629357
29.25,0.003996086126753124,0.00600805669808511,0.006857776317963454,0.008319120655475265,0.0028014398324088564,0.003264704087420256,0.0016682207964433266,0.006899673069317279,0.0063515966744247514,0.0008718722918345275,0.0020880180637488956,0.0009995327561860533,0.0017476807777188038,0.0017862701322182777,0.0012781936941675446,0.0011432510801484739,0.00033021927122237505,0.0007421141683339674,0.00039041437044281917,0.00043287552590845995,0.0004523842166823936,0.0003460157377480566,0.0003087948572604264,9.642046353050001e-05,0.0001901530911731602,9.388723054463699e-05,6.967142550304722e-05,6.9721804378761e-05,1.7254036330317655e-05,2.539874883881958e-05,6.75600708321565e-06,0.21041181791076832
29.3,0.003994645859253703,0.005987744322822653,0.006852994629767074,0.008306514060661407,0.0028010879202473825,0.003241652947168901,0.0016599395632360577,0.006871195765467179,0.0063223230080328395,0.0008691008994313306,0.0020766829253999384,0.00099026254945432,0.0017452096347787408,0.0017823839437714052,0.0012664062931899039,0.0011323738462296349,0.0003278817191058518,0.0007389260988617059,0.00038670347815829737,0.0004326534252203768,0.0004518193794875081,0.0003429642642951899,0.00030597019929560896,9.561155328175901e-05,0.0001894142016881764,9.299671778879147e-05,6.964814993694247e-05,6.96497325969343e-05,1.710416521063867e-05,2.530235315300726e-05,6.692162016340559e-06,0.20960359331010273
29.35,0.003993203950911296,0.005967475416955361,0.006848202410898776,0.008293897455561094,0.0028007150075600716,0.0032187564960915347,0.0016517853457312796,0.006842798606574355,0.0062931491540616875,0.000866403365628089,0.002065360825840872,0.0009810861737714475,0.0017427080481764688,0.0017784704831050665,0.0012547291546060532,0.0011216016027742117,0.0003255921200307785,0.0007357277302462432,0.0003830244726654204,0.00043242339240445613,0.00045124470199792117,0.00033993898325501687,0.00030317083829455694,9.481819142316337e-05,0.00018867142980657158,9.211343692548443e-05,6.962371541853696e-05,6.957610078476182e-05,1.6957133030297082e-05,2.5205388337090817e-05,6.6287563204838565e-06,0.2087993675431296
29.400000000000002,0.0039917604052712025,0.0059472500469985754,0.006843399694415434,0.008281270988712498,0.002800320622985683,0.0031960141786487664,0.0016437567733724823,0.0068144817655192945,0.006264075168871122,0.0008637783825697219,0.0020540525005480204,0.0009720031712440129,0.0017401762351970027,0.0017745301261340783,0.0012431612645989589,0.0011109333499282367,0.0003233498196372631,0.0007325194442837178,0.0003793773080810976,0.00043218537808689846,0.000450660232671154,0.00033693969556327253,0.000300396569151299,9.404018219824481e-05,0.00018792487864152904,9.123738745144947e-05,6.95981066665928e-05,6.950091278016337e-05,1.6812905680554046e-05,2.5107864501403314e-05,6.565763716049892e-06,0.2079991171212985
