Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Eu_relativistic
30.55,0.006984727498994606,0.0010859704637989802,0.004400059072282149,0.0037673871893493236,0.0002650533894390804,0.0012125277739883692,0.001115844460734778,0.0003819495844819543,0.00034100588779959146,7.073783610807551e-05,0.000285801527666571,0.0002651569475233255,9.395286637545037e-05,8.370672850038059e-05,1.309323848083011e-06,1.17956372895409e-06,1.2150730566991384e-05,3.890773151328669e-05,3.4751087276160386e-05,8.118093659101873e-07,0.05390697541502929
30.6,0.006972943000975998,0.0010856897796019766,0.004378436102548658,0.0037467553883621103,0.00026387570274556075,0.001207416589618596,0.0011102856621042455,0.0003781519251228548,0.00033753062034279265,7.027741226082337e-05,0.00028467850280556776,0.00026389067623566834,9.301500148069612e-05,8.284963683644428e-05,1.2906216906378525e-06,1.1625406496664397e-06,1.2065689026932561e-05,3.875743053973988e-05,3.458675810865167e-05,8.059648717588411e-07,0.05366782180951704
30.650000000000002,0.006961167204966495,0.0010854230736060872,0.00435691243917869,0.003726231020055876,0.00026272436202530073,0.0012023161684185139,0.0011047460296895856,0.0003743944514705597,0.0003340929338369653,6.982652689525111e-05,0.0002835564877134084,0.00026262776322814,9.208704239042368e-05,8.200180970346445e-05,1.2722080442239818e-06,1.1457833042419978e-06,1.1982384821161444e-05,3.860722086982237e-05,3.4422834876962204e-05,8.002800403455109e-07,0.0534300163567285
30.700000000000003,0.006949400162514836,0.0010851699105938974,0.004335487755753278,0.003705813639361823,0.00026159891871063603,0.0011972266540821242,0.0010992256373178156,0.0003706767180095152,0.00033069240307703176,6.938502530625071e-05,0.0002824355359820963,0.0002613682446462119,9.116888074081628e-05,8.116314338714605e-05,1.2540760296644236e-06,1.1292849092043218e-06,1.1900790022017016e-05,3.845710963192386e-05,3.425932122771019e-05,7.947532610470096e-07,0.05319355001680404
30.75,0.00693764192487602,0.001084929861835447,0.004314161725181107,0.0036855028014134996,0.0002604989299290172,0.0011921481874780262,0.0010937245561110241,0.00036699828430858904,0.00032732860781122154,6.895275471208636e-05,0.00028131570037401033,0.0002601121557704576,9.026040936167429e-05,8.03335353458148e-05,1.2362191166371649e-06,1.113039048080548e-06,1.1820877062418147e-05,3.830710397708231e-05,3.4096220959294535e-05,7.893742614493335e-07,0.052958413803761616
30.8,0.0069258925430116915,0.0010847025050203163,0.004292934019726377,0.0036652980615728254,0.0002594239584512221,0.0011870809066772084,0.0010882428545236885,0.00036335871496276617,0.00032400113268296084,6.852956423784127e-05,0.0002801970328277096,0.0002588595310267914,8.936152226371921e-05,7.951288419749406e-05,1.2186315164078464e-06,1.0970401030131668e-06,1.1742618726285876e-05,3.81572112088495e-05,3.3933538309754786e-05,7.841262003387513e-07,0.05272459879329805
30.85,0.006914152067590541,0.0010844874241901661,0.004271804311036348,0.003645198975455738,0.0002583735726396797,0.0011820249469808265,0.0010827805983797184,0.00035975757953549256,0.00032070956717342636,6.811530489885685e-05,0.00027907958446381426,0.000257610403996671,8.847211462601491e-05,7.87010897071087e-05,1.2013084285194837e-06,1.0812835234145917e-06,1.1665988137158583e-05,3.800743886161144e-05,3.3771278136625296e-05,7.789890052775817e-07,0.05249209613150734
30.900000000000002,0.0069024205489886985,0.0010842842096717366,0.004250772270168551,0.003625205098957423,0.0002573473463969139,0.0011769804409479544,0.0010773378509092173,0.00035619445250165436,0.00031745350554475155,6.770982958416864e-05,0.00027796340559095665,0.00025636480742725876,8.759208278350471e-05,7.789805277381427e-05,1.1842460938208362e-06,1.0657658790900964e-06,1.1590958746695838e-05,3.785779470951215e-05,3.3609445949097314e-05,7.739431458423562e-07,0.05226089704236809
30.950000000000003,0.006890698037290142,0.001084092458010302,0.004229837567617664,0.003605315988277161,0.0002563448591141169,0.0011719475184233073,0.001071914672784962,0.00035266891319119084,0.0003142325467838826,6.731299303994393e-05,0.0002768485457117996,0.0002551227732415427,8.672132421466527e-05,7.710367541845203e-05,1.1674416509257915e-06,1.0504847036307416e-06,1.1517504324824266e-05,3.7708286702174004e-05,3.3448047782917084e-05,7.689730897408496e-07,0.05203099283244098
31.0,0.006878984582287105,0.0010839117719035835,0.004208999873342078,0.003585531199942785,0.00025536569561986143,0.0011669263065649273,0.0010665111221585988,0.00034918054573333346,0.00031104629454707596,6.692465185292549e-05,0.000275735053529117,0.000253884332548414,8.5859737529277e-05,7.631786077112949e-05,1.1508928309552606e-06,1.0354381688448673e-06,1.1445598952974025e-05,3.755892283850695e-05,3.328708994089104e-05,7.640698881796813e-07,0.05180237489203552
