Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(0),J_5s1/2(1),J_total_Nb_relativistic
1.8,0.04047527488317987,0.1379165880061169,0.07387496451775222,0.1520182264140994,0.22387331609851702,0.2070555715803239,0.4215743654519301,0.30865480022303016,0.4663806841519227,0.07679552375480045,0.17319476839368997,0.3291112698710001,0.307055404191489,0.0,0.008945741986376522,2.9269264995242286
1.85,0.040462054450636206,0.13736139308717327,0.07386611722736751,0.15199825735726902,0.21785218357357589,0.20588536135570376,0.41901247895138893,0.30832194072158625,0.4658606085618242,0.07245724428504849,0.15894039477634694,0.30090093019151826,0.2830987382990616,0.0,0.007801093040562949,2.8438187958790637
1.9000000000000001,0.040448477994785036,0.13679357222484753,0.07385655987696188,0.1519766892527715,0.21185020092441856,0.20464872930627653,0.41630805236375784,0.30795420013616903,0.465286272793554,0.06894444907594162,0.14557886552436428,0.2745993590215346,0.2607426741078027,0.0,0.006817182416429386,2.7658052850196144
1.9500000000000002,0.04043454601290241,0.1362133210840818,0.07384625850448791,0.1519534461069626,0.20587627416852136,0.2033454570619487,0.41346097194137976,0.30754963262725626,0.46465468735333176,0.0661483653169335,0.13310657719985478,0.2501819753864204,0.23991412482464494,0.0,0.005979317056900246,2.6926649546456267
2.0,0.040420259015017244,0.1356208387791301,0.0738351787387362,0.15192845106342803,0.19993896193292737,0.20197552676040384,0.4104715696751923,0.30710633456149816,0.46396293296871094,0.06396694145063661,0.12151188529795395,0.22760860176383194,0.2205390184821879,0.0,0.005272719790308907,2.6241592202799637
2.0500000000000003,0.04040561752387178,0.1350163277494282,0.07382328583306721,0.15190162648149413,0.1940464605464438,0.20053911954634057,0.407340617795719,0.3066224556566718,0.46320817785709967,0.062305383543374594,0.11077624164891987,0.2068259747993586,0.20254310926915353,0.0,0.004682907924042311,2.5600373061749857
2.1,0.04039062207488107,0.13439999363410568,0.07381054469936896,0.1518728940151939,0.18820659113640817,0.19903661299933373,0.4040693208872835,0.30609620966148193,0.4623876942217866,0.06107648370685577,0.1008752850296677,0.18777010928754112,0.18585265066889273,0.0,0.004195971078180534,2.5000409831009813
2.15,0.04037527321609156,0.13377204514525862,0.07379691994220071,0.1518421746925924,0.18242678870901358,0.19746857754857136,0.4006593057646645,0.3055258844808667,0.46149887383826205,0.06020076862222415,0.091779869871434,0.17036849022580083,0.17039494914373243,0.0,0.003798766730946157,2.4439086879316587
2.2,0.04035957150813865,0.13313269394010288,0.07378237589308284,0.15180938899537508,0.17671409318142967,0.195835771937681,0.3971126092717317,0.30490985166823603,0.4605392426110392,0.05960649530977411,0.08345702243122749,0.15454207711743287,0.15609881456657776,0.0,0.0034790494016028947,2.3913790578334324
2.25,0.04034351752420342,0.13248215449212694,0.0737668766448929,0.15177445693860406,0.17107514232397392,0.19413913780698205,0.3934316641698644,0.30424657521722576,0.4595064739991107,0.0592295198351427,0.07587081761816653,0.14020711246813666,0.14289492149640948,0.0,0.003225547017492709,2.3421939175523327
2.3000000000000003,0.04032711184996829,0.13182064396136375,0.07375038608632847,0.15173729815054685,0.16551616656142476,0.19237979346380082,0.38961928329021067,0.3035346195968795,0.4583984012262956,0.059013062806083594,0.0689831728592279,0.12727673271228693,0.13071609354662655,0.0,0.0030279958640054175,2.2961007619750493
2.35,0.04031035508357189,0.1311483820639008,0.07373286793639772,0.15169783195248407,0.16004298557424818,0.19055902691397988,0.3856786421281512,0.30277265698547856,0.4572130282107353,0.05890739342960982,0.06275455799712473,0.11566238476901669,0.11949752152259033,0.0,0.0028771436217575846,2.2528547781890467
2.4000000000000004,0.04029324783556291,0.13046559094074692,0.07371428577889842,0.1516559774384029,0.15466100663304772,0.18867828822942778,0.38161326006078666,0.30195947366935316,0.45594853916540246,0.05886945168090735,0.057144622291154086,0.10527505522398127,0.10917692470243566,0.0,0.0027647283412221522,2.2122204519913296
2.45,0.04027579072885306,0.12977249502617422,0.0736946030968473,0.1516116535544842,0.14937522459296287,0.18673918132752904,0.3774269803689639,0.3010939755837714,0.4546033068384674,0.05886242587481621,0.05211274120018257,0.09602632192123332,0.09969466346976323,0.0,0.0026834397830142833,2.1739728033670627
2.5,0.040257984398669136,0.12906932091565262,0.07367378330682137,0.1515647791782928,0.14419022346901997,0.18474345523850105,0.3731239492444101,0.3001751929832816,0.4531758993785008,0.05885530069995107,0.04761848682689282,0.08782923968580791,0.09099381047869477,0.0,0.0026268683420840955,2.1378982941465803
2.5500000000000003,0.040239829492504174,0.12835629723349362,0.07365178979317376,0.15151527319758148,0.1391101795085886,0.18269299493639618,0.368708593960088,0.2992022842385712,0.4516650858246346,0.058822388629299165,0.04362202675384742,0.08059907312582079,0.0830201866764013,0.0,0.0025894457479779674,2.1037954491183783
