Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(5),J_7s1/2(2),J_total_Rg_relativistic
0.5,0.005185994355063535,0.019600936495262723,0.00904928295390396,0.01224879929365277,0.04355003853951668,0.024997585991842302,0.030021373240684313,0.01909900412642041,0.02009151666189858,0.08283984931825034,0.05195766126614313,0.06089587969178497,0.04412361024956882,0.04590942594991829,0.03418959679864282,0.034845790553812914,0.15183469090083287,0.10220618387554718,0.12086721147800625,0.09630407863865222,0.10066653016657341,0.09606832799374268,0.09855046389829264,0.29180376877531566,0.22942313272944936,0.28680364228666455,0.31478186655452434,0.3550570344814634,0.2616388043384267,11.112765314767758
0.55,0.005185950720938234,0.019599217456507063,0.00904928275298459,0.012248798846111008,0.04352870612684124,0.024997571750421055,0.03002133810334953,0.019099004115830463,0.0200915166476443,0.08267146737231816,0.05195708420502769,0.060894594081450835,0.04412360728463541,0.04590942207744658,0.03418959679075683,0.03484579054462243,0.15067716658237895,0.10218845225042623,0.12082643323815263,0.09630337113397718,0.10066556376728068,0.09606818319349948,0.09855027175080083,0.2821686069721128,0.22854668099069445,0.28425703733026747,0.3110239762860511,0.34612466115380924,0.19742071201936118,10.890511939071525
0.6000000000000001,0.005185902931834491,0.01959733489552703,0.00904928250398372,0.012248798258869691,0.043505354709545946,0.02499755306898372,0.030021292018821942,0.019099004099212693,0.020091516625276275,0.08248746060050181,0.05195632820004271,0.06089291085965321,0.044123602640010216,0.04590941601220897,0.03418959677600914,0.03484579052743702,0.14942008162761652,0.10216533753803564,0.1207734208716355,0.09630227271250362,0.10066406511010928,0.09606792081249162,0.09854992462030586,0.2720057531347947,0.22743612607780025,0.28110219779287116,0.3063070927418381,0.3358119695255881,0.1483175155529623,10.683491090491376
0.65,0.005185850987930255,0.01959528886568115,0.009049282199012992,0.012248797505483425,0.04347998773001234,0.02499752910968386,0.03002123292505697,0.01909900407408689,0.02009151659145641,0.0822879401426722,0.051955359957997806,0.06089075656478749,0.04412359563060992,0.04590940686065216,0.03418959674981869,0.034845790496920916,0.14806624222969525,0.10213589402555591,0.12070609522242062,0.09630063114435734,0.10066182816320456,0.09606747044647912,0.09854933069041717,0.2614039885354091,0.22606440390681393,0.2772985954788217,0.30063039882580517,0.3243428552534885,0.11203386994409592,10.48818186339065
0.7000000000000001,0.005185794889418943,0.01959307942495546,0.009049281829500752,0.01224879655722026,0.04345260892621172,0.02499749896318967,0.030021158585424357,0.01909900403727648,0.020091516541909736,0.08207302632765705,0.05195414351522656,0.060888052028413575,0.044123585382541866,0.0459093934834208,0.03418959670530842,0.03484579044506573,0.1466186534924275,0.10209911973385548,0.1206222783622731,0.09629825628527704,0.10065859627638583,0.09606673245364489,0.09854836073421176,0.25045308962850743,0.2244070470795606,0.27281978554241415,0.29403169028060716,0.3119599807478375,0.08614575531239443,10.301116752429028
0.75,0.005185734636509438,0.01959070663596039,0.00904928138619271,0.012248795383064946,0.04342322233077225,0.024997461649024902,0.03002106658988035,0.019099003984789822,0.02009151647126489,0.08184284855632289,0.05195264029258922,0.060884712540812826,0.0441235708024837,0.045909374455699654,0.03418959663247562,0.03484579036022571,0.14508050883062004,0.10205396238924407,0.12051971175763616,0.09629491561581967,0.10065405652549315,0.09606557078711708,0.09854683934572529,0.23924262319566647,0.22244285732719848,0.2676542929363576,0.2865792132385087,0.2989021180922744,0.06836083114936249,10.119258805497626
0.8,0.005185670229426088,0.01958817056592745,0.009049280859152659,0.012248793949722446,0.04339183226997301,0.02499741611593637,0.03002095435623024,0.01909900391169256,0.02009151637288261,0.08159754517606582,0.05195080915442402,0.060880648027931625,0.04412355054527199,0.04590934802530469,0.03418959651716262,0.03484579022592144,0.14345517878247233,0.1019993256749181,0.12039607501954931,0.09629033002117388,0.10064783447215866,0.09606380544796024,0.09854453588504554,0.22786079939290663,0.22015446886497705,0.2618058331376771,0.27836283752238405,0.2853899449024146,0.056661692562327996,9.940181423676169
0.8500000000000001,0.005185601668408701,0.01958547128670563,0.00904928023776323,0.012248792221621707,0.043358443362665436,0.02499736124228783,0.030020819131480563,0.019099003811971202,0.02009151623867256,0.08133726334688299,0.05194860647134601,0.06087576323929972,0.044123522979843115,0.04590931206872253,0.03418959633980155,0.034845790019381734,0.1417461992884736,0.1019340757216772,0.12024900506898153,0.09628416990745622,0.10063948947151319,0.09606120482908885,0.09854115550367278,0.21639340189814288,0.21752879136926012,0.2552929193342405,0.2694858100872273,0.27161868382571364,0.04936384207548589,9.762111596066482
0.9,0.005185528953712547,0.01958260887475759,0.009049279510726727,0.012248790160919691,0.04332306051912249,0.02499729583648011,0.03002065799328008,0.019099003678388043,0.020091516058898567,0.08106215889920708,0.051945986186785774,0.06086995794648749,0.0441234861536767,0.04590926404530734,0.03418959607390683,0.03484578970979332,0.13995725949331841,0.10185704779631492,0.12007611554859701,0.09627605174451986,0.100628510649718,0.09605747824504932,0.09853633063521088,0.20492281147003585,0.21455732612043887,0.24814793436088103,0.2600577631699104,0.25775557775172914,0.045118347518131194,9.583889507340663
0.9500000000000001,0.005185452085608352,0.019579583411155566,0.009049278666065981,0.012248787727505662,0.04328568893981595,0.024997218637397258,0.03002046785144867,0.0190990035023276,0.020091515821972564,0.0807723961836974,0.05194289988715448,0.06086312715164301,0.04412343775589916,0.04590920094985358,0.03418959568428855,0.03484578925622781,0.13809218912908897,0.10176705314523496,0.11987501631241068,0.09626553511782666,0.10061431366021811,0.09605226895020276,0.09852961333138611,0.1935271360987956,0.2112363535342563,0.24041576330499292,0.250189217973932,0.24394040811576514,0.04288301741240177,9.404884592732243
