Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Tb_relativistic
73.3,0.0013719933623175934,0.0003101299722894607,0.00011612546321864438,6.310445459829211e-05,7.364380706960956e-05,3.1617127878348324e-05,1.7830420119061112e-05,8.460444592471576e-07,5.946701652254528e-07,1.8085887785948103e-05,7.570504190098838e-06,4.243343267599998e-06,2.0328502390955612e-07,1.4237233258728088e-07,4.687158535398885e-10,3.759566425686098e-10,2.982119100298349e-06,1.011391859479744e-06,5.408762556004416e-07,1.858136125901018e-07,0.0042181907886909105
73.35000000000001,0.0013693145211507054,0.0003094531233694903,0.00011570838977221388,6.284644867532706e-05,7.348030171056716e-05,3.1500122033182584e-05,1.7755485912063717e-05,8.414182430329677e-07,5.912402482592486e-07,1.8045590709578245e-05,7.542291495262845e-06,4.225391921961926e-06,2.0216315281384477e-07,1.4154286386343417e-07,4.661227822101891e-10,3.7387763629284945e-10,2.9753347960993516e-06,1.007626989103273e-06,5.385924483228137e-07,1.8537464526306404e-07,0.0042084639717993606
73.4,0.001366641258910216,0.0003087777706548708,0.00011529302473544833,6.258961542434817e-05,7.331715690591501e-05,3.138361005473995e-05,1.7680902220452347e-05,8.368201193363941e-07,5.878320501494518e-07,1.8005381883037597e-05,7.514197927932646e-06,4.207524124741265e-06,2.0104852615781716e-07,1.4071903920471104e-07,4.6365273981317045e-10,3.719014752667588e-10,2.968569689616015e-06,1.0038868562982196e-06,5.363249494240276e-07,1.849374769175227e-07,0.004198763735804814
73.45,0.0013639735642919574,0.0003081039115620886,0.00011487936035914215,6.233394903025502e-05,7.315437210257972e-05,3.126758963666405e-05,1.760666725415925e-05,8.322499013717843e-07,5.844454214914346e-07,1.7965261119962646e-05,7.4862230012318925e-06,4.1897395329363624e-06,1.999411895140126e-07,1.3990090875326078e-07,4.6129895280805616e-10,3.7002233384747027e-10,2.9618255857468303e-06,1.0001710067103771e-06,5.340735015618464e-07,1.8450240217381073e-07,0.0041890899996178945
73.5,0.0013613114260096026,0.0003074315435052685,0.0001144673889321351,6.207944370891473e-05,7.299194674602613e-05,3.115205848423194e-05,1.7532779232936573e-05,8.277074036997563e-07,5.810802139885036e-07,1.7925228240116025e-05,7.4583662418039015e-06,4.1720378197087134e-06,1.9884118114342745e-07,1.3908851574263587e-07,4.5905314469428287e-10,3.682331079304153e-10,2.9551041835895874e-06,9.964788544666678e-07,5.318377514463205e-07,1.8406975802877151e-07,0.004179442681698515
73.55,0.0013586548327946706,0.0003067606638962414,0.00011405710278111396,6.182609370698725e-05,7.28298802802818e-05,3.1037014314292096e-05,1.7459236386299393e-05,8.231924422167513e-07,5.777362804430889e-07,1.7885283070187308e-05,7.430627188599999e-06,4.1544186729087185e-06,1.9774853076881893e-07,1.3828189533683264e-07,4.569057387874347e-10,3.6652562986553667e-10,2.9484070499607713e-06,9.928096888023836e-07,5.29617252043297e-07,1.8363984482692575e-07,0.004169821699848854
73.60000000000001,0.00135600377339653,0.0003060912701446119,0.00011364849427041539,6.157389330175187e-05,7.266817214796123e-05,3.0922454855202805e-05,1.7386036953469082e-05,8.187048341446701e-07,5.744134747480058e-07,1.7845425444494656e-05,7.4030053915228335e-06,4.1368817934154185e-06,1.9666325848492848e-07,1.3748107359988494e-07,4.5484602508178046e-10,3.648907941417056e-10,2.9417355951738702e-06,9.89162684662507e-07,5.274114691200362e-07,1.8321283872043173e-07,0.004160226971018755
73.65,0.0013533582365824076,0.00030542335965782574,0.00011324155580183028,6.132283680093488e-05,7.250682179029013e-05,3.0808377846770975e-05,1.7313179183317135e-05,8.142443980205978e-07,5.711116518777905e-07,1.780565520557641e-05,7.3755004099437735e-06,4.119426893313962e-06,1.9558537382104957e-07,1.366860666105682e-07,4.5286230007558956e-10,3.6331860334664264e-10,2.935091051622126e-06,9.855369171127902e-07,5.252197920495178e-07,1.8278874653772033e-07,0.004150658411226206
73.7,0.0013507182111373885,0.00030475692984123525,0.00011283627981440816,6.10729185425378e-05,7.234582864712908e-05,3.0694781040191027e-05,1.72406613343091e-05,8.098109536865979e-07,5.678306678800959e-07,1.776597220466305e-05,7.348111811115232e-06,4.102053693936861e-06,1.9451487496879474e-07,1.3589687973425633e-07,4.509420309633319e-10,3.617982214616066e-10,2.9284744556433264e-06,9.819313790732701e-07,5.230415483727483e-07,1.8236743697083102e-07,0.0041411159356594205
73.75,0.0013480836858644238,0.0003040919780981658,0.0001124326587842637,6.082413289466705e-05,7.21851921569974e-05,3.0581662197984385e-05,1.716848167444906e-05,8.054043222796004e-07,5.645703798671676e-07,1.7726376302022067e-05,7.320839168500616e-06,4.084761923797293e-06,1.9345174818520062e-07,1.3511350706132049e-07,4.4907210082237953e-10,3.6031814091307907e-10,2.9218866330471865e-06,9.783450016016885e-07,5.208760212446418e-07,1.819487395068246e-07,0.004131599458940117
