Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_total_Cn_relativistic
96.9,0.0017271730793617642,0.0003671317656803535,0.0008130663374677284,0.0002542581695871436,8.198762783462244e-05,0.00024601977717634405,9.67310475279739e-05,1.3298460678706134e-05,6.8310389208064e-06,2.3125606324470523e-05,7.37269347879214e-05,3.0832745189200364e-05,5.0464296246814e-06,2.630984646387393e-06,6.154515172594721e-08,3.7352867232810345e-08,6.892777714318614e-06,2.1659501089795112e-05,9.027910098164454e-06,1.3904608920304253e-06,7.182453294338943e-07,1.493526955477093e-08,9.02549074015484e-09,1.6480555653869823e-06,4.7027769320032415e-06,1.716791351371838e-06,1.501957090662575e-07,6.589561630034091e-08,1.4249735053110666e-07,0.008446669213672866
96.95,0.001725700359492518,0.0003670113783021928,0.0008116913255642186,0.0002536225619463077,8.19810395425246e-05,0.00024561860223868245,9.648439766173403e-05,1.3251615804578922e-05,6.8042607828794765e-06,2.3124961906311043e-05,7.360886942562544e-05,3.075375289661781e-05,5.02850649996051e-06,2.62058913544774e-06,6.124762121545541e-08,3.7161366799291856e-08,6.892665897382388e-06,2.1625032932006484e-05,9.004774010532392e-06,1.385472655176257e-06,7.153686662193206e-07,1.4859953826786916e-08,8.976874081717463e-09,1.64802502438451e-06,4.69521838792493e-06,1.7123625808313632e-06,1.4965075793681832e-07,6.562410560366264e-08,1.4249401412443806e-07,0.008435113132228698
97.0,0.0017242287541870355,0.0003668906596356794,0.0008103189233815534,0.00025298870047947575,8.197437009172511e-05,0.00024521810233126863,9.62384309821489e-05,1.3204955482113591e-05,6.777597837689199e-06,2.312430097817672e-05,7.349099089212392e-05,3.067497947518444e-05,5.010654508107532e-06,2.6102386906307066e-06,6.09516667092211e-08,3.697093063805267e-08,6.892550101832581e-06,2.159061636838785e-05,8.981697359146306e-06,1.3805026303191846e-06,7.125029490110171e-07,1.4785698509989717e-08,8.92906253480542e-09,1.6479929467562854e-06,4.687681109724876e-06,1.7079482944676724e-06,1.4910706379830434e-07,6.535303009375112e-08,1.4249038610514246e-07,0.008423578549101036
97.05000000000001,0.0017227582630679758,0.00036676961044175213,0.0008089491257032627,0.000252356580064641,8.196761924585714e-05,0.00024481827654291704,9.599314551658664e-05,1.315847891304499e-05,6.751049548349267e-06,2.3123623383453407e-05,7.3373299001203e-05,3.059642429854528e-05,4.992873339099355e-06,2.5999330997330327e-06,6.06572791558152e-08,3.678155236389686e-08,6.892430264552441e-06,2.1556251323332725e-05,8.95867983417078e-06,1.3755510212411667e-06,7.096483796859855e-07,1.4712521021193125e-08,8.882069831311847e-09,1.647959363723161e-06,4.680165545920184e-06,1.7035485303205176e-06,1.485646472583021e-07,6.508244594483956e-08,1.4248647227297012e-07,0.008412065413992984
97.10000000000001,0.0017212888857566352,0.0003666482314832695,0.0008075819273227112,0.0002517261955953198,8.19607867726075e-05,0.00024441912396188384,9.574853929799068e-05,1.3112185302843352e-05,6.724615380656103e-06,2.3122928967349615e-05,7.325579356603265e-05,3.051808674202911e-05,4.9751626843878725e-06,2.5896721516354177e-06,6.036444959366169e-08,3.659322566539562e-08,6.8923063226478395e-06,2.152193773267361e-05,8.935721157741224e-06,1.3706180399344357e-06,7.068051677497907e-07,1.464043348093202e-08,8.835905299271932e-09,1.647924314011748e-06,4.672672070882047e-06,1.6991632945770245e-06,1.480235546151991e-07,6.481243251868481e-08,1.4248228502785618e-07,0.008400573676930744
97.15,0.0017198206218729496,0.00036652652352498134,0.000806217323043083,0.0002510975419805044,8.195387244368673e-05,0.0002440206436758803,9.550461036486608e-05,1.3066073860695532e-05,6.698294803074561e-06,2.3122217576883746e-05,7.31384743991729e-05,3.0439966182646277e-05,4.957522236895752e-06,2.579455636300927e-06,6.007316915028558e-08,3.640594430428674e-08,6.892178213479322e-06,2.1487675543874423e-05,8.912821084667853e-06,1.3657039045922885e-06,7.039735285098581e-07,1.4569442746081943e-08,8.790573918216445e-09,1.6478878433662212e-06,4.66520098348959e-06,1.6947925644984268e-06,1.4748385434405157e-07,6.454308360615195e-08,1.4247784205999584e-07,0.008389103288186766
97.2,0.0017183534710355005,0.00036640448733350127,0.0008048553076773713,0.00025047061414461714,8.194687603479938e-05,0.00024362283477208713,9.52613567612665e-05,1.3020143799486481e-05,6.672087286723798e-06,2.3121489060871395e-05,7.302134131258063e-05,3.036206199908692e-05,4.93995169101219e-06,2.569283344773344e-06,5.97834290413449e-08,3.6219702114665133e-08,6.892045874698189e-06,2.1453464716145634e-05,8.889979402928046e-06,1.3608088375648822e-06,7.011536812156004e-07,1.44995504901237e-08,8.746076416220323e-09,1.6478500039725886e-06,4.657752506425033e-06,1.6904362920779663e-06,1.4694563246509532e-07,6.427449815053766e-08,1.4247316451968022e-07,0.008377654198197582
97.25,0.0017168874328615201,0.00036628212367727865,0.0008034958760483654,0.0002498454070274641,8.193979732561439e-05,0.00024322569633716842,9.501877653678091e-05,1.2974394335780743e-05,6.6459923053631805e-06,2.3120743269912745e-05,7.290439411761591e-05,3.0284373571719257e-05,4.922450742588556e-06,2.5591550691753985e-06,5.949522056944899e-08,3.6034493001966214e-08,6.891909244286397e-06,2.1419305220480908e-05,8.867195933943627e-06,1.3559330632944303e-06,6.983458471788859e-07,1.4430753326470466e-08,8.702409403750107e-09,1.6478108538057975e-06,4.650326786073301e-06,1.6860944082378616e-06,1.4640898815982247e-07,6.40067730573499e-08,1.4246827519691445e-07,0.008366226357497786
97.30000000000001,0.0017154225069668954,0.00036615943332657104,0.0008021390229886377,0.0002492219155841891,8.193263609973571e-05,0.0002428292274572852,9.477686774652027e-05,1.292882468980406e-05,6.620009335378274e-06,2.3119980056380032e-05,7.278763262504845e-05,3.020690028258804e-05,4.905019088933927e-06,2.549070602706863e-06,5.920853512276744e-08,3.58503109417465e-08,6.89176826059999e-06,2.1385197039614818e-05,8.8444705326412e-06,1.3510768062443328e-06,6.955502478884996e-07,1.4363042969793584e-08,8.659565539000952e-09,1.6477704559110653e-06,4.642923892981502e-06,1.6817668273548803e-06,1.4587403068442324e-07,6.373999966468486e-08,1.4246319719824446e-07,0.008354819716683792
97.35000000000001,0.0017139586929661747,0.00036603641705341695,0.0008007847433405331,0.00024860013478522825,8.192539214467308e-05,0.00024243342721810962,9.453562845110454e-05,1.2883434085425135e-05,6.594137855766943e-06,2.3119199274405073e-05,7.267105664506418e-05,3.0129641515413286e-05,4.8876564288105255e-06,2.5390297396425005e-06,5.892336417343628e-08,3.5667149978267225e-08,6.891622862415786e-06,2.135114016790164e-05,8.821803087295057e-06,1.3462402888367618e-06,6.927671031322501e-07,1.4296406429993877e-08,8.617533719207058e-09,1.647728877631535e-06,4.635543822828167e-06,1.6774534518953562e-06,1.4534087806568556e-07,6.347426422652768e-08,1.4245795341638052e-07,0.008343434226411246
