Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(2),J_total_Po_relativistic
1.0,0.008511075151907709,0.030348029480057565,0.014738031021473343,0.016916591432310397,0.06546808127037633,0.0390322726834673,0.04262781903306742,0.02741727832872346,0.028204603920748052,0.12289291758229387,0.08485605428197104,0.09253066617509714,0.0692434981621431,0.07106367036431151,0.05762755061839215,0.0584090022969614,0.18781251192971837,0.18589766582377912,0.20072058302610468,0.19220784014970088,0.19806288403614908,0.06392216381430361,0.10593674513800122,0.05746848973137327,7.097449453059331
1.05,0.008510769781862269,0.030335989933532346,0.014738021883322745,0.01691657533684257,0.06532202550224035,0.039031337878175656,0.04262637237413143,0.027417274573323283,0.02820459947155361,0.1216610061608261,0.084810175355846,0.09246074929040309,0.06924151928290095,0.07106131780871337,0.05762735612543772,0.058408782776222766,0.17927306945305338,0.18381108274940147,0.19758931691455953,0.19066139712671956,0.19619010737360976,0.057320819649304994,0.08788308038783686,0.04590208725629524,6.970622298464586
1.1,0.008510449532809527,0.030323368794593863,0.014738011352662346,0.016916556780423496,0.06516921473082761,0.03903026169017142,0.04262470748551397,0.027417269821057726,0.0282045938418693,0.12038305964285267,0.08475772032210792,0.0923809430747681,0.06923903949709383,0.07105837158682228,0.057627091739893326,0.05840848459428223,0.17077501214739843,0.1815129179478812,0.19417551018165313,0.18888699037877527,0.19405690461772687,0.05281451282961755,0.07273782886578448,0.03689951929236804,6.854817470647422
1.1500000000000001,0.008510114407189923,0.0303101668746813,0.014737999295025802,0.016916535525325876,0.06500970075062044,0.03902903084339549,0.04262280401523476,0.02741726387227276,0.02820458679546099,0.11906091780771887,0.08469815811823535,0.09229048065191592,0.06923596693402036,0.07105472344935146,0.05762673806930307,0.05840808602538302,0.16235811249844959,0.1790029338151646,0.19048614728577548,0.18687764407680413,0.19165876003890892,0.04990472928229297,0.06016212842793228,0.02997880996994408,6.747446511947909
1.2000000000000002,0.008509764407557097,0.030296385022231014,0.014737985569874023,0.016916511323152954,0.06484353753215796,0.03902763153743274,0.04262064083404521,0.02741725649929235,0.02820457806299639,0.11769646902041295,0.08463095205719277,0.09218859308613364,0.06923219916019523,0.07105025287925097,0.05762627188397733,0.058407561081009335,0.15405959388666007,0.1762829795039616,0.18653139269251934,0.18462950978546247,0.18899493000824358,0.04816332135452729,0.04982763001607645,0.024731746974055203,6.646277092942366
1.25,0.00850939953657784,0.030282024122575742,0.01473797003061972,0.016916483914890847,0.06467078119124751,0.039026049459725085,0.04261819605747731,0.02741724744407015,0.028204567339285006,0.1162916458578196,0.08455556196531948,0.0920745129898407,0.06922762278388245,0.07104482667338535,0.057625665680713534,0.05840687903589813,0.1459139214434008,0.17335694682263172,0.18232436828112739,0.18214188873996964,0.1860683499065593,0.04723197566002119,0.04142551189011229,0.020816476708803423,6.5494333001095875
1.3,0.008509019797032056,0.030267085097839475,0.014737952524652998,0.01691645303096311,0.06449148995702171,0.039024269798221684,0.04261544706864706,0.027417236415781032,0.02820455428044983,0.11484842067698071,0.08447144632289307,0.09194747810135279,0.06922211312297963,0.07103829860357785,0.057624887247867615,0.05840600395830343,0.13795263586468332,0.1702306935212259,0.17788088436836239,0.17941716479061426,0.18288544289104902,0.04681849083656678,0.03467171828129699,0.017949382856332383,6.455379448468388
1.35,0.008508625191812714,0.030251568906828022,0.014737932893368007,0.016916418391287505,0.06430572413886788,0.03902227725445307,0.04261237054178493,0.02741722308835768,0.02820453850103729,0.1133688011396191,0.08437806439830517,0.09180673481538913,0.0692155339411397,0.07103050916251244,0.05762389923884825,0.05840489425249176,0.13020422974346627,0.16691193741836688,0.1732191339247294,0.17646066032084518,0.17945584954574323,0.04669104018154751,0.02930948629342905,0.015897082885105756,6.362893773693254
1.4000000000000001,0.008508215723925794,0.03023547654491529,0.014737910972190604,0.016916379705334942,0.06411354609225715,0.03902005605701582,0.04260894246646501,0.02741720709797764,0.028204519571072017,0.1118548257071253,0.08427487836694439,0.09165154164942652,0.06920773725634329,0.07102128539910844,0.057622658761224674,0.058403502221511694,0.1226940653316135,0.16341012520029313,0.16835935961926096,0.1732804288349518,0.17579209774681126,0.046671333115074515,0.025109990366109284,0.014468985853930243,6.271036591823223
1.4500000000000002,0.008507791396490248,0.030218809043925304,0.014737886590607069,0.016916336672190595,0.06391502018350168,0.03901758997545391,0.0426051381725037,0.027417188040506295,0.028204497013063125,0.1103085591200928,0.08416135540608408,0.0914811726296513,0.0691985632254271,0.07101044084707016,0.05762111698859623,0.058401773658161016,0.11544433206340593,0.15973627997076698,0.16332350309701602,0.16988699834225685,0.1719092313031333,0.04662735509313157,0.02187172995789063,0.013510612798867254,6.1791161500951075
1.5,0.00850735221273794,0.03020156747200996,0.014737859572193826,0.016916288980617172,0.06371021275346898,0.039014862334522574,0.042600932355498264,0.02741716546890137,0.02820447029896887,0.10873208787631516,0.08403696975731673,0.09129492058099749,0.06918784010734191,0.07099777554937646,0.057619218802173584,0.05839964747177919,0.10847404167053991,0.15590283175410463,0.1581348454128626,0.16629307932971998,0.16782441439626564,0.04646616742045527,0.01941911999353882,0.012897737758115325,6.086654364149334
1.55,0.008506898176013591,0.03018375293352258,0.014737829734648189,0.016916236309120328,0.06349919208028346,0.039011856028820055,0.042596299102974716,0.02741713889058459,0.02820443884712659,0.10712751572093104,0.08390120474836157,0.09109210030657483,0.06917538430716465,0.07098307618052538,0.057616902468675485,0.0583970553580328,0.10179905829767529,0.15192343516302184,0.15281764686402527,0.16251325020893104,0.1635565268197899,0.04612708842659106,0.017600613648894467,0.01253132763194667,5.993353877899889
1.6,0.008506429289774735,0.030165366568887245,0.014737796889820118,0.016916178326016173,0.06328202834104547,0.0390085535377724,0.042591211921114,0.027417107764786293,0.02820440201915493,0.10549695916212252,0.08375355476639323,0.09087205164267977,0.06916100050213345,0.07096611626739617,0.05761409936066516,0.0583939215182545,0.09543216068935793,0.14781277835046785,0.14739679363091768,0.15856363182779046,0.15912576273961743,0.045575453339643704,0.01628658837456215,0.012333218516248714,5.899067332580981
