Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Ac_relativistic
1.3,0.007798998428091238,0.02790895081418663,0.01349867725893857,0.015836412912187296,0.059674775022222785,0.03582686954535053,0.03963325419102372,0.025436007244997928,0.026259840731766567,0.1071311559615456,0.07663966920281684,0.08427783496313426,0.06275633329531605,0.06453505703307001,0.0507744861780219,0.051484783223816444,0.1417555507028835,0.15437595143974306,0.16503341149510733,0.15394325498699302,0.15806667343037636,0.05932990811492656,0.111869417037814,0.07995965300491259,0.15394325498699302,0.015130262693143319,6.493022885834949
1.35,0.0077986869392982425,0.027896742976381932,0.013498664224738588,0.015836387889992497,0.059528866688839326,0.035825559609455944,0.039631098077593824,0.025435999410614904,0.026259831263470652,0.10598418911250027,0.07658130091227328,0.08418526558368468,0.06275304505043607,0.06453111166934264,0.05077423947506756,0.05148450651645947,0.1354978388426038,0.1524928623406825,0.1622404055545925,0.15295011382634455,0.15689473830242306,0.055901394260086536,0.09855713644191186,0.0687169140912012,0.15295011382634455,0.012590495458589888,6.366890083772409
1.4000000000000001,0.007798363715508423,0.027884080753520783,0.013498649672114602,0.01583635994300695,0.05937785073134163,0.03582409880290986,0.039628694659280476,0.0254359900070155,0.026259819900021845,0.10480772619767403,0.07651667067950685,0.08408296104551301,0.0627491361935512,0.06452642471194875,0.05077392656806296,0.05148415574834858,0.12933264950893397,0.15047538534772867,0.15927595006335,0.15183631453156762,0.15558589737704712,0.053460262435818834,0.08656520801510187,0.059112363386942555,0.15183631453156762,0.010538755769797523,6.250576454441663
1.4500000000000002,0.007798028758864258,0.02787096484047747,0.013498633487913787,0.01583632885334827,0.05922177024901771,0.035822476311896,0.03962602640446649,0.02543597879499962,0.02625980635290426,0.10360312871184851,0.07644541321137409,0.08397038938658251,0.0627445220611821,0.0645208957912943,0.050773533595898375,0.051483715478980265,0.12327917533432188,0.14832549988657195,0.1561472140147798,0.15059755692228916,0.15413634711015384,0.0518079609863531,0.07587048499819547,0.0510115452131608,0.15059755692228916,0.008915175009859057,6.143006448032258
1.5,0.007797682071585831,0.027857395956706256,0.013498615555033393,0.015836294395605077,0.059060669700888274,0.035820681010679076,0.03962307530449129,0.0254359655097319,0.026259790302764905,0.10237177895381715,0.07636716402839501,0.08384702527390306,0.0627391109956621,0.06451441641770485,0.050773044614434076,0.05148316796582795,0.11735511564409518,0.1460461276140416,0.15286270668899055,0.1492305405042081,0.1525435152630256,0.05076364939574788,0.06642801296452336,0.04427017196399431,0.1492305405042081,0.00765880233241748,6.043071436820615
1.55,0.007797323655970801,0.0278433748461683,0.0134985957524382,0.015836256336878653,0.05889459488439482,0.035818701469870276,0.039619822889783426,0.025435949859127623,0.02625977139748725,0.1011150774805173,0.07628156062827773,0.08371235200747286,0.06273280423653581,0.06450686988669373,0.05077244141842424,0.051482492971801595,0.11157662359190611,0.14364109632427208,0.14943216050743616,0.14773301761588306,0.1508061003383516,0.05016607700027755,0.05817561779165166,0.038740038718848284,0.14773301761588306,0.006710613199869207,5.949672181575127
1.6,0.007796953514394368,0.02782890227725616,0.013498573955178556,0.01583621443682595,0.0587235929134974,0.03581652596490679,0.03961625024637972,0.025435931522215398,0.026259749250239377,0.09983444055494578,0.07618824363726656,0.08356586347921208,0.06272549584838231,0.06449813122958432,0.05077170336528635,0.051481667575611505,0.10595826896875168,0.14111509432383146,0.14586640189613367,0.14610382608041503,0.14892408593043507,0.049874480441638044,0.05103820566798573,0.03427381630021115,0.14610382608041503,0.0060154797200076635,5.861751908457
1.6500000000000001,0.007796571649309236,0.02781397904271586,0.013498550034408984,0.015836168447703962,0.05854771219619739,0.035814142484738055,0.0396123380328141,0.025435910147479732,0.026259723437500486,0.09853129759428,0.07608685794554404,0.08340706607951108,0.06271707268636745,0.06448806721082534,0.050770807202706915,0.05148066598726754,0.10051301620430761,0.13847361635327624,0.14217721292551613,0.14434290178514697,0.1468987312244825,0.04976866780458352,0.04493167167459644,0.030728797978619174,0.14434290178514697,0.005523355710763148,5.778320953858454
1.7000000000000002,0.007796178063245582,0.027798605959566517,0.013498523857407374,0.01583611811441542,0.05836700241150093,0.03581153874071134,0.03960806649735878,0.025435885351186526,0.026259693497069664,0.09720708862453081,0.07597705382302976,0.08323548054437357,0.06270741440054643,0.06447653637297172,0.05076972690209524,0.051479459370954585,0.09525221693005592,0.13572290219677677,0.13837718645808694,0.14245127211609596,0.1447325394305711,0.049748453324004016,0.039766355673749115,0.027969703846750238,0.14245127211609596,0.005189880709004609,5.698474034242401
1.75,0.007795772758811016,0.02778278386901757,0.013498495287594727,0.015836063174555853,0.058181514485838914,0.035808702175648986,0.03960341549560024,0.025435856715694656,0.026259658926060764,0.09586326174793645,0.07585848801204367,0.08305064373652114,0.06269639347965056,0.06446338912993443,0.05076843349988837,0.051478015677500835,0.09018561634283001,0.13286986916117288,0.134479577444954,0.14043103159242523,0.14242920636548095,0.04973259597423526,0.03545001821430961,0.025870661454572584,0.14043103159242523,0.004976564327544897,5.621401221630483
1.8,0.007795355738690543,0.02776651363638364,0.013498464184555475,0.01583600335846194,0.05799130056896,0.03580561997310954,0.039598364508332005,0.025435823787756766,0.026259619178887396,0.09450127062917126,0.07573082479343986,0.08285211035423735,0.06268387533480219,0.06444846790873374,0.050766894948672495,0.05147629948859851,0.08532137249565501,0.12992203962229298,0.1304981528763776,0.1382853013763053,0.13999355170172803,0.04965738039211196,0.031890335411479113,0.02431648544816557,0.1382853013763053,0.0048506765173663,5.546393675817409
1.85,0.007794927005646526,0.027749796150996948,0.013498430404058357,0.01583593838926118,0.05779641400931314,0.035802279066825,0.03959289265974626,0.025435786076812468,0.02625957366524191,0.09312257200628898,0.07559373702296662,0.08263945456216404,0.06266971842331401,0.06443160733962579,0.0507650759800204,0.05147427187484835,0.08066608755043592,0.1268874648312218,0.12644704271740773,0.1360181745756158,0.13743143559435417,0.049474961285260174,0.02899693110029328,0.023203375853404207,0.1360181745756158,0.004784940093737096,5.472845119134846
