Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(2),J_total_Nd_relativistic
1.1,0.013195458754312932,0.04657675737831246,0.023228918884183703,0.024750185938963658,0.09993679284772727,0.06284156036405897,0.06558201333371401,0.043098416873352675,0.04372220263568189,0.16497536819341127,0.1412815512102209,0.14696385333079606,0.11977890090024917,0.12147479349444835,0.12147479349444835,0.09926376539696967,0.19580217000645647,0.18457735395600888,0.029005738870489118,5.638120973227414
1.1500000000000001,0.013194301987104341,0.04652923821076757,0.023228810774773567,0.02475004452436274,0.09932970510247628,0.06282884845180645,0.065566354918519,0.04309826772534081,0.04372204004249175,0.1601531594454021,0.14058792992761585,0.14612113269928226,0.11965561540423639,0.12133999732698098,0.12133999732698098,0.08733713120331732,0.17899487879825546,0.16680906994677475,0.02486956112762142,5.47872173943371
1.2000000000000002,0.013193093959390553,0.04647966434709533,0.02322868773487165,0.024749883591932736,0.0986998082510301,0.06281444398721835,0.0655486196103074,0.04309808357234877,0.0437218393171554,0.15527954116898512,0.13981945957669836,0.14518984694327527,0.1195087436727706,0.12117960522256967,0.12117960522256967,0.0771985406847919,0.1628508280942314,0.15000936736879342,0.021150066787694575,5.327751863546473
1.25,0.01319183469088849,0.04642804317559057,0.02322854846526714,0.024749701446480817,0.09804761542462305,0.06279821357845265,0.06552864549437679,0.04309785829765855,0.04372159380565974,0.15036997256124687,0.13897361065975244,0.14416748810425975,0.11933559493216353,0.12099074941168478,0.12099074941168478,0.06870277610877412,0.14748903424758636,0.13427637326375896,0.017868963918645335,5.185597738874121
1.3,0.013190524202148344,0.04637438238178326,0.0232283916159992,0.024749496327166335,0.09737365522911022,0.06278002092182323,0.0655062674288796,0.04309758506633579,0.0437212960750851,0.14543956420344342,0.1380482475202264,0.14305206815860225,0.11913344019665834,0.12077053329568255,0.12077053329568255,0.06169316724460919,0.133000793104631,0.11967503682406076,0.0150232698102715,5.052387488611929
1.35,0.013189162514552846,0.04631868994633311,0.023228215786911248,0.024749266408292003,0.09667847102321127,0.06275972710614847,0.06548131744350173,0.04309725628327395,0.04372093786861103,0.1405030081307071,0.13704164850930642,0.14184213842257684,0.11889954310124821,0.12051606542004248,0.12051606542004248,0.056007468207114476,0.1194511471943953,0.10624046957753869,0.012593209487954723,4.928035061361982
1.4000000000000001,0.013187749650316528,0.04626097414284626,0.02322801952822523,0.02474900980012336,0.09596262018137916,0.06273719092170738,0.06545362514325888,0.04309686355228059,0.043720510061735315,0.135574513312956,0.1359525215081292,0.14053680260062926,0.11863119133912882,0.12022449384245036,0.12022449384245036,0.05148286879843056,0.106880995010914,0.09398171149333669,0.010548357427186137,4.812282042620336
1.4500000000000002,0.013186285632484944,0.04620124353561494,0.023227801341135716,0.024748724549736093,0.09522667334274874,0.06271226917302254,0.06542301811631539,0.043096397636442324,0.04372000261996545,0.13066774684933494,0.13478001480014065,0.13913572357273768,0.11832572808183484,0.1198930402072256,0.1198930402072256,0.04796012901392823,0.0953096188660553,0.08288566314187314,0.008852251133466327,4.704736126484859
1.5,0.013184770484933862,0.046139506977281114,0.023227559678423437,0.024748408641890735,0.09447121364763432,0.06268481699468649,0.06538932234472952,0.04309584841999892,0.043719404558234816,0.12579578110937878,0.13352372334851442,0.13763912409946089,0.11798058278915538,0.11951903287769564,0.11951903287769564,0.04528686388161155,0.08473744169858356,0.07292098330824102,0.00746575286064974,4.604905670035762
1.55,0.013183204232368441,0.04607577360642507,0.02322729294508797,0.02474805999993423,0.09369683596305664,0.06265468816944768,0.0653523626170326,0.0430952048719493,0.04371870390228681,0.12097104698582613,0.13218369058976703,0.13604778169811477,0.11759330085873249,0.11909993853294336,0.11909993853294336,0.04332003412169301,0.07514885868544187,0.06404180533209189,0.006349423839139185,4.512230072972027
