Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(1),J_6s1/2(2),J_total_Re_relativistic
2.15,0.009952826425709663,0.03465684499645144,0.01732065656127313,0.019233447511336686,0.06836790584096962,0.04573838234893271,0.04890820908880866,0.03179104770176389,0.032513306023656006,0.0862512453242214,0.09408688591778236,0.09860869662595782,0.08277508522786894,0.08448390750360721,0.07652154402280367,0.07750874348176048,0.03295742380877657,0.062014254405828424,0.04900570355163374,0.046108603335398145,0.040484029528843245,0.006095325702368256,4.242273197519028
2.2,0.009951824007038982,0.034617648889879366,0.017320472404109874,0.01923316291440558,0.06792944938076156,0.045720236307703756,0.048883087530383375,0.03179063086338064,0.032512830459258964,0.08377430872208023,0.09338600053206247,0.09768666166329647,0.08258784890972456,0.08427200173386194,0.07631714251596934,0.07728511855894787,0.03209427793446433,0.05717941565868976,0.04470955420251792,0.04225433154689669,0.03695406348617365,0.005443994685620303,4.17726322777954
2.25,0.009950798693485677,0.03457760253597612,0.01732027546306081,0.019232858604908417,0.06748400400884427,0.0457009144874698,0.04885635797653536,0.03179016673238314,0.03251230105333908,0.08132369705169484,0.09265499228232295,0.09672867042529451,0.08238542872738797,0.08404324913069261,0.07609820541117318,0.07704610449690472,0.03142663801790341,0.052664903272624054,0.04078236389900591,0.0386836765932991,0.033700460233450136,0.0048875076334112255,4.115812588508762
2.3000000000000003,0.009949750495194344,0.0345367093238544,0.017320065174002017,0.0192325337185171,0.06703175767470378,0.04568037426749153,0.04882796434905382,0.03178965131256922,0.03251171327440654,0.07890229086174166,0.09189411712927649,0.09573541005996476,0.08216726931997259,0.08379707638948168,0.07586452523936452,0.07679152936158398,0.030924173744742902,0.04846507016065642,0.037207853692635205,0.03538143713053891,0.03070665827448362,0.004416549605501538,4.057688977794009
2.35,0.009948679422534204,0.03449497271044595,0.017319840962212684,0.019232187375180152,0.06657290017471577,0.04565857300040402,0.048797850740690936,0.03178908039018698,0.03251106234667371,0.07651281955041354,0.0911037103927298,0.0947076712039609,0.08193284471715326,0.08353294647978815,0.07561594208254803,0.07652127205762188,0.030558796427281567,0.04457239181149663,0.03396853926042384,0.03233264993551165,0.027956596852832676,0.004022029302965626,4.002659200770698
2.4000000000000004,0.009947585486098882,0.03445239621996531,0.017319602242507868,0.019231818679357218,0.06610762302035797,0.045635468060965335,0.04876596148721152,0.03178844952990485,0.032510343245796436,0.07415785852092319,0.0902841850210046,0.09364634375903792,0.08168166117996689,0.08325036162397885,0.075352343100594,0.07623526142830991,0.030304710590889974,0.04097774246863209,0.031046068334078906,0.029522664662495157,0.02543476037081352,0.00369520729544038,3.9504917680012896
2.45,0.009946468696706179,0.034408983443363954,0.017319348419373493,0.019231426720257412,0.06563611930615412,0.04561101689458891,0.04873224123881065,0.031787754071086784,0.03250955069497697,0.0718398269593169,0.08943602954266965,0.09255241227029894,0.08141325982420645,0.08294886600174493,0.07507366172235812,0.07593347502497197,0.030138427449015074,0.0376706583202438,0.028421524140837203,0.02693720557954293,0.023126212560026234,0.0034277907100589565,3.900959118137426
2.5,0.009945329065397843,0.03436473803777485,0.017319078887103614,0.01923101057208148,0.06515858357747858,0.04558517706560013,0.048696635030802904,0.031786989124384886,0.032508679161442476,0.06956098622074723,0.08855980572155668,0.09142695094826345,0.08112721901138885,0.08262804816632031,0.07477987653883687,0.07561593758823433,0.030038745516241777,0.034639585333716603,0.02607569505123965,0.024562421728021876,0.021016621633059233,0.003211999721752101,3.8538394896980033
2.5500000000000003,0.009944166603439332,0.034319663725947705,0.017318793029939883,0.019230569294267627,0.06467521169834965,0.04555790630515867,0.04865908835348893,0.03178614956866152,0.03250772285331202,0.0673234388079637,0.08765614593700499,0.09027111837732409,0.0808231564950979,0.08228754316164152,0.07447100993566624,0.07528271928246108,0.02998670337789227,0.031872110046649985,0.02398931126737624,0.022384926803192914,0.01909227751132005,0.0030406105869029247,3.8089184683508623
2.6,0.009942981322319576,0.03427376429567487,0.01731849022221317,0.019230101931740986,0.0641862007193382,0.045529162558789055,0.04861954722110742,0.03178523004825162,0.03250667571686394,0.06512912792358859,0.08672575031205117,0.0890861519533271,0.08050073131329676,0.0819270343330275,0.07414712650130846,0.07493393372292252,0.029965509340892076,0.029355172217460812,0.022143249877880446,0.02039182993349231,0.017340102121896215,0.002906979392252702,3.7659902369380225
2.6500000000000004,0.009941773233750725,0.034227043599208196,0.01731816982848732,0.019229607515166617,0.06369174874571694,0.04549890403346297,0.04857795823978293,0.031784224970575516,0.03250553143421465,0.06297983757575702,0.08576938361286003,0.08787336209283789,0.08015964541993527,0.08154625482717422,0.0738083312458732,0.0745697358331848,0.029960452352349544,0.02707525874557364,0.020518709971973508,0.018570758431561155,0.015747653661377675,0.0028050501554301335,3.724858555702953
2.7,0.009940542349667906,0.03417950555266684,0.017317831203704975,0.019229085061205957,0.06319205480597409,0.04546708924417814,0.04853426867438255,0.03178312850411137,0.0325042834214186,0.060877193214919405,0.08478787194308346,0.08663412625615964,0.07979964505181852,0.08114498878032118,0.0734547676637843,0.0741903195678552,0.02995879820526677,0.025018578698318458,0.019097359762256388,0.01690987348800053,0.014303125633775065,0.0027293504249413475,3.685337499846943
2.75,0.009939288682228967,0.034131154135436326,0.017317473693335445,0.019228533572776648,0.06268731872081328,0.04543367705997969,0.048488426514197235,0.0317819345767358,0.0325029248269985,0.05882266287802947,0.0837820992570437,0.08536988282538305,0.07942052182922461,0.08072307219632664,0.07308661567151747,0.07379591553327765,0.029949674668426622,0.023171219634743674,0.017861457831698027,0.015397879689856734,0.012995341399170603,0.0026749770850790313,3.647251980824169
2.8000000000000003,0.009938012243814213,0.034081993389558814,0.01731709663352457,0.019227952039315644,0.06217774097275974,0.04539862674937136,0.048440380537366164,0.031780636874440014,0.032501448530913274,0.0568175588149755,0.08275300371567582,0.08408212487768586,0.0790221135911427,0.08028039351906384,0.07270408944947683,0.07338678853612501,0.02992394879092276,0.021519285702115348,0.016793950709957064,0.014024029170134452,0.011813744901471223,0.0026375746711950246,3.610438076755189
2.85,0.009936713047026148,0.03403202741911488,0.017316699351246554,0.019227339437045528,0.061663522576491034,0.04536189802506529,0.048390080373965666,0.031779228840428206,0.03249984714397075,0.054863039570949665,0.0817015739090382,0.08277239389279738,0.07860430496822694,0.07981689390600476,0.072307435214813,0.07296323508714306,0.029874099250064172,0.020049018205795122,0.01587854901183275,0.012778121119147747,0.010748388174515417,0.0026133081460671184,3.574743196035884
2.9000000000000004,0.009935391104689204,0.033981260389596875,0.01731628116445769,0.019226694729243935,0.06114486495000782,0.0453234510880204,0.0483374765676871,0.03177770367460389,0.03249811300769053,0.05296011249749094,0.08062884496892225,0.08144227343202232,0.07816702769861363,0.07933256721207745,0.07189692894967176,0.07252558088462031,0.029794086241639223,0.018746899524440294,0.015099784348715022,0.011650497318035444,0.009789916170570165,0.00259883177560983,3.5400260967496053
2.95,0.009934046429849462,0.033929696527274025,0.017315841382251958,0.019226016866516007,0.06062196978675868,0.045283246670721214,0.04828252063603128,0.031776054333448926,0.03249623819462168,0.05110963666417468,0.07953589459467206,0.0800933828245092,0.07771026069361761,0.07882745969486121,0.07147287410704288,0.07207417829953144,0.02967922105922356,0.01759974136687709,0.014443049163268853,0.01063203429501683,0.008929549401537715,0.0025912554658059366,3.506156782921796
3.0,0.009932679035774383,0.03387734011854943,0.01731537930501845,0.019225304787069786,0.06009503892882979,0.04524124607965025,0.04822516512895005,0.03177427353029916,0.03249421450911861,0.04931232614234964,0.07842383901477455,0.07872737089457456,0.07723402986200205,0.07830166945391538,0.07103559931409412,0.07160940388176018,0.029526037178338863,0.016594758451084008,0.013894621547626483,0.009714132646422272,0.00815906482772199,0.002588109681412968,3.4730162970039133
