Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(6),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Ra_relativistic
1.0,0.007938233789914787,0.028429823234244953,0.013737381639394197,0.016042491960138665,0.06140376654969202,0.036442799711043736,0.040208496678473864,0.025811238105562687,0.026627754397388723,0.11517015015530144,0.07838583472614609,0.08614262995369781,0.0639742716458713,0.06576186771662229,0.05199650692985823,0.05271774982762689,0.1818702777207033,0.16720618837792356,0.18235009571047284,0.1637364952432196,0.1688077348916514,0.10280012742953684,0.20302685913552881,0.16476995701006436,0.030014612273481102,7.325899996949966
1.05,0.007937981123803107,0.028419892214834954,0.013737375051410051,0.01604247957334048,0.061283675769552626,0.03644213312259029,0.04020741164666914,0.02581123566114152,0.026627751453732293,0.11417608084582513,0.07835465465370924,0.0860931976103152,0.06397315530584528,0.06576052719513513,0.05199644695690822,0.05271768234650048,0.17514040961030622,0.16596861844496114,0.18043395717443064,0.16321567216456948,0.16817780634607496,0.08977523350195683,0.18165756608618075,0.14238748950748775,0.024911958638019933,7.125386203184605
1.1,0.007937716145163871,0.028409480904507428,0.013737367461635603,0.01604246529200835,0.06115799326396455,0.03644136553352203,0.04020616262898096,0.02581123256704823,0.026627747728062,0.11314326574428452,0.0783189575887582,0.08603669064505107,0.06397175352336887,0.06575884480710048,0.05199636484338354,0.052717589998898,0.16837320066556546,0.16459104132354765,0.17831815137884358,0.16259644842016605,0.16743203516435612,0.07917258354605275,0.16154696737952917,0.12233698336540895,0.020500995518680374,6.940572096682524
1.1500000000000001,0.007937438855803136,0.028398589893921654,0.013737358773363434,0.01604244893297467,0.06102675644376999,0.03644048741419057,0.04020473425598071,0.025811228692873903,0.02662774306352887,0.11207299709561597,0.07827836711703252,0.08597254039566987,0.06397001294003302,0.06575675696131586,0.051996254177717485,0.05271746560488748,0.16159721180170203,0.16306990043511194,0.17600131837313804,0.16186975219791286,0.16656060831316888,0.07072761164065348,0.1428484037423255,0.10460620345705926,0.01677435373975405,6.771119810822545
1.2000000000000002,0.007937149257610751,0.028387219800730976,0.01373734888550314,0.0160424303048214,0.060890004312555854,0.03643948884988748,0.04020311055674381,0.025811223889820264,0.026627737281203132,0.1109666051189943,0.07823250055722157,0.08590017270544001,0.06396787377557729,0.06575419250255368,0.05199610717796374,0.05271730045789644,0.1548399350222545,0.16140272681515958,0.1734840048153911,0.16102710236643086,0.1655545744516079,0.06416454988946399,0.12566149341808058,0.0891228058764543,0.013690506410567706,6.6162680259819195
1.25,0.007936847352560334,0.02837537126951794,0.013737337692596918,0.016042409207916424,0.06074777744711185,0.03643835954851264,0.04020127497368921,0.025811217989138362,0.02662773017820817,0.1098254553309434,0.07818097026455431,0.08581901026343354,0.06396526951975276,0.06575107236923139,0.05199591450404195,0.05271708411801948,0.14812763225765851,0.15958817119178872,0.1707686486902473,0.1600607829839495,0.16440603739531467,0.0592074323959141,0.11003745966712303,0.07576901058333739,0.011188341331300606,6.474954007969956
1.3,0.007936533142709238,0.028363044971726637,0.013737325084835807,0.01604238543445146,0.060600117977138664,0.03643708884852574,0.040199210377944085,0.025811210800523444,0.0266277215258037,0.10865094581985602,0.07812338494579676,0.08572847494589217,0.06396212665261132,0.06574730928778148,0.05199566506147596,0.05271680419660412,0.14148519246725463,0.15762601986386565,0.16785953398029063,0.15896399886583404,0.16310832161767475,0.055588963129303615,0.09598544743499769,0.06439486165180115,0.009197483897229526,6.345918844533122
1.35,0.007936206630198525,0.028350241605592276,0.01373731094807659,0.0160423587684815,0.06044706956422125,0.0364356657271736,0.040196899085217355,0.02581120211046914,0.026627711067422136,0.10744450447956068,0.0780593509808415,0.08562799014859057,0.06395836439635404,0.065742807507404,0.051995345798460095,0.052716446134241014,0.13493600768424702,0.155517194831527,0.16476271772619597,0.15773100854128047,0.16165610622948753,0.053057312179883846,0.08347927605736796,0.054829736598245166,0.007645294411552724,6.227795372390393
1.4000000000000001,0.007935867817252931,0.028336961896067964,0.013737295163859374,0.016042328985965793,0.06028867738008246,0.03643407880898598,0.040194322872164866,0.025811191680584124,0.02662769851666202,0.10620758620960395,0.07798847374610346,0.08551698310031179,0.06395389450161171,0.06573746257853423,0.05199494149829578,0.05271599297450649,0.12850186840387734,0.1532637388801949,0.1614859323201538,0.15635723198663604,0.16004552530111305,0.05138099402365354,0.07246419854392783,0.04689198643342198,0.006461387821662636,6.119179456077628
1.4500000000000002,0.007935516706180836,0.028323206594748733,0.013737277609425808,0.01604229585481032,0.06012498808413291,0.036432316374532245,0.04019146299322879,0.025811179245874456,0.026627683555242598,0.10494167008991809,0.07791035893498699,0.08539488714778204,0.06394862107074886,0.06573116117798354,0.05199443456941572,0.05271542513598916,0.12220287844636378,0.15086878653772556,0.15803846618637862,0.15483933156942822,0.15827423373706623,0.050352039162125106,0.06286335353911424,0.04039673953200019,0.0055803704132046566,6.0186859387120855
1.5,0.007935153299374224,0.028308976479792823,0.013737258157737966,0.016042259134911807,0.05995604980033346,0.036430366369431026,0.04018830019793323,0.025811164512994925,0.026627665830923648,0.1036482565375187,0.07782461387076044,0.08526114400269305,0.0639424404204818,0.06572378098331272,0.05199380483535242,0.052714720185274344,0.11605738917190897,0.1483365220100831,0.15443102621290927,0.15317526562762132,0.1563414391299786,0.04978770177032169,0.05458369710492425,0.035161998647561,0.004943328631524769,5.924990927595447
1.55,0.007934777599308652,0.02829427235584022,0.013737236677497884,0.0160422185782032,0.05978191209338685,0.036428216413604775,0.0401848147486177,0.02581114715847276,0.026627644955394755,0.10232886445282448,0.07773084880726494,0.08511520594176501,0.0639352409857845,0.0657151905985826,0.051993029327109315,0.052713852613657707,0.11008195268866534,0.14567212535249174,0.1506755854141978,0.151364315007196,0.15424790107216438,0.04953095615343997,0.04752128529024412,0.031013214722527094,0.004498467327631964,5.836862217280226
