Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Ba_relativistic
2.85,0.014224795374663129,0.04696917654411113,0.025293117563304646,0.026707570858467884,0.06964058248462678,0.06561058873880049,0.06758741708761447,0.047374751185402596,0.04796270283509036,0.030238277521202183,0.06835858697166813,0.06469932946774283,0.08728029181786665,0.08675663485181817,0.020411513041971457,0.01609850243706675,0.015929179764330222,0.0021379197050973727,2.7645963076121745
2.9000000000000004,0.01422108495361137,0.046825923554841595,0.02529053954136891,0.026704336396096085,0.06838881833067927,0.0653783656125361,0.06731657890910879,0.04735356286068651,0.04794004424345617,0.029130464918760285,0.06559361515361833,0.06186324272030106,0.08504450521379377,0.08446356143505392,0.019056060357405577,0.015906678452203882,0.015642150492285584,0.00200135148624374,2.7137049451626862
2.95,0.014217311385778393,0.04668067493888831,0.025287832299981234,0.026700940585363,0.06714044777956901,0.0651375974672438,0.06703608221885468,0.04733087340879849,0.04791578831369787,0.028137626241133418,0.06288725021407052,0.05910127521069008,0.08280629742820576,0.08217108409980373,0.017761039090563098,0.015681106477098576,0.015322465851238923,0.0018687436689076332,2.6633122324200813
3.0,0.014213474741984356,0.046533454392960395,0.025284991985260175,0.026697378680206843,0.06589625222209947,0.06488824751872936,0.066745910011297,0.047306617827594696,0.047889866717138484,0.027252443048976595,0.0602430258341582,0.05641652915512231,0.08056971357975452,0.0798833278487821,0.01653011575971019,0.015423173032054177,0.014972992453491462,0.001740858815208723,2.6134878089276747
3.0500000000000003,0.014209575094202561,0.04638428586138022,0.025282014718297094,0.026693645908315754,0.06465699343984722,0.06463028919844335,0.06644605764699847,0.0472807308140775,0.047862210886934015,0.026467653308936037,0.057664095584236554,0.053811663238163235,0.07833864347707542,0.07760424280539654,0.015365887095773346,0.015134816138865501,0.014596890774513639,0.0016183114423977487,2.564297093355319
3.1,0.01420561251555658,0.046233193529068614,0.025278896596916532,0.0266897374734584,0.06342341301440063,0.06436370617698468,0.06613653282118716,0.047253146889661264,0.04783275215303629,0.02577608804269152,0.055153237249160665,0.051288904205559586,0.07611680971664664,0.07533759317309605,0.014269980279603646,0.014818385709644362,0.01419749804670155,0.0015015781532161203,2.5158007711041392
3.1500000000000004,0.01420158708031734,0.04608020181448891,0.025275633697441926,0.026685648557818843,0.06219623178327667,0.06408849236473675,0.06581735550405284,0.04722380052677272,0.047801421878306334,0.025170704384819536,0.052712859386768805,0.04885006064643421,0.07390775789258215,0.07308694840218884,0.013243154680430452,0.014476523901876528,0.013778231178781011,0.001391009054925604,2.468054435206903
3.2,0.01419749886390016,0.04592533536255301,0.025272222076465737,0.02668137432433432,0.060976149342451665,0.06380465189010912,0.06548855785357663,0.04719262627634368,0.04776815159529753,0.02464461511138009,0.05034500988412325,0.046496538658993565,0.07171484880666419,0.07085567643172924,0.01228540268789006,0.014112063578004071,0.013342507392405114,0.001286839892649987,2.421108358790485
3.25,0.01419334794286175,0.04576861903749266,0.025268657772623004,0.026676909919034597,0.05976384359533049,0.06351219905591109,0.06515018410174234,0.04715955889575764,0.04773287314323388,0.024191114726410477,0.048051386278684924,0.044229359104984454,0.06954125255689896,0.0686469388655962,0.011396047758568893,0.013727943045347798,0.012893680407910557,0.001189204441064164,2.3750073793068847
3.3000000000000003,0.01418913439489716,0.045610077915698835,0.02526493680836741,0.02667225047338156,0.058559970347872595,0.06321115827443423,0.06480229041503748,0.047124533476818026,0.04769551880471661,0.023803702215297852,0.045833347616609905,0.04204917617150115,0.0673899443758667,0.0664636879365062,0.010573838252833622,0.013327135320841732,0.012434990167479565,0.001098146802374268,2.3297908766661304
3.35,0.014184858298836684,0.04544973727853267,0.02526105519174891,0.026667391106607752,0.05736516294949042,0.06290156398186734,0.06444494473020589,0.04708748557331371,0.04765602144170236,0.023476100592434518,0.04369192762740022,0.03995629697391019,0.06526370208579116,0.06430866510903187,0.009817036024552495,0.012912590256001142,0.011969524248527694,0.001013633343188907,2.2854928292659378
3.4000000000000004,0.014180519734642736,0.04528762260511074,0.02525700891819197,0.02666232692805251,0.056180031979237086,0.06258346053271098,0.06407822656626291,0.047048351327767086,0.04761431463030811,0.02320227338580195,0.04162784900288513,0.037950701950199305,0.0631651050352421,0.06218440117236821,0.009123499051325487,0.012487187963491676,0.011500189287277912,0.0009355640731402732,2.242141933688341
3.45,0.014176118783406664,0.04512375956506798,0.02525279397227351,0.026657053039494435,0.05500516497670676,0.0622569020748982,0.06370222681382784,0.047007067596961605,0.047570332794011794,0.02297643821336816,0.03964153857863581,0.03603206581457431,0.061096534382389545,0.06009321767524974,0.008490757662369643,0.01205370210160717,0.011029690897833754,0.000863783324061308,2.199761775500685
