Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Sm_relativistic
1.0,0.012687679025718018,0.044848186090267465,0.02228040676471012,0.023851364002832953,0.09703137371864276,0.06002236382338445,0.06282464208613338,0.041153534229615596,0.041788836352295695,0.17009730028956502,0.13585248165976221,0.14205939211480514,0.11379316985813755,0.11555453181354973,0.11555453181354973,0.13756649756504644,0.2352545103916272,0.22795885969996935,0.03865177658817316,6.086220990882317
1.05,0.012686738182041307,0.044809675355608314,0.022280340001747712,0.023851274955535504,0.0965389613774604,0.06001461941042318,0.06281495400788399,0.04115346620135469,0.04178876174426272,0.16593700159527935,0.1354106978175561,0.1415103140034124,0.11373280948013866,0.11548780511547761,0.11548780511547761,0.12133595487241242,0.21887716647037647,0.2097154004220345,0.03430302398201197,5.921139471987942
1.1,0.012685751548604607,0.0447693253545792,0.02228026306044158,0.023851172338294428,0.09602537144873483,0.060005726519429155,0.06280383368060628,0.041153380368952934,0.04178866762185691,0.16169135226297313,0.134912852572012,0.14089299721681278,0.11365892169522712,0.11540621655652211,0.11540621655652211,0.10694103729578114,0.20265929656546383,0.1919415307345503,0.030091356730945977,5.761061280751236
1.1500000000000001,0.012684719140399411,0.044727141654811786,0.022280174964484836,0.023851054851446785,0.09549099211043463,0.0599955828675944,0.06279115464281777,0.04115327325719545,0.04178855018025815,0.15737362104799335,0.1343560316923462,0.14020422272586952,0.1135695691431687,0.11530766644851638,0.11530766644851638,0.09431930715902762,0.18676674405473245,0.17480716251089512,0.026132738230956125,5.607104184019599
1.2000000000000002,0.012683640973110746,0.044683130071914996,0.022280074695045032,0.023850921139115272,0.09493622555998314,0.05998408316193699,0.06277678691894117,0.041153140929291634,0.041788405110517145,0.15299699003671915,0.13373755827299277,0.13944110844201998,0.11346271951215507,0.11518995948451752,0.11518995948451752,0.08338211173829788,0.17134404062063402,0.15845096546855894,0.022500084432320402,5.460081719591464
1.25,0.012682517063116648,0.04463729666799909,0.022279961191150586,0.02385076978977463,0.09436148750330853,0.05997111931569344,0.06276059730991329,0.04115297895414011,0.04178822756408667,0.14857449152240798,0.13305501780235027,0.13860113815376396,0.11333626364505288,0.11505082543625128,0.11505082543625128,0.07402069415129722,0.15651305840901905,0.14298076704487786,0.01923226040312555,5.320532388275012
1.3,0.01268134742748764,0.044589647750138926,0.022279833350092825,0.02385059933684079,0.09376720662952133,0.05995658066973753,0.06274244968996469,0.04115278237379011,0.04178801211762122,0.14411894780367623,0.13230628025734048,0.13768218606101001,0.11318803542209518,0.11488794166594345,0.11488794166594345,0.06611190712756053,0.14237270470086918,0.12847504974859994,0.01634253044210903,5.188753455657291
1.35,0.012680132083986172,0.04454018986877698,0.02227969002784352,0.02385040825928247,0.09315382407218911,0.05994035421850442,0.06272220530881432,0.041152545671268255,0.04178775273823226,0.13964291425573777,0.13148951908121778,0.1366825367740108,0.11301583302743091,0.11469895699634043,0.11469895699634043,0.05952339957576272,0.1289994618186256,0.1149852343007283,0.013825783023747136,5.064836091692348
1.4000000000000001,0.012678871051066043,0.04448892981606684,0.022279530039487693,0.023850194982254845,0.09252179285819541,0.059922324839891815,0.06269972309851575,0.041152262738937954,0.04178744274938452,0.13515862598147202,0.13060322694538945,0.13560090070925757,0.11281744118886879,0.1144815164676422,0.1144815164676422,0.054118193371583,0.11644857737902348,0.10253847347074121,0.011664372437665762,4.948699866923772
1.4500000000000002,0.012677564347871803,0.044435874624157684,0.022279352159671473,0.02384995787775502,0.09187157734518571,0.05990237552860476,0.06267485998418554,0.04115192684755648,0.04178707479761562,0.1306779483049942,0.12964622823861255,0.1344364248778952,0.1125906539738703,0.11423328650851833,0.11423328650851833,0.049758608888170554,0.10475572367658047,0.0911407252440145,0.00983266317334561,4.840125399661235
