Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(1),J_5s1/2(1),J_total_Tc_relativistic
3.5500000000000003,0.03786043553125769,0.10937189257399016,0.06905166344740055,0.14235404647482874,0.07090692983469697,0.13659075881300237,0.27181352544715953,0.25795889446468273,0.38887140498669437,0.04755765258125572,0.02066401828047464,0.04135390246229939,0.027782247459600947,0.006645223817302496,0.004411122518233309,1.6331937186928798
3.6,0.037838685172409195,0.10861565783510872,0.06900937236230215,0.14225818251385902,0.0682161197350177,0.1343348802282505,0.2670435477739973,0.2564492504935962,0.386538254461182,0.04645688355664577,0.02040903939102812,0.04102116426095076,0.025825414135169502,0.006179980463371669,0.004345169610504839,1.6145416019933934
3.6500000000000004,0.037816648165941685,0.10785475595123001,0.06896556522870949,0.14215891163831282,0.06562476841251252,0.13206932711246905,0.2622602331697932,0.25489993235021013,0.38414480893519753,0.0453177664843541,0.020211657104920563,0.04077780594209761,0.024049280650565934,0.005758426603612081,0.0042724609996910605,1.5961823487496176
3.7,0.03779432522479805,0.10708938109368255,0.06892021723311204,0.14205618002183987,0.06313170327179642,0.12979611470101537,0.2574679237052294,0.2533117472346755,0.38169236386429733,0.04414583177225396,0.020062654405728575,0.04060693951237686,0.022439785295554043,0.005377106585652684,0.004193470118552216,1.578085744040565
3.75,0.0377717170705072,0.10631972704501177,0.06887330399058708,0.1419499348906025,0.06073561908421413,0.12751723317422003,0.2526708890188314,0.25168555904112283,0.37918230018473753,0.04294654370975085,0.01995367788399362,0.04049341752428757,0.02098377569427698,0.0050327924403436005,0.004108721898180771,1.560225212650668
3.8000000000000003,0.03774882443313503,0.10554598711711659,0.06882480156206895,0.14184012456181372,0.05843508751038941,0.12523464347923946,0.24787331772941487,0.25002228482933525,0.3766160787256241,0.04172524853196176,0.01987718858653773,0.040423720215673885,0.019668963892819986,0.004722472252254824,0.004018776543495857,1.542577519970881
3.85,0.03772564805123492,0.10476835407062007,0.068774686471125,0.1417266984810476,0.05622856649628661,0.12295027341875013,0.24307930948699044,0.2483228912394242,0.37399523454782796,0.04048713105875059,0.019826412792291404,0.04038584444019261,0.018483882181516878,0.004443338768891512,0.003924215649684095,1.525122487154634
3.9000000000000004,0.0377021886717977,0.10398702003551785,0.06872293572022838,0.14160960725830019,0.054114409516019625,0.12066601400893776,0.23829286766200372,0.24658839086948842,0.37132137124053355,0.03923717911425733,0.01979529318426959,0.040369195182600605,0.017417839857784962,0.00419277829520501,0.0038256304306589464,1.5078427210476035
3.95,0.0376784470502011,0.10320217643314593,0.06866952680651779,0.1414888027027802,0.05209087463696095,0.11838371610774844,0.23351789266953832,0.24481983863512696,0.3685961552044723,0.037980154963868286,0.019778440810587283,0.0403644803001302,0.016460881096263057,0.00396835991065513,0.00372361184266892,1.4907233591706646
4.0,0.03765442395015873,0.10241401389950772,0.06861443773703572,0.141364237856411,0.05015613338498767,0.11610518731297968,0.2287581759221047,0.2430183281285217,0.3658213099490057,0.03672057304186856,0.01977108815859657,0.04036360899640614,0.01560374406189209,0.0037678250372452232,0.003618742398200338,1.4737518298349217
4.05,0.03763012014366853,0.10162272220999846,0.0685576470434367,0.1412358670260268,0.04830827938994289,0.1138321891285006,0.22401739440189566,0.24118498799361476,0.3629986104282981,0.035462683282852465,0.019769043604896668,0.040359594415994245,0.014837821371433042,0.003589077380037874,0.003511589479751475,1.4569176273003481
4.1000000000000005,0.03760553641096077,0.10082849020556323,0.06849913379615834,0.14110364581424792,0.04654533679357728,0.1115664343957015,0.2192991058408935,0.23932097833269692,0.36012987743987085,0.03421045941211478,0.019768647449632012,0.04034646064444757,0.01415512198008091,0.0034301732560816796,0.0034026999776502545,1.4402121017496774
4.15,0.037580673540445524,0.10003150572032284,0.06843887761804839,0.14096753114902166,0.044865268404360364,0.10930958498618559,0.2146067444949721,0.2374274871585045,0.357216972106877,0.03296759159367864,0.01976672969565,0.0403191543093315,0.013548234547515582,0.0032893123221099728,0.003292596089058722,1.4236282637360824
4.2,0.03755553232865972,0.09923195551070015,0.06837685869744169,0.14082748131181697,0.04326598358560484,0.10706324975072613,0.20994361749613585,0.23550572690470617,0.35426179046349815,0.031737482878480924,0.019760569691234568,0.040273460900896486,0.013010292320317248,0.00316482870637532,0.003181772129397118,1.4071606026759913
4.25,0.03753011358021367,0.0984300251860775,0.06831305780068175,0.14068345596446286,0.04174534586532581,0.10482898271862387,0.20531290176527847,0.23355693100645825,0.3512662581609531,0.030523248938836962,0.019747857718764885,0.04020592586560583,0.012534939550214676,0.0030551825463929496,0.0030706922210390042,1.3908049188889298
4.3,0.03750441810773717,0.09762589914101408,0.06824745628408219,0.1405354161746224,0.04030118025815137,0.10260828154080431,0.20071764146631113,0.23158235056152313,0.3482323253097368,0.02932772061808027,0.01972665858028116,0.040113780470456335,0.012116299451512578,0.0029589519313517414,0.0029597887356339427,1.3745581686312982
