Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(1),J_6s1/2(2),J_total_Lu_relativistic
1.3,0.010709733185647339,0.037737335720458766,0.01866112647414715,0.020464775451506947,0.07979696010662495,0.04958516317613793,0.05267365917457903,0.03418919946344545,0.03488362054081309,0.13474069582894033,0.11039930168991895,0.11724899903832808,0.09256118025258052,0.09451968379121137,0.09625765355791693,0.09813280836965814,0.0927424707739503,0.17445311996403412,0.1625475044266652,0.08862593995963534,0.02721484046595436,5.520344111886939
1.35,0.010708983620329621,0.037707397798127214,0.01866106597803453,0.020464686437858662,0.07943331892405052,0.04957872560812159,0.05266499626157172,0.03418913571295161,0.0348835486139933,0.1318334743997467,0.11005807331739884,0.1167914135145904,0.09251101299347109,0.09446222959612643,0.09599486834147407,0.09782140984607036,0.08341810096602222,0.16340993803192735,0.15020221991741264,0.08010521583342134,0.024369121667831336,5.402549224040081
1.4000000000000001,0.010708205848252961,0.037676357942814404,0.018660998429325098,0.020464587052565354,0.07905781025409182,0.049571559894879484,0.052655358077915576,0.034189059350869494,0.03488346247037973,0.1288882560241675,0.10968432260715466,0.11629161125869679,0.09245244240243072,0.09439524011760451,0.09570489947819616,0.09748049676755137,0.07510033538631526,0.15258192263989126,0.13832330855260833,0.07236271721286802,0.021672322732066564,5.289337457281072
1.4500000000000002,0.010707399878153267,0.037644219213264704,0.018660923305720483,0.020464476529284934,0.078670630052821,0.04956361634187726,0.05264467892543652,0.03418896849764565,0.03488335999453639,0.1259111611314923,0.10927685019788873,0.11574827916874408,0.09238457252671625,0.09431771966839651,0.09538731924410344,0.09710987327299736,0.06774140397746857,0.14203419069386788,0.12696882374523963,0.06532806551294112,0.019157286296640576,5.180962131616798
1.5,0.01070656571908206,0.037610984774008434,0.01866084006731264,0.02046435407612064,0.07827197962056953,0.04955484418232494,0.05263289181594945,0.034188861081839945,0.0348832388558079,0.12290824867627113,0.10883455289484212,0.11516025531093309,0.0923064786152846,0.09422864465192243,0.09504185932022965,0.09670950530506832,0.0612863147763497,0.13182294648294396,0.11618376005866618,0.05893802592770376,0.016844189082596786,5.077576356418721
1.55,0.01070570338040627,0.03757665789478843,0.018660748156729107,0.02046421887586328,0.07786206542597936,0.049545191648116084,0.05261992857594238,0.03418873482973761,0.034883096496803864,0.11988549703506812,0.10835643047577193,0.11452653672696778,0.09221721285497939,0.09412697037868452,0.09466840238853652,0.09627950896517944,0.05567473797829535,0.12199541889016796,0.10600083969061433,0.05313558719069167,0.0147429848283654,4.979243723174892
1.6,0.010704812871807991,0.03754124194996818,0.018660646999282875,0.02046407008624099,0.07744109892636836,0.049534606041968424,0.05260571995278984,0.03418858725504923,0.03488293012200195,0.11684878576393387,0.10784159173341679,0.11384628596365055,0.09211581047079805,0.09401163824286164,0.09426697281370182,0.09582013855897133,0.050842732742401586,0.11259002479893386,0.09644148947721837,0.047869182284574104,0.012855620002690707,4.885949575753299
1.6500000000000001,0.010703894203284265,0.037504740417921595,0.018660536003126768,0.020463906840176474,0.07700929638463733,0.049523033810651,0.05259019572230787,0.034188415648734934,0.034882736686510964,0.1138038782844619,0.10728925973147946,0.11311883631089234,0.09200129611080977,0.09388158316257789,0.09383772672707281,0.0953317745718678,0.046724299062587495,0.10363671498304068,0.08751694071227453,0.04309203028148478,0.011177961242080757,4.7976123253688545
1.7000000000000002,0.010702947385146823,0.037467156880404764,0.01866041455941234,0.02046372824605157,0.07656687868294908,0.04951042061918187,0.05257328479746181,0.034188217068988516,0.03488251288503476,0.11075640555833074,0.10669877625829491,0.11234369574668322,0.09187269043436634,0.09373574118633908,0.09338094176988603,0.09481491175724939,0.04325274507714702,0.09515746104375469,0.07922939448815362,0.03876158044029493,0.009701422971253093,4.714094438987171
1.75,0.010701972428021848,0.03742849502190965,0.01866028204245318,0.02046353338797907,0.07611407113341238,0.04949671142587963,0.05255491533803752,0.03418798833141681,0.03488225514107727,0.10771185080213452,0.1060696054693506,0.11152054959934578,0.09172901682182788,0.09357305716893279,0.0928970067032337,0.0942701474751732,0.04036186704013005,0.08716684544237407,0.07157320561289471,0.03483904158625007,0.00841431034041778,4.6352128466501
1.8,0.01070096934284971,0.037388758629000075,0.018660137809892625,0.020463321326081713,0.0756511032860061,0.04948185055815128,0.05253501486108624,0.034187725999449095,0.034881959596428154,0.1046755352861445,0.10540133671661552,0.11064926194850754,0.09156930812502123,0.09339249242254678,0.09238641105024001,0.09369817038580532,0.0379869448155227,0.07967272089500012,0.06453604792320014,0.03128898206259914,0.007302905499712767,4.560748599589702
