Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(2),J_total_Lv_relativistic
1.0,0.004660130529768659,0.017975744121890673,0.00817040466919408,0.011623727802920595,0.04009705680931232,0.023000184815353146,0.02839064086884163,0.018032711610847612,0.01906496474015137,0.0745845633774281,0.047713405976279426,0.05707258968926172,0.04125660121748971,0.04306532786790443,0.031880930730655385,0.032541995305818194,0.1265583773191004,0.09211902439641464,0.11041484646532417,0.08772007979751313,0.09184489933971118,0.08358460681666724,0.08559741244695082,0.18127316657981996,0.18531815109389546,0.21751280589059938,0.2194480838560465,0.23015748055027985,0.07090057146586458,0.12601150650586693,0.025218430722415742,9.155794307854954
1.05,0.004660064189593126,0.01797311898364175,0.008170403879726814,0.011623725235332723,0.04006421200753408,0.023000114924627724,0.02839044453399366,0.018032711414292548,0.019064964468151726,0.07433298964036626,0.047710656626538596,0.0570658348746007,0.041256551241546154,0.043065261336791213,0.031880930336786406,0.03254199484275611,0.12500312718613205,0.09204433458350735,0.11023353867819093,0.08771120143767298,0.09183280965649565,0.08358247500566815,0.08559475855451741,0.17263490764152845,0.18310065233861622,0.21211639245163438,0.2160755968555376,0.22541443563444435,0.06372777795366921,0.10603075627579692,0.020340861247329537,9.001751227656637
1.1,0.004659994614905389,0.017970366258472297,0.008170402985172522,0.011623722274491328,0.04002979555171775,0.02300003436632181,0.02839021830287889,0.01803271116525149,0.019064964123542503,0.07407010122598513,0.04770749410941733,0.05705807394224837,0.041256488101273844,0.04306517730650285,0.031880929790435816,0.032541994200537654,0.1233938824699461,0.09195907247376696,0.11002753841771808,0.08770013067531958,0.09181775986711506,0.08357961015761217,0.08559119982619516,0.16406874324484916,0.18065884833771823,0.20633153708128155,0.2123042650936112,0.22020909036171457,0.058748568714066175,0.08890542114214976,0.017004777231392983,8.85436448752346
1.1500000000000001,0.0046599218059330955,0.017967486013224163,0.008170401976041068,0.011623718882239783,0.03999381177256584,0.022999942114533566,0.02838995931797085,0.018032710853098797,0.01906496369163309,0.07379603111772055,0.04770388028235129,0.05704921621674233,0.04125640919670282,0.0430650723302833,0.03188092904404095,0.03254199332333391,0.12173345636325628,0.0918624167653135,0.10979515664670757,0.08768648425000222,0.09179924110321135,0.08357582300925286,0.08558650588472046,0.15561654657684243,0.17799279531723505,0.20018845095186863,0.208142384132748,0.2145696524731385,0.055473210308204596,0.0743977534193686,0.014790491781967114,8.711736336595234
1.2000000000000002,0.004659845762914464,0.01796447831782454,0.008170400842405744,0.011623715018676869,0.03995626519505148,0.022999837098186718,0.02838966459925318,0.01803271046568362,0.019064963155626953,0.0735109176254452,0.04769977562013969,0.057039168152152056,0.04125631157365575,0.04306494249454444,0.031880928038485364,0.03254199214177625,0.12002472518917422,0.09175354380779757,0.10953474277250598,0.08766984003153888,0.09177669524812844,0.08357089173322942,0.08558040781809076,0.14731724446912822,0.1751048412233338,0.19372219108040034,0.20360468556071934,0.208531177022075,0.053469666623806804,0.062250077182095194,0.01337762589514811,8.57232739255472
1.25,0.004659766486098292,0.017961343245282747,0.008170399573903918,0.011623710642160872,0.039917160537453485,0.022999718201372425,0.028389331045612167,0.018032709989194012,0.019064962496434686,0.07321490427332461,0.047695139265490516,0.0570278335019153,0.041256191896546106,0.04306478338365504,0.03188092670103773,0.03254199057054825,0.11827062057769311,0.09163163149435881,0.1092446957736661,0.08764973672517104,0.09174951511603094,0.08356455957739303,0.08557259569247944,0.13920659120194254,0.1719995825109253,0.1869718394434597,0.1987116918917664,0.20213422836845962,0.052367199244835225,0.05219888715588884,0.012523547391390688,8.434934489920176
1.3,0.004659683975743943,0.017958080871686877,0.008170398159737727,0.011623705709313844,0.039876502710351085,0.0229995842637053,0.028388955436284984,0.018032709408016014,0.01906496169248026,0.07290813968376436,0.04768992908120194,0.057015113493278875,0.04125604642092724,0.043064590044529026,0.03188092494305237,0.03254198850570133,0.11647412157862189,0.09149586313037812,0.1089234749285189,0.08762567396345099,0.09171704518084373,0.08355653282778792,0.08556271650511382,0.1313169915629196,0.1686837843472509,0.17997963913817466,0.19348895345692074,0.19542352856755588,0.05185618064487577,0.04398515079318847,0.012046083269089387,8.298661215588593
1.35,0.0046595982321213526,0.017954691276200314,0.00817039658867479,0.011623700175026052,0.03983429681557849,0.022999434080693437,0.028388534432362854,0.018032708704587886,0.019064960719500715,0.07259077745758023,0.04768410170390616,0.057000907005998795,0.041255870965898896,0.043064356951162265,0.03188092265742019,0.03254198582168134,0.11463824673976797,0.091345431260493,0.10856961007726887,0.08759711279495049,0.09167858286076855,0.0835464791579257,0.08555037264682692,0.12367737268778305,0.16516626772504533,0.17279011519218207,0.18796621355861987,0.18844664873378528,0.05168520076818815,0.03736149759014099,0.011809846595997518,8.162883984903369
1.4000000000000001,0.004659509255511025,0.0179511745410581,0.008170394849048945,0.011623693992460596,0.03979054814513971,0.022999266404122316,0.028388064578348318,0.018032707859249573,0.01906495955033946,0.0722629760505265,0.047677612599299805,0.056985110754948054,0.04125566088647846,0.04306407796926757,0.0318809197157598,0.03254198236805477,0.11276604617886309,0.09117954143582405,0.10818171135418779,0.08756347657469962,0.09163338035630264,0.08353402641896363,0.08553512093236065,0.11631310345426601,0.16145776745475984,0.16544920504104627,0.18217654285218868,0.18125278545124973,0.05165637904397306,0.03209693711202915,0.011715513443216951,8.027215958684325
1.4500000000000002,0.004659417046204027,0.01794753075156317,0.008170392928761023,0.011623687113058207,0.03974526218008388,0.02299907994245243,0.02838754230376579,0.01803270685008756,0.019064958154733413,0.07192489864632161,0.04767041611878316,0.056967619476274274,0.041255411046044806,0.04306374632115792,0.031880915965339526,0.03254197796592449,0.11086059367729353,0.09099741590393884,0.10775847833185874,0.08752415225610778,0.09158064703204141,0.0835187619158915,0.08551647224332959,0.109245959522622,0.1575707653446155,0.15800342054940694,0.1761554775418021,0.17389165114049146,0.05161961811561439,0.02797966853593759,0.011691455375542038,7.891470614905055
