Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(5),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Pm_relativistic
2.7,0.012877938803186849,0.04330815080291736,0.022729697391332015,0.02427026190228721,0.07170374641867219,0.05964161374034672,0.062017803019502334,0.042030831091865145,0.04265387609921026,0.04205348234334391,0.08497759941815444,0.082742228071428,0.0941853292096826,0.09441382555173497,0.09441382555173497,0.030205657428354644,0.014228281135545705,0.014456620808417872,0.0026126611244701166,3.2776748178347703
2.75,0.012875309697482252,0.043205978372135745,0.02272837916715925,0.024268529020049966,0.07071968798477618,0.059518431372351716,0.0618684501664581,0.04202311871526639,0.04264550361557986,0.040101075570411995,0.08263880832104725,0.08019484694664493,0.09275418668793048,0.09291236660014245,0.09291236660014245,0.029061621523299015,0.01419733816808761,0.014455524509865147,0.0025376664822959853,3.230132768072559
2.8000000000000003,0.012872633123418228,0.043102205071342096,0.022726990064577405,0.02426670334804895,0.06973252622359496,0.05938986295625389,0.061712722059176044,0.04201478377171038,0.04263645795166116,0.03826992485267012,0.08030243067355647,0.0776620398870221,0.09129062325117421,0.09137914258366622,0.09137914258366622,0.027890709657199045,0.014185478993077372,0.014449710220671522,0.0024566806363453372,3.182571321786406
2.85,0.012869909122810613,0.0429968450049546,0.02272552775307015,0.02426478187024739,0.06874284208998371,0.059255829765802015,0.061550538757331096,0.04200579245839582,0.042626702869251965,0.03655684764123191,0.07797250938130361,0.07514822627266654,0.08979700817659597,0.08981672049773548,0.08981672049773548,0.02670235927733237,0.014182956819063385,0.014432723310753296,0.0023706748253863505,3.135015179189873
2.9000000000000004,0.012867137738201856,0.04288991245938113,0.022723989878695883,0.024262761542832224,0.06775120981508692,0.059116257878427565,0.06138182667216805,0.041996110236102877,0.04261620137168611,0.03495840967523249,0.07565296136370525,0.07265762631312446,0.08827577099742788,0.08822771842160902,0.08822771842160902,0.02550548380062769,0.014181692277206172,0.014399588625078107,0.0022806315846448976,3.0874957966500993
2.95,0.012864319012859603,0.04278142189950596,0.02272237406497191,0.024260639295464227,0.06675819640601137,0.0589710782983859,0.061206518694507765,0.041985701869936075,0.0426049157495998,0.03347095633254169,0.07334756417219086,0.07019424885659613,0.08672938704404716,0.08661479021484077,0.08661479021484077,0.02430838401837994,0.014175097561087502,0.014346617481299267,0.0021875181211887837,3.0400498945278756
3.0,0.012861452990775252,0.04267138796514353,0.022720677913765183,0.024258412032535998,0.06576436116374577,0.05882022706964683,0.06102455430863755,0.04197453147232905,0.042592807629083816,0.032090643132779345,0.07105994413667967,0.0677618812232758,0.0851603634861235,0.08498061085526523,0.08498061085526523,0.023118686695563863,0.014157909846252936,0.01427123032918632,0.002092265751155787,2.9927181281229474
3.0500000000000003,0.012858539716662487,0.04255982546746073,0.022718899006189123,0.02425607663443727,0.06477025521976482,0.05866364537845761,0.06083587969206503,0.04196256254818684,0.04257983802207907,0.030813465256697654,0.06879356602866966,0.06536408100106983,0.08357122595988457,0.0833278624983444,0.0833278624983444,0.021943306377975015,0.014126034953366782,0.014171795026255487,0.0019957545076021367,2.9455439137725086
3.1,0.012855579235955787,0.042446749385368965,0.022717034903506163,0.024253629958826843,0.06377642109170935,0.05850127964552766,0.06064044780115164,0.04194975804203501,0.04256596737886621,0.02963528596386428,0.06655172421700518,0.06300416972897578,0.08196450585037449,0.0816592213222036,0.0816592213222036,0.020788426747422338,0.014076401841025541,0.014047480402955384,0.0018988021145840742,2.89857240095351
3.1500000000000004,0.012852571594808918,0.04233217486188737,0.02271508314803559,0.02425106884191057,0.06278339225848939,0.05833308160780984,0.060438218442677355,0.04193608038703949,0.042551155642494294,0.028551863807967273,0.06433753528142791,0.06068522838245374,0.0803427282850714,0.07997734520809602,0.07997734520809602,0.019659498204132732,0.014006828204873771,0.013898124577572675,0.0018021566086221772,2.8518495804777033
3.2,0.012849516840093392,0.04221611720047849,0.022713041264066272,0.024248390099724765,0.06179169275511179,0.05815900838987839,0.06022915833142355,0.041921491555755495,0.042535362304988215,0.027558878565839495,0.06215393203937582,0.058410094566112236,0.07870840088252129,0.07828486229247653,0.07828486229247653,0.018561248695372394,0.013915897210152151,0.013724117324871256,0.001706491975046677,2.805421518436881
