Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(1),J_5s1/2(2),J_total_Y_relativistic
3.0,0.04222770135567727,0.12578690412785498,0.07777107001320328,0.15948303346046094,0.0885652808800377,0.16196686188462392,0.3230062702979547,0.30349861422743213,0.4571255371369314,0.05084771529182169,0.020304059849234776,0.040725634317156104,0.0036948691160054244,0.004837557894628577,1.8598411098530228
3.0500000000000003,0.042202382759503804,0.12486165863374644,0.07772390561024578,0.15937837423307058,0.08471591320215781,0.15896478956752583,0.31669862004718097,0.3012423831791353,0.4536533590415831,0.049462190927913305,0.020043347172404417,0.040373825640236935,0.003398199970671544,0.004746723691558491,1.8374656736769346
3.1,0.04217666702825713,0.12392885622320453,0.07767470788556981,0.15926923219434497,0.0810195702907204,0.15594533399864985,0.3103637991471105,0.29892368115740137,0.4500867194046105,0.04802295419886649,0.019855844385767346,0.04013712703005851,0.003138736313125351,0.0046461874992389345,1.815189416756926
3.1500000000000004,0.0421505551886309,0.12298880395600181,0.07762343516026128,0.1591555177225052,0.07747465155124396,0.1529121247142572,0.30400955943985125,0.2965445031149509,0.4464287649433505,0.046539596161624,0.019726650157249382,0.03998831976343086,0.00291244609461648,0.004536882158714385,1.7929918101266877
3.2,0.04212404828213396,0.12204180871582891,0.0775700464245898,0.15903714279923872,0.07407926484860512,0.1498687406309812,0.2976435116459095,0.2941069503388944,0.44268280030506313,0.045021480561867215,0.019642681720538426,0.03990376930069932,0.0027156821194098393,0.004419813728340059,1.7708577414220996
3.25,0.04209714736500297,0.12108817704050308,0.07751450137592893,0.15891402109333927,0.07083124872165449,0.14681869987311139,0.2912731045675566,0.29161321936598256,0.4388522707939503,0.04347763442470401,0.019592523029605836,0.03986310056158876,0.00254514904707397,0.0042960271015302365,1.7487768243615325
3.3000000000000003,0.04206985350811399,0.12012821495458686,0.07745676045562495,0.158786068041809,0.06772819432321525,0.14376545037369312,0.28490560609443283,0.28906559099742607,0.4349407453002077,0.04191666239985708,0.019566278818117615,0.03984888937025367,0.0023978728587197005,0.004166577967100671,1.7267427654631586
3.35,0.04204216779689294,0.11916222780453926,0.07739678488478269,0.15865320092835491,0.06476746699789034,0.1407123612544146,0.2785480860059571,0.28646641947979073,0.4309518995315737,0.04034668190468632,0.0195554354312517,0.03984637128112001,0.002271172647067588,0.004032510288479419,1.7047527862368015
3.4000000000000004,0.04201409133122489,0.11819052009651676,0.0773345366989389,0.15851533895921505,0.061946227418572045,0.13766271498358643,0.27220740055299003,0.28381812191125705,0.4268894996364061,0.03877527632184485,0.019552729033756388,0.039843168505525065,0.002162634593843343,0.0038948385494870343,1.6828070985931638
3.45,0.041985625225362394,0.11721339533693736,0.07726997878159612,0.15837240333625607,0.05926145221088203,0.13461970030633674,0.26589017879027077,0.2811231679254533,0.42275738629617193,0.037209463729719526,0.01955202157714575,0.039829035254966144,0.0020700879997168423,0.0037545340880237683,1.660908430858839
3.5,0.041956770607832664,0.1162311558759148,0.07720307489659138,0.15822431732728806,0.05670995400290983,0.1315864059364466,0.25960281062139834,0.27838406969819696,0.4185594593544478,0.03565567886677001,0.01954818472579362,0.03979562148879431,0.0019915832367666097,0.003612514910070184,1.639061601549221
3.5500000000000003,0.04192752862134373,0.1152441027536659,0.07713378971927665,0.15807100633354754,0.05428840084552421,0.12856581499503641,0.25335143650954484,0.27560337231587334,0.4142996630392162,0.03411976625058186,0.019536991791719003,0.0397362547922401,0.0019253714952981013,0.003469638442828788,1.6172731379056966
3.6,0.04189790042268956,0.11425253554998833,0.07706208886648966,0.1579123979543045,0.0519933349561561,0.1255608001775757,0.2471419387996248,0.2727836445378835,0.40998197182545043,0.03260698258518885,0.019515017606766327,0.03964573990550953,0.0018698862019567275,0.003326696750429042,1.595550936140013
3.6500000000000004,0.041867887182654114,0.11325675223690115,0.07698793892529596,0.15774842204855438,0.04982119074626423,0.12257411962741344,0.24097993459127168,0.26992746997964795,0.4056103769757745,0.031122006793286198,0.01947954616477317,0.039520175268035286,0.001823725991653645,0.0031844137925649226,1.5739039603240907
3.7,0.04183749008591445,0.11225704903453512,0.0769113074804848,0.15757901079376022,0.047768312099665575,0.11960841349120188,0.23487077009663684,0.26703743873707986,0.40118887378838997,0.029668956201454492,0.019428485791670072,0.03935678582636186,0.0017856391211781195,0.0030434443584077494,1.552341976906741
3.75,0.041806710330942756,0.11125372027035475,0.07683216314080384,0.1574040987416158,0.04583096887551808,0.1166662011291901,0.22881951641266907,0.26411613946826196,0.3967214495735068,0.02825140758521938,0.01936029154511609,0.03915377127295374,0.0017545092194288423,0.0029043743564112186,1.5308753219219924
3.8000000000000003,0.04177554912990746,0.11024705824178872,0.07675047556391931,0.15722362287080469,0.04400537261596872,0.11374987895137961,0.22283096663410612,0.2611661519432855,0.39221207237221456,0.026872421946007072,0.019273894504414406,0.03891016883061343,0.0017293422739197474,0.002767722181829064,1.5095146980601584
3.85,0.04174400770857333,0.10923735308234003,0.07666621548009053,0.15703752263673518,0.042287691444310195,0.11086171884893559,0.2169096342308415,0.25819004006883933,0.38766468042507685,0.02553457204357332,0.01916863758355756,0.03862572966811774,0.001709254759160216,0.002633940923152119,1.4882709989033036
3.9000000000000004,0.0417120873062006,0.10822489263124192,0.07657935471454932,0.15684574001823567,0.0406740641449194,0.108003867189012,0.2110597526115611,0.25519034539017194,0.3830831723917245,0.024239971845376636,0.0190442174831042,0.03830080802276712,0.0016934628177952319,0.0025034212042044156,1.4671551577708641
3.95,0.041679789175443197,0.10720996230672082,0.07648986620857717,0.15664821956119965,0.03916061342127623,0.10517834434025301,0.20528527579451314,0.2521695810694834,0.37847139831734933,0.022990307178980325,0.018900632388261368,0.03793626211104033,0.001681272410633939,0.0023764944891663626,1.4461780187728985
4.0,0.04164711458224599,0.10619284498292163,0.07639772403927464,0.15644490841917388,0.03774345833298115,0.10238704469564647,0.1995898801059077,0.249130226336622,0.37383315133723005,0.02178686698543147,0.018738135019381884,0.037533365926214805,0.0016720703577990735,0.0022534367070815428,1.4253502278279122
4.05,0.041614064805741174,0.10517382087054622,0.07630290343801939,0.15623575639088788,0.03641872591691079,0.09963173715910859,0.19397696682668503,0.24607472140515416,0.3691721601062452,0.02063057467133952,0.018557190645667347,0.037093731048861385,0.00166531619808469,0.0021344720764820994,1.4046821415597337
4.1000000000000005,0.04158064113814368,0.10415316740125047,0.07620538080761124,0.15602071595472716,0.03518256200147674,0.09691406606213962,0.18844966570917168,0.2430054628444247,0.36449208193669713,0.019522019145805206,0.018358439681973877,0.036619237630178,0.0016605347989762339,0.002019777031811645,1.3841837521443872
4.15,0.04154684488464576,0.10313115911584016,0.07610513373810428,0.15579974230015686,0.03403114122639486,0.09423555247708804,0.18301083928640735,0.2399247993961105,0.3597964966246773,0.018461485206231597,0.018142664501198415,0.036111973747222435,0.00165730965429532,0.0019094841729783904,1.3638646263313514
4.2,0.04151267736331066,0.10210806755630086,0.0760021410213279,0.15557279335610638,0.03296067628344084,0.09159759589396665,0.17766308789860563,0.2368350282219734,0.35508890094258705,0.017448983005205143,0.017910760109876668,0.03557418237163577,0.0016552768106584514,0.0018036861741867127,1.3437338570091821
4.25,0.04147813990496545,0.10108416116169251,0.07589638266410044,0.15533982981633013,0.03196742639637821,0.08900147622835833,0.17240875536326272,0.23373839156801876,0.3503727037732827,0.016484276389897367,0.017663708351593976,0.035008215238118034,0.0016541193683030377,0.0017024396017262544,1.323800025826028
4.3,0.041443233853093,0.10005970516793364,0.07578783990014067,0.15510081516176275,0.031047705060609075,0.08644835612870264,0.1672499352177823,0.23063707382903934,0.34565122185957803,0.015566909956622526,0.017402555320980645,0.03441649294465935,0.0016535625056906893,0.001605768601687107,1.3040711755082814
4.3500000000000005,0.04140796056372314,0.09903496151149602,0.07567649520068394,0.15485571567989176,0.030197887065135227,0.0839392835521515,0.1621884774661049,0.22753319899655094,0.34092767614149583,0.014696234707086569,0.01712839168994105,0.033801470662451594,0.0016533689814761808,0.0015136684268430899,1.2845547906450316
4.4,0.04137232140532295,0.09801018873702556,0.07556233228381183,0.15460450048117333,0.02941441482114293,0.0814751945791971,0.15722599576366109,0.2244288284723855,0.3362051886526692,0.013871432230229333,0.016842335666956528,0.03316560887877323,0.0016533350712343783,0.0014261087809026456,1.2652577858244856
4.45,0.041336317758686354,0.0969856419089003,0.07544533612250506,0.15434714151252124,0.02869380402295698,0.07905691643838916,0.15236387497796566,0.2213259592296735,0.3314867799466167,0.013091537365102171,0.016545518329481295,0.032511348640374214,0.001653286899920973,0.0013430369652759119,1.2461865001183696
