Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_total_Rn_relativistic
0.5,0.008221934630395562,0.029450249236004956,0.014228110073830782,0.016469186836119424,0.06436934826487253,0.03771035354622871,0.04139178268058373,0.026592307728044717,0.02739422604974632,0.12739819953200993,0.08169741646428082,0.08950581120284376,0.06652008426362613,0.06832354732612547,0.05464603004235589,0.05539332864490879,0.25258609068045884,0.18429827675582128,0.2039979069661738,0.18034297662753251,0.18664288476296775,0.3850139523733241,0.46260512122502473,0.4725905209539397,10.149987172846403
0.55,0.008221792340846435,0.02944463321667177,0.014228109002784095,0.016469184926171353,0.06430041401612677,0.03771024567272064,0.0413916111408961,0.02659230761810975,0.02739422591835637,0.12678782945413447,0.08169200332757805,0.08949730074321012,0.06652002678449141,0.06832347836007534,0.054646028860053694,0.0553933273070598,0.247102862498165,0.18400519057072506,0.2035184351138377,0.1802821929782839,0.18656522705830594,0.33610318975121034,0.42997738995429513,0.41832944902183844,9.754269732555098
0.6000000000000001,0.008221636504030861,0.029438483705121078,0.01422810760381442,0.01646918242027659,0.06422500397468058,0.0377101042393225,0.04139138627433192,0.026592307445683427,0.027394225712288847,0.12612286139934054,0.08168492973746662,0.08948618911981844,0.0665199370547113,0.06832337073158251,0.054646026667448784,0.05539332482684312,0.2412421488068092,0.18362889978233723,0.20290602440368244,0.18019130952540532,0.18644960613527184,0.2905236272047188,0.3954341759347717,0.3655695866572769,9.365449623483869
0.65,0.00822146712107208,0.0294318010736891,0.014228105815409045,0.016469179205740075,0.06414314238218659,0.03770992294849659,0.04139109809365371,0.026592307185119547,0.027394225400903884,0.1254042360391481,0.08167589559713807,0.08947201078837475,0.06651980215134048,0.06832320897309327,0.05464602280886026,0.055393320463736954,0.2350391538695105,0.18315744782309673,0.2021430320575591,0.18006086966413937,0.18628440883793135,0.2489392455307265,0.36000837255246715,0.3158136398247475,8.992799097223205
0.7000000000000001,0.008221284193190924,0.029424585726907395,0.014228103570750382,0.016469175160165668,0.06405485553065958,0.03770969497813054,0.04139073578677098,0.026592306803611104,0.027394224945010984,0.12463296612377232,0.08166457988048577,0.08945426937610643,0.06651960572220927,0.06832297352673304,0.054646016315300416,0.05539331312407775,0.2285304332806786,0.18257903815280038,0.20121257173692475,0.17988012720715174,0.18605658869425912,0.211754801130763,0.32464673331632066,0.2700595151922041,8.642872705589939
0.75,0.008221087721705801,0.02941683810145753,0.01422810079772695,0.01646917015148069,0.06396017174820987,0.03770941298722988,0.04139028772749082,0.02659230625998735,0.027394224295434588,0.12381013414888777,0.08165064185608968,0.08943243994387975,0.0665193274872445,0.06832264015570177,0.05464600580104532,0.05539330124493209,0.22175354534060704,0.1818822507371101,0.20009888691495606,0.17963723046640906,0.18575193785176275,0.17914359499672283,0.2901581328105282,0.2288614063032444,8.319707302094445
0.8,0.008220877708032679,0.029408558666122162,0.014228097418945236,0.016469164037962426,0.06385912138368911,0.03770906912203945,0.0413897414870691,0.026592305503426346,0.027394223391479566,0.12293688987329282,0.08163372238298858,0.08940597137113737,0.06651894272896919,0.06832217934501274,0.05464598934010942,0.05539328265563141,0.2147467021651518,0.1810562482112207,0.19878769151955883,0.17931946613072158,0.18535542715731426,0.1510834453544674,0.25718894679902315,0.19241933699904812,8.025207013930064
0.8500000000000001,0.008220654153685055,0.029399747921732527,0.014228093351742417,0.016469156668266517,0.0637517367902608,0.03770865502258768,0.04138908384654876,0.02659230447208565,0.027394222159299906,0.12201444769559994,0.08161344527267174,0.08937428885147083,0.06651842177786299,0.06832155569862335,0.05464596432172592,0.05539325441606234,0.2075484250162684,0.18009096801505947,0.19726647101159456,0.1789135503399105,0.18485159533800513,0.12739633549052104,0.22621944908822866,0.16067264563367678,7.759593666476807
0.9,0.008220417060273936,0.029390406401112363,0.014228088508199937,0.016469147881457303,0.06363805230790842,0.03770816182964734,0.041388300809870944,0.026592303091653974,0.027394220510174098,0.12104408389848645,0.08158941871147321,0.08933679648617186,0.06651772949833816,0.06832072734007097,0.054645927284377935,0.055393212631318134,0.2001972081037766,0.17897729724634276,0.19552473847557522,0.17840595225005967,0.18422496639524685,0.10778807309679964,0.19757454560229704,0.13338372733771306,7.52184703908576
0.9500000000000001,0.008220166429507816,0.029380534669018268,0.014228082795157956,0.01646913750704007,0.06351810424489522,0.0377075801921059,0.041387377617743665,0.026592301273826724,0.027394218338690903,0.12002713376941246,0.08156123673733315,0.08929287996271427,0.0665168247811005,0.0683196453237153,0.05464587372840828,0.05539315224287153,0.19273119480768336,0.1777072274948619,0.19355424178753347,0.17778323447448705,0.18346047417098255,0.09188528116635415,0.17144290303624926,0.11020627750975978,7.310094477655735
