Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(2),J_7s1/2(2),J_total_Th_relativistic
62.95,0.003038252363144783,0.0006316838599779057,0.0012857038707320158,0.0007203409047810972,0.00014188306722240699,0.0003992509721107233,0.00025431678364664436,4.396660144380961e-05,3.100280111471301e-05,3.7611615252951596e-05,0.000111357530206418,7.226454171318134e-05,1.4234720584481347e-05,1.0066740719468846e-05,2.3257918282326479e-07,1.7815659408266476e-07,9.332932628403094e-06,2.6271848393456544e-05,1.69159308757362e-05,2.7896719780383527e-06,1.9570034352476033e-06,1.8833858700032105e-06,4.5835183500305e-06,2.7688949857983105e-06,1.9015369923471727e-07,1.654787618743885e-07,0.016147713392201734
63.0,0.00303463164251401,0.0006314428197694449,0.0012820832892359495,0.0007177831898812574,0.0001418769695389819,0.00039815566399053614,0.0002534030035733971,4.372782731466386e-05,3.0823617734982666e-05,3.761153809049972e-05,0.0001110564227354064,7.200462556363007e-05,1.4156758257771723e-05,1.0008053451495655e-05,2.3084515702506777e-07,1.7678314178293697e-07,9.332932287952412e-06,2.620114340351466e-05,1.685512268438072e-05,2.774398019106307e-06,1.945609220299275e-06,1.8833842143485542e-06,4.571065230980335e-06,2.758846399342588e-06,1.8912115264295895e-07,1.654779569667919e-07,0.016111721045533753
63.050000000000004,0.0030310143916081884,0.0006312002698151561,0.0012784736022864987,0.000715235097019609,0.0001418706303143434,0.0003970632731331953,0.0002524925934912511,4.349047331544818e-05,3.064555652820619e-05,3.7611443381496045e-05,0.0001107560696194152,7.174565705277727e-05,1.4079262928765254e-05,9.949736624598611e-06,2.2912515717374514e-07,1.7542111244659246e-07,9.332932007594822e-06,2.613061288003473e-05,1.679453729784909e-05,2.7592096936450504e-06,1.9342811478804837e-06,1.8833832872712997e-06,4.558622060074555e-06,2.748819338548978e-06,1.880939307185116e-07,1.654774028679324e-07,0.01607583576965201
63.1,0.0030274006108247154,0.0006309562130579838,0.0012748747775426677,0.0007126965894314785,0.00014186404600884187,0.00039597379425420666,0.0002515855417569924,4.32545303414795e-05,3.0468609970480118e-05,3.761132940174258e-05,0.0001104564699576143,7.148763306652248e-05,1.400223158847104e-05,9.891787738837021e-06,2.2741906038218835e-07,1.740704034190093e-07,9.332931295053773e-06,2.6060256389577776e-05,1.673417341609448e-05,2.744105862116467e-06,1.9230181684820828e-06,1.8833828842042813e-06,4.546192291631553e-06,2.7388162149432174e-06,1.8707235368628725e-07,1.6547705062375698e-07,0.016040057166193937
63.150000000000006,0.0030237903005453284,0.0006307106524851439,0.0012712867827436496,0.0007101676304855619,0.0001418572131436173,0.0003948872220528762,0.00025068183675550554,4.3019989350173213e-05,3.029277059134323e-05,3.7611194451750515e-05,0.00011015762283984254,7.123055049632086e-05,1.3925661248445048e-05,9.834204312088514e-06,2.257267448994971e-07,1.7273091300976993e-07,9.332929664965073e-06,2.5990073484133553e-05,1.6674029706492074e-05,2.7290855411276367e-06,1.9118193886696093e-06,1.8833827741577843e-06,4.533779746316717e-06,2.728839718916043e-06,1.8605647626217953e-07,1.6547685660157246e-07,0.016004384841265543
63.2,0.0030201834611361593,0.0006304635911275126,0.0012677095857087856,0.0007076481836835416,0.00014185012829999005,0.0003938035512126182,0.0002497814668998485,4.278684136059815e-05,3.0118030973378514e-05,3.761103685649942e-05,0.00010985952734672998,7.097440623923053e-05,1.3849548940644684e-05,9.776983879917878e-06,2.2404809012037284e-07,1.7140254050465457e-07,9.332926638670353e-06,2.59200637071855e-05,1.6614104817635478e-05,2.7141479124161415e-06,1.9006840802478e-06,1.883382706738588e-06,4.521388512379505e-06,2.7188927295041986e-06,1.8504604140125872e-07,1.6547677717260216e-07,0.01596881840494339
63.25,0.0030165800929477836,0.0006302150320590202,0.0012641431543375132,0.0007051382126596986,0.00014184278811885662,0.000392722776401259,0.00024888442063132317,4.25550774530344e-05,2.9944383751817873e-05,3.761085496519842e-05,0.00010956218254981868,7.07191971979585e-05,1.3773891717284541e-05,9.720123995447228e-06,2.2238297659433603e-07,1.7008518617747219e-07,9.332921744010726e-06,2.5850226599974348e-05,1.655439739367349e-05,2.6992923281595423e-06,1.8896116857328565e-06,1.883382420402261e-06,4.509022841051392e-06,2.708978219461991e-06,1.8404056189687453e-07,1.6547676037068898e-07,0.015933357470963656
63.300000000000004,0.0030129801963152715,0.0006299649783960503,0.0012605874566093188,0.0007026376811805272,0.00014183518930009018,0.0003916448922713389,0.00024799068641954546,4.232468876853475e-05,2.9771821614150098e-05,3.7610647151049255e-05,0.00010926558751168281,7.046492028090615e-05,1.3698686650693564e-05,9.663622229227648e-06,2.2073128603430965e-07,1.6877875130124526e-07,9.332914515125416e-06,2.5780561707820543e-05,1.6494906088864242e-05,2.684518312496435e-06,1.8786018200169764e-06,1.8833816514838274e-06,4.49668704000794e-06,2.6990991623757606e-06,1.8303948296753858e-07,1.6547673954242624e-07,0.01589800165654626
63.35,0.0030093837715582422,0.0006297134332968439,0.0012570424605836887,0.0007001465531443516,0.00014182732860194597,0.00039056989346041194,0.0002471002527625134,4.2095666508489394e-05,2.9600337299731878e-05,3.761041181101134e-05,0.00010896974128604792,7.021157240221396e-05,1.3623930833173481e-05,9.607476169112186e-06,2.1909290132411597e-07,1.6748313815827148e-07,9.33290449226005e-06,2.571106858636304e-05,1.643562958201786e-05,2.6698255592320984e-06,1.8676542681953858e-06,1.8833801434981243e-06,4.484385368655756e-06,2.6892584479011736e-06,1.8204233450213654e-07,1.6547663276978165e-07,0.015862750582207496
63.400000000000006,0.0030057908189809104,0.0006294603999609089,0.0012535081344000538,0.0006976647925809372,0.00014181920284047167,0.00038949777459134114,0.0002462131081866718,4.186800193419352e-05,2.9429923599401605e-05,3.761014736556867e-05,0.00010867464291790873,6.995915048180503e-05,1.3549621376858328e-05,9.551683420130035e-06,2.1746770652445762e-07,1.6619825004861005e-07,9.332891221589122e-06,2.5641746807573187e-05,1.637656659050088e-05,2.6552139257882218e-06,1.8567689796129014e-06,1.8833776561837508e-06,4.472121938543091e-06,2.679458809646078e-06,1.810488031637205e-07,1.6547634848002446e-07,0.015827603871445394
