Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_total_Pb_relativistic
1.5,0.008809132213615721,0.031206440600647475,0.015268849840610605,0.01738617600080809,0.06570086013873022,0.040404072714654966,0.04390737094412807,0.02829001626533204,0.029062826986988644,0.11123277856471872,0.08738926146795235,0.09455086983163156,0.07210200779482502,0.07392934430568082,0.06100811638021165,0.06183336296853845,0.10307053391500709,0.15806743470861592,0.15762107069978035,0.1678197139373396,0.16721348141979683,0.041047583505035366,0.010461663003958437,6.153975641546848
1.55,0.00880863254854825,0.031186805055028036,0.015268814589100331,0.01738611570307377,0.06546814275901806,0.0404005055708557,0.04390200202905314,0.02828998309995524,0.02906278804925122,0.10946223423305651,0.08722528517188967,0.09431062475708601,0.07208542765371569,0.07390988161671683,0.06100382599579774,0.06182855397908989,0.09614571234861781,0.15323984138454308,0.1513629185423453,0.16245881364525339,0.16128044228746963,0.040007955029580704,0.01009909845730514,6.039979655545149
1.6,0.008808116544052105,0.031166540121385825,0.015268775784656389,0.0173860493270826,0.06522871032608195,0.04039658776803018,0.043896108317829745,0.028289944268523104,0.029062742465863326,0.10766539554823233,0.08704715508121233,0.09405029104120549,0.07206631438072737,0.07388746639499558,0.060998669677800155,0.061822781339847165,0.08960596197638233,0.14829652437602756,0.14504739650046802,0.15699270214868558,0.1552771981476862,0.03875017541324674,0.009891422871472226,5.9251046663964955
1.6500000000000001,0.00880758420428665,0.03114564718102807,0.015268733198308647,0.017385976482096152,0.06498264757183918,0.04039229821790387,0.04388965873742423,0.028289899035863236,0.02906268937609946,0.10584475230503036,0.08685431592442194,0.09376918088084997,0.0720444033968339,0.07386179478768283,0.06099252160275523,0.061815906763871366,0.08345685707163675,0.1432589818318431,0.13870595748620235,0.1514488936091323,0.14923378092559844,0.03730157850724358,0.009786310831235281,5.809767266466951
1.7000000000000002,0.008807035533542491,0.031124127657176728,0.015268686594292563,0.01738589676594066,0.06473004132943733,0.04038761539659314,0.04388262163571459,0.028289846600637717,0.029062627842070903,0.10400279218727673,0.08664623366548162,0.0934666474836378,0.0720194170320891,0.07383254871541878,0.06098524561190661,0.06180778095655399,0.07770053576097963,0.13814894480701037,0.13236905867562268,0.145854042367677,0.14317865051062942,0.03569428885775337,0.00974348555707398,5.694394380671101
1.75,0.008806470536241394,0.031101983014789628,0.01526863573009288,0.01738580976509598,0.06447098048180411,0.04038251736467604,0.04387496481590804,0.028289786092067046,0.029062556844952934,0.10214199541707893,0.0864223976450828,0.09314208804876097,0.07199106517660125,0.0737993967272153,0.060976695341031735,0.06179824381795653,0.07233594657088388,0.13298811855866624,0.12606583592446768,0.1402336699699936,0.13713847836672582,0.03396245416624223,0.009732404827061652,5.5794094020200244
1.8,0.00880588921693621,0.0310792147603765,0.01526858035648855,0.017385715054787015,0.06420555590916491,0.04037698178760934,0.04386665557147038,0.028289716566657814,0.02906247528122274,0.10026482952414283,0.08618232260891474,0.09279494651149252,0.07195904603373643,0.07376199497209886,0.06096671445530583,0.061787124760247975,0.06735911140163861,0.12779794226264635,0.11982382772975096,0.13461194830853787,0.13113799300402218,0.0321402165222764,0.009730360415002384,5.465221496994007
1.85,0.008805291580310797,0.03105582444180997,0.015268520217598891,0.017385612199077534,0.06393386043557299,0.040370985956470276,0.04385766072152416,0.028289637004941776,0.02906238195891724,0.09837374424961258,0.08592555061590898,0.09242471604199588,0.07192304697062371,0.07371998828059304,0.060955136987520225,0.06177424313731245,0.06276339980345085,0.12259936969349017,0.1136687487961837,0.1290115342026094,0.1251998796903226,0.030260275373060863,0.00972091826887504,5.352217571622766
1.9000000000000001,0.008804677631179939,0.0310318136481315,0.015268455050930925,0.017385500750966423,0.06365598877449816,0.040364506809000736,0.04384794664667214,0.02828954630823399,0.029062275593919967,0.09647116659803547,0.08565165282017421,0.09203094129069579,0.07188274546019909,0.07367301134817615,0.060941787776370895,0.06175940878186145,0.05853980976516053,0.1174126726981096,0.1076243121027293,0.12345345028483413,0.11934472694279327,0.02835291766912674,0.009692639225262964,5.240756452978998
1.9500000000000002,0.008804047374489253,0.03100718400935237,0.015268384587427923,0.017385380252486288,0.0633720374735201,0.04035752095093175,0.04383747932520252,0.028289443295417622,0.029062154806286176,0.09455949605017235,0.08536023112109513,0.09161322037412067,0.0718378101082677,0.073620690011999,0.060926483000066436,0.06174242264381967,0.05467725061391376,0.11225726862889811,0.1017120974064488,0.11795700689565852,0.11359101271430236,0.026445411363841514,0.009638030715131198,5.131164900754436
2.0,0.008803400815315113,0.030981937196249684,0.015268308551519137,0.017385250234804406,0.06308210485817334,0.04035000467756576,0.043826224369632016,0.028289326699763015,0.029062018116615136,0.09264109994845751,0.08505091967683841,0.09117120659676532,0.07178790175839353,0.07356264261141392,0.06090903079919568,0.06172307752238461,0.05116282404954383,0.10715157229665266,0.09595146336265965,0.11253975973169252,0.1079551236959501,0.024561676891652173,0.009552688799013083,5.02373511805493
