Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Tm_relativistic
1.0,0.011113009160310265,0.03928847704528119,0.019386343074492492,0.021136813528063583,0.08476386875268706,0.05164360162842374,0.0546706727462738,0.035527227672779604,0.03620776782142661,0.15528958483425873,0.11664419277076148,0.12379402513156844,0.09690378920735937,0.09885997676551914,0.10729948016383255,0.10995072968203483,0.16283319992795947,0.2412890636098668,0.2386116267470642,0.03725720730693561,6.345452172633303
1.05,0.011112365469549192,0.039262560145136974,0.019386309222033445,0.02113676487150415,0.08444065993982444,0.05163989526102693,0.05466576264638936,0.03552720386365462,0.03620774112237619,0.1524499212877817,0.11642939321193978,0.12350750861054159,0.09688179894919818,0.098834817480594,0.10693675536614711,0.1094743842320188,0.14661575602856827,0.2289079153142455,0.22360191626956566,0.03437934894578868,6.20872864393404
1.1,0.01111169043591901,0.03923539933508603,0.019386270203062862,0.021136708789400122,0.08410308542234725,0.051635634331942425,0.054660120005076855,0.03552717378220136,0.036207707393531206,0.1495315578375569,0.11618586160340752,0.12318340672725515,0.09685464148856768,0.09880378211309522,0.1065393167927992,0.10896328395125894,0.13164805625091255,0.2163207362673055,0.20863408056202484,0.031346605271145474,6.073042144790841
1.1500000000000001,0.01111098406750999,0.039206997500401686,0.019386225520259308,0.02113664456789715,0.08375133867674715,0.05163076823948578,0.05465367850346738,0.035527136189345554,0.036207665247570534,0.14654169685588705,0.1159117506809514,0.12281947458034369,0.09682149823607557,0.09876595133832099,0.1061072998057291,0.10841799734435395,0.11794959680552759,0.20364941833201658,0.19385485801220392,0.028282952296570713,5.939508098068249
1.2000000000000002,0.01111024637278709,0.03917735765618453,0.01938617465429064,0.021136571461756265,0.08338562067710813,0.05162524465926926,0.05464636966403558,0.03552708967710904,0.03620761310846662,0.14348759676199527,0.11560527745224228,0.12241358019608946,0.09678148894997748,0.09872033959858992,0.10564097625983494,0.10783915120989834,0.10551758190756155,0.19100901614315757,0.17939451928702266,0.025284699544395835,5.809063740872583
1.25,0.011109477360589738,0.039146482946772955,0.01938611706396479,0.021136488694598075,0.08300613970131049,0.05161900962441581,0.05463812296736665,0.035527032655609525,0.03620754919705568,0.14037654368327937,0.11526473617708353,0.12196372174642794,0.0967336756452318,0.09866590006264406,0.10514074050618688,0.10722743198469345,0.0943298081793638,0.17850562302962453,0.16536551615613534,0.022422073829089284,5.682467417140641
1.3,0.0111086770401316,0.039114376645128894,0.01938605218638674,0.021136395459156958,0.08261311113096682,0.051612007608098656,0.05462886597209724,0.03552696333993385,0.03620747151648537,0.13721582366383886,0.11488851061029898,0.1214680434365002,0.09667706742250413,0.09860153060852075,0.10460709781165123,0.10658358664759586,0.08434762407062772,0.1662348452835839,0.1518619764266698,0.019742784236467248,5.560306579331622
1.35,0.011107845421000349,0.03908104215219908,0.019385979437121753,0.021136290917545205,0.08220675724537115,0.05160418160826007,0.05461852443779504,0.035526879736934365,0.03620737783759667,0.1340126955634638,0.11447508542572991,0.12092484995332581,0.09661062614776345,0.09852608073840409,0.1040406544311717,0.10590842277448771,0.07551886496372646,0.15428082640221297,0.13895989136180212,0.01727614790341015,5.443010739930105
1.4000000000000001,0.011106982513157412,0.03904648299625192,0.01938589821036469,0.021136174201526976,0.0817873070097494,0.05159547323436013,0.05460702245053759,0.03552677963199858,0.036207265684297114,0.13077436478132334,0.11402305674974703,0.12033261938566961,0.09653327289887778,0.09843835931834488,0.10344210877434505,0.10520280758197854,0.06778068266342704,0.14271575728771368,0.12671784366136085,0.015037061781678535,5.330867039111204
1.4500000000000002,0.011106088326937715,0.039010702832190186,0.01938580787911542,0.021136044412801966,0.08135499585810581,0.05158582279600302,0.05459428255094699,0.035526660575842015,0.03620713231898252,0.12750795792886785,0.11353114174299866,0.11969001454395928,0.09644389508377012,0.09833714302317058,0.1028122432744216,0.10446766594322782,0.0610622058860429,0.13159980018244002,0.11517813453152392,0.013029504923798781,5.224036956810421
