Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(1),J_total_Cd_relativistic
2.45,0.016964586948246485,0.05614547870676718,0.030537387750025468,0.03176127011756857,0.08117930127566055,0.08058240514427675,0.08231221814768495,0.05946765547546638,0.06002179129742109,0.029165620625231762,0.061707221277364034,0.05738618097271984,0.07124894031760085,0.06950498806647816,0.00465366535511262,2.7077370704729278
2.5,0.016959240965436894,0.05593360894967822,0.030533205536946263,0.03175633819676128,0.07928532965778776,0.080163797402399,0.08184343022659624,0.05941707427546187,0.05996858921113552,0.028308188287341166,0.05788788362202777,0.05363820917542811,0.06764340998111808,0.06591695450991608,0.004214726064236521,2.6390790707194793
2.5500000000000003,0.016953789380670128,0.05571837122867482,0.030528780399225686,0.03175112089397648,0.07740302219054859,0.07972857325358577,0.0813565759565793,0.05936258356883272,0.059911296143823276,0.027598752319162426,0.05425176562371163,0.05009067755363307,0.06417361604905668,0.06246916008187208,0.0038282489668492836,2.5732436401673415
2.6,0.0169482323363932,0.0554998157985372,0.03052410404631665,0.031745608577413105,0.07553400526054231,0.07927676628454383,0.08085174173736996,0.059304017758088655,0.05984974127304941,0.027020002305982106,0.050798628311076566,0.04674144334102492,0.06083876931167154,0.0591603166882358,0.003490026154836141,2.51016983166644
2.6500000000000004,0.01694256997773482,0.05527799349104746,0.03051916813535029,0.0317397915631459,0.07367984248477477,0.07880844046615366,0.08032904840846847,0.059241213398870715,0.059783756263692346,0.026555574626149443,0.047527260951017954,0.04358742691086444,0.05763761771104588,0.05598870178736789,0.0031959177613166746,2.4497886760630334
2.7,0.016936802452497384,0.05505295569370633,0.030513964276611356,0.03173366012182994,0.07184203336393183,0.07832368978700738,0.07978865065771737,0.059174009731206144,0.059713175823066615,0.02619009153849307,0.04443557664243778,0.04062472302111582,0.05456849976607134,0.052952211803876915,0.002941897592986728,2.392024521648767
2.75,0.01693092991114877,0.05482475432833082,0.03050848403902343,0.031727204485409506,0.07002201213729459,0.07782263779408884,0.07923073632471166,0.05910224919922777,0.0596378382426003,0.025909185683010597,0.041520706294486766,0.037848707981583324,0.05162939448759027,0.05004841177489219,0.0027240886970060474,2.3367962677878253
2.8000000000000003,0.01692495250681404,0.05459344182954608,0.030502718955639628,0.03172041485382582,0.06822114683599781,0.07730543704513608,0.07865552560514662,0.05902577795680826,0.05955758592341344,0.025699511557602257,0.03877909006254605,0.03525414195677399,0.0488179678462539,0.047274581338185975,0.002538790269008599,2.284018494569412
2.85,0.01691887039526697,0.05435907112318506,0.030496660529134627,0.03171328140171812,0.0664407385307255,0.07677226847746348,0.07806327016244852,0.058944446356729706,0.05947226588333245,0.025548745493997004,0.03620656548436157,0.0328352658057691,0.04613161587972683,0.04462775719000873,0.0023824971649226783,2.2336024912637296
2.9000000000000004,0.01691268373492146,0.05412169560460932,0.03049030023729378,0.03170579428511294,0.06468202076937316,0.07622334069822326,0.07745425215322724,0.058858109421189346,0.05938173024307509,0.025445575598647432,0.03379845171333034,0.0305858920269641,0.04356750454523985,0.04210477215350233,0.0022519131405845222,2.185457187100365
2.95,0.016906392686822775,0.05388136911696434,0.030483629538495222,0.03169794364809611,0.06294615919968441,0.07565888920125387,0.07682878317323963,0.05876662729163134,0.05928583668954774,0.025379683053178538,0.03154962938556493,0.02849948952170442,0.041122606438102206,0.03970229100708365,0.002143958814791865,2.139489988464395
3.0,0.016899997414638695,0.05363814592938274,0.030476639877180807,0.03168971962946237,0.061234251371390984,0.07507917551579563,0.07618720313065871,0.05866986565608965,0.05918444891441031,0.02534171608747706,0.02945461578204345,0.026569262017525477,0.03879373450684094,0.03741684322805232,0.0020557752357229756,2.095607527044349
3.0500000000000003,0.016893498084650474,0.05339208071514846,0.03046932268931182,0.0316811123693374,0.05954732671195066,0.07448448629245462,0.07552987905350847,0.058567696152426504,0.05907743702628059,0.02532325784979768,0.027507635057230865,0.024788220100074414,0.03657757290234199,0.035244852810840915,0.001984723823178188,2.0537163237809297
