Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(4),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Cf_relativistic
61.7,0.0031969635998755747,0.0005513994034724874,0.001908051730680331,0.0010884134746341513,0.00012465388098514108,0.0005712712716054879,0.0003966250281547765,9.533642414829104e-05,6.678184356017429e-05,3.57918803825041e-05,0.0001621327278225823,0.00011800136557368246,3.33635722299552e-05,2.3572355380095496e-05,8.086569728194974e-07,6.163100917278548e-07,9.911128271557969e-06,4.231377874879582e-05,3.0668497616235305e-05,7.67665961393075e-06,5.363816633432719e-06,1.0187217133193408e-07,7.120011834089816e-08,1.961278286102853e-06,6.943157688226562e-06,4.2593557337130455e-06,1.007667415906723e-07,0.02090535326945402
61.75,0.00319377969593583,0.0005513976821966568,0.0019033908676462392,0.0010848518811868522,0.00012455950068482633,0.0005700342035371075,0.00039535068814906447,9.483890939928284e-05,6.640850976955653e-05,3.573897043173018e-05,0.00016180258228440367,0.0001176266739823062,3.3188296881687536e-05,2.3439551104733087e-05,8.027054231880313e-07,6.116117289756095e-07,9.893915480236605e-06,4.222932806250794e-05,3.05714910653325e-05,7.63625265302036e-06,5.333522533256922e-06,1.0110973015360562e-07,7.065142717328142e-08,1.957797547750101e-06,6.929326223196314e-06,4.245830454820549e-06,1.0057237397452214e-07,0.02085855687080422
61.800000000000004,0.0031905979462270376,0.0005513957430553339,0.0018987416640839543,0.001081302350087483,0.0001244666471312732,0.0005687990761445451,0.00039408027102316105,9.434422133033523e-05,6.60374248722045e-05,3.568678552085795e-05,0.00016147279211597566,0.00011725307940645253,3.301402054216292e-05,2.330755114498175e-05,7.968013047444971e-07,6.069519090141591e-07,9.87693006554591e-06,4.214495417843453e-05,3.0474763030718206e-05,7.596076177356247e-06,5.303412085152193e-06,1.003560454981176e-07,7.01099120217623e-08,1.954364768640425e-06,6.91553269206398e-06,4.232368599600773e-06,1.0038020273129334e-07,0.020811903560797554
61.85,0.0031874183528350338,0.0005513935736000615,0.0018941040943578152,0.0010777648416838185,0.00012437530267082715,0.0005675658932023123,0.00039281376782700575,9.385234275908951e-05,6.566857446338788e-05,3.5635318163636794e-05,0.00016114335974172243,0.00011688057994360846,3.284073715469113e-05,2.317635034250437e-05,7.909442115420004e-07,6.023302938457729e-07,9.860169739496474e-06,4.2060657847627704e-05,3.0378313119511977e-05,7.556129287955388e-06,5.273484685122678e-06,9.96111530576563e-08,6.957560200588893e-08,1.950977739103788e-06,6.901777693844921e-06,4.218970677309805e-06,1.001898196899859e-07,0.020765392798526783
61.900000000000006,0.003184240917832659,0.0005513911615201574,0.0018894781328554799,0.0010742393164333848,0.00012428544979207177,0.0005663346584189125,0.00039155116959815547,9.336325661319241e-05,6.530194423526775e-05,3.558456093218622e-05,0.00016081428755999156,0.0001165091736805645,3.2668440700890006e-05,2.304594357347415e-05,7.851337413475586e-07,5.977465486332452e-07,9.843632231342922e-06,4.197643981791535e-05,3.02821409572806e-05,7.516411081973181e-06,5.243739723962446e-06,9.887500941780715e-08,6.904844139867789e-08,1.9476342783857666e-06,6.888061182179572e-06,4.205636574733268e-06,1.0000100005983603e-07,0.02071902404125886
61.95,0.003181065643279788,0.0005513884946417314,0.001884863753988179,0.0010707257349033559,0.00012419707112491498,0.000565105375437304,0.0003902924673621916,9.287694592956682e-05,6.493751997622152e-05,3.5534506456628096e-05,0.0001604855779432036,0.00011613885869359257,3.2497125200438874e-05,2.2916325748338153e-05,7.793694956051957e-07,5.932003416676395e-07,9.827315287384607e-06,4.1892300833625804e-05,3.0186246186914457e-05,7.476920640857879e-06,5.214176573583828e-06,9.814748408907086e-08,6.852829280360494e-08,1.9443322746879256e-06,6.874382472098954e-06,4.192365547185029e-06,9.981364249677768e-08,0.020672796744192087
62.0,0.003177892531223354,0.0005513855609267071,0.001880260932190956,0.0010672240577704415,0.00012411014943967933,0.0005638780478353559,0.00038903765213311976,9.239339385368637e-05,6.457528757017192e-05,3.548514742472037e-05,0.0001601572332380007,0.00011576963304862155,3.232678471083306e-05,2.2787491811582145e-05,7.73651079399277e-07,5.886913443362117e-07,9.81121667077999e-06,4.1808241635214e-05,3.0090628466986072e-05,7.43765701906887e-06,5.184794573979117e-06,9.742835966485659e-08,6.801495010245549e-08,1.941069723110137e-06,6.860740262599809e-06,4.179156229465494e-06,9.962771393533449e-08,0.0206267103604216
62.050000000000004,0.0031747215836973766,0.0005513823484718499,0.0018756696419229126,0.0010637342458207771,0.00012402466764619671,0.0005626526791263064,0.000387786714913768,9.191258363885554e-05,6.421523299592126e-05,3.543647658149252e-05,0.00015982925576539528,0.0001154014948014117,3.2157413327140184e-05,2.2659436741497172e-05,7.679781014181248e-07,5.842192310905559e-07,9.795334161376667e-06,4.1724262958797575e-05,2.999528746962656e-05,7.39861923363112e-06,5.155593021129897e-06,9.671733744504617e-08,6.750815613024666e-08,1.9378447607197943e-06,6.847132674448405e-06,4.1660066688137704e-06,9.944321309240939e-08,0.020580764341113743
62.1,0.003171552802722992,0.0005513788455077993,0.0018710898576674508,0.001060256259949813,0.00012394060879290756,0.0005614292727592173,0.0003865396466961803,9.143449864549472e-05,6.385734232649042e-05,3.538848672888261e-05,0.00015950164782091864,0.00011503444199772765,3.198900518175797e-05,2.2532155549947692e-05,7.623501739179314e-07,5.797836794149916e-07,9.779665555558639e-06,4.1640365535613525e-05,2.990022287796723e-05,7.359806254776906e-06,5.126571156153728e-06,9.60140458149744e-08,6.700761419641093e-08,1.934655698037517e-06,6.833557302141307e-06,4.152914379860083e-06,9.92601433627178e-08,0.020534958135810126
62.150000000000006,0.003168386190308475,0.0005513750403981078,0.001866521553932507,0.0010567900611621961,0.00012385795606596403,0.0005602078321194263,0.00038529643846200507,9.095912234042927e-05,6.350160172846209e-05,3.5341170725375886e-05,0.00015917441167476876,0.00011466847267350917,3.18215544441733e-05,2.240564328214107e-05,7.567669126869887e-07,5.753843697952195e-07,9.764208666111954e-06,4.155655009140773e-05,2.9805434383204394e-05,7.321216997898895e-06,5.0977281559466e-06,9.531805088060162e-08,6.651298361179459e-08,1.9315010463019192e-06,6.8200112784818215e-06,4.139876419360242e-06,9.907847613867224e-08,0.020489291192770754
62.2,0.0031652217484492706,0.000551370921638284,0.0018619647052507925,0.0010533356105716573,0.0001237766927883378,0.0005589883605289984,0.0003840570811828816,9.048643829618456e-05,6.314799746132931e-05,3.5294521485645144e-05,0.00015884754957195846,0.0001143035848550413,3.1655055320723074e-05,2.2279895016398876e-05,7.512279370102788e-07,5.710209856872899e-07,9.748961322109556e-06,4.147281734577224e-05,2.971092168135549e-05,7.282850317006529e-06,5.069063125542261e-06,9.462887143057763e-08,6.602386868183967e-08,1.9283795399579807e-06,6.806491349824841e-06,4.126889476474666e-06,9.889809814429908e-08,0.02044376295937399
62.25,0.0031620594791280173,0.0005513664778548413,0.001857419286180023,0.00104989286940089,0.00012369680241893202,0.0005577708612471745,0.00038282156582082047,9.001643019028461e-05,6.279651587684805e-05,3.5248531980192576e-05,0.00015852106373246278,0.0001139397765591221,3.14895020543563e-05,2.215490586392945e-05,7.457328696344327e-07,5.666932134868998e-07,9.733921368815587e-06,4.138916801144584e-05,2.9616684469781803e-05,7.2447049998405475e-06,5.040575092366788e-06,9.39460003824712e-08,6.553982748306291e-08,1.9252901539051675e-06,6.792993959738006e-06,4.113949972899121e-06,9.871876217880633e-08,0.020398372882704227
62.300000000000004,0.003158899384314577,0.0005513616978043525,0.001852885271303151,0.001046461798981432,0.00012361826855169757,0.0005565553374708184,0.0003815898833285817,8.954908180455622e-05,6.244714341839476e-05,3.5203195234993335e-05,0.00015819495635136627,0.00011357704579322937,3.1324888924397795e-05,2.2030670968602155e-05,7.402813367331017e-07,5.624007424990643e-07,9.719086667609041e-06,4.130560279359516e-05,2.952272244356002e-05,7.206779764760525e-06,5.0122630025205e-06,9.326893135600373e-08,6.506041042834113e-08,1.922232115143178e-06,6.77951533864971e-06,4.101054166511867e-06,9.854007680810563e-08,0.020353120410400993
62.35,0.0031557414659660614,0.0005513565703725087,0.0018483626352285975,0.0010430423607535454,0.00012354107491475375,0.0005553417923348629,0.000380362024650049,8.908437702443773e-05,6.209986662032859e-05,3.5158504331140744e-05,0.0001578692295990102,0.000113215390555686,3.1161210246313396e-05,2.1907185506723168e-05,7.348729678727604e-07,5.581432649081878e-07,9.70445509592619e-06,4.1222122389094064e-05,2.942903529178864e-05,7.169073259477307e-06,4.984125719169904e-06,9.259718445604436e-08,6.458520563425068e-08,1.9192049085649792e-06,6.766051597013182e-06,4.088198252469975e-06,9.83615596207397e-08,0.020308004991662482
