Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(1),J_5s1/2(1),J_total_Ru_relativistic
2.25,0.03737802209839842,0.1240316111042395,0.06782271843017723,0.14017051597791816,0.1764153190890157,0.1810345528006879,0.3684735016078914,0.2724619250188815,0.41195067719766204,0.05952210907282589,0.11297844239501792,0.209969646031083,0.22535400307845968,0.16354162759119334,0.003593278144442648,2.554697949637894
2.3000000000000003,0.037364953186327994,0.12350484914855257,0.06781176710427919,0.1401453683462804,0.17163344393438326,0.17985687378827556,0.3658817843819613,0.2721130378487037,0.4114042742747003,0.058212744343207196,0.10437705993932102,0.19334912745969945,0.2103314124884848,0.15248237492881855,0.003246749853319632,2.491715821026315
2.35,0.03735160354598816,0.12296907253691108,0.0678001247308286,0.14011863919073628,0.1668938706512851,0.1786310652519142,0.36318721383706004,0.27173633225528837,0.4108145396171071,0.057211095557450305,0.09634286137552996,0.17791609913352005,0.1961660600411888,0.14206810928214342,0.002954673513683822,2.4321613605206354
2.4000000000000004,0.03733797359707013,0.12242443411546326,0.06778776589029978,0.14009027090962006,0.16220145074673256,0.17735750285076357,0.36039089879596214,0.27133071870550735,0.4101798049147446,0.05646697765840216,0.08886170184982391,0.16363188649424773,0.18282465872507825,0.1322724738043815,0.0027107894040210912,2.375869308462118
2.45,0.037324063767836306,0.12187108857439352,0.06777466500970482,0.14006020560364466,0.15756079543190035,0.17603667267468706,0.3574941910578565,0.2708951440537554,0.409498461088322,0.05593439344103081,0.08191699451853392,0.1504535674813278,0.17027367562335943,0.12306910029142479,0.0025092377402650017,2.322672256358042
2.5,0.03730987449509178,0.12130919236883514,0.06776079638324049,0.1400283851247909,0.1529762720085273,0.1746691685197383,0.35449867804810126,0.270428596022916,0.4087689651943208,0.0555715033437639,0.07549013052783732,0.13833485911631285,0.1584795504915189,0.11443175769019201,0.0023445792263986666,2.2724023085615856
2.5500000000000003,0.037295406224155316,0.12073890363936426,0.06774613419295067,0.13999475112517873,0.1484520011616516,0.17325568877562755,0.35140617462794105,0.26993010743153584,0.4079898469152424,0.05534054589642509,0.06956086996594112,0.12722692916419773,0.14740888610540875,0.10633448053738423,0.0022118039044232616,2.224892529667428
2.6,0.03728065940882976,0.12016038213213617,0.0677306525293845,0.13995924510587202,0.14399185513271806,0.17179703295483756,0.3482187141385215,0.2693987601450573,0.40715971460171985,0.0552077173315082,0.06410770229707884,0.11707913205694725,0.1370286130825752,0.09875167929162926,0.0021063307262391027,2.1799781909350546
2.6500000000000004,0.03726563451137194,0.11957378911872475,0.06771432541223113,0.13992180846556965,0.139599456744123,0.17029409789384428,0.34493853875477093,0.26883368873220825,0.40627726083826465,0.0551430181861139,0.05910817557199282,0.10783966975099364,0.12730613161649723,0.0916582343214505,0.0020239998810117343,2.1374978297991682
2.7,0.037250332002461986,0.11897928731572571,0.06769712681091164,0.1398823825491354,0.13527817924360225,0.16874787365743774,0.3415680892253561,0.2682340838109014,0.4053412675096267,0.05512007400953232,0.05453919436180875,0.09945617937708873,0.11820943232691798,0.08502957516223307,0.001961059576536541,2.097294136939276
2.75,0.037234752361172185,0.11837704080418363,0.06767903066510916,0.13984090869592078,0.13103114693450668,0.16715943917743792,0.33810999407498277,0.2675991950712112,0.4043506103498695,0.05511593656821989,0.05037728689356561,0.09187625046295056,0.10970719825058506,0.07884174650952665,0.0019141486865254965,2.0592146855057676
2.8000000000000003,0.03721889607493525,0.11776721494890262,0.0676600109052186,0.1397973282878345,0.1268612365559611,0.1655299576571765,0.33456705834484374,0.2669283339661375,0.4033042629612531,0.05511087122356757,0.04659884228888807,0.08504787520110513,0.10176888983349343,0.07307146227530556,0.0018802764336192474,2.0231125169582422
2.85,0.03720276363951207,0.11714997631769986,0.06764004147269724,0.1397515827971142,0.12277107937515074,0.16386067177297678,0.3309422519460493,0.266220876063908,0.4022013002948239,0.05508813546234985,0.04318031913508608,0.07891983572880532,0.09436481461701908,0.06769614892935681,0.0018568000702983527,1.9888465976228475
2.9000000000000004,0.037186355558958974,0.1165254926006605,0.06761909634029831,0.1397036138337557,0.11876306395252564,0.1621528987035264,0.32723869769944836,0.26547626305848404,0.40104090158919603,0.055033752895676254,0.040098426862661095,0.07344203271418955,0.08746618317291172,0.06269397925410664,0.0018414013432379154,1.9562821595796374
2.95,0.03716967234559444,0.11589393252945228,0.06759714953216939,0.13965336319255706,0.11483933953954906,0.16040802501751736,0.32345965913340397,0.2646940044376982,0.3998223527683397,0.05493628641732684,0.03733028157643843,0.0685657597304954,0.08104515273060045,0.05804389753801632,0.001832062377731186,1.9252909388668904
3.0,0.03715271451996532,0.115255465796757,0.06757417514379821,0.13960077289973416,0.11100182006772746,0.15862750144923568,0.31960852810886503,0.2638736788110452,0.39854504830323634,0.05478661363175191,0.03485353810013621,0.06424392797291642,0.07507485981858927,0.05372563714857882,0.001827041491517801,1.8957513232638545
3.0500000000000003,0.037135482610812495,0.11461026297587569,0.06755014736178867,0.13954578525906736,0.10725218868704452,0.15681283759094064,0.31568881233851875,0.26301493490155936,0.39720849254600143,0.05457770712889823,0.03264650005599035,0.06043124585252638,0.06952944312620453,0.04971973135944142,0.0018248493400094565,1.8675484211346796
