p,ChiF,ChiG,ChiTotal,I(p),J(Q)
3.5500000000000003,0.0003073259733076136,0.02455978143371906,0.02456170420239444,0.007602802341189919,0.04217538277665202
3.6,0.0003147898177952016,0.024786206397581494,0.02478820526405446,0.007963338357959149,0.0421209618654636
3.6500000000000004,0.00032228088314130464,0.0250084683175043,0.02501054482723746,0.008333588154417381,0.04206477169959369
3.7,0.0003297967949664799,0.025226560273182746,0.025228715963015083,0.008713522214160717,0.04200679443908552
3.75,0.00033733519326646806,0.02544047676289209,0.025442713160271812,0.0091031013696919,0.041947013192805374
3.8000000000000003,0.00034489373347391846,0.025650213686638727,0.02565253230886998,0.009502276856104008,0.04188541203191483
3.85,0.00035247008749252924,0.025855768328662435,0.025858170682166216,0.009910990379513129,0.04182197600206337
3.9000000000000004,0.00036006194470316304,0.02605713933931686,0.026059626918906526,0.010329174199871012,0.04175669113430645
3.95,0.00036766701294154146,0.026254326716356156,0.026256901004527895,0.01075675122776652,0.04168954445475616
4.0,0.0003752830194471635,0.02644733178565534,0.026449994251893906,0.01119363513480353,0.04162052399297329
4.05,0.00038290771178313253,0.02663615718139202,0.02663890928149208,0.011639730477123331,0.041549618789111835
4.1000000000000005,0.0003905388587266183,0.026820806825717268,0.026823650001120608,0.012094932831621807,0.04147681889982828
4.15,0.0003981742511297176,0.0270012859079433,0.027004221585092213,0.012559128944395155,0.041402115402970174
4.2,0.00040581170275052185,0.027177600863275468,0.02718063045298252,0.013032196890933039,0.0413255004010598
4.25,0.0004134490510542292,0.027349759351116013,0.027352884247950442,0.01351400624756457,0.041246967023590445
4.3,0.00042108415798418564,0.02751777023296686,0.02752099181465781,0.014004418273650928,0.04116650942815437
4.3500000000000005,0.00042871491070277005,0.027681643549958525,0.027684963176815302,0.014503286104007893,0.041084122800422736
4.4,0.0004363392223020763,0.027841390500032027,0.027844809514381542,0.015010454951032856,0.04099980335299939
4.45,0.0004439550324843826,0.027997023414800322,0.02800054314044186,0.015525762316003366,0.040913548323171435
4.5,0.0004515603082124277,0.02814855573611567,0.02815217747779314,0.016049038209008555,0.04082535596958086
4.55,0.0004591530443295513,0.02829600199236889,0.028299727035260628,0.01658010537697008,0.04073522556784255
4.6000000000000005,0.00046673126414978577,0.028439377774546137,0.02844320738377238,0.017118779539206166,0.04064315740513504
4.65,0.000474293020018019,0.028578699712068584,0.028582635132216674,0.017664869629990605,0.04054915277379138
4.7,0.0004818363938403769,0.02871398544843979,0.02871802790310715,0.018218178047558032,0.0404532139639183
