Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(1),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Cm_relativistic
71.2,0.002605752519025318,0.0005531348688412663,0.00109984725303146,0.0005396219779282959,0.0001253674001428438,0.0003419743659469346,0.0001948410835760519,3.1296582002245815e-05,2.0518490315940283e-05,3.402683366845077e-05,9.803391089455751e-05,5.744375924175278e-05,1.0678831891744352e-05,7.0440676460559234e-06,1.6575864381573688e-07,1.2040630616454115e-07,9.061662512742077e-06,2.5184528173195272e-05,1.4647312617858796e-05,2.382483807794794e-06,1.557196863343447e-06,2.0332390352558064e-08,1.4162634426497963e-08,1.8210392983437487e-06,4.301173463228221e-06,2.20980100618728e-06,9.675149658770556e-08,1.2623744048971287e-07,0.013386660152902765
71.25,0.002602916783396637,0.000552916514354697,0.0010971367666805542,0.0005378803617934971,0.00012535778018343631,0.0003411520895259916,0.00019420224908643215,3.114566219344123e-05,2.0412033897647605e-05,3.402619044437863e-05,9.78014229226021e-05,5.72549095576274e-05,1.0626892762466777e-05,7.00720382874946e-06,1.6466253363587089e-07,1.1957768738641253e-07,9.06158198491843e-06,2.5125062255213328e-05,1.4599109519299151e-05,2.3708747115200925e-06,1.5490300367159495e-06,2.0208344853963356e-08,1.4071169128695438e-08,1.8210255686955189e-06,4.29118702503454e-06,2.2026124383117487e-06,9.628949006757659e-08,1.2623676607152197e-07,0.013360581784474747
71.3,0.002600083635780574,0.0005526971593170007,0.001094433534645538,0.0005361447693922882,0.00012534794567462345,0.00034033178233297827,0.0001935656066034929,3.099554390991195e-05,2.0306178072773946e-05,3.402551191691132e-05,9.756946152051653e-05,5.706670367210252e-05,1.057523150770736e-05,6.9705496770464455e-06,1.6357431196644863e-07,1.1875523502752739e-07,9.061494583446187e-06,2.5065729082327583e-05,1.4551070965532702e-05,2.3593337661124647e-06,1.540915635223973e-06,2.008537362016378e-08,1.3980560341978908e-08,1.821011437392189e-06,4.281226055758701e-06,2.1954507319567213e-06,9.583136583054052e-08,1.2623617005386026e-07,0.013334571971460835
71.35000000000001,0.0025972530759504958,0.0005524768061949673,0.0010917375373680736,0.00053441517921482,0.00012533789517921938,0.0003395134408692831,0.000192931148784101,3.084622254038025e-05,2.0200919201562705e-05,3.4024797296434825e-05,9.733802600854155e-05,5.6879139495116035e-05,1.052384651994951e-05,6.93410391156574e-06,1.6249391815883405e-07,1.179389004400815e-07,9.06140005818582e-06,2.5006528723290265e-05,1.4503196982505373e-05,2.3478605392660777e-06,1.5328533118769033e-06,1.9963323873478347e-08,1.3890684170393692e-08,1.820996910579434e-06,4.271288061396424e-06,2.1883145441246135e-06,9.537684533963701e-08,1.2623563353908974e-07,0.013308630471724318
71.4,0.0025944251036715536,0.0005522554574723695,0.001089048755336022,0.0005326915698264768,0.00012532762728700001,0.000338697061630763,0.0001922988683054146,3.069769350192086e-05,2.0096253667705275e-05,3.4024045804711706e-05,9.710711570291068e-05,5.6692214941623316e-05,1.0472736201606958e-05,6.897865261221376e-06,1.6142129202760298e-07,1.1712863534942672e-07,9.061298163216166e-06,2.4947461237456452e-05,1.4455487582390248e-05,2.3364545074890195e-06,1.5248426287665323e-06,1.984203574678611e-08,1.3801408143533096e-08,1.8209819804869024e-06,4.261370543204736e-06,2.181202478924201e-06,9.49256023147186e-08,1.26235137151584e-07,0.013282757042723133
71.45,0.002591599718700707,0.0005520331156497113,0.0010863671690833914,0.0005309739198676425,0.00012531714061444756,0.0003378826411078674,0.0001916687578648737,3.0549952239776636e-05,1.9992177878181793e-05,3.4023256674777294e-05,9.687672991590247e-05,5.6505927931604875e-05,1.0421898964957154e-05,6.861832463163041e-06,1.603563738389121e-07,1.1632439184281532e-07,9.061188656860093e-06,2.488852667135403e-05,1.440794275491717e-05,2.325115058883873e-06,1.5168830598163768e-06,1.9721345974766878e-08,1.3712594436792663e-08,1.8209666248512523e-06,4.251471039610274e-06,2.174113120807311e-06,9.447733673380041e-08,1.2623466439490827e-07,0.013256951441813365
71.5,0.002588776920786755,0.0005518097832439804,0.001083692759190292,0.0005292622080534721,0.00012530643380449693,0.0003370701757857637,0.0001910408101801921,3.0402994227175833e-05,1.9888688263103326e-05,3.402242915083662e-05,9.664686795589286e-05,5.632027639007424e-05,1.037133323207506e-05,6.8260042627168465e-06,1.5929910429963355e-07,1.1552612235891545e-07,9.061071301694446e-06,2.4829725055409794e-05,1.4360562459046191e-05,2.3138414973555737e-06,1.5089739949424772e-06,1.9601092913537068e-08,1.3624104802191592e-08,1.8209508065521605e-06,4.241587168623657e-06,2.167045073359744e-06,9.403183044230644e-08,1.262342039399344e-07,0.013231213426581448
71.55,0.0025859567096703628,0.0005515854627884022,0.0010810255062828874,0.0005275564131736615,0.00012529550552628404,0.00033625966214446046,0.00019041501798934784,3.0256814965150434e-05,1.9785781275555025e-05,3.4021562488162186e-05,9.64175291274069e-05,5.613525824708518e-05,1.0321037434767188e-05,6.7903794133262805e-06,1.582494245473585e-07,1.1473377967820708e-07,9.060945864542837e-06,2.477105640088487e-05,1.4313346615118369e-05,2.3026330481679482e-06,1.5011147455447226e-06,1.94811223763451e-08,1.3535806626308234e-08,1.8209344734075908e-06,4.231716669507588e-06,2.1599970006993085e-06,9.358899933039922e-08,1.2623375054240923e-07,0.013205542755201175
71.60000000000001,0.0025831390850840877,0.0005513601568321953,0.0010783653910333441,0.0005258565140922174,0.0001252843544748961,0.0003354510966589297,0.00018979137405057315,3.01114099823557e-05,1.968345339144038e-05,3.402065595299247e-05,9.618871273116995e-05,5.595087143773855e-05,1.0271010014506e-05,6.754956676493436e-06,1.572072761413673e-07,1.1394731691435992e-07,9.060812116450128e-06,2.4712520697069778e-05,1.4266295097610028e-05,2.291488864750199e-06,1.493304551228206e-06,1.9361293536805583e-08,1.344757918792457e-08,1.820917558080426e-06,4.221857442344418e-06,2.152967668064601e-06,9.314892175307534e-08,1.2623330427908598e-07,0.01317993918677224
71.65,0.002580324046752411,0.0005511338679403303,0.0010757123941597861,0.0005241624897472299,0.00012527297937112373,0.000334644475799229,0.00018916987114234458,2.9966774834891145e-05,1.9581701109326738e-05,3.4019708822431205e-05,9.596041806415892e-05,5.5767113902189096e-05,1.0221249422364738e-05,6.719734821720625e-06,1.5617260105464851e-07,1.1316668750667976e-07,9.060669832637847e-06,2.46541179087856e-05,1.4219407728606783e-05,2.2804080366363468e-06,1.4855425876366272e-06,1.924148408219048e-08,1.3359319040747694e-08,1.820899978059116e-06,4.2120075841619e-06,2.1459559781370983e-06,9.271179386286509e-08,1.2623286807449635e-07,0.013154402481567861
