Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(1),J_total_sodium
5.8500000000000005,0.03550916683106216,0.004327720597001256,0.00010128295072713317,0.004234928019121829,0.07101833366212432,0.008655441194002512,0.025409568114730975,0.00010128295072713317,0.10518462592158492
5.9,0.03507846405269682,0.004292028664699049,0.0001005172663927749,0.004074537041454566,0.07015692810539365,0.008584057329398098,0.024447222248727397,0.0001005172663927749,0.10328872494991193
5.95,0.03465128280446889,0.004255386708830549,9.972501342415005e-05,0.00392069848528014,0.06930256560893779,0.008510773417661098,0.023524190911680842,9.972501342415005e-05,0.10143725495170387
6.0,0.0342276508948692,0.004217855545465339,9.890769804409236e-05,0.003773127496588947,0.0684553017897384,0.008435711090930678,0.022638764979533682,9.890769804409236e-05,0.09962868555824685
6.050000000000001,0.03380759399214947,0.004179495408162952,9.806682780960643e-05,0.0036315522268892753,0.06761518798429894,0.008358990816325905,0.021789313361335653,9.806682780960643e-05,0.09786155898977011
6.1000000000000005,0.033391135672331596,0.004140365733555797,9.720390382705566e-05,0.0034957132196234003,0.06678227134466319,0.008280731467111594,0.020974279317740402,9.720390382705566e-05,0.09613448603334225
6.15,0.03297829746733455,0.004100524976790887,9.63204140095774e-05,0.003365362825732182,0.0659565949346691,0.008201049953581774,0.02019217695439309,9.63204140095774e-05,0.09444614225665354
6.2,0.03256909891316143,0.0040600304538961915,9.541782726960607e-05,0.0032402646470457226,0.06513819782632287,0.008120060907792383,0.019441587882274337,9.541782726960607e-05,0.09279526444365918
6.25,0.0321635575980911,0.0040189382083906725,9.449758854951797e-05,0.003120193006226721,0.0643271151961822,0.008037876416781345,0.018721158037360325,9.449758854951797e-05,0.09118064723887338
6.300000000000001,0.03176168921082147,0.003977302899690123,9.356111460261477e-05,0.003004932442042046,0.06352337842164293,0.007954605799380246,0.018029594652252276,9.356111460261477e-05,0.08960113998787807
6.3500000000000005,0.031363507588513785,0.0039351777110751985,9.260979044500525e-05,0.0028942772287863486,0.06272701517702757,0.007870355422150397,0.017365663372718092,9.260979044500525e-05,0.08805564376234107
6.4,0.030969024764689483,0.0038926142751849447,9.164496640652313e-05,0.002788030918728996,0.061938049529378966,0.007785228550369889,0.016728185512373976,9.164496640652313e-05,0.08654310855852937
6.45,0.030578251016933674,0.0038496626151800677,9.066795571568928e-05,0.0026860059065022955,0.06115650203386735,0.007699325230360135,0.016116035439013774,9.066795571568928e-05,0.08506253065895694
6.5,0.030191194914361435,0.003806371099886229,8.968003255996808e-05,0.0025880230143944497,0.06038238982872287,0.007612742199772458,0.015528138086366699,8.968003255996808e-05,0.083612950147422
6.550000000000001,0.029807863364805343,0.0037627864113800877,8.86824305682266e-05,0.002493911097555118,0.059615726729610685,0.007525572822760175,0.01496346658533071,8.86824305682266e-05,0.0821934485682698
6.6000000000000005,0.02942826166168499,0.0037189535236205793,8.767634166744596e-05,0.0024035066681646145,0.05885652332336998,0.007437907047241159,0.014421040008987687,8.767634166744596e-05,0.08080314672126626
6.65,0.029052393530521182,0.0036749156908560524,8.666291527039515e-05,0.0023166535376595966,0.058104787061042364,0.007349831381712105,0.01389992122595758,8.666291527039515e-05,0.07944120258398243
6.7,0.028680261175059917,0.003630714444655327,8.564325775521108e-05,0.0022332024761486844,0.05736052235011983,0.007261428889310654,0.013399214856892105,8.564325775521108e-05,0.07810680935407781
6.75,0.028311865322973057,0.0035863895985182247,8.461843220166693e-05,0.002153010888190538,0.05662373064594611,0.0071727791970364494,0.012918065329143228,8.461843220166693e-05,0.07679919360432746
6.800000000000001,0.027947205271104777,0.0035419792591195763,8.35894583523957e-05,0.0020759425041447332,0.055894410542209554,0.0070839585182391526,0.012455655024868399,8.35894583523957e-05,0.0755176135436695
6.8500000000000005,0.0275862789302349,0.003497519843330748,8.25573127704964e-05,0.00200186708634215,0.0551725578604698,0.006995039686661496,0.012011202518052901,8.25573127704964e-05,0.07426135737795468
6.9,0.02722908286933194,0.003453046100245053,8.152292916781646e-05,0.0019306601493565686,0.05445816573866388,0.006906092200490106,0.011583960896139412,8.152292916781646e-05,0.07302974176446123
6.95,0.026875612359270936,0.0034085911375087053,8.04871988808058e-05,0.0018622026936928405,0.05375122471854187,0.0068171822750174105,0.011173216162157043,8.04871988808058e-05,0.07182211035459712
7.0,0.02652586141599255,0.0033641864513276644,7.945097147319305e-05,0.001796380952239239,0.0530517228319851,0.006728372902655329,0.010778285713435434,7.945097147319305e-05,0.07063783241954906
7.050000000000001,0.026179822843082082,0.0033198619595835176,7.841505544687452e-05,0.0017330861488625607,0.052359645686164163,0.006639723919167035,0.010398516893175364,7.841505544687452e-05,0.06947630155395343
7.1000000000000005,0.02583748827374852,0.0032756460375487737,7.738021904434058e-05,0.0016722142685542008,0.05167497654749704,0.006551292075097547,0.010033285611325205,7.738021904434058e-05,0.06833693445296413
7.15,0.025498848212185492,0.0032315655557441664,7.634719112772171e-05,0.0016136658385637818,0.050997696424370985,0.006463131111488333,0.00968199503138269,7.634719112772171e-05,0.06721916975836974
7.2,0.02516389207429771,0.003187645919528154,7.531666212112328e-05,0.0015573457199840896,0.05032778414859542,0.006375291839056308,0.009344074319904538,7.531666212112328e-05,0.06612246696967738
7.25,0.024832608227777872,0.0031439111100521207,7.428928500436003e-05,0.001503162909276976,0.049665216455555744,0.0062878222201042415,0.009018977455661856,7.428928500436003e-05,0.0650463054163262
7.300000000000001,0.024504984031520655,0.003100383726254237,7.326567634750046e-05,0.0014510303492546873,0.04900996806304131,0.006200767452508474,0.008706182095528123,7.326567634750046e-05,0.06399018328742541
7.3500000000000005,0.024181005874361845,0.0030570850276008038,7.224641737681304e-05,0.0014008647490547292,0.04836201174872369,0.0061141700552016075,0.008405188494328374,7.224641737681304e-05,0.06295361671563049
7.4,0.023860659213131942,0.003014034977316496,7.12320550637675e-05,0.0013525864126689255,0.047721318426263884,0.006028069954632992,0.008115518476013554,7.12320550637675e-05,0.061936138911974206
7.45,0.02354392861001516,0.0029712522858745417,7.022310322971134e-05,0.001306119075608887,0.04708785722003032,0.005942504571749083,0.007836714453653323,7.022310322971134e-05,0.06093729934866244
7.5,0.023230797769205773,0.0029287544545447183,6.92200436597072e-05,0.0012613897493105833,0.046461595538411546,0.0058575089090894365,0.0075683384958635,6.92200436597072e-05,0.05995666298702419
7.550000000000001,0.02292124957285519,0.0028865578188214088,6.822332721980473e-05,0.0012183285729002792,0.04584249914571038,0.0057731156376428176,0.007309971437401675,6.822332721980473e-05,0.05899380954797468
7.6000000000000005,0.022615266116304263,0.0028446775915760203,6.72333749727259e-05,0.001176868671962715,0.04523053223260853,0.0056893551831520405,0.007061212031776291,6.72333749727259e-05,0.05804833282250958
