event_number,record_index,vlm,pro,pdg,theta_deg,et_keV,Eprime_k_keV,Eprime_from_E0_minus_et_keV,difference_k_minus_E0_minus_et_keV,px,py,pz,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg
566157,2,2,2013,22,36.493121105622166,134.09406183704652,527.9059381629535,527.9059381629535,0.0,-0.3497488173068997,-0.803928268864136,0.4810146601856728,36.0,38.0,37.0
566279,2,2,2013,22,147.57348751832944,320.73181278896783,195.33735104255362,341.26818721103217,-145.93083616847855,0.5084143288460541,0.8440798919321131,0.170423021507919,146.0,148.0,147.0
566367,4,2,2013,22,89.86149918113868,370.0349972052395,288.7840744357463,291.9650027947605,-3.180928359014217,0.00017408430779894418,-0.0024172929516688146,-0.9999970631904074,88.0,90.0,89.0
566576,4,2,2013,22,49.698587222640704,129.52959470102158,454.18367040566073,532.4704052989784,-78.28673489331771,-0.7617730517914792,-0.6468085848970377,0.03661245782227517,48.0,50.0,49.0
566606,4,2,2013,22,5.767479562453641,657.6869216991854,657.6869216991853,4.313078300814595,653.3738433983707,0.07576649831397851,-0.994937906985141,0.06601514203018027,4.0,6.0,5.0
566618,4,2,2013,22,143.26767683512827,185.0224753914727,198.5741879846643,476.9775246085273,-278.40333662386297,-0.2038420505546496,0.8014383690469569,0.5622676934032663,142.0,144.0,143.0
566723,2,2,2013,22,44.98870442886068,182.033563213555,479.966436786445,479.966436786445,0.0,0.6558081955916758,-0.7072461699452082,0.26404254523205917,44.0,46.0,45.0
566734,2,2,2013,22,35.34806631312617,127.62157848173305,534.3784215182669,534.3784215182669,0.0,-0.5081472989766097,-0.8156525292731616,-0.2765814057977694,34.0,36.0,35.0
566872,2,2,2013,22,118.49400850297022,434.7852115402018,227.21478845979823,227.21478845979823,0.0,-0.8276495960317707,0.47706685855873876,0.29564059033451934,118.0,120.0,119.0
566873,2,2,2013,22,99.62767391407813,398.4825850696416,263.5174149303585,263.5174149303584,5.684341886080802e-14,-0.6330466817650191,0.1672449642354874,0.7558313440471817,98.0,100.0,99.0
566961,2,2,2013,22,58.96841376633078,255.28039280816597,406.7196071918341,406.71960719183403,5.684341886080802e-14,-0.5750117498619937,-0.5155105390485821,0.6353033697773751,58.0,60.0,59.0
566964,2,2,2013,22,39.20115120454112,149.44799958074873,512.5520004192513,512.5520004192513,0.0,-0.6183140944720474,-0.7749317896193281,-0.13102824891830564,38.0,40.0,39.0
566968,2,2,2013,22,69.80285547213717,303.81907238684477,358.1809276131553,358.18092761315523,5.684341886080802e-14,-0.917458741661215,-0.34525142652648433,0.19766362799171644,68.0,70.0,69.0
566978,2,2,2013,22,124.66931681549893,1.3735451234409515,218.30648693102785,660.626454876559,-442.3199679455312,0.42426793343049823,0.568839165111694,-0.7045698864538884,124.0,126.0,125.0
566996,2,2,2013,22,141.0684304088479,15.80717045927223,200.40754952849633,646.1928295407278,-445.7852800122314,0.5575852195774967,0.7778970269655665,0.2897842962391982,140.0,142.0,141.0
