Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Dy_relativistic
80.7,0.0010719801011681055,0.000236752759244084,7.6712054787218e-05,3.848770125357299e-05,5.620866572766571e-05,2.0758988720398428e-05,1.0820050357080401e-05,4.5048430835926066e-07,3.0175233013997044e-07,1.3834358482644289e-05,4.979478626505398e-06,2.5774608430515414e-06,1.0904834519917542e-07,7.286643320979218e-08,2.7031779642373216e-10,2.05800360529132e-10,2.2647678711542772e-06,6.589413435815833e-07,3.2500372628669024e-07,1.3804755904388637e-07,0.003181905480083322
80.75,0.0010699664782372357,0.00023625261033767564,7.645859944293434e-05,3.8341503084439556e-05,5.608749806020998e-05,2.0688454648398162e-05,1.0777897690175831e-05,4.482360315293512e-07,3.0015351490261963e-07,1.380438803481739e-05,4.962462966400207e-06,2.5673738488193652e-06,1.0851143060534234e-07,7.248799864369692e-08,2.6887774494185653e-10,2.0458803864166065e-10,2.2599518291399426e-06,6.566759691859651e-07,3.2373181610785336e-07,1.3775895342508205e-07,0.0031750570532654565
80.80000000000001,0.0010679569729299073,0.00023575358402926546,7.620610709985457e-05,3.819592541868493e-05,5.5966605560320745e-05,2.06181963288009e-05,1.073592877568947e-05,4.460002638552778e-07,2.985640203324889e-07,1.3774486660515567e-05,4.945515599170064e-06,2.5573326374775616e-06,1.0797709364621441e-07,7.211140606785035e-08,2.673871363294285e-10,2.0333144836610028e-10,2.2551438389814543e-06,6.544160921653558e-07,3.2246412667904453e-07,1.3747020805636108e-07,0.0031682259801652187
80.85000000000001,0.0010659515767166665,0.00023525567799467017,7.595457367385054e-05,3.8050965367499274e-05,5.5845987672703224e-05,2.054821255816089e-05,1.0694142733965917e-05,4.437769289037738e-07,2.9698378728141116e-07,1.3744654329274705e-05,4.928636122818169e-06,2.547336878122233e-06,1.0744523407772072e-07,7.17365669436651e-08,2.6584689978128234e-10,2.0203126704395856e-10,2.250342921446968e-06,6.521617783757391e-07,3.2120062968629743e-07,1.3718128119785295e-07,0.0031614122065191682
80.9,0.0010639502810836678,0.000234758889912031,7.57039950996992e-05,3.79066200566037e-05,5.572564384237478e-05,2.0478502138761557e-05,1.0652538689903528e-05,4.415659507474439e-07,2.954127570058475e-07,1.3714891000643388e-05,4.9118241231426e-06,2.537386225140885e-06,1.0691575779857781e-07,7.136339821404778e-08,2.6425857233809907e-10,2.006887672344925e-10,2.245548143569208e-06,6.499131138315959e-07,3.1994129352229023e-07,1.3689219230193894e-07,0.0031546156784327353
80.95,0.0010619530775326628,0.00023426321746183398,7.54543673309892e-05,3.77628866261725e-05,5.560557351467247e-05,2.0409063878586456e-05,1.0611115772929248e-05,4.3936725396114807e-07,2.93850871163921e-07,1.3685196623041022e-05,4.895079175016887e-06,2.5274803196441993e-06,1.0638857766465377e-07,7.099182304005157e-08,2.6262446329445915e-10,1.9930599312738423e-10,2.2407586268271995e-06,6.476702089642794e-07,3.1868609012418277e-07,1.3660298356063005e-07,0.00314783634237027
81.0,0.0010599599575809864,0.00023376865832692905,7.520568634002741e-05,3.7619762230755625e-05,5.548577613526037e-05,2.0339896591290235e-05,1.0569873116973545e-05,4.371807636184197e-07,2.922980718124809e-07,1.3655571132733511e-05,4.878400843809872e-06,2.517618791057172e-06,1.0586361422975262e-07,7.062177147272557e-08,2.609477733105483e-10,1.9788589320249865e-10,2.2359735553851206e-06,6.454332033557548e-07,3.174350025565884e-07,1.3631367257340487e-07,0.0031410741451313906
81.05000000000001,0.0010579709127615424,0.00023327521019254915,7.49579481177462e-05,3.7477244039201553e-05,5.5366251150136744e-05,2.0270999096169773e-05,1.0528809860445495e-05,4.350064052879211e-07,2.9075430140419943e-07,1.3626014452938361e-05,4.861788686929171e-06,2.507801258851742e-06,1.0534079640523215e-07,7.025318105337294e-08,2.592326445525129e-10,1.9643237049874141e-10,2.2311921843578434e-06,6.432022702968258e-07,3.1618803257926395e-07,1.3602420640660978e-07,0.003134329033829326
81.10000000000001,0.0010559859346227927,0.00023278287074632965,7.47111486736113e-05,3.733532923458086e-05,5.524699800564137e-05,2.020237021813558e-05,1.0487925146208063e-05,4.3284410502993856e-07,2.892195027847025e-07,1.3596526493069741e-05,4.845242255471158e-06,2.4980273344015918e-06,1.048200620315587e-07,6.988599733596692e-08,2.574841358305693e-10,1.9495022946712885e-10,2.226413848005311e-06,6.409776205190518e-07,3.1494520745190947e-07,1.3573443510113672e-07,0.0031276009559026265
81.15,0.0010540050147287395,0.00023229163767832627,7.44652840355296e-05,3.719401501410979e-05,5.512801614846244e-05,2.0134008787683154e-05,1.0447218121553437e-05,4.306937893929073e-07,2.8769361918972776e-07,1.3567107148132256e-05,4.828761095959225e-06,2.4882966229384873e-06,1.0430135835566244e-07,6.952017432607247e-08,2.5570814402859186e-10,1.9344504098625982e-10,2.2216379676927864e-06,6.387595045055526e-07,3.137065852966391e-07,1.3544412339228428e-07,0.0031208898591935574
