Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(3),J_total_I_relativistic
13.65,0.012697361742869917,0.00719959285799677,0.01786601475171563,0.01783441825121572,0.005263870729307251,0.002477142684589825,0.0026088871646689125,0.007945442458969052,0.007696405386405309,0.0014734314766084004,0.00055572939236975,0.0005328851758568671,0.0014127615172409558,0.0013705427312468818,0.00021063333461462716,5.4822856571798806e-05,4.8098870247459225e-05,0.2714807632417495
13.700000000000001,0.012680757665530434,0.007107071495593512,0.017792834821079555,0.017753856663937122,0.005208142367043222,0.0024711139263773776,0.002606357848444694,0.007839827947506693,0.007592346889012619,0.0014605662892763723,0.0005493943000990236,0.0005288889132806176,0.0013960458607513992,0.001353922579657911,0.00020890088633289508,5.4079310902319726e-05,4.764783837054327e-05,0.26938619138728637
13.75,0.012664123150945198,0.007015655782968011,0.017719642094786235,0.017673329849761228,0.005152550786562977,0.002465502217704694,0.00260408455606716,0.007735547233906346,0.007489628985996238,0.0014476300241972023,0.0005433467255244188,0.0005251122831313561,0.0013794775873020163,0.001337456596209047,0.00020715423048008597,5.336803949107851e-05,4.722023198462062e-05,0.2673123263351778
13.8,0.012647458459583932,0.006925338161248526,0.017646440652043495,0.017592842286999366,0.005097108618329064,0.0024602878871529733,0.002602050529979155,0.007632586506572731,0.00738823733068286,0.0014346285708508471,0.0005375769047701352,0.0005215464684915365,0.001363057230956339,0.0013211450943796715,0.00020539427674757326,5.268798481728851e-05,4.6815150247694824e-05,0.26525891512420247
13.850000000000001,0.012630763851776361,0.006836111024537386,0.017573234541595737,0.017512398411615393,0.005041828150314489,0.0024554518235650347,0.0026002395667877715,0.007530931994427455,0.007288157629950005,0.0014215677274259804,0.0005320753044810801,0.0005181828950387465,0.001346785245806127,0.001304988311659219,0.00020362192383932383,5.2038113285305865e-05,4.6431716374936954e-05,0.26322570817512353
13.9,0.012614039587704837,0.006747966722322439,0.017500027781316846,0.01743200261687707,0.00498672132951928,0.0024509754653566805,0.0025986360048826707,0.007430569970605598,0.0071893756477383495,0.0014084531975887638,0.0005268326191045402,0.0005150132269166165,0.0013306620087950422,0.001288986412369974,0.0002018380587513902,5.141741500859526e-05,4.6069077298724986e-05,0.2612124592582009
13.950000000000001,0.012597285927396985,0.006660897561853749,0.017426824357817165,0.017351659253024447,0.0049317997637521385,0.0024468407898935265,0.002597224712194674,0.007331486755999305,0.007091877208410026,0.0013952905875655262,0.0005218397680786893,0.0005120293625730894,0.0013146878224793205,0.0012731394904231348,0.00020004355610968804,5.0824903582845794e-05,4.572640331575722e-05,0.2592189254601302
14.0,0.0125805031307184,0.006574895810485478,0.01735362822606447,0.01727137262695511,0.004877074723662407,0.002443030302939035,0.0025959910740985135,0.007233668722652262,0.006995648199956979,0.001382085403524428,0.0005170878929366822,0.0005092234305731142,0.00129886291772544,0.0012574475720085096,0.00019823927756304675,5.0259615851306374e-05,4.5402887717117314e-05,0.2572448671504525
14.05,0.012563691457365356,0.006489953697982874,0.017280443309018716,0.01719114700192597,0.004822557145007965,0.0024395270281791265,0.002594920981463292,0.0071371022970088014,0.006900674577063282,0.0013688430492416533,0.0005125683543346542,0.0005065877853924131,0.0012831874563449777,0.0012419106182183395,0.00019642607122966025,4.972061166597475e-05,4.5097746402601054e-05,0.25529004794749127
14.100000000000001,0.012546851166857581,0.006406063418794411,0.017207273497280556,0.017110986597271515,0.0047682576311452556,0.0024363144968284262,0.0025940008188538753,0.007041773963021476,0.0068069423640254555,0.0013555688240381872,0.0005082727290115437,0.0005041150031985847,0.0012676615336670606,0.0012265285276058641,0.0001946047711949777,4.920697364314795e-05,4.4810217478069725e-05,0.2533542346838603
