Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(5),J_6s1/2(1),J_total_Pt_relativistic
1.0,0.009453525151724842,0.033545929254085366,0.01640195178457727,0.018401209730228213,0.0723095549195751,0.04343650447220977,0.04679273993225353,0.030198036687046088,0.030942087873056554,0.13543565506065586,0.09608448230641252,0.10365143711173705,0.07872562887058639,0.08061393393179318,0.06950827740693177,0.07048194246743085,0.1888911395310585,0.21539572430673712,0.2268579542906361,0.2326894966227745,0.23155969020126208,0.0347041824020556,7.413918914973622
1.05,0.009453117004988095,0.03352973399333233,0.016401936635137764,0.01840118531741187,0.0721115169359909,0.043434921626695606,0.04679045140438312,0.030198029211647534,0.03094207921881801,0.13371964861416938,0.09600051283117848,0.1035302251537992,0.07872061694438379,0.0806080591621889,0.06950643766576348,0.07047982873161314,0.17704734125067387,0.21079498772952376,0.22036947309238578,0.22381281683617632,0.22124426525448043,0.03466576983188541,7.263343807321947
1.1,0.00945268897583741,0.033512758035276376,0.01640191917374384,0.018401157174208062,0.07190443430116492,0.04343310020040339,0.04678781885933057,0.0301980197565839,0.030942068273856795,0.13194479097427236,0.09590475936410106,0.10339226376543127,0.07871436338372838,0.08060073484958326,0.06950399599621457,0.07047702874817595,0.1655193019416146,0.20584854592836055,0.21349555266912304,0.21481089469551706,0.21097155256931674,0.03448710024197848,7.110486766797135
1.1500000000000001,0.009452241068153544,0.03349500270433587,0.016401899177269894,0.018401124940824475,0.07168839289808668,0.04343101799094414,0.04678481051221282,0.03019800792704962,0.030942054581740312,0.13011425230681756,0.09579633024005395,0.10323634752680474,0.07870664965459327,0.08059170785535671,0.06950080893007066,0.07047338102919175,0.15436327454860696,0.20057841457450196,0.2062812083940415,0.2057500925668393,0.20080309086612222,0.034073104780896854,6.956157652655052
1.2000000000000002,0.00945177328599717,0.033476469385057196,0.0164018764125789,0.018401088241427627,0.07146348212854917,0.04342865195698857,0.04678139342061164,0.03019799327332227,0.03094203762266667,0.128231268095256,0.0956743356429618,0.10306128548335496,0.07869723460011659,0.08058069938089336,0.06949671194757943,0.0704687010329934,0.14362783556651657,0.19501054883236688,0.19877521880000917,0.19668941568555687,0.1907903267259475,0.033390887058451564,6.801155823289114
1.25,0.009451285633608798,0.03345715952191556,0.016401850636571895,0.018401046684236345,0.07122979485074518,0.04342597824342751,0.04677753352593121,0.030197975286276085,0.03094201680831573,0.1262991298599914,0.0955378921224456,0.10286590810491911,0.07868585414153506,0.08056740475418141,0.06949151879800566,0.07046278058147225,0.13335385395129612,0.18917422623164887,0.191028940579721,0.18768072138205466,0.18097577693359518,0.03244616834530951,6.646247200750075
1.3,0.009450778115408684,0.033437074619107277,0.01640182159623955,0.018400999861619156,0.07098742731462618,0.04342297220737914,0.04677319569607953,0.030197953392801666,0.03094199147659772,0.12432117584555695,0.09538612704436723,0.10264907405775381,0.07867222118404586,0.0805514934627891,0.06948502113731851,0.07045538764187606,0.12357458320104375,0.1831013999426233,0.1830951681277696,0.17876910176758118,0.1713941452758373,0.031267042627148314,6.492149482724884
1.35,0.009450250735996753,0.03341621624033366,0.016401789028715856,0.01840094735019556,0.07073647909508932,0.04341960844500997,0.046768343769411795,0.030197926951144153,0.030941960886314027,0.12230078171236611,0.09521818295198135,0.10240967674991203,0.07865602573353703,0.08053260943845775,0.0694769884987122,0.07044626648536281,0.1143158633140853,0.17682604283001574,0.1750270670650497,0.16999336223329212,0.16207335107723084,0.0298930510069924,6.339523119334312
1.4000000000000001,0.009449703500152501,0.03339458600857647,0.01640175266133382,0.018400888710941175,0.07047705302306063,0.043415860819135725,0.04676294059987217,0.030197895246172345,0.03094192421174497,0.12024135126904388,0.0950332218153932,0.10214665061294409,0.07863693522741574,0.08051037159519929,0.06946716860225352,0.07043513822378364,0.10559641826826136,0.17038350037835945,0.16687720402744508,0.16138654237434966,0.15303545122245008,0.028368043384448757,6.1889663144253495
1.4500000000000002,0.009449136412834902,0.03337218560586505,0.016401712211683253,0.01840082348929668,0.07020925511454414,0.04341170248756715,0.04675694810326895,0.030197857484591424,0.030941880537179733,0.11814630728042244,0.09483042914814246,0.1018589770856017,0.07861459508007221,0.08048437461948818,0.0694552880008954,0.07042170171603335,0.09742823410429759,0.16380986798287014,0.15869668818124652,0.1529764441676038,0.14429745235012623,0.026735685611332008,6.041012815098789
