Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(1),J_total_Sb_relativistic
3.3000000000000003,0.015769152631545963,0.04958039855284394,0.028303324341113656,0.029583945891784758,0.05503605860377317,0.0685340090861372,0.06962269404349335,0.053510721792542904,0.05403324722995728,0.024136296440511004,0.028842292745238265,0.02594242504541434,0.04463557360744924,0.043399658148072374,0.0036320014274792665,0.004189949141970476,0.003447547867269022,2.037273387599411
3.35,0.01576331482499819,0.049363669286719196,0.02829663447809715,0.029575909530335637,0.05362659589708286,0.06802910001148253,0.06905861713265737,0.05342799181269011,0.053946164772436814,0.02411968804762445,0.027141162147400148,0.024385017773201643,0.04248297171306206,0.04126665945832033,0.0034835096238095033,0.003931840325353896,0.0032194802912879007,1.997729486808754
3.4000000000000004,0.01575739229232496,0.0491447521730609,0.028289666468380027,0.029567541279567084,0.05223783867956523,0.06751293190372001,0.06848271184786937,0.053341140133790224,0.053854779181943,0.024113054318994714,0.025548665981494904,0.022937738253063892,0.04041251076741249,0.03921772155067278,0.003360849507450597,0.00368558743584867,0.0030039111637785096,1.9597069622079653
3.45,0.015751385168463212,0.048923689199358585,0.02828241393484881,0.02955883369236091,0.05087040096728205,0.06698574361426732,0.06789528353791176,0.05325008421802699,0.0537590071708251,0.02411155941453192,0.024061040111006776,0.021595967709450603,0.03842309789297484,0.03725153940490328,0.003260793583696217,0.0034513634507373483,0.0028007572629408363,1.923153883808596
3.5,0.015745293590195348,0.04870052257038773,0.028274870510008005,0.02954977934277912,0.04952485258171835,0.06644778823737146,0.0672966526165185,0.05315474568243625,0.05365876993357641,0.02411088748746269,0.022674383326795857,0.020355013057692023,0.036513470155211614,0.03536664781319131,0.0031803509371259057,0.003229233207224018,0.002609851546603793,1.8880173663423387
3.5500000000000003,0.015739117696142658,0.04847529469399759,0.02826702983939896,0.029540370830283002,0.04820171954457713,0.0658993324552044,0.06668715372353799,0.05305505047986961,0.05355399332937736,0.024107218752361166,0.02138468945110435,0.019210139128080977,0.034682215036808337,0.033561442082557985,0.0031167656779778554,0.0030191664677057615,0.0024309556061462125,1.8542439540290179
3.6,0.01573285762675863,0.0482480481669234,0.02825888558499561,0.02953060078391653,0.046901484548918286,0.06534065586337999,0.06606713486856537,0.0529509290656861,0.05344460804916983,0.02409720433079772,0.020187877107935064,0.018156598006440892,0.03292778965820798,0.03183419738056859,0.0030675126167429147,0.002821050226270812,0.0022637711265040285,1.8217799653816467
3.6500000000000004,0.015726513524322208,0.048018825760629956,0.028250431428575133,0.029520461866451346,0.045624587502763686,0.06477205027952881,0.06543695656031273,0.05284231654986742,0.05333054976698603,0.02407794023043514,0.01907981716706447,0.0171896555667088,0.03124853875019354,0.030183086742774947,0.0030302907203417473,0.002634700197013411,0.0021079503527426774,1.790571800206793
3.7,0.015720085532930937,0.047787670407193464,0.028241661075061493,0.029509946778490857,0.04437142614122734,0.06419381903752905,0.06479699092491105,0.05272915283432923,0.053211759275337604,0.024046940777999733,0.0180563578910356,0.016304615289877325,0.029642711395590937,0.028606197770773386,0.0030030148340847948,0.0024598714519021288,0.0019631055803499753,1.7605662110477422
3.75,0.01571357379849404,0.04755462518522839,0.028232568255839918,0.029499048262530927,0.043142356703181686,0.06360627626994357,0.06414762081625143,0.05261138273527591,0.053088182604550456,0.024002111792307032,0.017113347833183294,0.01549683947866883,0.02810847656647786,0.027101548058149145,0.0029838060896025032,0.002296268197386559,0.0018288176996520459,1.7317105413630036
