event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
1082,3,3,22,2013,662.0,488.460122808782,173.539877191218,43.4679636500629,455.49255224211464,-33.058400747025686,-8.8690717734778,8.8690717734778
1097,3,3,22,2013,662.0,591.0318855324814,70.9681144675186,24.86323995617593,278.50625046197666,-9.041661636374748,-2.425741844505993,2.425741844505993
1102,4,2,22,2013,662.0,245.3712225248009,416.62877747519906,108.09856878250444,774.1919920468033,-112.10309054659564,-30.07557333746375,30.07557333746375
1103,4,2,22,2013,662.0,341.33564029730707,320.66435970269293,74.04724193257637,656.1584474434403,-78.35373676576582,-21.02112925587566,21.02112925587566
1116,3,3,22,2013,662.0,472.09253970755236,189.90746029244764,46.410320977292635,479.7393603774299,-37.5875240339783,-10.084167440394673,10.084167440394673
1117,3,3,22,2013,662.0,415.85670714261823,246.14329285738177,57.104012284740314,558.6988717784748,-54.22060709862942,-14.546573490931813,14.546573490931813
1123,2,2,22,2013,662.0,426.58523232702856,235.41476767297144,54.96901432713176,544.0712197829457,-50.930464265721476,-13.663877647495418,13.663877647495418
1130,3,3,22,2013,662.0,283.2352805092129,378.7647194907871,91.84800890475664,728.3951059304493,-98.47806901488465,-26.420184959645823,26.420184959645823
1167,3,3,22,2013,662.0,329.3775710015078,332.6224289984922,77.26195353639818,671.2503836813955,-82.41109267542319,-22.109656830112087,22.109656830112087
1167,5,2,22,2013,662.0,293.35206327842116,368.64793672157884,53.28817478788397,540.4800423694093,78.30031499291275,21.006796997599587,21.006796997599587
1191,3,3,22,2013,662.0,189.14345882534516,472.8565411746548,158.39519298754968,840.7447072595197,-132.9727536633663,-35.674590104407464,35.674590104407464
1197,3,3,22,2013,662.0,270.97357199370254,391.02642800629746,96.53943654216016,743.3234991470316,-102.8494424952297,-27.59295872576171,27.59295872576171
1219,3,3,22,2013,662.0,534.712197804983,127.28780219501698,35.28890873266408,382.47881110400914,-21.180136820472228,-5.682312192605054,5.682312192605054
1224,3,3,22,2013,662.0,391.3665809016249,270.6334190983751,62.21058393383307,591.4636183828744,-61.91577577693987,-16.61107152394976,16.61107152394976
1230,3,3,22,2013,662.0,590.6584797809268,71.34152021907323,24.937618938874422,279.2856792722235,-9.11156095779204,-2.4444947812651354,2.4444947812651354
