p_or_Q,chi_2p(p),I_2p(p),J_2p(Q)
19.85,0.008338754356635912,0.02739828527634883,0.003292339580545985
19.900000000000002,0.008284010582854155,0.027176119457701875,0.0032580158254912803
19.950000000000003,0.008229632002977749,0.026955452793072616,0.0032240560172469472
20.0,0.008175616568086626,0.02673628250734902,0.0031904564592305624
20.05,0.008121962243928449,0.026518605733780027,0.0031572134860713367
20.1,0.00806866701024257,0.026302419512032642,0.0031243234634145073
20.150000000000002,0.008015728858193353,0.026087720773953316,0.0030917827877381763
20.200000000000003,0.007963145786227484,0.02587450631921923,0.0030595878861963324
20.25,0.007910915794767234,0.025662772783672547,0.0030277352164984252
20.3,0.007859036882254073,0.02545251661671599,0.002996221266823881
20.35,0.007807507039122727,0.025243734045559015,0.002965042555773572
20.400000000000002,0.007756324246224779,0.02503642106856096,0.002934195632347901
20.450000000000003,0.007705486473180941,0.024830573448202675,0.002903677075933541
20.5,0.007654991680530119,0.02462618672858109,0.002873483496283962
20.55,0.007604837822206061,0.024423256254853927,0.0028436115334776932
20.6,0.0075550228506102235,0.024221777209153247,0.0028140578578434924
20.650000000000002,0.007505544720384826,0.024021744637825474,0.0027848191698481165
20.700000000000003,0.007456401397108574,0.023823153509855016,0.0027558921999336953
20.75,0.0074075908569495915,0.02362599871700015,0.0027272737083217013
20.8,0.007359111093550403,0.023430275119973396,0.0026989604847914342
20.85,0.007310960117214082,0.023235977545190956,0.002670949348435382
20.900000000000002,0.007263135954432295,0.023043100783712248,0.0026432371474200723
20.950000000000003,0.0072156366453348265,0.022851639577012736,0.0026158207587589186
21.0,0.007168460239903398,0.022661588595084464,0.002588697088109293
21.05,0.007121604793585462,0.022472942410977303,0.0025618630696001574
21.1,0.007075068363009971,0.022285695476254412,0.002535315665691421
21.150000000000002,0.007028849002464549,0.022099842101504334,0.002509051867060996
21.200000000000003,0.006982944762264109,0.02191537644894471,0.002483068692509079
21.25,0.0069373536856583385,0.021732292515962672,0.002457363188877602
21.3,0.0068920738134071995,0.02155058416680245,0.002431932430961707
21.35,0.006847103183467414,0.02137024513339672,0.002406773521403192
21.400000000000002,0.006802439837002665,0.02119126905559727,0.0023818835905612032
21.450000000000003,0.006758081819230634,0.02101364948885343,0.002357259796356466
21.5,0.006714027185544239,0.020837379944542975,0.0023328993240894105
21.55,0.006670274004230418,0.02066245390876644,0.002308799386226048
21.6,0.006626820358064396,0.020488864853966948,0.002284957222168721
21.650000000000002,0.006583664347447514,0.020316606259933798,0.0022613700980106356
21.700000000000003,0.0065408040876853,0.020145671598456944,0.0022380353062899437
21.75,0.006498237705556637,0.019976054313785074,0.0022149501657667296
21.8,0.006455963341417102,0.019807747837257476,0.0021921120212053864
21.85,0.006413979142838935,0.019640745549924586,0.0021695182431724983
21.900000000000002,0.0063722832623614376,0.019475040770719883,0.002147166227865152
21.950000000000003,0.0063308738549681855,0.019310626743100433,0.002125053396955571
22.0,0.00628974907642521,0.01914749662708562,0.002103177197449651
22.05,0.006248907082685657,0.018985643497871865,0.0020815351015524026
22.1,0.006208346030396528,0.018825060351150072,0.0020601246065327064
22.150000000000002,0.006168064078370778,0.01866574011420572,0.0020389432345803166
22.200000000000003,0.006128059391019962,0.018507675668730926,0.0020179885326453684
22.25,0.006088330134552659,0.018350859829753697,0.001997258072278688
22.3,0.006048874492061679,0.01819528543845508,0.001976749449433695
22.35,0.006009690652972384,0.01804094529992886,0.0019564602842533224
22.400000000000002,0.005970776820764244,0.017887832231172126,0.0019363882208673288
22.450000000000003,0.005932131212314128,0.017735939058387995,0.001916530927166602
22.5,0.005893752057684881,0.01758525861696654,0.001896886094581485
22.55,0.00585563759920955,0.017435783747260382,0.0018774514378649054
22.6,0.00581778608895644,0.017287507280778495,0.0018582246948879012
22.650000000000002,0.005780195791197431,0.017140422056213897,0.0018392036264361811
22.700000000000003,0.005742864975352422,0.016994520878898023,0.0018203860160224171
22.75,0.0057057919177956025,0.016849796533089562,0.0018017696697161766
22.8,0.005668974900322062,0.01670624177442312,0.001783352415973103
22.85,0.005632412209795911,0.01656384932939669,0.0017651321054704008
22.900000000000002,0.005596102139451044,0.016422611904561943,0.001747106610939369
22.950000000000003,0.0055600429843089515,0.016282522161139165,0.001729273827008577
23.0,0.005524233050503761,0.01614357277123111,0.0017116316700320233
23.05,0.005488670650992251,0.01600575639391713,0.0016941780779015654
23.1,0.005453354105500035,0.01586906567629617,0.0016769110098737948
23.150000000000002,0.005418281743940261,0.015733493274678052,0.0016598284463867647
23.200000000000003,0.005383451905908418,0.015599031852758767,0.0016429283888682409
23.25,0.005348862941091006,0.01546567408509538,0.0016262088595451315
23.3,0.005314513209385509,0.015333412658862252,0.001609667901252149
23.35,0.0052804010808754805,0.015202240274741884,0.001593303577241113
23.400000000000002,0.0052465249339358104,0.015072149637052508,0.0015771139709970807
23.450000000000003,0.005212883162940429,0.014943133499047431,0.0015610971860375697
23.5,0.005179474165221319,0.014815184588920734,0.0015452513457291325
23.55,0.005146296349860433,0.014688295661392752,0.0015295745931178523
23.6,0.005113348135058172,0.014562459483552698,0.001514065090741765
23.650000000000002,0.005080627947781995,0.014437668833835841,0.0014987210204532944
23.700000000000003,0.005048134223367106,0.014313916500734675,0.0014835405832447884
23.75,0.005015865405101022,0.01419119528142846,0.0014685219990772942
23.8,0.004983819943846283,0.014069497980639242,0.0014536635067124515
23.85,0.004951996297766768,0.013948817410079875,0.0014389633635470498
23.900000000000002,0.004920392932228996,0.013829146388886679,0.0014244198454493712
23.950000000000003,0.004889008319899527,0.013710477745139928,0.0014100312465962278
24.0,0.004857840941080976,0.01359280431869328,0.0013957958793094317
24.05,0.004826889284216062,0.01347611896489739,0.0013817120738905534
24.1,0.004796151846505453,0.013360414558900984,0.0013677781784532381
24.150000000000002,0.004765627134530607,0.013245683999915025,0.0013539925587528134
24.200000000000003,0.004735313664774548,0.01313192021484576,0.0013403535980135786
24.25,0.004705209963949132,0.013019116160799862,0.0013268596967547107
24.3,0.004675314574459694,0.012907264855912962,0.0013135092726008068
24.35,0.004645626027298423,0.012796359230317052,0.0013003007601550315
24.400000000000002,0.004616142895515026,0.012686392422012697,0.0012872326107984877
24.450000000000003,0.004586863739836577,0.012577357477264753,0.001274303292493242
24.5,0.004557787135048924,0.01246924749694259,0.0012615112896658726
24.55,0.004528911664133471,0.012362055604842792,0.0012488551030336642
24.6,0.004500235917937356,0.012255774946572292,0.0012363332494492775
24.650000000000002,0.004471758495027884,0.012150398689440973,0.0012239442617476073
24.700000000000003,0.0044434780017239455,0.012045920023308489,0.0012116866885938237
24.75,0.004415393052258338,0.011942332162120733,0.0011995590943317447
24.8,0.004387502269000584,0.011839628345744863,0.0011875600588320341
24.85,0.004359804282665185,0.011737801841693582,0.001175688177340144
24.900000000000002,0.004332297732445154,0.011636845946417068,0.0011639420603242606
24.950000000000003,0.004304981266040824,0.011536753986008385,0.0011523203333237792
25.0,0.004277853539590554,0.011437519316367146,0.0011408216367988586
25.05,0.004250913217543658,0.011339135323045287,0.0011294446259814707
25.1,0.004224158972537437,0.011241595421109434,0.0011181879707280883
25.150000000000002,0.004197589485343883,0.011144893055367944,0.0011070503553737869
25.200000000000003,0.004171203444935757,0.011049021701220057,0.0010960304785872647
25.25,0.0041449995486900395,0.010953974866212067,0.001085127053226108
25.3,0.004118976502706053,0.010859746092169222,0.001074338806191661
25.35,0.004093133022176361,0.010766328957567968,0.0010636644782831125
25.400000000000002,0.004067467840595476,0.01067371712625107,0.001053102824027869
25.450000000000003,0.004041979672159121,0.01058190415035375,0.0010426526115864198
25.5,0.00401666727109107,0.010490883782316886,0.0010323126226019837
25.55,0.003991529390802326,0.010400649760489796,0.0010220816520035666
25.6,0.003966564797559517,0.010311195881136702,0.0010119585078806842
25.650000000000002,0.0039417722573393986,0.010222515930343718,0.0010019420113573235
25.700000000000003,0.003917150547411019,0.010134603744835845,0.000992030996470739
25.75,0.0038926984512859704,0.01004745318607014,0.0009822243100344218
25.8,0.003868414758311243,0.00996105813859804,0.000972520811515766
25.85,0.003844298249069969,0.00987541243553071,0.0009629193729517589
25.900000000000002,0.003820347754578648,0.00979051016330485,0.0009534188787544354
25.950000000000003,0.00379656206733311,0.009706345204560094,0.0009440182255913158
26.0,0.0037729400014403437,0.009622911548020816,0.0009347163223382093
26.05,0.003749480379191801,0.009540203219630384,0.0009255120899165287
26.1,0.0037261820277450955,0.009458214265975283,0.0009164044611731562
26.150000000000002,0.0037030437924333226,0.009376938822150573,0.0009073923807369498
26.200000000000003,0.0036799634534739095,0.009295860416616205,0.0008984750484964468
26.25,0.0036572430957144283,0.009216505209324261,0.0008896511885833163
26.3,0.003634578372181579,0.009137335531340333,0.0008809195364974405
26.35,0.0036120692400869775,0.009058856343209612,0.0008722793262342166
26.400000000000002,0.0035897145911697303,0.008981061997667794,0.0008637295592732294
26.450000000000003,0.0035675133240726316,0.008903946879556352,0.0008552692480897034
26.5,0.003545464343122959,0.008827505400018225,0.0008468974160438586
26.55,0.0035235665601055597,0.00875173200563627,0.0008386130972697434
26.6,0.0035018188802414148,0.00867662110916398,0.0008304153365933661
26.650000000000002,0.0034802202292354436,0.008602167224283305,0.0008223031894209351
26.700000000000003,0.0034587695573315338,0.008528364985012186,0.0008142757215558554
26.75,0.0034374657007327884,0.008455208463130357,0.0008063320093273099
26.8,0.0034163076860631645,0.008382692669772759,0.0007984711393362316
26.85,0.0033952944255820146,0.008310812052557648,0.0007906922082029325
