Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(3),J_7s1/2(2),J_total_Db_relativistic
15.05,0.005597088990719082,0.013897238379580535,0.009848811524238405,0.012323428184808284,0.005761483976377322,0.014848831437737969,0.012368458501242777,0.01704502416417832,0.017317880706429093,0.0066467802505938926,0.004205917170893082,0.005043190619674823,0.0037859959071536694,0.0033873946789721525,0.011502927519096005,0.011125041282932213,0.0026749219624865894,0.0013937232147022119,0.0013048249863056734,0.0015375031659061026,0.0012929127928939042,0.0015037327779408713,0.001439424668923818,0.0005899575844523995,0.00029038283340573337,0.00019557681170430445,8.589590595530195e-05,4.909374043801882e-05,0.6568269776798527
15.100000000000001,0.005595520836069137,0.01385735942622105,0.009845334948619914,0.012315090768912643,0.005710937878666817,0.01476327976082751,0.012265038014938343,0.017005357620108956,0.017272243946978155,0.006585207121118637,0.004202993433340823,0.005037814487147213,0.0037318191725798848,0.0033438950215670432,0.011391610079479147,0.011014078000423777,0.0026613011152756437,0.0013775373351665905,0.0013040929186464122,0.0015109513467251845,0.0012698674753778341,0.001494501849698839,0.0014299161474430118,0.0005879220505833767,0.00028579274277628524,0.00019521543154279853,8.4420865548968e-05,4.893825618679892e-05,0.6529436948702982
15.15,0.005593948152941644,0.013817477120658733,0.009841832628484794,0.012306699299557761,0.005661238923582254,0.014677830900460884,0.012162097526220616,0.016965506736470147,0.017226423016997824,0.006523626984373939,0.004200378000858416,0.005032097029114416,0.0036789398532423535,0.003301588636443032,0.01128115129592585,0.010904012212957549,0.0026473732679158043,0.0013619837919146701,0.001303479588647232,0.0014848401602081795,0.0012472762840009775,0.0014852318832110029,0.0014203811530704713,0.0005858041871115877,0.0002813589693930481,0.00019489174732303867,8.29681169371751e-05,4.877579880936144e-05,0.649091543194653
15.200000000000001,0.005592370947627909,0.013777592278574112,0.009838304513530174,0.012298253779936588,0.005612379018687346,0.014592489667081656,0.012059641658866116,0.016925473487488706,0.017180420426669153,0.006462055962012119,0.0041980510468903045,0.005026033631056114,0.0036273366078157267,0.003260452593651998,0.011171549734826007,0.010794841726133392,0.0026331452087300974,0.0013470467231502027,0.001302973152526732,0.0014591676304987068,0.001225135095138826,0.0014759254832484607,0.0014108221878579967,0.0005836047124237291,0.000277078271667435,0.0001946032636502568,8.153764522220752e-05,4.8606410836405255e-05,0.6452702066185833
15.25,0.005590789226433857,0.013737705712546277,0.009834750554331752,0.012289754215797206,0.005564350053291832,0.014507260828621568,0.011957674924157705,0.0168852598625346,0.017134238698873337,0.0064005099243031206,0.004195993222399463,0.0050196201503204555,0.003576988227507514,0.00322046417907394,0.01106280382817831,0.010686564216890746,0.0026186239200174564,0.0013327103877202925,0.0013025621703794334,0.0014339316039525315,0.0012034396644613613,0.0014665852149777984,0.0014012417090833163,0.000581324448465934,0.0002729474064740321,0.00019434755946819667,8.012942773964784e-05,4.8430144490556654e-05,0.6414793717190629
15.3,0.005589202995679982,0.013697818232030454,0.009831170702345916,0.012281200615438127,0.005517143900349562,0.014422149110040165,0.011856201721222124,0.016844867865666954,0.017087880368631785,0.006339004485543688,0.004194185651856995,0.00501285290266458,0.00352787364122256,0.0031816008981122943,0.010954911877157933,0.01057917723722376,0.0026038165619492876,0.0013189591736186077,0.0013022356002968245,0.001409129756787167,0.001182185634253915,0.0014572136033277818,0.0013916421289232074,0.0005789643149032519,0.0002689631322296972,0.000194122287323147,7.874343004248654e-05,4.824706118567038e-05,0.637718727714158
15.350000000000001,0.005587612261701283,0.013657930643335892,0.009827564909911803,0.012272592989703351,0.005470752418330873,0.014337159192879596,0.011755226337394153,0.016804299515180855,0.01704134798254897,0.006277554999812355,0.004192609929077606,0.00500572864894306,0.0034799719205003718,0.0031438404791550747,0.010847872055639973,0.010472678217844667,0.00258873045697752,0.0013057776060168662,0.0013019827923293878,0.0013847596025791432,0.001161368540541819,0.0014478131324280575,0.001382025814188582,0.0005765253234360682,0.0002651222118359303,0.0001939251725777202,7.737960104657679e-05,4.805723104562606e-05,0.633987966486844
15.4,0.005586017030847217,0.013618043749604023,0.00982393313025328,0.012263931351977217,0.005425167453069128,0.014252295714834452,0.011654752948606736,0.016763556843155024,0.016994644098258155,0.006216176557061254,0.004191248112908819,0.004998244581949318,0.003433262284229664,0.0031071608768076017,0.01074168241367805,0.010367064471794874,0.0025733730747490796,0.0012931503548368754,0.0013017934823045473,0.001360818499607535,0.0011409838200200895,0.0014383862451163272,0.0013723950861194512,0.0005740085722733167,0.0002614214154873809,0.00019375401257787703,7.603787730751855e-05,4.786073237090146e-05,0.6302867826327418
15.450000000000001,0.005584417309481641,0.01357815835078692,0.00982027531748086,0.012255215718179013,0.005380380839581317,0.014167563269336575,0.011554785619806537,0.01672264189500056,0.016947771283870174,0.006154883979535857,0.0041900827227816665,0.00499039831341475,0.0033877241031445692,0.0030715402749026026,0.010636340880937595,0.010262333198003567,0.0025577520175212956,0.001281062241875419,0.0013016577855148714,0.00133730365804267,0.0011210268167896123,0.0014289353425110398,0.0013627522202377096,0.0005714152407621122,0.0002578575233494627,0.00019360667577660704,7.471818969355286e-05,4.765765112939519e-05,0.6266148735118402
15.5,0.005582813103982759,0.013538275243626056,0.009816591426593536,0.012246446106757389,0.005336384403862676,0.0140829664051548,0.011455328305394393,0.01668155672901086,0.016900732117425432,0.0060936918185137915,0.004189096734130385,0.004982187861169931,0.0033433369041069617,0.003036957089293418,0.010531845270083447,0.010158481484793553,0.0025418750060723534,0.0012694982474942432,0.0013015661902902856,0.0013142121469791948,0.0011014927889014732,0.0014194627836468213,0.001353099446254884,0.0005687465841732273,0.00025442732810810367,0.000193481100817544,7.34204606753585e-05,4.744808056441666e-05,0.6229719392691759
